Year,ISO3,ADM0_EN,ADM0_FR,ADM0_PCODE,ADM1_FR,ADM1_EN,ADM1_PCODE,ADM2_FR,ADM2_EN,ADM2_PCODE,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80Plus,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80Plus,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80Plus
2024,HTI,Haiti,Haïti,HT,Centre,Centre,HT06,Cerca La Source,Cerca La Source,HT0641,36790,36251,73041,5846,5136,4047,4117,4113,3485,2438,1873,1329,1017,900,780,611,504,268,166,160,5991,5230,4194,3994,3512,3376,2698,1991,1258,858,846,607,597,495,295,170,139,11837,10366,8241,8111,7625,6861,5136,3864,2587,1875,1746,1387,1208,999,563,336,299
2024,HTI,Haiti,Haïti,HT,Centre,Centre,HT06,Hinche,Hinche,HT0611,82587,80550,163137,11079,9889,9270,9829,9503,7987,5762,4383,3126,2511,2361,2137,1704,1363,793,472,418,11008,10021,9317,9516,9575,8111,5889,4569,2722,1819,1784,1742,1561,1276,796,454,390,22087,19910,18587,19345,19078,16098,11651,8952,5848,4330,4145,3879,3265,2639,1589,926,808
2024,HTI,Haiti,Haïti,HT,Centre,Centre,HT06,Lascahobas,Lascahobas,HT0631,33027,32171,65198,4747,4020,3906,3665,3619,2831,2191,1786,1286,1069,954,902,737,550,383,183,198,4639,3926,3815,3751,3468,2876,2320,1844,1199,885,753,746,660,574,350,201,164,9386,7946,7721,7416,7087,5707,4511,3630,2485,1954,1707,1648,1397,1124,733,384,362
2024,HTI,Haiti,Haïti,HT,Centre,Centre,HT06,Maïssade,Maissade,HT0612,39199,39378,78577,5465,5059,4681,4076,3779,3812,2835,2301,1420,1259,1074,1071,818,697,372,302,178,5232,5176,4944,4511,4017,3855,2878,2552,1344,964,910,814,759,635,378,249,160,10697,10235,9625,8587,7796,7667,5713,4853,2764,2223,1984,1885,1577,1332,750,551,338
2024,HTI,Haiti,Haïti,HT,Centre,Centre,HT06,Mirebalais,Mirebalais,HT0621,65539,64034,129573,8412,7183,6947,7614,7600,6025,4511,3558,2952,2345,2316,2107,1541,1043,711,348,326,8516,7117,6642,7789,8075,6102,4826,3644,2368,1713,1655,1616,1519,1158,695,352,247,16928,14300,13589,15403,15675,12127,9337,7202,5320,4058,3971,3723,3060,2201,1406,700,573
2024,HTI,Haiti,Haïti,HT,Centre,Centre,HT06,Saut d'Eau,Saut d'Eau,HT0622,25997,26392,52389,3445,3260,2828,2583,2541,2255,1970,1449,1197,997,860,827,691,509,313,159,113,3529,3373,3092,3017,2813,2402,1993,1467,1041,732,690,661,629,436,280,135,102,6974,6633,5920,5600,5354,4657,3963,2916,2238,1729,1550,1488,1320,945,593,294,215
2024,HTI,Haiti,Haïti,HT,Centre,Centre,HT06,Savanette,Savanette,HT0633,23639,23263,46902,3280,2731,2264,2400,2368,2281,1790,1530,1046,911,786,677,543,444,267,193,128,3302,2694,2265,2327,2438,2354,1936,1660,929,793,706,524,468,378,231,152,106,6582,5425,4529,4727,4806,4635,3726,3190,1975,1704,1492,1201,1011,822,498,345,234
2024,HTI,Haiti,Haïti,HT,Centre,Centre,HT06,Thomassique,Thomassique,HT0642,43450,41698,85148,6394,6118,5505,5049,4373,3704,2773,2194,1603,1301,1214,876,889,633,387,213,224,6483,6099,5577,4940,4048,3141,2827,2200,1367,947,1044,837,802,608,405,197,176,12877,12217,11082,9989,8421,6845,5600,4394,2970,2248,2258,1713,1691,1241,792,410,400
2024,HTI,Haiti,Haïti,HT,Centre,Centre,HT06,Thomonde,Thomonde,HT0613,42291,42861,85152,5894,5388,5173,4778,4025,3701,2895,2242,1563,1442,1431,1079,991,721,499,226,243,6375,5735,5477,4937,4113,3675,2775,2563,1454,1104,1145,1060,888,619,479,245,217,12269,11123,10650,9715,8138,7376,5670,4805,3017,2546,2576,2139,1879,1340,978,471,460
2024,HTI,Haiti,Haïti,HT,Grande'Anse,Grande'Anse,HT08,Abricots,Abricots,HT0812,24036,23434,47470,3638,2892,2811,2458,2040,1932,1643,1238,922,718,737,669,739,608,458,277,256,3534,3004,2804,2507,1957,1704,1661,1460,905,661,621,555,612,536,409,304,200,7172,5896,5615,4965,3997,3636,3304,2698,1827,1379,1358,1224,1351,1144,867,581,456
