"School Year","Data Reporting Level","School District Code","School District Name","School Code","School Name","Grades Served","Total Enrolled","Total Retained","Number of Asians","Percentage of Asians","Number of American Indian","Percentage of American Indian","Number of Black","Percentage of Black","Number of Hispanic","Percentage of Hispanic","Number of MultiRacial","Percentage of MultiRacial","Number of White","Percentage of White","Number of Male","Percentage of Male","Number of Female","Percentage of Female"
"2016-17","School","605","Baldwin County","0104","Eagle Ridge Elementary School","KK,01,02,03,04,05",738,"28","Too Few Students","Too Few Students","Too Few Students","Too Few Students","23","82","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","19","68","Too Few Students","Too Few Students"
"2016-17","School","605","Baldwin County","0189","Baldwin High School","09,10,11,12",1256,"78","Too Few Students","Too Few Students","Too Few Students","Too Few Students","54","69","Too Few Students","Too Few Students","Too Few Students","Too Few Students","20","26","45","58","33","42"
"2016-17","School","605","Baldwin County","0194","Midway Elementary School","KK,01,02,03,04,05",531,"34","Too Few Students","Too Few Students","Too Few Students","Too Few Students","20","59","Too Few Students","Too Few Students","Too Few Students","Too Few Students","10","29","17","50","17","50"
"2016-17","School","605","Baldwin County","0195","Blandy Hills Elementary School","KK,01,02,03,04,05",675,"13","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2016-17","School","605","Baldwin County","0199","Creekside Elementary School","KK,01,02,03,04,05",877,"23","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","13","57","18","78","Too Few Students","Too Few Students"
"2016-17","District","605","Baldwin County","ALL","All Column Values","KK,01,02,03,04,05,06,07,08,09,10,11,12",5223,"218","Too Few Students","Too Few Students","Too Few Students","Too Few Students","145","67","Too Few Students","Too Few Students","12","6","54","25","133","61","85","39"
"2016-17","School","606","Banks County","0105","Banks County Middle School","06,07,08",618,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2016-17","School","606","Banks County","0107","Banks County Elementary School","03,04,05",639,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2016-17","School","606","Banks County","0199","Banks County High School","09,10,11,12",928,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2016-17","School","606","Banks County","0205","Banks County Primary School","PK,KK,01,02",580,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2016-17","District","606","Banks County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",2765,"13","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","11","85","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2016-17","School","607","Barrow County","0101","Apalachee High School","09,10,11,12",1754,"60","Too Few Students","Too Few Students","Too Few Students","Too Few Students","13","22","15","25","Too Few Students","Too Few Students","26","43","36","60","24","40"
"2016-17","School","607","Barrow County","0105","County Line Elementary School","PK,KK,01,02,03,04,05",831,"13","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2016-17","School","607","Barrow County","0106","Haymon-Morris Middle School","06,07,08",767,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2016-17","School","607","Barrow County","0114","Bear Creek Middle School","06,07,08",820,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2016-17","School","607","Barrow County","0189","Kennedy Elementary School","PK,KK,01,02,03,04,05",745,"25","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","10","40","10","40","15","60"
"2016-17","School","607","Barrow County","0193","Bramlett Elementary School","PK,KK,01,02,03,04,05",704,"14","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","10","71","11","79","Too Few Students","Too Few Students"
"2016-17","School","607","Barrow County","0198","Westside Middle School","06,07,08",697,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2016-17","School","607","Barrow County","0205","Bethlehem Elementary School","PK,KK,01,02,03,04,05",725,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2016-17","School","607","Barrow County","0289","Russell Middle School","06,07,08",835,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2016-17","School","607","Barrow County","0298","Yargo Elementary School","PK,KK,01,02,03,04,05",801,"13","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2016-17","School","607","Barrow County","1050","Auburn Elementary School","PK,KK,01,02,03,04,05",723,"18","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","10","56","12","67","Too Few Students","Too Few Students"
"2016-17","School","607","Barrow County","3052","Winder-Barrow High School","09,10,11,12",1964,"122","Too Few Students","Too Few Students","Too Few Students","Too Few Students","24","20","17","14","Too Few Students","Too Few Students","75","62","89","73","33","27"
"2016-17","School","607","Barrow County","4050","Holsenbeck Elementary School","PK,KK,01,02,03,04,05",862,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2016-17","School","607","Barrow County","5050","Statham Elementary School","PK,KK,01,02,03,04,05",892,"22","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","13","59","Too Few Students","Too Few Students"
"2016-17","District","607","Barrow County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",13120,"304","11","4","Too Few Students","Too Few Students","53","17","63","21","18","6","158","52","194","64","110","36"
"2016-17","School","608","Bartow County","0101","Woodland Middle School at Euharlee","06,07,08",782,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2016-17","School","608","Bartow County","0104","Clear Creek Elementary School","PK,KK,01,02,03,04,05",544,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2016-17","School","608","Bartow County","0105","Adairsville High School","09,10,11,12",973,"37","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","36","97","23","62","14","38"
"2016-17","School","608","Bartow County","0106","Pine Log Elementary","PK,KK,01,02,03,04,05",350,"12","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","12","100","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2016-17","School","608","Bartow County","0107","Euharlee Elementary School","PK,KK,01,02,03,04,05",484,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2016-17","School","608","Bartow County","0114","New Cass High School","09,10,11,12",1581,"59","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","43","73","34","58","25","42"
"2016-17","School","608","Bartow County","0115","Cloverleaf Elementary","PK,KK,01,02,03,04,05",687,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2016-17","School","608","Bartow County","0175","White Elementary School","PK,KK,01,02,03,04,05",570,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2016-17","School","608","Bartow County","0177","Adairsville Elementary School","PK,KK,01,02,03,04,05",659,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2016-17","School","608","Bartow County","0186","Mission Road Elementary School","PK,KK,01,02,03,04,05",452,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2016-17","School","608","Bartow County","0190","South Central Middle School","06,07,08",639,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2016-17","School","608","Bartow County","0195","Cass Middle School","06,07,08",944,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2016-17","School","608","Bartow County","0196","Allatoona Elementary School","PK,KK,01,02,03,04,05",413,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2016-17","School","608","Bartow County","0198","Woodland High School","09,10,11,12",1599,"84","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","11","13","Too Few Students","Too Few Students","63","75","54","64","30","36"
