LONG_SCHOOL_YEAR,SCHOOL_DISTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,NUMBER_OF_GRADUATES,HOPE_ELIGIBLE,HOPE_ELIGIBLE_PCT
2012-13,601,Appling County,103,Appling County High School,174,93,53.45
2012-13,601,Appling County,ALL,All Schools,174,93,53.45
2012-13,602,Atkinson County,103,Atkinson County High School,84,49,58.33
2012-13,602,Atkinson County,ALL,All Schools,84,49,58.33
2012-13,603,Bacon County,302,Bacon County High School,109,47,43.12
2012-13,603,Bacon County,ALL,All Schools,109,47,43.12
2012-13,604,Baker County,105,Baker County K12 School,11,TFS,18.18
2012-13,604,Baker County,ALL,All Schools,11,TFS,18.18
2012-13,605,Baldwin County,189,Baldwin High School,228,68,29.82
2012-13,605,Baldwin County,ALL,All Schools,228,68,29.82
2012-13,606,Banks County,199,Banks County High School,154,71,46.1
2012-13,606,Banks County,ALL,All Schools,154,71,46.1
2012-13,607,Barrow County,101,Apalachee High School,360,199,55.28
2012-13,607,Barrow County,113,Snodon Preparatory School,26,TFS,3.85
2012-13,607,Barrow County,3052,Winder-Barrow High School,314,160,50.96
2012-13,607,Barrow County,ALL,All Schools,700,360,51.43
2012-13,608,Bartow County,105,Adairsville High School,171,49,28.65
2012-13,608,Bartow County,114,Cass High School,203,65,32.02
2012-13,608,Bartow County,198,Woodland High School,321,117,36.45
2012-13,608,Bartow County,ALL,All Schools,695,231,33.24
2012-13,609,Ben Hill County,291,Fitzgerald High School,137,36,26.28
2012-13,609,Ben Hill County,ALL,All Schools,137,36,26.28
2012-13,610,Berrien County,101,Berrien High School,141,59,41.84
2012-13,610,Berrien County,106,Berrien Academy Performance Learning Center,11,TFS,9.09
2012-13,610,Berrien County,ALL,All Schools,152,60,39.47
2012-13,611,Bibb County,105,Howard High School,251,84,33.47
2012-13,611,Bibb County,186,Central High School,189,65,34.39
2012-13,611,Bibb County,198,Westside High School,212,40,18.87
2012-13,611,Bibb County,204,Rutland High School,244,94,38.52
2012-13,611,Bibb County,286,Northeast High School,108,22,20.37
2012-13,611,Bibb County,303,William S. Hutchings Career Center,40,11,27.5
2012-13,611,Bibb County,386,Southwest High School,116,35,30.17
2012-13,611,Bibb County,ALL,All Schools,1160,351,30.26
2012-13,612,Bleckley County,105,Bleckley County High School,141,55,39.01
2012-13,612,Bleckley County,ALL,All Schools,141,55,39.01
2012-13,613,Brantley County,1050,Brantley County High School,157,79,50.32
2012-13,613,Brantley County,ALL,All Schools,157,79,50.32
2012-13,614,Brooks County,110,Brooks County High School,94,34,36.17
2012-13,614,Brooks County,ALL,All Schools,94,34,36.17
2012-13,615,Bryan County,182,Richmond Hill High School,347,178,51.3
2012-13,615,Bryan County,502,Bryan County High School,106,42,39.62
2012-13,615,Bryan County,ALL,All Schools,453,220,48.57
2012-13,616,Bulloch County,203,Southeast Bulloch High School,173,75,43.35
2012-13,616,Bulloch County,2054,Statesboro High School,234,111,47.44
2012-13,616,Bulloch County,4052,Portal Middle/High School,45,22,48.89
2012-13,616,Bulloch County,ALL,All Schools,452,208,46.02
2012-13,617,Burke County,288,Burke County High School,250,84,33.6
2012-13,617,Burke County,ALL,All Schools,250,84,33.6
2012-13,618,Butts County,190,Jackson High School,178,78,43.82
2012-13,618,Butts County,ALL,All Schools,178,78,43.82
2012-13,619,Calhoun County,113,Calhoun County High School,32,14,43.75
2012-13,619,Calhoun County,ALL,All Schools,32,14,43.75
2012-13,620,Camden County,295,Camden County High School,570,262,45.96
2012-13,620,Camden County,ALL,All Schools,570,262,45.96
2012-13,621,Candler County,101,Metter High School,111,53,47.75
2012-13,621,Candler County,ALL,All Schools,111,53,47.75
2012-13,622,Carroll County,189,Temple High School,102,44,43.14
2012-13,622,Carroll County,212,Mt. Zion High School,72,35,48.61
2012-13,622,Carroll County,2052,Central High School,230,136,59.13
2012-13,622,Carroll County,3050,Bowdon High School,75,41,54.67
2012-13,622,Carroll County,5054,Villa Rica High School,239,91,38.08
2012-13,622,Carroll County,ALL,All Schools,718,347,48.33
2012-13,623,Catoosa County,109,Heritage High School,302,189,62.58
2012-13,623,Catoosa County,1052,Lakeview-Fort Oglethorpe High School,179,81,45.25
2012-13,623,Catoosa County,4052,Ringgold High School,213,119,55.87
2012-13,623,Catoosa County,ALL,All Schools,694,389,56.05
2012-13,624,Charlton County,287,Charlton County High School,86,38,44.19
2012-13,624,Charlton County,ALL,All Schools,86,38,44.19
2012-13,625,Savannah-Chatham County,101,Johnson High School,177,42,23.73
2012-13,625,Savannah-Chatham County,117,New Hampstead High School,134,39,29.1
2012-13,625,Savannah-Chatham County,210,The School of Liberal Studies at Savannah High,145,36,24.83
2012-13,625,Savannah-Chatham County,411,Islands High School,127,41,32.28
2012-13,625,Savannah-Chatham County,499,Savannah Arts Academy,195,140,71.79
2012-13,625,Savannah-Chatham County,2052,Beach High School,167,45,26.95
2012-13,625,Savannah-Chatham County,3056,Groves High School,175,47,26.86
2012-13,625,Savannah-Chatham County,3062,Low Elementary School,,,
2012-13,625,Savannah-Chatham County,5060,Jenkins High School,285,79,27.72
2012-13,625,Savannah-Chatham County,5070,Windsor Forest High School,207,41,19.81
2012-13,625,Savannah-Chatham County,ALL,All Schools,1614,510,31.6
2012-13,626,Chattahoochee County,206,Chattahoochee County High School,66,24,36.36
2012-13,626,Chattahoochee County,ALL,All Schools,66,24,36.36
2012-13,627,Chattooga County,111,Chattooga Academy,,,
2012-13,627,Chattooga County,1050,Chattooga High School,123,64,52.03
2012-13,627,Chattooga County,ALL,All Schools,125,65,52
2012-13,628,Cherokee County,106,Creekview High School,363,212,58.4
2012-13,628,Cherokee County,115,River Ridge High School,292,169,57.88
2012-13,628,Cherokee County,176,Etowah High School,480,267,55.63
2012-13,628,Cherokee County,191,Sequoyah High School,322,156,48.45
2012-13,628,Cherokee County,197,Woodstock High School,396,220,55.56
2012-13,628,Cherokee County,5050,Cherokee High School,414,169,40.82
2012-13,628,Cherokee County,ALL,All Schools,2267,1193,52.62
2012-13,629,Clarke County,102,Cedar Shoals High School,279,135,48.39
2012-13,629,Clarke County,104,Classic City High School,20,TFS,30
2012-13,629,Clarke County,5556,Clarke Central High School,243,116,47.74
2012-13,629,Clarke County,ALL,All Schools,542,257,47.42
2012-13,631,Clayton County,104,Mundy's Mill High School,292,89,30.48
2012-13,631,Clayton County,115,Charles R. Drew High School,231,72,31.17
2012-13,631,Clayton County,190,Lovejoy High School,334,99,29.64
2012-13,631,Clayton County,290,Mount Zion High School,239,74,30.96
2012-13,631,Clayton County,377,Riverdale High School,173,37,21.39
2012-13,631,Clayton County,1054,Forest Park High School,215,53,24.65
2012-13,631,Clayton County,1056,Jonesboro High School,235,87,37.02
2012-13,631,Clayton County,2052,North Clayton High School,130,42,32.31
2012-13,631,Clayton County,4058,Morrow High School,276,86,31.16
2012-13,631,Clayton County,ALL,All Schools,2125,639,30.07
2012-13,632,Clinch County,1050,Clinch County High School,80,40,50
2012-13,632,Clinch County,ALL,All Schools,80,40,50
2012-13,633,Cobb County,101,Kennesaw Mountain High School,456,247,54.17
2012-13,633,Cobb County,103,Kell High School,342,185,54.09
2012-13,633,Cobb County,175,Walton High School,584,386,66.1
2012-13,633,Cobb County,186,Oakwood Digital Academy,103,TFS,5.83
2012-13,633,Cobb County,188,Pope High School,417,286,68.59
2012-13,633,Cobb County,192,Harrison High School,480,309,64.38
2012-13,633,Cobb County,209,Allatoona High School,403,202,50.12
2012-13,633,Cobb County,373,Sprayberry High School,406,179,44.09
2012-13,633,Cobb County,381,Lassiter High School,451,273,60.53
2012-13,633,Cobb County,707,Hillgrove High School,490,286,58.37
2012-13,633,Cobb County,1054,Campbell High School,422,173,41
2012-13,633,Cobb County,1064,McEachern High School,460,140,30.43
2012-13,633,Cobb County,1069,Wheeler High School,389,202,51.93
2012-13,633,Cobb County,2056,North Cobb High School,547,240,43.88
2012-13,633,Cobb County,2066,Osborne High School,293,104,35.49
2012-13,633,Cobb County,3056,South Cobb High School,371,135,36.39
2012-13,633,Cobb County,4066,Pebblebrook High School,353,96,27.2
2012-13,633,Cobb County,ALL,All Schools,6967,3449,49.5
2012-13,634,Coffee County,195,Coffee County High School,370,162,43.78
2012-13,634,Coffee County,ALL,All Schools,370,162,43.78
2012-13,635,Colquitt County,112,Colquitt County Achievement Center,31,TFS,9.68
2012-13,635,Colquitt County,1554,Colquitt County High School,453,208,45.92
2012-13,635,Colquitt County,ALL,All Schools,484,211,43.6
2012-13,636,Columbia County,112,Grovetown High School,266,87,32.71
2012-13,636,Columbia County,183,Harlem High School,161,61,37.89
2012-13,636,Columbia County,189,Lakeside High School,338,171,50.59
2012-13,636,Columbia County,197,Greenbrier High School,355,196,55.21
2012-13,636,Columbia County,4050,Evans High School,322,135,41.93
2012-13,636,Columbia County,ALL,All Schools,1442,650,45.08
2012-13,637,Cook County,111,Cook High School,184,82,44.57
2012-13,637,Cook County,ALL,All Schools,184,82,44.57
2012-13,638,Coweta County,196,Northgate High School,385,204,52.99
2012-13,638,Coweta County,389,East Coweta High School,536,242,45.15
2012-13,638,Coweta County,5054,Newnan High School,451,171,37.92
2012-13,638,Coweta County,ALL,All Schools,1372,617,44.97
2012-13,639,Crawford County,193,Crawford County High School,82,21,25.61
2012-13,639,Crawford County,ALL,All Schools,82,21,25.61
2012-13,640,Crisp County,196,Crisp County High School,205,57,27.8
2012-13,640,Crisp County,ALL,All Schools,205,57,27.8
2012-13,641,Dade County,195,Dade County High School,131,60,45.8
2012-13,641,Dade County,ALL,All Schools,131,60,45.8
2012-13,642,Dawson County,198,Dawson County High School,202,109,53.96
2012-13,642,Dawson County,ALL,All Schools,202,109,53.96
2012-13,643,Decatur County,3050,Bainbridge High School,268,112,41.79
2012-13,643,Decatur County,ALL,All Schools,268,112,41.79
2012-13,644,DeKalb County,103,"Martin Luther King, Jr. High School",276,88,31.88
2012-13,644,DeKalb County,105,Miller Grove High School,260,49,18.85
2012-13,644,DeKalb County,112,Destiny Achievers Academy of Excellence,35,TFS,5.71
2012-13,644,DeKalb County,172,Cedar Grove High School,163,36,22.09
2012-13,644,DeKalb County,176,Redan High School,232,78,33.62
2012-13,644,DeKalb County,202,Lithonia High School,184,38,20.65
2012-13,644,DeKalb County,276,Stone Mountain High School,168,50,29.76
2012-13,644,DeKalb County,407,Dekalb Early College Academy,37,11,29.73
2012-13,644,DeKalb County,410,DeKalb School of the Arts,55,44,80
2012-13,644,DeKalb County,497,Stephenson High School,261,66,25.29
2012-13,644,DeKalb County,500,DeKalb Alternative School,,,
2012-13,644,DeKalb County,606,Gateway to College Academy,,,
2012-13,644,DeKalb County,610,"Arabia Mountain High School - Academy of Engineering, Medicine and Environm",385,181,47.01
2012-13,644,DeKalb County,810,Elizabeth Andrews High School,164,11,6.71
2012-13,644,DeKalb County,1070,Tucker High School,230,96,41.74
2012-13,644,DeKalb County,2054,Columbia High School,195,79,40.51
2012-13,644,DeKalb County,2055,Druid Hills High School,313,166,53.04
2012-13,644,DeKalb County,3060,Lakeside High School,351,223,63.53
2012-13,644,DeKalb County,3070,McNair High School,94,23,24.47
2012-13,644,DeKalb County,4053,Clarkston High School,170,77,45.29
2012-13,644,DeKalb County,4054,Cross Keys High School,132,59,44.7
2012-13,644,DeKalb County,4069,Towers High School,131,44,33.59
2012-13,644,DeKalb County,5052,Chamblee Charter High School,251,135,53.78
2012-13,644,DeKalb County,5055,Dunwoody High School,289,177,61.25
2012-13,644,DeKalb County,5067,Southwest DeKalb High School,268,88,32.84
2012-13,644,DeKalb County,ALL,All Schools,4657,1822,39.12
2012-13,645,Dodge County,103,Dodge County High School,176,97,55.11
2012-13,645,Dodge County,ALL,All Schools,176,97,55.11
2012-13,646,Dooly County,182,Dooly County High School,66,18,27.27
2012-13,646,Dooly County,ALL,All Schools,66,18,27.27
2012-13,647,Dougherty County,114,Dougherty County Drop Back In Academy,,,
2012-13,647,Dougherty County,1050,Albany High School,140,31,22.14
2012-13,647,Dougherty County,1058,Monroe High School,198,26,13.13
