"LONG_SCHOOL_YEAR","SCHOOL_DSTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","CATEGORY","SALARIES","BENEFITS","SALARIES_AND_BENEFITS","% Rev- GF/Title/Lottery","% Rev- Total K-12","% Exp- GF/Title/Lottery","% Exp-Total K-12"
"2010-11","616","Bulloch County","ALL","All Column Values","Teachers and Paraprofessionals",34252517.95,10110483.17,44363001.12,54.62,39.35,59.39,40.27
"2010-11","617","Burke County","ALL","All Column Values","General Administration",598370.79,238649.18,837019.97,1.83,1.71,1.83,1.69
"2010-11","617","Burke County","ALL","All Column Values","School Administration",1740606.74,684125.57,2424732.31,5.29,4.94,5.3,4.91
"2010-11","617","Burke County","ALL","All Column Values","Teachers and Paraprofessionals",17168210.68,6630972.48,23799183.16,51.93,48.51,52,48.17
"2010-11","618","Butts County","ALL","All Column Values","General Administration",317090.9,220316.28,537407.18,1.76,1.53,1.92,1.56
"2010-11","618","Butts County","ALL","All Column Values","School Administration",1128024.78,451600.82,1579625.6,5.18,4.48,5.65,4.59
"2010-11","618","Butts County","ALL","All Column Values","Teachers and Paraprofessionals",10443341.04,4376166.64,14819507.68,48.6,42.06,53.04,43.04
"2010-11","619","Calhoun County","ALL","All Column Values","General Administration",336033.52,121012.72,457046.24,6.87,6.09,6.62,6.11
"2010-11","619","Calhoun County","ALL","All Column Values","School Administration",280999.17,129960.25,410959.42,6.17,5.48,5.96,5.49
"2010-11","619","Calhoun County","ALL","All Column Values","Teachers and Paraprofessionals",2230275.14,858926.17,3089201.31,46.41,41.18,44.78,41.29
"2010-11","620","Camden County","ALL","All Column Values","General Administration",354552.75,122166.79,476719.54,0.59,0.51,0.64,0.6
"2010-11","620","Camden County","ALL","All Column Values","School Administration",2894195.01,907820.66,3802015.67,4.69,4.09,5.13,4.81
"2010-11","620","Camden County","ALL","All Column Values","Teachers and Paraprofessionals",33271303.23,10835538.43,44106841.66,54.42,47.46,59.51,55.81
"2010-11","621","Candler County","ALL","All Column Values","General Administration",398692.74,166779.53,565472.27,3.35,1.53,3.55,2.98
"2010-11","621","Candler County","ALL","All Column Values","School Administration",531929.89,209765.22,741695.11,4.39,2.01,4.66,3.91
"2010-11","621","Candler County","ALL","All Column Values","Teachers and Paraprofessionals",6638088.16,2636210.73,9274298.89,54.93,25.08,58.29,48.93
"2010-11","622","Carroll County","ALL","All Column Values","General Administration",895214.49,384868.86,1280083.35,1.07,0.56,1.08,0.8
"2010-11","622","Carroll County","ALL","All Column Values","School Administration",4646280.02,1999193.39,6645473.41,5.54,2.93,5.6,4.15
"2010-11","622","Carroll County","ALL","All Column Values","Teachers and Paraprofessionals",47302195.44,18795459.8,66097655.24,55.12,29.11,55.67,41.29
"2010-11","623","Catoosa County","ALL","All Column Values","General Administration",303416.17,172426.81,475842.98,0.51,0.41,0.53,0.44
"2010-11","623","Catoosa County","ALL","All Column Values","School Administration",3495368.06,1508633.46,5004001.52,5.38,4.35,5.57,4.59
"2010-11","623","Catoosa County","ALL","All Column Values","Teachers and Paraprofessionals",40444623.63,15683617.19,56128240.82,60.33,48.84,62.43,51.5
"2010-11","624","Charlton County","ALL","All Column Values","General Administration",199851.64,90690.19,290541.83,1.93,1.65,2.06,1.4
"2010-11","624","Charlton County","ALL","All Column Values","School Administration",651392.5,261580.3,912972.8,6.08,5.19,6.49,4.41
"2010-11","624","Charlton County","ALL","All Column Values","Teachers and Paraprofessionals",5253548.61,2224185.57,7477734.18,49.77,42.47,53.13,36.15
"2010-11","625","Savannah-Chatham County","ALL","All Column Values","General Administration",2424093.02,795741.14,3219834.16,0.96,0.79,0.98,0.81
"2010-11","625","Savannah-Chatham County","ALL","All Column Values","School Administration",9905334.54,4172562.55,14077897.09,4.21,3.44,4.28,3.52
"2010-11","625","Savannah-Chatham County","ALL","All Column Values","Teachers and Paraprofessionals",143243679.72,51909101.83,195152781.55,58.4,47.65,59.32,48.84
"2010-11","626","Chattahoochee County","ALL","All Column Values","General Administration",415098.73,137242.92,552341.65,6,4.95,6.43,5.41
"2010-11","626","Chattahoochee County","ALL","All Column Values","School Administration",394216.11,121018.62,515234.73,5.6,4.62,6,5.04
"2010-11","626","Chattahoochee County","ALL","All Column Values","Teachers and Paraprofessionals",3466696.09,1079950.49,4546646.58,49.42,40.78,52.94,44.49
"2010-11","627","Chattooga County","ALL","All Column Values","General Administration",435575.82,171550.51,607126.33,2.52,2.22,2.6,2.3
"2010-11","627","Chattooga County","ALL","All Column Values","School Administration",901229.78,341216.08,1242445.86,5.16,4.54,5.32,4.71
"2010-11","627","Chattooga County","ALL","All Column Values","Teachers and Paraprofessionals",9166801.96,3528871.91,12695673.87,52.76,46.44,54.4,48.12
"2010-11","628","Cherokee County","ALL","All Column Values","General Administration",1547665.66,663495.38,2211161.04,0.63,0.5,0.69,0.53
"2010-11","628","Cherokee County","ALL","All Column Values","School Administration",10085661.24,4723290.71,14808951.95,4.19,3.33,4.59,3.58
"2010-11","628","Cherokee County","ALL","All Column Values","Teachers and Paraprofessionals",138923369.08,51061236.63,189984605.71,53.81,42.77,58.9,45.96
"2010-11","629","Clarke County","ALL","All Column Values","General Administration",970963.7,362016.26,1332979.96,0.92,0.76,0.95,0.74
"2010-11","629","Clarke County","ALL","All Column Values","School Administration",4217095.65,1871720.6,6088816.25,4.21,3.47,4.34,3.39
"2010-11","629","Clarke County","ALL","All Column Values","Teachers and Paraprofessionals",53002544.95,21088802.01,74091346.96,51.2,42.19,52.83,41.29
"2010-11","630","Clay County","ALL","All Column Values","General Administration",114776.37,47477.51,162253.88,3.91,3.48,4.43,3.86
"2010-11","630","Clay County","ALL","All Column Values","School Administration",138356.57,45841.91,184198.48,4.43,3.96,5.03,4.38
"2010-11","630","Clay County","ALL","All Column Values","Teachers and Paraprofessionals",1154929.67,401972.57,1556902.24,37.48,33.44,42.5,37.04
"2010-11","631","Clayton County","ALL","All Column Values","General Administration",2811067.09,603704.27,3414771.36,0.84,0.7,0.88,0.78
"2010-11","631","Clayton County","ALL","All Column Values","School Administration",13086314.41,4263971.05,17350285.46,4.29,3.57,4.46,3.98
"2010-11","631","Clayton County","ALL","All Column Values","Teachers and Paraprofessionals",168702442.72,55524250.59,224226693.31,55.48,46.14,57.61,51.49
"2010-11","632","Clinch County","ALL","All Column Values","General Administration",267156.94,161864.95,429021.89,3.56,3.18,3.61,2.83
"2010-11","632","Clinch County","ALL","All Column Values","School Administration",429448.28,177600.62,607048.9,5.04,4.51,5.1,4.01
"2010-11","632","Clinch County","ALL","All Column Values","Teachers and Paraprofessionals",4370869.86,1778972.26,6149842.12,51.08,45.64,51.69,40.63
"2010-11","633","Cobb County","ALL","All Column Values","General Administration",4060635.27,1428817.95,5489453.22,0.59,0.5,0.62,0.52
"2010-11","633","Cobb County","ALL","All Column Values","School Administration",27704419.32,12037573.12,39741992.44,4.27,3.63,4.48,3.75
"2010-11","633","Cobb County","ALL","All Column Values","Teachers and Paraprofessionals",399080181.92,154656584.55,553736766.47,59.53,50.63,62.48,52.28
"2010-11","634","Coffee County","ALL","All Column Values","General Administration",595046.44,233101.04,828147.48,1.31,1.13,1.4,1.11
"2010-11","634","Coffee County","ALL","All Column Values","School Administration",1657926.98,710577.72,2368504.7,3.75,3.24,4.01,3.17
"2010-11","634","Coffee County","ALL","All Column Values","Teachers and Paraprofessionals",24947539.96,9615420.21,34562960.17,54.7,47.27,58.45,46.3
"2010-11","635","Colquitt County","ALL","All Column Values","General Administration",480327.13,223388.58,703715.71,0.94,0.82,0.96,0.81
"2010-11","635","Colquitt County","ALL","All Column Values","School Administration",2321897.12,731803.34,3053700.46,4.09,3.57,4.15,3.51
"2010-11","635","Colquitt County","ALL","All Column Values","Teachers and Paraprofessionals",32324086.1,10602696.35,42926782.45,57.49,50.13,58.32,49.33
"2010-11","636","Columbia County","ALL","All Column Values","General Administration",347585.21,311616.02,659201.23,0.36,0.26,0.38,0.31
