"LONG_SCHOOL_YEAR","SCHOOL_DSTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","CATEGORY","SALARIES","BENEFITS","SALARIES_AND_BENEFITS","% Rev- GF/Title/Lottery","% Rev- Total K-12","% Exp- GF/Title/Lottery","% Exp-Total K-12"
"2017-18","614","Brooks County","ALL","All Column Values","Teachers and Paraprofessionals",7156902.78,3571245.01,10728147.79,47.47,42.66,47.63,41.94
"2017-18","615","Bryan County","ALL","All Column Values","General Administration",342073.2,212792.93,554866.13,0.74,0.33,0.75,0.62
"2017-18","615","Bryan County","ALL","All Column Values","School Administration",2590218.09,1219121.92,3809340.01,5.1,2.3,5.14,4.26
"2017-18","615","Bryan County","ALL","All Column Values","Teachers and Paraprofessionals",29917222,13374722.26,43291944.26,57.98,26.12,58.44,48.38
"2017-18","616","Bulloch County","ALL","All Column Values","General Administration",335189.64,182352.3,517541.94,0.52,0.32,0.54,0.45
"2017-18","616","Bulloch County","ALL","All Column Values","School Administration",3453243.21,1694829.81,5148073.02,5.21,3.19,5.32,4.45
"2017-18","616","Bulloch County","ALL","All Column Values","Teachers and Paraprofessionals",40043372.94,16372321.27,56415694.21,57.09,34.94,58.33,48.77
"2017-18","617","Burke County","ALL","All Column Values","General Administration",714737.77,432704.87,1147442.64,1.7,1.61,2.11,1.91
"2017-18","617","Burke County","ALL","All Column Values","School Administration",2297309.3,1073675.93,3370985.23,5,4.72,6.21,5.62
"2017-18","617","Burke County","ALL","All Column Values","Teachers and Paraprofessionals",18864633.89,9228894.91,28093528.8,41.66,39.34,51.75,46.83
"2017-18","618","Butts County","ALL","All Column Values","General Administration",450153.99,338101.59,788255.58,2.44,1.99,2.52,1.73
"2017-18","618","Butts County","ALL","All Column Values","School Administration",1444947.81,719017.85,2163965.66,6.69,5.47,6.93,4.75
"2017-18","618","Butts County","ALL","All Column Values","Teachers and Paraprofessionals",10842109.4,5574490.1,16416599.5,50.75,41.52,52.58,36.01
"2017-18","619","Calhoun County","ALL","All Column Values","General Administration",445369.7,221549.14,666918.84,8.21,4.43,9.4,8.2
"2017-18","619","Calhoun County","ALL","All Column Values","School Administration",312357.86,160878.35,473236.21,5.83,3.14,6.67,5.82
"2017-18","619","Calhoun County","ALL","All Column Values","Teachers and Paraprofessionals",1672784.75,926586.5,2599371.25,32.01,17.26,36.64,31.96
"2017-18","620","Camden County","ALL","All Column Values","General Administration",291034.58,217072.34,508106.92,0.56,0.5,0.65,0.58
"2017-18","620","Camden County","ALL","All Column Values","School Administration",3190982.77,1249057.98,4440040.75,4.94,4.36,5.71,5.11
"2017-18","620","Camden County","ALL","All Column Values","Teachers and Paraprofessionals",31364903.69,11935849.67,43300753.36,48.14,42.48,55.69,49.79
"2017-18","621","Candler County","ALL","All Column Values","General Administration",405663.86,189394.04,595057.9,2.95,2.49,3.28,2.89
"2017-18","621","Candler County","ALL","All Column Values","School Administration",582546.5,344923.31,927469.81,4.59,3.88,5.12,4.51
"2017-18","621","Candler County","ALL","All Column Values","Teachers and Paraprofessionals",6707862.27,3609742.86,10317605.13,51.07,43.11,56.91,50.18
"2017-18","622","Carroll County","ALL","All Column Values","General Administration",531326.36,360553.9,891880.26,0.64,0.55,0.66,0.57
"2017-18","622","Carroll County","ALL","All Column Values","School Administration",4790384.57,2804438.12,7594822.69,5.46,4.72,5.63,4.82
"2017-18","622","Carroll County","ALL","All Column Values","Teachers and Paraprofessionals",51030027.45,25039869.64,76069897.09,54.67,47.26,56.4,48.27
"2017-18","623","Catoosa County","ALL","All Column Values","General Administration",297484.68,255751.63,553236.31,0.5,0.44,0.52,0.39
"2017-18","623","Catoosa County","ALL","All Column Values","School Administration",3870984.11,2266518.99,6137503.1,5.6,4.89,5.79,4.35
"2017-18","623","Catoosa County","ALL","All Column Values","Teachers and Paraprofessionals",43620586,21097881.47,64718467.47,59.03,51.56,61.01,45.84
"2017-18","624","Charlton County","ALL","All Column Values","General Administration",353754.96,168572.86,522327.82,3.13,2.29,3.24,2.72
"2017-18","624","Charlton County","ALL","All Column Values","School Administration",544693.2,312335.95,857029.15,5.14,3.77,5.32,4.46
"2017-18","624","Charlton County","ALL","All Column Values","Teachers and Paraprofessionals",5427122.85,2607531.8,8034654.65,48.17,35.3,49.89,41.85
"2017-18","625","Chatham County","ALL","All Column Values","General Administration",4684148.55,2642178.3,7326326.85,1.71,1.37,1.74,1.49
"2017-18","625","Chatham County","ALL","All Column Values","School Administration",12768879.91,6809846.11,19578726.02,4.57,3.67,4.65,3.98
"2017-18","625","Chatham County","ALL","All Column Values","Teachers and Paraprofessionals",157323696.63,71271062.44,228594759.07,53.36,42.89,54.32,46.46
"2017-18","626","Chattahoochee County","ALL","All Column Values","General Administration",514797.74,216922.78,731720.52,8.38,5.69,8.09,6.68
"2017-18","626","Chattahoochee County","ALL","All Column Values","School Administration",372603.35,150557.31,523160.66,5.99,4.07,5.78,4.77
"2017-18","626","Chattahoochee County","ALL","All Column Values","Teachers and Paraprofessionals",3072029.38,1333776.89,4405806.27,50.49,34.26,48.7,40.21
"2017-18","627","Chattooga County","ALL","All Column Values","General Administration",349828.87,133288.01,483116.88,1.71,1.43,1.79,1.33
"2017-18","627","Chattooga County","ALL","All Column Values","School Administration",985581.03,550935.94,1536516.97,5.44,4.55,5.69,4.23
"2017-18","627","Chattooga County","ALL","All Column Values","Teachers and Paraprofessionals",9359114.27,4339550.21,13698664.48,48.49,40.57,50.77,37.75
"2017-18","628","Cherokee County","ALL","All Column Values","General Administration",1840464.18,1218021.34,3058485.52,0.75,0.59,0.77,0.64
"2017-18","628","Cherokee County","ALL","All Column Values","School Administration",11761050.37,6911480.12,18672530.49,4.59,3.6,4.68,3.93
"2017-18","628","Cherokee County","ALL","All Column Values","Teachers and Paraprofessionals",164498006.45,73835956.03,238333962.48,58.64,45.98,59.74,50.21
"2017-18","629","Clarke County","ALL","All Column Values","General Administration",1166952.13,643956.87,1810909,1.12,0.92,1.15,0.84
"2017-18","629","Clarke County","ALL","All Column Values","School Administration",4494169.63,2416353.6,6910523.23,4.28,3.52,4.38,3.21
"2017-18","629","Clarke County","ALL","All Column Values","Teachers and Paraprofessionals",55428783.61,28882615,84311398.61,52.22,42.99,53.43,39.14
"2017-18","630","Clay County","ALL","All Column Values","General Administration",172144.8,41960.69,214105.49,5.49,4.82,6.27,5.43
"2017-18","630","Clay County","ALL","All Column Values","School Administration",214500.57,110838.17,325338.74,8.34,7.32,9.53,8.26
"2017-18","630","Clay County","ALL","All Column Values","Teachers and Paraprofessionals",847359.95,325744.6,1173104.55,30.06,26.4,34.36,29.77
