sys_sch,SystemId,systemname,schoolname,SchoolId,grade,SingleScore,four_year_graduation_rate,CollegeEnrollment
601103,601,Appling County,Appling County High School,103,C,76.2,90.199997,
6011050,601,Appling County,Altamaha Elementary School,1050,C,71.10000000000001,,
601177,601,Appling County,Appling County Elementary School,177,D,69.40000000000001,,
601195,601,Appling County,Appling County Middle School,195,C,75.40000000000001,,
601277,601,Appling County,Appling County Primary School,277,D,60,,
6015050,601,Appling County,Fourth District Elementary School,5050,B,84.7,,
602103,602,Atkinson County,Atkinson County High School,103,C,76.7,89.699997,
602111,602,Atkinson County,Atkinson County Middle School,111,C,73.60000000000001,,
602187,602,Atkinson County,Willacoochee Elementary School,187,C,75.10000000000001,,
602190,602,Atkinson County,Pearson Elementary School,190,B,81,,
603102,603,Bacon County,Bacon County Primary School,102,B,86.2,,
603202,603,Bacon County,Bacon County Middle School,202,B,85,,
603302,603,Bacon County,Bacon County High School,302,B,81.40000000000001,94.099998,
6033050,603,Bacon County,Bacon County Elementary School,3050,B,80,,
604105,604,Baker County,Baker County K12 School,105,D,60.40000000000001,87,
605100,605,Baldwin County,Oak Hill MS,100,D,64.60000000000001,,
605189,605,Baldwin County,Baldwin High School,189,B,81.7,90.699997,
605300,605,Baldwin County,Lakeview Academy,300,C,71.60000000000001,,
605301,605,Baldwin County,Midway Hills Primary,301,D,60.5,,
605302,605,Baldwin County,Lakeview Primary,302,C,70.7,,
605303,605,Baldwin County,Midway Hills Academy,303,F,56.5,,
606105,606,Banks County,Banks County Middle School,105,C,75.2,,
606107,606,Banks County,Banks County Elementary School,107,C,75.8,,
606199,606,Banks County,Banks County High School,199,C,73.10000000000001,85.300003,
606205,606,Banks County,Banks County Primary School,205,C,74.3,,
607101,607,Barrow County,Apalachee High School,101,C,77,90.699997,
607105,607,Barrow County,County Line Elementary School,105,B,81.7,,
6071050,607,Barrow County,Auburn Elementary School,1050,B,80.90000000000001,,
607106,607,Barrow County,Haymon-Morris Middle School,106,C,71.5,,
607114,607,Barrow County,Bear Creek Middle School,114,C,74.90000000000001,,
607189,607,Barrow County,Kennedy Elementary School,189,D,69.90000000000001,,
607193,607,Barrow County,Bramlett Elementary School,193,A,91.90000000000001,,
607198,607,Barrow County,Westside Middle School,198,D,67.90000000000001,,
607205,607,Barrow County,Bethlehem Elementary School,205,C,78.7,,
607289,607,Barrow County,Russell Middle School,289,B,81.90000000000001,,
607298,607,Barrow County,Yargo Elementary School,298,C,75.3,,
607299,607,Barrow County,Winder Elementary School,299,C,70.60000000000001,,
6073052,607,Barrow County,Winder-Barrow High School,3052,C,74.3,84.800003,
