"School Year","Data Reporting Level","School District Code","School District Name","School Code","School Name","Grades Served","Total Enrolled","Total Retained","Number of Asians","Percentage of Asians","Number of American Indian","Percentage of American Indian","Number of Black","Percentage of Black","Number of Hispanic","Percentage of Hispanic","Number of MultiRacial","Percentage of MultiRacial","Number of White","Percentage of White","Number of Male","Percentage of Male","Number of Female","Percentage of Female"
"2018-19","School","605","Baldwin County","0189","Baldwin High School","09,10,11,12",1204,"73","Too Few Students","Too Few Students","Too Few Students","Too Few Students","55","75","Too Few Students","Too Few Students","Too Few Students","Too Few Students","14","19","49","67","24","33"
"2018-19","School","605","Baldwin County","0300","Lakeview Academy","03,04,05",680,"14","Too Few Students","Too Few Students","Too Few Students","Too Few Students","12","86","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2018-19","School","605","Baldwin County","0301","Midway Hills Primary","KK,01,02",558,"61","Too Few Students","Too Few Students","Too Few Students","Too Few Students","45","74","Too Few Students","Too Few Students","Too Few Students","Too Few Students","15","25","36","59","25","41"
"2018-19","School","605","Baldwin County","0302","Lakeview Primary","PK,KK,01,02",687,"29","Too Few Students","Too Few Students","Too Few Students","Too Few Students","17","59","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","16","55","13","45"
"2018-19","School","605","Baldwin County","0303","Midway Hills Academy","03,04,05",564,"15","Too Few Students","Too Few Students","Too Few Students","Too Few Students","12","80","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","11","73","Too Few Students","Too Few Students"
"2018-19","District","605","Baldwin County","ALL","All Column Values","KK,01,02,03,04,05,06,07,08,09,10,11,12",4855,"244","Too Few Students","Too Few Students","Too Few Students","Too Few Students","177","73","Too Few Students","Too Few Students","Too Few Students","Too Few Students","55","23","151","62","93","38"
"2018-19","School","606","Banks County","0105","Banks County Middle School","06,07,08",695,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2018-19","School","606","Banks County","0107","Banks County Elementary School","03,04,05",606,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2018-19","School","606","Banks County","0199","Banks County High School","09,10,11,12",843,"14","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","11","79","13","93","Too Few Students","Too Few Students"
"2018-19","School","606","Banks County","0205","Banks County Primary School","PK,KK,01,02",594,"16","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","12","75","12","75","Too Few Students","Too Few Students"
"2018-19","District","606","Banks County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",2738,"33","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","26","79","28","85","Too Few Students","Too Few Students"
"2018-19","School","607","Barrow County","0101","Apalachee High School","09,10,11,12",1887,"76","Too Few Students","Too Few Students","Too Few Students","Too Few Students","18","24","13","17","Too Few Students","Too Few Students","39","51","61","80","15","20"
"2018-19","School","607","Barrow County","0105","County Line Elementary School","PK,KK,01,02,03,04,05",521,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2018-19","School","607","Barrow County","0106","Haymon-Morris Middle School","06,07,08",851,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2018-19","School","607","Barrow County","0114","Bear Creek Middle School","06,07,08",751,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2018-19","School","607","Barrow County","0189","Kennedy Elementary School","PK,KK,01,02,03,04,05",840,"15","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","10","67","Too Few Students","Too Few Students"
"2018-19","School","607","Barrow County","0193","Bramlett Elementary School","PK,KK,01,02,03,04,05",662,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2018-19","School","607","Barrow County","0198","Westside Middle School","06,07,08",788,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2018-19","School","607","Barrow County","0205","Bethlehem Elementary School","PK,KK,01,02,03,04,05",714,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2018-19","School","607","Barrow County","0289","Russell Middle School","06,07,08",978,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2018-19","School","607","Barrow County","0298","Yargo Elementary School","PK,KK,01,02,03,04,05",806,"16","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","11","69","Too Few Students","Too Few Students"
"2018-19","School","607","Barrow County","0299","Winder Elementary School","PK,KK,01,02,03,04,05",622,"17","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","10","59","Too Few Students","Too Few Students"
"2018-19","School","607","Barrow County","1050","Auburn Elementary School","PK,KK,01,02,03,04,05",630,"14","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","12","86","10","71","Too Few Students","Too Few Students"
"2018-19","School","607","Barrow County","3052","Winder-Barrow High School","09,10,11,12",2075,"129","Too Few Students","Too Few Students","Too Few Students","Too Few Students","24","19","23","18","Too Few Students","Too Few Students","70","54","88","68","41","32"
"2018-19","School","607","Barrow County","4050","Holsenbeck Elementary School","PK,KK,01,02,03,04,05",698,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2018-19","School","607","Barrow County","5050","Statham Elementary School","PK,KK,01,02,03,04,05",745,"12","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2018-19","District","607","Barrow County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",13568,"309","11","4","Too Few Students","Too Few Students","58","19","57","18","11","4","171","55","216","70","93","30"
