LONG_SCHOOL_YEAR,SCHOOL_DISTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,NUMBER_OF_GRADUATES,HOPE_ELIGIBLE,HOPE_ELIGIBLE_PCT
2017-18,601,Appling County,103,Appling County High School,223,86,38.57
2017-18,601,Appling County,ALL,All Schools,223,86,38.57
2017-18,602,Atkinson County,103,Atkinson County High School,100,51,51
2017-18,602,Atkinson County,ALL,All Schools,100,51,51
2017-18,603,Bacon County,302,Bacon County High School,131,46,35.11
2017-18,603,Bacon County,ALL,All Schools,131,46,35.11
2017-18,604,Baker County,105,Baker County K12 School,14,TFS,50
2017-18,604,Baker County,183,Baker County Learning Center,,,
2017-18,604,Baker County,ALL,All Schools,15,TFS,46.67
2017-18,605,Baldwin County,189,Baldwin High School,258,66,25.58
2017-18,605,Baldwin County,ALL,All Schools,258,66,25.58
2017-18,606,Banks County,199,Banks County High School,216,120,55.56
2017-18,606,Banks County,ALL,All Schools,216,120,55.56
2017-18,607,Barrow County,101,Apalachee High School,357,139,38.94
2017-18,607,Barrow County,3052,Winder-Barrow High School,391,163,41.69
2017-18,607,Barrow County,ALL,All Schools,748,302,40.37
2017-18,608,Bartow County,105,Adairsville High School,248,118,47.58
2017-18,608,Bartow County,114,Cass High School,341,171,50.15
2017-18,608,Bartow County,198,Woodland High School,314,131,41.72
2017-18,608,Bartow County,ALL,All Schools,903,420,46.51
2017-18,609,Ben Hill County,291,Fitzgerald High School,172,72,41.86
2017-18,609,Ben Hill County,ALL,All Schools,172,72,41.86
2017-18,610,Berrien County,101,Berrien High School,173,73,42.2
2017-18,610,Berrien County,106,Berrien Academy Performance Learning Center,13,,
2017-18,610,Berrien County,ALL,All Schools,186,73,39.25
2017-18,611,Bibb County,105,Howard High School,251,79,31.47
2017-18,611,Bibb County,186,Central High School,251,82,32.67
2017-18,611,Bibb County,198,Westside High School,245,56,22.86
2017-18,611,Bibb County,204,Rutland High School,212,77,36.32
2017-18,611,Bibb County,286,Northeast High School,163,43,26.38
2017-18,611,Bibb County,386,Southwest High School,180,29,16.11
2017-18,611,Bibb County,ALL,All Schools,1302,366,28.11
2017-18,612,Bleckley County,105,Bleckley County High School,151,78,51.66
2017-18,612,Bleckley County,115,Bleckley County Success Academy,22,,
2017-18,612,Bleckley County,ALL,All Schools,173,78,45.09
2017-18,613,Brantley County,1050,Brantley County High School,211,91,43.13
2017-18,613,Brantley County,ALL,All Schools,211,91,43.13
2017-18,614,Brooks County,110,Brooks County High School,112,33,29.46
2017-18,614,Brooks County,394,Delta Innovative School,32,,
2017-18,614,Brooks County,ALL,All Schools,144,33,22.92
2017-18,615,Bryan County,182,Richmond Hill High School,494,224,45.34
2017-18,615,Bryan County,502,Bryan County High School,130,46,35.38
2017-18,615,Bryan County,ALL,All Schools,624,270,43.27
2017-18,616,Bulloch County,203,Southeast Bulloch High School,215,82,38.14
2017-18,616,Bulloch County,2054,Statesboro High School,348,153,43.97
2017-18,616,Bulloch County,4052,Portal Middle/High School,51,22,43.14
2017-18,616,Bulloch County,ALL,All Schools,614,257,41.86
2017-18,617,Burke County,288,Burke County High School,241,66,27.39
2017-18,617,Burke County,ALL,All Schools,241,66,27.39
2017-18,618,Butts County,190,Jackson High School,193,73,37.82
2017-18,618,Butts County,ALL,All Schools,193,73,37.82
2017-18,619,Calhoun County,113,Calhoun County High School,42,16,38.1
2017-18,619,Calhoun County,ALL,All Schools,42,16,38.1
2017-18,620,Camden County,295,Camden County High School,568,250,44.01
2017-18,620,Camden County,ALL,All Schools,568,250,44.01
2017-18,621,Candler County,101,Metter High School,114,61,53.51
2017-18,621,Candler County,ALL,All Schools,114,61,53.51
2017-18,622,Carroll County,189,Temple High School,154,65,42.21
2017-18,622,Carroll County,212,Mt. Zion High School,90,51,56.67
2017-18,622,Carroll County,2052,Central High School,242,128,52.89
2017-18,622,Carroll County,3050,Bowdon High School,99,56,56.57
2017-18,622,Carroll County,5054,Villa Rica High School,334,133,39.82
2017-18,622,Carroll County,ALL,All Schools,919,433,47.12
2017-18,623,Catoosa County,109,Heritage High School,349,167,47.85
2017-18,623,Catoosa County,1052,Lakeview-Fort Oglethorpe High School,240,75,31.25
2017-18,623,Catoosa County,4052,Ringgold High School,250,127,50.8
2017-18,623,Catoosa County,ALL,All Schools,839,369,43.98
2017-18,624,Charlton County,287,Charlton County High School,104,41,39.42
2017-18,624,Charlton County,ALL,All Schools,104,41,39.42
2017-18,625,Savannah-Chatham County,101,Johnson High School,149,17,11.41
2017-18,625,Savannah-Chatham County,115,Woodville-Tompkins Technical and Career High School,123,56,45.53
