"LONG_SCHOOL_YEAR","SCHOOL_DSTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","CATEGORY","SALARIES","BENEFITS","SALARIES_AND_BENEFITS","% Rev- GF/Title/Lottery","% Rev- Total K-12","% Exp- GF/Title/Lottery","% Exp-Total K-12"
"2014-15","614","Brooks County","ALL","All Column Values","Teachers and Paraprofessionals",7003957.58,3037621.78,10041579.36,46.86,40.16,50.74,42.01
"2014-15","615","Bryan County","ALL","All Column Values","General Administration",314215.63,149443.08,463658.71,0.77,0.6,0.83,0.51
"2014-15","615","Bryan County","ALL","All Column Values","School Administration",2007503.16,561669.14,2569172.3,4.28,3.3,4.61,2.83
"2014-15","615","Bryan County","ALL","All Column Values","Teachers and Paraprofessionals",24348527.41,8803351.58,33151878.99,55.22,42.63,59.46,36.55
"2014-15","616","Bulloch County","ALL","All Column Values","General Administration",251577.42,128992.4,380569.82,0.46,0.37,0.48,0.39
"2014-15","616","Bulloch County","ALL","All Column Values","School Administration",2885262.15,1185585.02,4070847.17,4.9,4,5.11,4.13
"2014-15","616","Bulloch County","ALL","All Column Values","Teachers and Paraprofessionals",34683139.37,12162288.2,46845427.57,56.4,46.01,58.84,47.55
"2014-15","617","Burke County","ALL","All Column Values","General Administration",747342.75,344693.03,1092035.78,1.97,1.81,2.31,2.08
"2014-15","617","Burke County","ALL","All Column Values","School Administration",1916578.69,818044.04,2734622.73,4.93,4.54,5.78,5.22
"2014-15","617","Burke County","ALL","All Column Values","Teachers and Paraprofessionals",17345235.69,7530259.07,24875494.76,44.85,41.34,52.57,47.48
"2014-15","618","Butts County","ALL","All Column Values","General Administration",407283.82,303684.5,710968.32,2.43,1.94,2.55,2.07
"2014-15","618","Butts County","ALL","All Column Values","School Administration",1025786.25,473794.13,1499580.38,5.13,4.09,5.37,4.36
"2014-15","618","Butts County","ALL","All Column Values","Teachers and Paraprofessionals",10477197.76,4729921.16,15207118.92,52.03,41.52,54.46,44.22
"2014-15","619","Calhoun County","ALL","All Column Values","General Administration",445678.26,199334.85,645013.11,7.89,7.12,9.16,7.97
"2014-15","619","Calhoun County","ALL","All Column Values","School Administration",312757.71,147957.67,460715.38,5.64,5.09,6.54,5.7
"2014-15","619","Calhoun County","ALL","All Column Values","Teachers and Paraprofessionals",1926876.74,955158.15,2882034.89,35.27,31.83,40.92,35.63
"2014-15","620","Camden County","ALL","All Column Values","General Administration",264089.25,147103.09,411192.34,0.55,0.47,0.57,0.48
"2014-15","620","Camden County","ALL","All Column Values","School Administration",3158553.74,1047205.24,4205758.98,5.59,4.86,5.79,4.88
"2014-15","620","Camden County","ALL","All Column Values","Teachers and Paraprofessionals",31273918.32,9401429.08,40675347.4,54.06,46.97,55.99,47.21
"2014-15","621","Candler County","ALL","All Column Values","General Administration",353172.8,113049.49,466222.29,2.75,2.28,2.82,2.45
"2014-15","621","Candler County","ALL","All Column Values","School Administration",575595,252455.83,828050.83,4.88,4.05,5,4.34
"2014-15","621","Candler County","ALL","All Column Values","Teachers and Paraprofessionals",6666449.69,3077073.72,9743523.41,57.48,47.64,58.87,51.1
"2014-15","622","Carroll County","ALL","All Column Values","General Administration",519853.6,264662.85,784516.45,0.66,0.56,0.66,0.56
"2014-15","622","Carroll County","ALL","All Column Values","School Administration",4372690.76,2199187.67,6571878.43,5.51,4.71,5.55,4.7
"2014-15","622","Carroll County","ALL","All Column Values","Teachers and Paraprofessionals",46867992.68,20275904.19,67143896.87,56.28,48.15,56.7,47.99
"2014-15","623","Catoosa County","ALL","All Column Values","General Administration",210161.4,222289.38,432450.78,0.45,0.38,0.46,0.38
"2014-15","623","Catoosa County","ALL","All Column Values","School Administration",3670467.21,1858642.68,5529109.89,5.81,4.91,5.9,4.9
"2014-15","623","Catoosa County","ALL","All Column Values","Teachers and Paraprofessionals",40268713.92,17175699.23,57444413.15,60.36,51.03,61.27,50.92
"2014-15","624","Charlton County","ALL","All Column Values","General Administration",293913.7,123420.07,417333.77,2.75,2.43,2.83,2.45
"2014-15","624","Charlton County","ALL","All Column Values","School Administration",650192.65,304745.7,954938.35,6.28,5.55,6.48,5.61
"2014-15","624","Charlton County","ALL","All Column Values","Teachers and Paraprofessionals",5043179.28,2125260.76,7168440.04,47.15,41.66,48.64,42.11
"2014-15","625","Chatham County","ALL","All Column Values","General Administration",3308280.3,1475457.88,4783738.18,1.31,1.02,1.36,1
"2014-15","625","Chatham County","ALL","All Column Values","School Administration",10675113.27,5150745.18,15825858.45,4.35,3.37,4.51,3.31
"2014-15","625","Chatham County","ALL","All Column Values","Teachers and Paraprofessionals",142738973.59,59763173.42,202502147.01,55.63,43.11,57.69,42.41
"2014-15","626","Chattahoochee County","ALL","All Column Values","General Administration",361408.48,139057.81,500466.29,5.48,4.78,5.59,4.79
