SCHOOL_YEAR,DETAIL_LEVEL,SCHOOL_DSTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,SUBJECT_CODE,TOTAL_STUDENTS_TESTED,STUDENTS_WITH_LEXILE,LEXILE_ON_OR_ABOVE_MIDPOINT,NO_LEXILE_SCORE,AVG_LEXILE_SCORE
2019,District Level,601,Appling County,All,All,9th Grade Literature and Composition,261,261,161,TFS,1233.8
2019,District Level,601,Appling County,All,All,American Literature and Composition,216,216,131,TFS,1329.6
2019,District Level,602,Atkinson County,All,All,9th Grade Literature and Composition,110,110,76,TFS,1259.8
2019,District Level,602,Atkinson County,All,All,American Literature and Composition,127,127,61,TFS,1271.8
2019,District Level,603,Bacon County,All,All,9th Grade Literature and Composition,158,158,108,TFS,1254.4
2019,District Level,603,Bacon County,All,All,American Literature and Composition,152,152,98,TFS,1335.9
2019,District Level,604,Baker County,All,All,9th Grade Literature and Composition,22,22,12,TFS,1158.9
2019,District Level,604,Baker County,All,All,American Literature and Composition,,,,,
2019,District Level,605,Baldwin County,All,All,9th Grade Literature and Composition,370,370,209,TFS,1192.7
2019,District Level,605,Baldwin County,All,All,American Literature and Composition,206,206,105,TFS,1283.1
2019,District Level,606,Banks County,All,All,9th Grade Literature and Composition,225,225,170,TFS,1314.3
2019,District Level,606,Banks County,All,All,American Literature and Composition,202,202,108,TFS,1302.1
2019,District Level,607,Barrow County,All,All,9th Grade Literature and Composition,1088,1087,745,TFS,1261
2019,District Level,607,Barrow County,All,All,American Literature and Composition,888,887,528,TFS,1330.3
2019,District Level,608,Bartow County,All,All,9th Grade Literature and Composition,1193,1193,706,TFS,1225.7
2019,District Level,608,Bartow County,All,All,American Literature and Composition,837,837,460,TFS,1298.4
2019,District Level,609,Ben Hill County,All,All,9th Grade Literature and Composition,225,225,131,TFS,1196.2
2019,District Level,609,Ben Hill County,All,All,American Literature and Composition,149,149,42,TFS,1137.2
2019,District Level,610,Berrien County,All,All,9th Grade Literature and Composition,257,257,180,TFS,1270.4
2019,District Level,610,Berrien County,All,All,American Literature and Composition,192,192,133,TFS,1371.4
2019,District Level,611,Bibb County,All,All,9th Grade Literature and Composition,1675,1663,947,12,1201.2
2019,District Level,611,Bibb County,All,All,American Literature and Composition,1389,1383,559,TFS,1223.3
2019,District Level,612,Bleckley County,All,All,9th Grade Literature and Composition,178,178,145,TFS,1348.9
2019,District Level,612,Bleckley County,All,All,American Literature and Composition,154,154,97,TFS,1347.6
2019,District Level,613,Brantley County,All,All,9th Grade Literature and Composition,255,255,162,TFS,1255.7
2019,District Level,613,Brantley County,All,All,American Literature and Composition,227,227,151,TFS,1331.5
2019,District Level,614,Brooks County,All,All,9th Grade Literature and Composition,157,157,74,TFS,1139.5
2019,District Level,614,Brooks County,All,All,American Literature and Composition,138,138,57,TFS,1225.2
2019,District Level,615,Bryan County,All,All,9th Grade Literature and Composition,820,820,670,TFS,1341.1
2019,District Level,615,Bryan County,All,All,American Literature and Composition,658,657,439,TFS,1383
2019,District Level,616,Bulloch County,All,All,9th Grade Literature and Composition,810,810,588,TFS,1294.9
2019,District Level,616,Bulloch County,All,All,American Literature and Composition,619,619,360,TFS,1327.4
2019,District Level,617,Burke County,All,All,9th Grade Literature and Composition,271,271,176,TFS,1231.4
2019,District Level,617,Burke County,All,All,American Literature and Composition,253,253,114,TFS,1228.9
2019,District Level,618,Butts County,All,All,9th Grade Literature and Composition,278,278,177,TFS,1223.9
2019,District Level,618,Butts County,All,All,American Literature and Composition,225,225,113,TFS,1257.4
2019,District Level,619,Calhoun County,All,All,9th Grade Literature and Composition,43,43,25,TFS,1209
2019,District Level,619,Calhoun County,All,All,American Literature and Composition,54,54,10,TFS,1114.4
2019,District Level,620,Camden County,All,All,9th Grade Literature and Composition,655,655,557,TFS,1375
2019,District Level,620,Camden County,All,All,American Literature and Composition,429,429,307,TFS,1393.2
2019,District Level,621,Candler County,All,All,9th Grade Literature and Composition,182,182,114,TFS,1234.3
2019,District Level,621,Candler County,All,All,American Literature and Composition,99,99,51,TFS,1266.1
2019,District Level,622,Carroll County,All,All,9th Grade Literature and Composition,1039,1039,804,TFS,1311.8
2019,District Level,622,Carroll County,All,All,American Literature and Composition,1166,1166,727,TFS,1341.9
2019,District Level,623,Catoosa County,All,All,9th Grade Literature and Composition,874,872,621,TFS,1292.4
2019,District Level,623,Catoosa County,All,All,American Literature and Composition,856,856,518,TFS,1332.8
2019,District Level,624,Charlton County,All,All,9th Grade Literature and Composition,125,125,89,TFS,1267.1
2019,District Level,624,Charlton County,All,All,American Literature and Composition,80,80,31,TFS,1221.9
2019,District Level,625,Savannah-Chatham County,All,All,9th Grade Literature and Composition,2269,2269,1569,TFS,1262.7
2019,District Level,625,Savannah-Chatham County,All,All,American Literature and Composition,2307,2307,1186,TFS,1288.3
2019,District Level,626,Chattahoochee County,All,All,9th Grade Literature and Composition,133,133,95,TFS,1243.3
2019,District Level,626,Chattahoochee County,All,All,American Literature and Composition,114,114,60,TFS,1280.6
2019,District Level,627,Chattooga County,All,All,9th Grade Literature and Composition,226,226,162,TFS,1262.9
2019,District Level,627,Chattooga County,All,All,American Literature and Composition,198,198,90,TFS,1223
2019,District Level,628,Cherokee County,All,All,9th Grade Literature and Composition,3537,3537,2755,TFS,1327
2019,District Level,628,Cherokee County,All,All,American Literature and Composition,3170,3170,2300,TFS,1390
2019,District Level,629,Clarke County,All,All,9th Grade Literature and Composition,895,894,529,TFS,1223.8
2019,District Level,629,Clarke County,All,All,American Literature and Composition,702,702,329,TFS,1264.1
2019,District Level,631,Clayton County,All,All,9th Grade Literature and Composition,4251,4251,2328,TFS,1186.2
2019,District Level,631,Clayton County,All,All,American Literature and Composition,3554,3552,1591,TFS,1233
2019,District Level,632,Clinch County,All,All,9th Grade Literature and Composition,86,86,57,TFS,1217.8
2019,District Level,632,Clinch County,All,All,American Literature and Composition,98,98,52,TFS,1288.7
2019,District Level,633,Cobb County,All,All,9th Grade Literature and Composition,9465,9441,7323,24,1336
2019,District Level,633,Cobb County,All,All,American Literature and Composition,8597,8578,6289,21,1417.8
2019,District Level,634,Coffee County,All,All,9th Grade Literature and Composition,526,526,355,TFS,1279.5
2019,District Level,634,Coffee County,All,All,American Literature and Composition,334,334,155,TFS,1263.5
2019,District Level,635,Colquitt County,All,All,9th Grade Literature and Composition,679,679,436,TFS,1224.9
2019,District Level,635,Colquitt County,All,All,American Literature and Composition,548,548,260,TFS,1244.1
2019,District Level,636,Columbia County,All,All,9th Grade Literature and Composition,2143,2143,1788,TFS,1349.9
2019,District Level,636,Columbia County,All,All,American Literature and Composition,2012,2012,1412,TFS,1382.8
2019,District Level,637,Cook County,All,All,9th Grade Literature and Composition,266,266,160,TFS,1229.8
2019,District Level,637,Cook County,All,All,American Literature and Composition,225,225,124,TFS,1285.4
2019,District Level,638,Coweta County,All,All,9th Grade Literature and Composition,1938,1934,1440,TFS,1304.5
2019,District Level,638,Coweta County,All,All,American Literature and Composition,1682,1681,1180,TFS,1386.6
2019,District Level,639,Crawford County,All,All,9th Grade Literature and Composition,131,131,78,TFS,1216.8
2019,District Level,639,Crawford County,All,All,American Literature and Composition,100,100,47,TFS,1235.4
2019,District Level,640,Crisp County,All,All,9th Grade Literature and Composition,267,267,155,TFS,1200.1
2019,District Level,640,Crisp County,All,All,American Literature and Composition,243,243,94,TFS,1195.3
2019,District Level,641,Dade County,All,All,9th Grade Literature and Composition,172,172,121,TFS,1251.5
2019,District Level,641,Dade County,All,All,American Literature and Composition,167,167,93,TFS,1309.1
2019,District Level,642,Dawson County,All,All,9th Grade Literature and Composition,311,311,232,TFS,1291.5
2019,District Level,642,Dawson County,All,All,American Literature and Composition,290,290,187,TFS,1354
2019,District Level,643,Decatur County,All,All,9th Grade Literature and Composition,432,432,228,TFS,1169
2019,District Level,643,Decatur County,All,All,American Literature and Composition,378,378,165,TFS,1224.4
2019,District Level,644,DeKalb County,All,All,9th Grade Literature and Composition,7701,7663,4486,37,1211.7
2019,District Level,644,DeKalb County,All,All,American Literature and Composition,6504,6481,3417,24,1289.4
2019,District Level,645,Dodge County,All,All,9th Grade Literature and Composition,229,229,144,TFS,1248.2
2019,District Level,645,Dodge County,All,All,American Literature and Composition,175,175,93,TFS,1265.3
2019,District Level,646,Dooly County,All,All,9th Grade Literature and Composition,80,80,31,TFS,1104.9
2019,District Level,646,Dooly County,All,All,American Literature and Composition,74,74,17,TFS,1094.7
2019,District Level,647,Dougherty County,All,All,9th Grade Literature and Composition,854,854,533,TFS,1226.4
2019,District Level,647,Dougherty County,All,All,American Literature and Composition,764,764,268,TFS,1188.6
2019,District Level,648,Douglas County,All,All,9th Grade Literature and Composition,2322,2321,1580,TFS,1265.4
2019,District Level,648,Douglas County,All,All,American Literature and Composition,2114,2114,1262,TFS,1326.9
2019,District Level,649,Early County,All,All,9th Grade Literature and Composition,165,165,112,TFS,1252.6
2019,District Level,649,Early County,All,All,American Literature and Composition,156,156,77,TFS,1223.4
2019,District Level,650,Echols County,All,All,9th Grade Literature and Composition,54,54,40,TFS,1309.6
2019,District Level,650,Echols County,All,All,American Literature and Composition,45,45,27,TFS,1327.9
2019,District Level,651,Effingham County,All,All,9th Grade Literature and Composition,887,886,741,TFS,1351.6
2019,District Level,651,Effingham County,All,All,American Literature and Composition,800,800,554,TFS,1381.9
2019,District Level,652,Elbert County,All,All,9th Grade Literature and Composition,217,217,108,TFS,1169
2019,District Level,652,Elbert County,All,All,American Literature and Composition,179,179,87,TFS,1252.7
2019,District Level,653,Emanuel County,All,All,9th Grade Literature and Composition,295,295,176,TFS,1222.6
2019,District Level,653,Emanuel County,All,All,American Literature and Composition,228,228,100,TFS,1244.9
2019,District Level,654,Evans County,All,All,9th Grade Literature and Composition,135,135,79,TFS,1217
2019,District Level,654,Evans County,All,All,American Literature and Composition,108,108,60,TFS,1291.4
