"LONG_SCHOOL_YEAR","SCHOOL_DISTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","TEST_CMPNT_TYP_NM","NUMBER_OF_STUDENTS_TESTED","NUMBER_TESTS_TAKEN","NOTESTS_3ORHIGHER"
"2017-18","607","Barrow County","0101","Apalachee High School","Capstone",21,21,17
"2017-18","607","Barrow County","0101","Apalachee High School","Chemistry",12,12,3
"2017-18","607","Barrow County","0101","Apalachee High School","Economics: Micro",38,38,28
"2017-18","607","Barrow County","0101","Apalachee High School","Eng. Language & Comp",110,110,49
"2017-18","607","Barrow County","0101","Apalachee High School","Eng. Literature & Comp",41,41,21
"2017-18","607","Barrow County","0101","Apalachee High School","Gov. & Pol. U.S.",21,21,15
"2017-18","607","Barrow County","0101","Apalachee High School","Physics 1",5,,
"2017-18","607","Barrow County","0101","Apalachee High School","Psychology",2,,
"2017-18","607","Barrow County","0101","Apalachee High School","Spanish Language",7,,
"2017-18","607","Barrow County","0101","Apalachee High School","Statistics",38,38,28
"2017-18","607","Barrow County","0101","Apalachee High School","U.S. History",43,43,18
"2017-18","607","Barrow County","0101","Apalachee High School","World History",108,108,76
"2017-18","607","Barrow County","3052","Winder-Barrow High School","ALL Subjects",159,231,115
"2017-18","607","Barrow County","3052","Winder-Barrow High School","Art: Studio Drawing",1,,
"2017-18","607","Barrow County","3052","Winder-Barrow High School","Biology",10,10,9
"2017-18","607","Barrow County","3052","Winder-Barrow High School","Calculus A",17,17,13
"2017-18","607","Barrow County","3052","Winder-Barrow High School","Economics: Micro",6,,
"2017-18","607","Barrow County","3052","Winder-Barrow High School","Eng. Language & Comp",51,51,10
"2017-18","607","Barrow County","3052","Winder-Barrow High School","Eng. Literature & Comp",26,26,15
"2017-18","607","Barrow County","3052","Winder-Barrow High School","Environmental Science",8,,
"2017-18","607","Barrow County","3052","Winder-Barrow High School","Gov. & Pol. U.S.",27,27,20
"2017-18","607","Barrow County","3052","Winder-Barrow High School","Physics 1",14,14,7
"2017-18","607","Barrow County","3052","Winder-Barrow High School","Psychology",18,18,6
"2017-18","607","Barrow County","3052","Winder-Barrow High School","Spanish Language",7,,
"2017-18","607","Barrow County","3052","Winder-Barrow High School","Statistics",9,,
"2017-18","607","Barrow County","3052","Winder-Barrow High School","U.S. History",14,14,9
"2017-18","607","Barrow County","3052","Winder-Barrow High School","World History",23,23,10
"2017-18","607","Barrow County","SCHOOL_ALL","SCHOOL_ALL","ALL Subjects",428,773,440
"2017-18","607","Barrow County","SCHOOL_ALL","SCHOOL_ALL","Art: Studio Drawing",1,,
"2017-18","607","Barrow County","SCHOOL_ALL","SCHOOL_ALL","Biology",90,90,56
"2017-18","607","Barrow County","SCHOOL_ALL","SCHOOL_ALL","Calculus A",32,32,28
"2017-18","607","Barrow County","SCHOOL_ALL","SCHOOL_ALL","Calculus BC",1,,
"2017-18","607","Barrow County","SCHOOL_ALL","SCHOOL_ALL","Capstone",21,21,17
"2017-18","607","Barrow County","SCHOOL_ALL","SCHOOL_ALL","Chemistry",12,12,3
"2017-18","607","Barrow County","SCHOOL_ALL","SCHOOL_ALL","Economics: Micro",44,44,31
"2017-18","607","Barrow County","SCHOOL_ALL","SCHOOL_ALL","Eng. Language & Comp",161,161,59
"2017-18","607","Barrow County","SCHOOL_ALL","SCHOOL_ALL","Eng. Literature & Comp",67,67,36
"2017-18","607","Barrow County","SCHOOL_ALL","SCHOOL_ALL","Environmental Science",8,,
"2017-18","607","Barrow County","SCHOOL_ALL","SCHOOL_ALL","Gov. & Pol. U.S.",48,48,35
"2017-18","607","Barrow County","SCHOOL_ALL","SCHOOL_ALL","Physics 1",19,19,9
"2017-18","607","Barrow County","SCHOOL_ALL","SCHOOL_ALL","Psychology",20,20,7
"2017-18","607","Barrow County","SCHOOL_ALL","SCHOOL_ALL","Spanish Language",14,14,12
"2017-18","607","Barrow County","SCHOOL_ALL","SCHOOL_ALL","Statistics",47,47,29
"2017-18","607","Barrow County","SCHOOL_ALL","SCHOOL_ALL","U.S. History",57,57,27
"2017-18","607","Barrow County","SCHOOL_ALL","SCHOOL_ALL","World History",130,131,86
"2017-18","608","Bartow County","0105","Adairsville High School","ALL Subjects",70,119,67
"2017-18","608","Bartow County","0105","Adairsville High School","Art: Studio 2-D Design",1,,
"2017-18","608","Bartow County","0105","Adairsville High School","Art: Studio Drawing",1,,
"2017-18","608","Bartow County","0105","Adairsville High School","Biology",1,,
"2017-18","608","Bartow County","0105","Adairsville High School","Calculus A",2,,
"2017-18","608","Bartow County","0105","Adairsville High School","Calculus BC",6,,
"2017-18","608","Bartow County","0105","Adairsville High School","Economics: Micro",3,,
"2017-18","608","Bartow County","0105","Adairsville High School","Eng. Language & Comp",21,21,8
"2017-18","608","Bartow County","0105","Adairsville High School","Eng. Literature & Comp",3,,
"2017-18","608","Bartow County","0105","Adairsville High School","Environmental Science",8,,
"2017-18","608","Bartow County","0105","Adairsville High School","Gov. & Pol. U.S.",4,,
"2017-18","608","Bartow County","0105","Adairsville High School","Psychology",23,23,16
"2017-18","608","Bartow County","0105","Adairsville High School","Statistics",10,10,5
"2017-18","608","Bartow County","0105","Adairsville High School","U.S. History",17,17,15
"2017-18","608","Bartow County","0105","Adairsville High School","World History",19,19,11
"2017-18","608","Bartow County","0114","Cass High School","ALL Subjects",176,317,144
"2017-18","608","Bartow County","0114","Cass High School","Biology",27,27,8
"2017-18","608","Bartow County","0114","Cass High School","Calculus A",12,12,3
"2017-18","608","Bartow County","0114","Cass High School","Economics: Micro",55,55,38
"2017-18","608","Bartow County","0114","Cass High School","Eng. Language & Comp",32,32,23
"2017-18","608","Bartow County","0114","Cass High School","Eng. Literature & Comp",15,15,8
"2017-18","608","Bartow County","0114","Cass High School","Environmental Science",12,12,6
"2017-18","608","Bartow County","0114","Cass High School","Geography: Human",1,,
"2017-18","608","Bartow County","0114","Cass High School","Psychology",66,66,21
"2017-18","608","Bartow County","0114","Cass High School","Spanish Language",13,13,9
"2017-18","608","Bartow County","0114","Cass High School","Statistics",9,,
"2017-18","608","Bartow County","0114","Cass High School","U.S. History",55,55,20
"2017-18","608","Bartow County","0114","Cass High School","World History",20,20,5
"2017-18","608","Bartow County","0198","Woodland High School","ALL Subjects",123,208,119
"2017-18","608","Bartow County","0198","Woodland High School","Biology",9,,
"2017-18","608","Bartow County","0198","Woodland High School","Calculus A",2,,
"2017-18","608","Bartow County","0198","Woodland High School","Calculus BC",9,,
"2017-18","608","Bartow County","0198","Woodland High School","Chemistry",2,,
"2017-18","608","Bartow County","0198","Woodland High School","Economics: Micro",15,15,6
"2017-18","608","Bartow County","0198","Woodland High School","Eng. Language & Comp",39,39,29
"2017-18","608","Bartow County","0198","Woodland High School","Eng. Literature & Comp",6,,
"2017-18","608","Bartow County","0198","Woodland High School","Environmental Science",40,40,16
"2017-18","608","Bartow County","0198","Woodland High School","Geography: Human",9,,
"2017-18","608","Bartow County","0198","Woodland High School","Gov. & Pol. U.S.",3,,
"2017-18","608","Bartow County","0198","Woodland High School","Physics 1",8,,
"2017-18","608","Bartow County","0198","Woodland High School","Psychology",12,12,11
"2017-18","608","Bartow County","0198","Woodland High School","Spanish Language",16,16,11
"2017-18","608","Bartow County","0198","Woodland High School","Statistics",4,,
"2017-18","608","Bartow County","0198","Woodland High School","U.S. History",26,26,14
"2017-18","608","Bartow County","0198","Woodland High School","World History",8,,
"2017-18","608","Bartow County","SCHOOL_ALL","SCHOOL_ALL","ALL Subjects",369,644,330
"2017-18","608","Bartow County","SCHOOL_ALL","SCHOOL_ALL","Art: Studio 2-D Design",1,,
"2017-18","608","Bartow County","SCHOOL_ALL","SCHOOL_ALL","Art: Studio Drawing",1,,
"2017-18","608","Bartow County","SCHOOL_ALL","SCHOOL_ALL","Biology",37,37,15
"2017-18","608","Bartow County","SCHOOL_ALL","SCHOOL_ALL","Calculus A",16,16,4
"2017-18","608","Bartow County","SCHOOL_ALL","SCHOOL_ALL","Calculus BC",15,15,9
"2017-18","608","Bartow County","SCHOOL_ALL","SCHOOL_ALL","Chemistry",2,,
"2017-18","608","Bartow County","SCHOOL_ALL","SCHOOL_ALL","Economics: Micro",73,73,46
"2017-18","608","Bartow County","SCHOOL_ALL","SCHOOL_ALL","Eng. Language & Comp",92,92,60
"2017-18","608","Bartow County","SCHOOL_ALL","SCHOOL_ALL","Eng. Literature & Comp",24,24,11
"2017-18","608","Bartow County","SCHOOL_ALL","SCHOOL_ALL","Environmental Science",60,60,22
"2017-18","608","Bartow County","SCHOOL_ALL","SCHOOL_ALL","Geography: Human",10,10,5
"2017-18","608","Bartow County","SCHOOL_ALL","SCHOOL_ALL","Gov. & Pol. U.S.",7,,
"2017-18","608","Bartow County","SCHOOL_ALL","SCHOOL_ALL","Physics 1",8,,
"2017-18","608","Bartow County","SCHOOL_ALL","SCHOOL_ALL","Psychology",101,101,48
"2017-18","608","Bartow County","SCHOOL_ALL","SCHOOL_ALL","Spanish Language",29,29,20
"2017-18","608","Bartow County","SCHOOL_ALL","SCHOOL_ALL","Statistics",23,23,10
"2017-18","608","Bartow County","SCHOOL_ALL","SCHOOL_ALL","U.S. History",98,98,49
"2017-18","608","Bartow County","SCHOOL_ALL","SCHOOL_ALL","World History",47,47,19
"2017-18","609","Ben Hill County","0291","Fitzgerald High School","ALL Subjects",29,34,11
"2017-18","609","Ben Hill County","0291","Fitzgerald High School","Economics: Micro",8,,
"2017-18","609","Ben Hill County","0291","Fitzgerald High School","Eng. Language & Comp",9,,
"2017-18","609","Ben Hill County","0291","Fitzgerald High School","Environmental Science",1,,
