"FISCAL_YEAR","SYSTEM_ID","SYSTEM_NAME","EL_EXIT_COUNT","EL_STUDENT_COUNT","EL_EXIT_RATE"
2021,"7830103","Commission Charter Schools-CCAT School","TFS","TFS",0
2021,"7830210","Commission Charter Schools-Pataula Charter Academy","TFS","TFS",33.3
2021,"7830310","Commission Charter Schools- Fulton Leadership Academy","TFS","TFS",0
2021,"7830410","Atlanta Heights Charter","TFS","43",0
2021,"7830610","Commission Charter Schools-Coweta Charter Academy","TFS","12",0
2021,"7830611","State Charter Schools II- Cirrus Charter Academy- Cirrus Charter Academy","TFS","TFS",0
2021,"7830612","State Charter Schools II- Southwest Georgia S.T.E.M. Charter Academy- Southwest Georgia S.T.E.M. Charter Academy","TFS","TFS",0
2021,"7830613","State Charter Schools II- Brookhaven Innovation Academy- Brookhaven Innovation Academy","TFS","47",8.5
2021,"7830614","State Charter Schools II- Liberty Tech Charter Academy- Liberty Tech Charter Academy","TFS","TFS",0
2021,"7830615","State Charter Schools II- Genesis Innovation Academy for Boys- Genesis Innovation Academy for Boys","TFS","21",0
2021,"7830616","State Charter Schools II- Genesis Innovation Academy for Girls- Genesis Innovation Academy for Girls","TFS","12",0
2021,"7830617","State Charter Schools II- Resurgence Hall Charter School- Resurgence Hall Charter School","TFS","TFS",0
2021,"7830618","State Charter Schools II- SAIL Charter Academy - School for Arts-Infused Learning- SAIL Charter Academy - School for Arts-Infused Learning","TFS","TFS",60
2021,"7830619","State Charter Schools II- International Academy of Smyrna- International Academy of Smyrna","TFS","46",4.3
2021,"7830620","State Charter Schools II- International Charter Academy of Georgia","TFS","59",6.8
2021,"7830621","State Charter Schools II- SLAM Academy of Atlanta","TFS","TFS",0
2021,"7830623","State Charter Schools II- Academy For Classical Education","TFS","25",32
2021,"7830624","State Charter Schools II- Spring Creek Charter Academy","TFS","TFS",25
2021,"7830625","State Charter Schools II- Yi Hwang Academy of Language Excellence","TFS","29",10.3
2021,"7830626","State Charter Schools II- Furlow Charter School","TFS","21",9.5
2021,"7830628","State Charter Schools II- Ethos Classical Charter School","TFS","TFS",0
2021,"7830629","State Charter Schools II- Harriet Tubman School of Science & Technology","TFS","TFS",0
2021,"7830630","State Charter Schools II- Baconton Community Charter School","TFS","TFS",0
2021,"7830632","State Charter Schools II- Atlanta Unbound Academy","TFS","TFS",0
2021,"7830633","State Charter Schools II- D.E.L.T.A. STEAM Academy","TFS","TFS",0
2021,"7830634","State Charter Schools II- Georgia Fugees Academy Charter School","TFS","81",0
2021,"784","Pelham City","TFS","27",0
2021,"785","Rome City","46","882",5.2
2021,"786","Social Circle City","TFS","15",0
2021,"789","Thomasville City","TFS","14",7.1
2021,"791","Trion City","TFS","82",8.5
2021,"792","Valdosta City","33","232",14.2
2021,"793","Vidalia City","TFS","42",0
2021,"799","State Schools","TFS","TFS",100
2021,"890","","TFS","TFS",0
2021,"891","Department of Juvenile Justice","TFS","TFS",0
