"LONG_SCHOOL_YEAR","SCHOOL_DSTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","CATEGORY","SALARIES","BENEFITS","SALARIES_AND_BENEFITS","% Rev- GF/Title/Lottery","% Rev- Total K-12","% Exp- GF/Title/Lottery","% Exp-Total K-12"
"2011-12","614","Brooks County","ALL","All Column Values","Teachers and Paraprofessionals",7801078.36,2906647.39,10707725.75,50.5,44.61,51.64,44.67
"2011-12","615","Bryan County","ALL","All Column Values","General Administration",335020.51,102010.88,437031.39,0.79,0.68,0.86,0.67
"2011-12","615","Bryan County","ALL","All Column Values","School Administration",1779820.29,611986.28,2391806.57,4.33,3.73,4.72,3.65
"2011-12","615","Bryan County","ALL","All Column Values","Teachers and Paraprofessionals",22957456.25,7899934.95,30857391.2,55.91,48.13,60.84,47.15
"2011-12","616","Bulloch County","ALL","All Column Values","General Administration",337542.46,117863.95,455406.41,0.6,0.49,0.61,0.43
"2011-12","616","Bulloch County","ALL","All Column Values","School Administration",2687085.55,991915.12,3679000.67,4.87,3.97,4.89,3.44
"2011-12","616","Bulloch County","ALL","All Column Values","Teachers and Paraprofessionals",33959074.12,10957894.94,44916969.06,59.51,48.5,59.75,41.94
"2011-12","617","Burke County","ALL","All Column Values","General Administration",543810.64,258589.5,802400.14,1.65,1.53,1.71,1.59
"2011-12","617","Burke County","ALL","All Column Values","School Administration",1879361.37,730122.17,2609483.54,5.37,4.99,5.57,5.17
"2011-12","617","Burke County","ALL","All Column Values","Teachers and Paraprofessionals",17505399.26,6793372.25,24298771.51,49.97,46.48,51.87,48.15
"2011-12","618","Butts County","ALL","All Column Values","General Administration",467175.66,293282.64,760458.3,2.54,1.74,2.7,2.17
"2011-12","618","Butts County","ALL","All Column Values","School Administration",960070.14,385236.67,1345306.81,4.5,3.07,4.78,3.83
"2011-12","618","Butts County","ALL","All Column Values","Teachers and Paraprofessionals",11105498.44,4189517.26,15295015.7,51.14,34.91,54.35,43.57
"2011-12","619","Calhoun County","ALL","All Column Values","General Administration",336837.28,140290.11,477127.39,6.84,6.04,7.01,5.86
"2011-12","619","Calhoun County","ALL","All Column Values","School Administration",230836.79,113533.56,344370.35,4.94,4.36,5.06,4.23
"2011-12","619","Calhoun County","ALL","All Column Values","Teachers and Paraprofessionals",2075790.03,924831.01,3000621.04,43.02,38.01,44.1,36.83
"2011-12","620","Camden County","ALL","All Column Values","General Administration",252287.14,106410.04,358697.18,0.49,0.43,0.5,0.46
"2011-12","620","Camden County","ALL","All Column Values","School Administration",3027263.43,912749.54,3940012.97,5.38,4.69,5.55,5.08
"2011-12","620","Camden County","ALL","All Column Values","Teachers and Paraprofessionals",31501801.51,10094919.56,41596721.07,56.81,49.56,58.54,53.59
"2011-12","621","Candler County","ALL","All Column Values","General Administration",256831.01,116444.04,373275.05,2.35,1.93,2.36,1.66
"2011-12","621","Candler County","ALL","All Column Values","School Administration",515334.09,218245.66,733579.75,4.63,3.8,4.65,3.27
"2011-12","621","Candler County","ALL","All Column Values","Teachers and Paraprofessionals",6646531.1,2732388.21,9378919.31,59.17,48.53,59.41,41.75
