"LONG_SCHOOL_YEAR","SCHOOL_DSTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","CATEGORY","SALARIES","BENEFITS","SALARIES_AND_BENEFITS","% Rev- GF/Title/Lottery","% Rev- Total K-12","% Exp- GF/Title/Lottery","% Exp-Total K-12"
"2013-14","601","Appling County","ALL","All Column Values","General Administration",133426.92,89364.37,222791.29,0.73,0.63,0.73,0.62
"2013-14","601","Appling County","ALL","All Column Values","School Administration",844255.05,318193.19,1162448.24,3.8,3.28,3.83,3.25
"2013-14","601","Appling County","ALL","All Column Values","Teachers and Paraprofessionals",13068213.87,4715626.54,17783840.41,58.14,50.17,58.59,49.65
"2013-14","602","Atkinson County","ALL","All Column Values","General Administration",154949.82,116907.68,271857.5,1.83,1.46,1.88,1.58
"2013-14","602","Atkinson County","ALL","All Column Values","School Administration",602955.6,221060.19,824015.79,5.54,4.41,5.7,4.79
"2013-14","602","Atkinson County","ALL","All Column Values","Teachers and Paraprofessionals",5699731.26,2471246.8,8170978.06,54.92,43.75,56.54,47.46
"2013-14","603","Bacon County","ALL","All Column Values","General Administration",272864.88,97600.77,370465.65,2.24,1.37,2.24,1.08
"2013-14","603","Bacon County","ALL","All Column Values","School Administration",586212.48,229438.83,815651.31,4.93,3.02,4.93,2.37
"2013-14","603","Bacon County","ALL","All Column Values","Teachers and Paraprofessionals",7221499.79,2556307.67,9777807.46,59.06,36.23,59.07,28.38
"2013-14","604","Baker County","ALL","All Column Values","General Administration",77970.63,62751.5,140722.13,3.4,3.13,3.15,2.82
"2013-14","604","Baker County","ALL","All Column Values","School Administration",161864.46,62685.41,224549.87,5.43,4.99,5.02,4.5
"2013-14","604","Baker County","ALL","All Column Values","Teachers and Paraprofessionals",1841364.88,638616.7,2479981.58,59.97,55.15,55.43,49.7
"2013-14","605","Baldwin County","ALL","All Column Values","General Administration",612649.52,477172.99,1089822.51,2.43,2.01,2.55,2.08
"2013-14","605","Baldwin County","ALL","All Column Values","School Administration",1399605.61,616281.06,2015886.67,4.49,3.73,4.72,3.84
"2013-14","605","Baldwin County","ALL","All Column Values","Teachers and Paraprofessionals",18045761.27,7532671.11,25578432.38,57.02,47.29,59.93,48.75
"2013-14","606","Banks County","ALL","All Column Values","General Administration",325873.37,142993.28,468866.65,1.92,1.59,1.91,1.64
"2013-14","606","Banks County","ALL","All Column Values","School Administration",717918.72,338241.43,1056160.15,4.32,3.58,4.3,3.7
"2013-14","606","Banks County","ALL","All Column Values","Teachers and Paraprofessionals",10468368.06,4439487.21,14907855.27,60.95,50.52,60.73,52.23
"2013-14","607","Barrow County","ALL","All Column Values","General Administration",643539.41,652915.13,1296454.54,1.32,1.07,1.28,1.02
"2013-14","607","Barrow County","ALL","All Column Values","School Administration",2930555.34,1498173.99,4428729.33,4.52,3.64,4.39,3.47
"2013-14","607","Barrow County","ALL","All Column Values","Teachers and Paraprofessionals",42427665.42,18434068.79,60861734.21,62.08,50.09,60.32,47.68
"2013-14","608","Bartow County","ALL","All Column Values","General Administration",468581.46,198449.16,667030.62,0.59,0.48,0.57,0.41
"2013-14","608","Bartow County","ALL","All Column Values","School Administration",3718179.41,1795112.74,5513292.15,4.85,4,4.68,3.43
"2013-14","608","Bartow County","ALL","All Column Values","Teachers and Paraprofessionals",47113855.95,20595650.81,67709506.76,59.62,49.07,57.53,42.12
"2013-14","609","Ben Hill County","ALL","All Column Values","General Administration",302229.19,170924.89,473154.08,1.79,1.56,1.76,1.54
"2013-14","609","Ben Hill County","ALL","All Column Values","School Administration",873762.45,438518,1312280.45,4.98,4.32,4.87,4.28
"2013-14","609","Ben Hill County","ALL","All Column Values","Teachers and Paraprofessionals",10542314.57,4711994.61,15254309.18,57.85,50.22,56.66,49.73
"2013-14","610","Berrien County","ALL","All Column Values","General Administration",313627.46,138706.12,452333.58,1.78,1.59,1.8,1.58
"2013-14","610","Berrien County","ALL","All Column Values","School Administration",699030.61,293196.74,992227.35,3.9,3.49,3.95,3.47
"2013-14","610","Berrien County","ALL","All Column Values","Teachers and Paraprofessionals",10838551.26,3992306.46,14830857.72,58.35,52.2,59.09,51.79
"2013-14","611","Bibb County","ALL","All Column Values","General Administration",674451.35,637136.07,1311587.42,0.61,0.5,0.62,0.51
