LONG_SCHOOL_YEAR,SCHOOL_DISTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,TEST_CMPNT_TYP_NM,NUMBER_OF_STUDENTS_TESTED,NUMBER_TESTS_TAKEN,NOTESTS_3ORHIGHER
2013-14,601,Appling County,103,Appling County High School,ALL Subjects,58,71,45
2013-14,601,Appling County,103,Appling County High School,Biology,TFS,,
2013-14,601,Appling County,103,Appling County High School,Computer Science A,TFS,,
2013-14,601,Appling County,103,Appling County High School,Eng. Literature & Comp,TFS,,
2013-14,601,Appling County,103,Appling County High School,Environmental Science,TFS,,
2013-14,601,Appling County,103,Appling County High School,Psychology,38,38,24
2013-14,601,Appling County,103,Appling County High School,U.S. History,18,18,9
2013-14,601,Appling County,SCHOOL_ALL,SCHOOL_ALL,ALL Subjects,58,71,45
2013-14,601,Appling County,SCHOOL_ALL,SCHOOL_ALL,Biology,TFS,,
2013-14,601,Appling County,SCHOOL_ALL,SCHOOL_ALL,Computer Science A,TFS,,
2013-14,601,Appling County,SCHOOL_ALL,SCHOOL_ALL,Eng. Literature & Comp,TFS,,
2013-14,601,Appling County,SCHOOL_ALL,SCHOOL_ALL,Environmental Science,TFS,,
2013-14,601,Appling County,SCHOOL_ALL,SCHOOL_ALL,Psychology,38,38,24
2013-14,601,Appling County,SCHOOL_ALL,SCHOOL_ALL,U.S. History,18,18,9
2013-14,602,Atkinson County,103,Atkinson County High School,ALL Subjects,73,73,4
2013-14,602,Atkinson County,103,Atkinson County High School,Eng. Literature & Comp,73,73,4
2013-14,602,Atkinson County,SCHOOL_ALL,SCHOOL_ALL,ALL Subjects,73,73,4
2013-14,602,Atkinson County,SCHOOL_ALL,SCHOOL_ALL,Eng. Literature & Comp,73,73,4
2013-14,603,Bacon County,302,Bacon County High School,ALL Subjects,TFS,,
2013-14,603,Bacon County,302,Bacon County High School,Biology,TFS,,
2013-14,603,Bacon County,302,Bacon County High School,Eng. Language & Comp,TFS,,
2013-14,603,Bacon County,302,Bacon County High School,Geography: Human,TFS,,
2013-14,603,Bacon County,SCHOOL_ALL,SCHOOL_ALL,ALL Subjects,TFS,,
2013-14,603,Bacon County,SCHOOL_ALL,SCHOOL_ALL,Biology,TFS,,
2013-14,603,Bacon County,SCHOOL_ALL,SCHOOL_ALL,Eng. Language & Comp,TFS,,
2013-14,603,Bacon County,SCHOOL_ALL,SCHOOL_ALL,Geography: Human,TFS,,
2013-14,605,Baldwin County,189,Baldwin High School,ALL Subjects,70,95,26
2013-14,605,Baldwin County,189,Baldwin High School,Biology,23,23,9
2013-14,605,Baldwin County,189,Baldwin High School,Eng. Language & Comp,TFS,,
2013-14,605,Baldwin County,189,Baldwin High School,Gov. & Pol. U.S.,35,35,4
2013-14,605,Baldwin County,189,Baldwin High School,Music Theory,TFS,,
2013-14,605,Baldwin County,189,Baldwin High School,U.S. History,34,34,13
2013-14,605,Baldwin County,SCHOOL_ALL,SCHOOL_ALL,ALL Subjects,70,95,26
2013-14,605,Baldwin County,SCHOOL_ALL,SCHOOL_ALL,Biology,23,23,9
2013-14,605,Baldwin County,SCHOOL_ALL,SCHOOL_ALL,Eng. Language & Comp,TFS,,
2013-14,605,Baldwin County,SCHOOL_ALL,SCHOOL_ALL,Gov. & Pol. U.S.,35,35,4
2013-14,605,Baldwin County,SCHOOL_ALL,SCHOOL_ALL,Music Theory,TFS,,
2013-14,605,Baldwin County,SCHOOL_ALL,SCHOOL_ALL,U.S. History,34,34,13
2013-14,606,Banks County,199,Banks County High School,ALL Subjects,61,87,24
2013-14,606,Banks County,199,Banks County High School,Biology,24,24,2
2013-14,606,Banks County,199,Banks County High School,Calculus A,TFS,,
2013-14,606,Banks County,199,Banks County High School,Eng. Language & Comp,22,22,8
2013-14,606,Banks County,199,Banks County High School,Eng. Literature & Comp,TFS,,
2013-14,606,Banks County,199,Banks County High School,Gov. & Pol. U.S.,TFS,,
2013-14,606,Banks County,199,Banks County High School,U.S. History,18,18,4
2013-14,606,Banks County,199,Banks County High School,World History,TFS,,
2013-14,606,Banks County,SCHOOL_ALL,SCHOOL_ALL,ALL Subjects,61,87,24
2013-14,606,Banks County,SCHOOL_ALL,SCHOOL_ALL,Biology,24,24,2
2013-14,606,Banks County,SCHOOL_ALL,SCHOOL_ALL,Calculus A,TFS,,
2013-14,606,Banks County,SCHOOL_ALL,SCHOOL_ALL,Eng. Language & Comp,22,22,8
2013-14,606,Banks County,SCHOOL_ALL,SCHOOL_ALL,Eng. Literature & Comp,TFS,,
2013-14,606,Banks County,SCHOOL_ALL,SCHOOL_ALL,Gov. & Pol. U.S.,TFS,,
2013-14,606,Banks County,SCHOOL_ALL,SCHOOL_ALL,U.S. History,18,18,4
2013-14,606,Banks County,SCHOOL_ALL,SCHOOL_ALL,World History,TFS,,
2013-14,607,Barrow County,101,Apalachee High School,ALL Subjects,280,428,260
2013-14,607,Barrow County,101,Apalachee High School,Biology,13,13,11
2013-14,607,Barrow County,101,Apalachee High School,Calculus A,10,10,7
2013-14,607,Barrow County,101,Apalachee High School,Economics: Macro,TFS,,
2013-14,607,Barrow County,101,Apalachee High School,Economics: Micro,60,60,44
2013-14,607,Barrow County,101,Apalachee High School,Eng. Language & Comp,44,44,27
2013-14,607,Barrow County,101,Apalachee High School,Eng. Literature & Comp,37,37,21
2013-14,607,Barrow County,101,Apalachee High School,European History,TFS,,
2013-14,607,Barrow County,101,Apalachee High School,Geography: Human,82,82,31
2013-14,607,Barrow County,101,Apalachee High School,Gov. & Pol. U.S.,48,48,33
2013-14,607,Barrow County,101,Apalachee High School,Physics B,17,17,8
2013-14,607,Barrow County,101,Apalachee High School,Psychology,TFS,,
2013-14,607,Barrow County,101,Apalachee High School,Spanish Language,TFS,,
2013-14,607,Barrow County,101,Apalachee High School,Statistics,47,47,35
2013-14,607,Barrow County,101,Apalachee High School,U.S. History,58,58,34
2013-14,607,Barrow County,101,Apalachee High School,World History,TFS,,
