"School Year","Data Reporting Level","School District Code","School District Name","School Code","School Name","Grades Served","Total Enrolled","Total Retained","Number of Asians","Percentage of Asians","Number of American Indian","Percentage of American Indian","Number of Black","Percentage of Black","Number of Hispanic","Percentage of Hispanic","Number of MultiRacial","Percentage of MultiRacial","Number of White","Percentage of White","Number of Male","Percentage of Male","Number of Female","Percentage of Female"
"2013-14","School","605","Baldwin County","0104","Eagle Ridge Elementary School","KK,01,02,03,04,05",846,"29","Too Few Students","Too Few Students","Too Few Students","Too Few Students","24","83","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","21","72","Too Few Students","Too Few Students"
"2013-14","School","605","Baldwin County","0189","Baldwin High School","09,10,11,12",1349,"130","Too Few Students","Too Few Students","Too Few Students","Too Few Students","94","72","Too Few Students","Too Few Students","Too Few Students","Too Few Students","32","25","79","61","51","39"
"2013-14","School","605","Baldwin County","0194","Midway Elementary School","KK,01,02,03,04,05",562,"13","Too Few Students","Too Few Students","Too Few Students","Too Few Students","10","77","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2013-14","School","605","Baldwin County","0195","Blandy Hills Elementary School","KK,01,02,03,04,05",765,"18","Too Few Students","Too Few Students","Too Few Students","Too Few Students","13","72","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","12","67","Too Few Students","Too Few Students"
"2013-14","School","605","Baldwin County","0199","Creekside Elementary School","KK,01,02,03,04,05",894,"30","Too Few Students","Too Few Students","Too Few Students","Too Few Students","14","47","Too Few Students","Too Few Students","Too Few Students","Too Few Students","14","47","20","67","10","33"
"2013-14","District","605","Baldwin County","ALL","All Column Values","KK,01,02,03,04,05,06,07,08,09,10,11,12",5577,"258","Too Few Students","Too Few Students","Too Few Students","Too Few Students","185","72","Too Few Students","Too Few Students","Too Few Students","Too Few Students","61","24","161","62","97","38"
"2013-14","School","606","Banks County","0105","Banks County Middle School","06,07,08",716,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2013-14","School","606","Banks County","0107","Banks County Elementary School","03,04,05",636,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2013-14","School","606","Banks County","0199","Banks County High School","09,10,11,12",867,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2013-14","School","606","Banks County","0205","Banks County Primary School","PK,KK,01,02",627,"11","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2013-14","District","606","Banks County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",2846,"19","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","17","90","13","68","Too Few Students","Too Few Students"
"2013-14","School","607","Barrow County","0101","Apalachee High School","09,10,11,12",1624,"41","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","29","71","28","68","13","32"
"2013-14","School","607","Barrow County","0105","County Line Elementary School","PK,KK,01,02,03,04,05",881,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2013-14","School","607","Barrow County","0106","Haymon-Morris Middle School","06,07,08",714,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2013-14","School","607","Barrow County","0113","College and Career Preparatory Academy","09,10,11,12",176,"20","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","10","50","15","75","Too Few Students","Too Few Students"
"2013-14","School","607","Barrow County","0114","Bear Creek Middle School","06,07,08",738,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2013-14","School","607","Barrow County","0189","Kennedy Elementary School","PK,KK,01,02,03,04,05",748,"17","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","10","59"
"2013-14","School","607","Barrow County","0193","Bramlett Elementary School","PK,KK,01,02,03,04,05",682,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2013-14","School","607","Barrow County","0198","Westside Middle School","06,07,08",686,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2013-14","School","607","Barrow County","0205","Bethlehem Elementary School","PK,KK,01,02,03,04,05",800,"10","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2013-14","School","607","Barrow County","0289","Russell Middle School","06,07,08",761,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
