SystemId,SystemName,SingleScore,Third_Grade_Reading,Fifth_Grade_Reading,Eighth_Grade_Reading,College_Readiness,Accelerated_Course_Taking,Four_Year_Graduation_Rate,CollegeEnrollment,total_enroll
676,Houston County,79.5,,,,66.2,53.3,86.7,69,27414
677,Irwin County,67.3,,,,74.40000000000001,25,88.5,60,1689
678,Jackson County,80.2,,,,56.2,49.1,89.40000000000001,59,7189
679,Jasper County,64,,,,46.8,35.3,67.2,40,2274
680,Jeff Davis County,74.40000000000001,,,,61.90000000000001,40.6,82.10000000000001,57,2931
681,Jefferson County,61.40000000000001,,,,55.6,39.6,89.30000000000001,51,2599
682,Jenkins County,62.5,,,,61.40000000000001,35.9,83.30000000000001,42,1167
683,Johnson County,68.2,,,,58.5,52.1,87.5,52,1102
684,Jones County,77.80000000000001,,,,58.40000000000001,38.6,85.90000000000001,69,5244
685,Lamar County,64.90000000000001,,,,50,31.7,83.10000000000001,52,2606
686,Lanier County,78.90000000000001,,,,42.6,46.40000000000001,75,61,1680
687,Laurens County,75.10000000000001,,,,65,24.8,84,66,6222
688,Lee County,83.90000000000001,,,,61.5,37,89.60000000000001,67,6149
689,Liberty County,75.7,,,,54.5,38.3,83.30000000000001,53,9520
690,Lincoln County,77.60000000000001,,,,44.8,48.1,81.10000000000001,58,1129
691,Long County,69.40000000000001,,,,49,22.5,89,49,3305
692,Lowndes County,82.2,,,,59.3,44,86.10000000000001,69,10147
693,Lumpkin County,82.90000000000001,,,,62.6,38.3,88.7,58,3710
694,Macon County,51.5,,,,51.6,29.1,88.40000000000001,40,1442
695,Madison County,82.30000000000001,,,,54.1,45.5,90.90000000000001,54,4699
696,Marion County,70.60000000000001,,,,59.7,50.5,92.60000000000001,54,1392
697,McDuffie County,63.2,,,,59.3,9.9,79.7,55,4058
698,McIntosh County,62.90000000000001,,,,54.3,62.2,80.80000000000001,64,1434
699,Meriwether County,57.8,,,,54.5,35.2,86.7,51,2727
700,Miller County,61.6,,,,53.8,32.8,86.30000000000001,66,977
701,Mitchell County,70.40000000000001,,,,42.90000000000001,64.3,90.10000000000001,60,2298
702,Monroe County,75.5,,,,65.8,42.5,88,61,3814
703,Montgomery County,58.5,,,,60,34.7,34.3,50,1353
704,Morgan County,74.10000000000001,,,,62.90000000000001,73.8,87.80000000000001,70,3089
705,Murray County,75.60000000000001,,,,49.40000000000001,40.3,85.5,38,7297
706,Muscogee County,70.5,,,,56.8,49,86.10000000000001,58,30785
707,Newton County,73,,,,43.7,49.7,82.7,58,19002
708,Oconee County,93,,,,78.30000000000001,65.5,95.60000000000001,84,7211
709,Oglethorpe County,75.3,,,,53.6,34.5,79.40000000000001,59,2101
710,Paulding County,76.10000000000001,,,,58.3,37.1,81.80000000000001,60,28466
711,Peach County,69.40000000000001,,,,63.6,95.5,91,64,3603
712,Pickens County,78.30000000000001,,,,56.3,47.90000000000001,94.2,58,4248
713,Pierce County,85.90000000000001,,,,60.3,55.1,90.80000000000001,63,3483
714,Pike County,68.90000000000001,,,,72.40000000000001,45,86.80000000000001,69,3315
715,Polk County,69.3,,,,52.3,34.7,81.40000000000001,43,7456
716,Pulaski County,63.90000000000001,,,,64.5,54.5,74.40000000000001,61,1300
717,Putnam County,75.90000000000001,,,,43.90000000000001,52.7,91.80000000000001,49,2722
718,Quitman County,62.3,,,,,,86.7,56,299
719,Rabun County,80.2,,,,52.5,61.2,95.40000000000001,63,2154
720,Randolph County,56.5,,,,40.40000000000001,46.3,80,49,908
721,Richmond County,57.90000000000001,,,,45.6,40.6,76.7,55,30201
722,Rockdale County,74.2,,,,48.2,51.40000000000001,82.10000000000001,60,16183
723,Schley County,84.2,,,,68.40000000000001,72.10000000000001,90.5,91,1270
724,Screven County,70.60000000000001,,,,56.5,26.4,84.80000000000001,60,2171
725,Seminole County,76.80000000000001,,,,74.40000000000001,38.8,92,60,1497
726,Spalding County,66.2,,,,53.5,42,73,53,9753
727,Stephens County,73.7,,,,63.2,40.3,88.30000000000001,64,3940
728,Stewart County,59.6,,,,37.5,64,75.8,70,474
729,Sumter County,58.6,,,,53.8,49.5,87.5,63,4541
730,Talbot County,53.7,,,,34.6,36.7,54.7,36,496
731,Taliaferro County,73.7,,,,,,82.40000000000001,36,151
732,Tattnall County,67.60000000000001,,,,62.8,33,74.5,62,3546
733,Taylor County,69.5,,,,61.8,20,75,75,1379
734,Telfair County,71.5,,,,48.7,36.2,83.80000000000001,58,1634
735,Terrell County,56.5,,,,40.7,3.4,87.90000000000001,64,1363
736,Thomas County,70,,,,61.5,48.2,86.40000000000001,56,5467
737,Tift County,73.40000000000001,,,,63,64.2,84,70,7501
738,Toombs County,68.10000000000001,,,,56.5,34.9,70.10000000000001,55,2853
739,Towns County,80.80000000000001,,,,50.90000000000001,13.2,94.10000000000001,58,1015
740,Treutlen County,62.8,,,,65.90000000000001,44.40000000000001,82.10000000000001,64,1134
741,Troup County,74.8,,,,57.40000000000001,41.8,76.90000000000001,59,11929
742,Turner County,67.5,,,,51,62.6,84.5,50,1315
743,Twiggs County,58.3,,,,39.5,61.8,80,61,797
744,Union County,86.5,,,,61.5,43.5,97.60000000000001,64,2676
745,Thomaston-Upson County,75.60000000000001,,,,58.90000000000001,41.1,84.5,64,4068
746,Walker County,73.40000000000001,,,,42.40000000000001,22.5,85.60000000000001,40,8716
747,Walton County,76.10000000000001,,,,56.6,31.9,81.90000000000001,60,13468
748,Ware County,81.40000000000001,,,,61.1,39.3,83.60000000000001,53,5817
749,Warren County,67,,,,52,65.7,89.5,69,609
750,Washington County,68.90000000000001,,,,46.1,37.8,92,68,3017
751,Wayne County,75.7,,,,72.2,28,79.80000000000001,53,5268
752,Webster County,71.90000000000001,,,,50,58.3,88.5,75,375
753,Wheeler County,68.2,,,,70.3,22,85.10000000000001,63,941
754,White County,83.7,,,,64.8,52.1,94.80000000000001,57,3822
755,Whitfield County,72.7,,,,47.7,35.7,74.2,51,12988
756,Wilcox County,79.30000000000001,,,,44.90000000000001,17.9,92.80000000000001,48,1151
757,Wilkes County,75,,,,58.40000000000001,26.8,78.60000000000001,52,1515
758,Wilkinson County,66.8,,,,39.7,48,94.2,55,1432
759,Worth County,68.40000000000001,,,,48,33.9,77,63,3211
761,Atlanta Public Schools,65.2,,,,41.2,48.90000000000001,71.10000000000001,58,50399
763,Bremen City,84.5,,,,80.2,50,96.30000000000001,77,2147
764,Buford City,90.80000000000001,,,,68.2,57.8,91.40000000000001,79,4309
765,Calhoun City,72.2,,,,62.5,49.8,96.80000000000001,58,3929
766,Carrollton City,71.8,,,,66.3,72,91.30000000000001,70,4810
767,Cartersville City,80.90000000000001,,,,67.60000000000001,63.1,84.80000000000001,73,4126
769,Chickamauga City,82.40000000000001,,,,56.40000000000001,57.3,98.2,72,1348
771,Commerce City,83.10000000000001,,,,60.7,36.4,92.30000000000001,60,1498
772,Dalton City,66.2,,,,42.90000000000001,46,81.60000000000001,52,7593
773,Decatur City,89.10000000000001,,,,67.60000000000001,98.7,96.7,82,4661
774,Dublin City,63,,,,59.40000000000001,22,72.40000000000001,65,2393
776,Gainesville City,68.10000000000001,,,,50,27.7,74.40000000000001,49,7787
779,Jefferson City,90.2,,,,77,47.6,96.10000000000001,77,3275
781,Marietta City,75.3,,,,61.3,49.6,75.10000000000001,64,8843
7820108,Attendance Zone,73.60000000000001,,,,60.6,48.90000000000001,79.40000000000001,62,1709894
7820110,Attendance Zone,75.2,,,,72.3,58.2,84.7,65,21804
7820119,Attendance Zone,73.60000000000001,,,,60.6,48.90000000000001,79.40000000000001,62,1709894
7820120,Attendance Zone,73.60000000000001,,,,60.6,48.90000000000001,79.40000000000001,62,1709894
7820121,Attendance Zone,64.10000000000001,,,,37.7,38.7,69.10000000000001,51,53262
7820212,Attendance Zone,81.60000000000001,,,,74.7,50.7,84.7,72,40718
7820412,Attendance Zone,73.60000000000001,,,,60.6,48.90000000000001,79.40000000000001,62,1709894
7820612,Attendance Zone,66.10000000000001,,,,43.1,49.40000000000001,70.60000000000001,59,148962
7820613,Attendance Zone,73.60000000000001,,,,60.6,48.90000000000001,79.40000000000001,62,1709894
7820614,Attendance Zone,73.60000000000001,,,,60.6,48.90000000000001,79.40000000000001,62,1709894
7820615,Attendance Zone,75,,,,56.7,47.1,84,65,17756
7820616,Attendance Zone,73.60000000000001,,,,60.6,48.90000000000001,79.40000000000001,62,1709894
7820617,Attendance Zone,64.10000000000001,,,,37.7,38.7,69.10000000000001,51,53262
7820618,Attendance Zone,73.60000000000001,,,,60.6,48.90000000000001,79.40000000000001,62,1709894
7830103,Attendance Zone,71.60000000000001,,,,67,57.5,84.90000000000001,62,9862
7830110,Attendance Zone,76.3,,,,60.6,57.5,78.7,69,367053
7830210,Attendance Zone,65.7,,,,55.2,40.8,86.80000000000001,55,4197
7830310,Attendance Zone,74.7,,,,69.5,60.2,86.60000000000001,72,93551
7830410,Attendance Zone,65.2,,,,41.2,48.90000000000001,71.10000000000001,58,50399
7830610,Attendance Zone,75.2,,,,72.3,58.2,84.7,65,21804
7830611,Attendance Zone,73.60000000000001,,,,60.6,48.90000000000001,79.40000000000001,62,1709894
7830612,Attendance Zone,73.60000000000001,,,,60.6,48.90000000000001,79.40000000000001,62,1709894
7830613,Attendance Zone,73.60000000000001,,,,60.6,48.90000000000001,79.40000000000001,62,1709894
7830614,Attendance Zone,73.60000000000001,,,,60.6,48.90000000000001,79.40000000000001,62,1709894
7830615,Attendance Zone,73.60000000000001,,,,60.6,48.90000000000001,79.40000000000001,62,1709894
7830616,Attendance Zone,73.60000000000001,,,,60.6,48.90000000000001,79.40000000000001,62,1709894
7830617,Attendance Zone,71.3,,,,59.3,56.1,81,68,143950
7830618,Attendance Zone,73.60000000000001,,,,60.6,48.90000000000001,79.40000000000001,62,1709894
7830619,Attendance Zone,80.5,,,,70.60000000000001,53.40000000000001,83.80000000000001,72,111918
784,Pelham City,69.40000000000001,,,,51.6,57.1,87.40000000000001,55,1387
785,Rome City,71.8,,,,54,38.5,92.80000000000001,55,6003
786,Social Circle City,73.5,,,,44.3,28.4,83.2,50,1626
789,Thomasville City,68.90000000000001,,,,59.7,56,75.90000000000001,66,2705
791,Trion City,86.40000000000001,,,,58.1,53.5,98.30000000000001,80,1350
792,Valdosta City,65.90000000000001,,,,53.5,50.90000000000001,81.40000000000001,59,7609
793,Vidalia City,67,,,,67,27,58.1,45,4360
7991893,State Schools,41,,,,,,0,7,172
7991894,State Schools,55.1,,,,,,47.40000000000001,24,108
7991895,State Schools,38.90000000000001,,,,,,,30,102
