"LONG_SCHOOL_YEAR","SCHOOL_DSTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","CATEGORY","SALARIES","BENEFITS","SALARIES_AND_BENEFITS","% Rev- GF/Title/Lottery","% Rev- Total K-12","% Exp- GF/Title/Lottery","% Exp-Total K-12"
"2016-17","614","Brooks County","ALL","All Column Values","Teachers and Paraprofessionals",7544690.21,3452653.05,10997343.26,52.18,45.18,52.3,45.67
"2016-17","615","Bryan County","ALL","All Column Values","General Administration",353239.82,181367.75,534607.57,0.77,0.67,0.8,0.65
"2016-17","615","Bryan County","ALL","All Column Values","School Administration",2484525.6,1089055.31,3573580.91,5.16,4.48,5.38,4.34
"2016-17","615","Bryan County","ALL","All Column Values","Teachers and Paraprofessionals",27367874.11,10786884.86,38154758.97,55.14,47.85,57.44,46.36
"2016-17","616","Bulloch County","ALL","All Column Values","General Administration",296768.26,154994.29,451762.55,0.5,0.41,0.49,0.4
"2016-17","616","Bulloch County","ALL","All Column Values","School Administration",3540297.41,1552009.18,5092306.59,5.6,4.68,5.5,4.49
"2016-17","616","Bulloch County","ALL","All Column Values","Teachers and Paraprofessionals",39331267.73,14586286.9,53917554.63,59.28,49.53,58.29,47.57
"2016-17","617","Burke County","ALL","All Column Values","General Administration",775682.18,383462.77,1159144.95,1.87,1.75,2.31,1.88
"2016-17","617","Burke County","ALL","All Column Values","School Administration",2024154.67,901333.92,2925488.59,4.71,4.41,5.82,4.75
"2016-17","617","Burke County","ALL","All Column Values","Teachers and Paraprofessionals",17711636.32,8198755.89,25910392.21,41.71,39.05,51.56,42.1
"2016-17","618","Butts County","ALL","All Column Values","General Administration",477792.5,318795.77,796588.27,2.56,1.72,2.66,2.24
"2016-17","618","Butts County","ALL","All Column Values","School Administration",1147947.43,551193.8,1699141.23,5.46,3.67,5.67,4.78
"2016-17","618","Butts County","ALL","All Column Values","Teachers and Paraprofessionals",10973437.09,5131813.81,16105250.9,51.75,34.77,53.72,45.28
"2016-17","619","Calhoun County","ALL","All Column Values","General Administration",451739.8,204510.74,656250.54,8.69,7.74,9.22,8.46
"2016-17","619","Calhoun County","ALL","All Column Values","School Administration",316500.38,157541.92,474042.3,6.27,5.59,6.66,6.11
"2016-17","619","Calhoun County","ALL","All Column Values","Teachers and Paraprofessionals",1765839.89,932040.01,2697879.9,35.71,31.81,37.92,34.76
"2016-17","620","Camden County","ALL","All Column Values","General Administration",287018.43,188102.62,475121.05,0.63,0.55,0.63,0.57
"2016-17","620","Camden County","ALL","All Column Values","School Administration",3204944.04,1123329.96,4328274,5.71,4.98,5.75,5.18
"2016-17","620","Camden County","ALL","All Column Values","Teachers and Paraprofessionals",31742266.32,10695095.2,42437361.52,55.97,48.83,56.41,50.76
"2016-17","621","Candler County","ALL","All Column Values","General Administration",320619.64,145629.27,466248.91,2.56,2.13,2.63,2.32
"2016-17","621","Candler County","ALL","All Column Values","School Administration",581616.65,294009.06,875625.71,4.81,4,4.94,4.36
"2016-17","621","Candler County","ALL","All Column Values","Teachers and Paraprofessionals",6717723.35,3327653.76,10045377.11,55.23,45.87,56.67,50.01
"2016-17","622","Carroll County","ALL","All Column Values","General Administration",565927.67,305407,871334.67,0.66,0.56,0.67,0.5
"2016-17","622","Carroll County","ALL","All Column Values","School Administration",4642222.14,2479105.28,7121327.42,5.37,4.54,5.46,4.11
"2016-17","622","Carroll County","ALL","All Column Values","Teachers and Paraprofessionals",49465855.27,22747303.15,72213158.42,54.45,46.01,55.41,41.71
"2016-17","623","Catoosa County","ALL","All Column Values","General Administration",283211.17,267456.89,550668.06,0.53,0.33,0.55,0.43
"2016-17","623","Catoosa County","ALL","All Column Values","School Administration",3767712.78,2030067.47,5797780.25,5.56,3.5,5.76,4.54
"2016-17","623","Catoosa County","ALL","All Column Values","Teachers and Paraprofessionals",42841873.3,19314374.24,62156247.54,59.6,37.48,61.79,48.63
"2016-17","624","Charlton County","ALL","All Column Values","General Administration",348841.45,166339.35,515180.8,3.19,2.84,3.26,2.87
"2016-17","624","Charlton County","ALL","All Column Values","School Administration",518275.96,272137.95,790413.91,4.9,4.36,5.01,4.4
"2016-17","624","Charlton County","ALL","All Column Values","Teachers and Paraprofessionals",5344547.54,2386547.8,7731095.34,47.92,42.61,48.97,43.05
"2016-17","625","Chatham County","ALL","All Column Values","General Administration",4609771.62,2196307.6,6806079.22,1.64,1.34,1.66,1.3
"2016-17","625","Chatham County","ALL","All Column Values","School Administration",12298200.14,6184825.54,18483025.68,4.46,3.63,4.52,3.54
"2016-17","625","Chatham County","ALL","All Column Values","Teachers and Paraprofessionals",156994252.12,66745363.61,223739615.73,53.98,43.97,54.7,42.86
"2016-17","626","Chattahoochee County","ALL","All Column Values","General Administration",495214.29,181665.81,676880.1,7.34,6.39,7.63,6.6
"2016-17","626","Chattahoochee County","ALL","All Column Values","School Administration",371036.48,124048.53,495085.01,5.37,4.67,5.58,4.83
"2016-17","626","Chattahoochee County","ALL","All Column Values","Teachers and Paraprofessionals",3114930.84,1244720.55,4359651.39,47.27,41.15,49.17,42.5
"2016-17","627","Chattooga County","ALL","All Column Values","General Administration",346759.1,117667.09,464426.19,1.74,1.31,1.72,1.48
"2016-17","627","Chattooga County","ALL","All Column Values","School Administration",935180.03,498747.75,1433927.78,5.38,4.05,5.31,4.57
"2016-17","627","Chattooga County","ALL","All Column Values","Teachers and Paraprofessionals",9427144.93,4004775.69,13431920.62,50.35,37.98,49.71,42.79
"2016-17","628","Cherokee County","ALL","All Column Values","General Administration",1651124.4,1141136.86,2792261.26,0.72,0.6,0.73,0.6
"2016-17","628","Cherokee County","ALL","All Column Values","School Administration",10877290.83,5926591.02,16803881.85,4.35,3.61,4.38,3.59
"2016-17","628","Cherokee County","ALL","All Column Values","Teachers and Paraprofessionals",160430518.03,67188974.77,227619492.8,58.89,48.86,59.33,48.61
"2016-17","629","Clarke County","ALL","All Column Values","General Administration",1282802.88,576268.85,1859071.73,1.19,0.73,1.19,0.97
"2016-17","629","Clarke County","ALL","All Column Values","School Administration",4348383.32,2142219.89,6490603.21,4.15,2.54,4.16,3.38
"2016-17","629","Clarke County","ALL","All Column Values","Teachers and Paraprofessionals",54932663.67,26487315.54,81419979.21,52.1,31.82,52.22,42.39
"2016-17","630","Clay County","ALL","All Column Values","General Administration",172222.88,42804.34,215027.22,5.17,4.7,5.94,5.09
