"SCHOOL_YEAR","SYSTEM_ID","SYSTEM_NAME","SCHOOL_ID","SCHOOL_NAME","NEW_ELL_STUDENTS_COUNT"
"2011","631","Clayton County","0105","Thurgood Marshall Elementary School",2
"2011","631","Clayton County","0106","Jonesboro Middle School",3
"2011","631","Clayton County","0107","Sequoyah Middle School",3
"2011","631","Clayton County","0115","Charles R. Drew High School",1
"2011","631","Clayton County","0116","Eddie White Academy",1
"2011","631","Clayton County","0117","Morrow Middle School",6
"2011","631","Clayton County","0173","Kilpatrick Elementary School",1
"2011","631","Clayton County","0174","Mundy's Mill Middle School",2
"2011","631","Clayton County","0175","Brown Elementary School",1
"2011","631","Clayton County","0176","Mount Zion Elementary School",2
"2011","631","Clayton County","0177","Adamson Middle School",3
"2011","631","Clayton County","0190","Lovejoy High School",1
"2011","631","Clayton County","0191","Lovejoy Middle School",2
"2011","631","Clayton County","0197","Kendrick Middle School",3
"2011","631","Clayton County","0199","Hawthorne Elementary School",3
"2011","631","Clayton County","0200","Roberta T. Smith Elementary School",2
"2011","631","Clayton County","0203","Harper Elementary School",1
"2011","631","Clayton County","0204","Martin Luther King, Jr. Elementary School",5
"2011","631","Clayton County","0205","Kemp Primary",3
"2011","631","Clayton County","0207","Rex Mill Middle School",1
"2011","631","Clayton County","0290","Mount Zion High School",1
"2011","631","Clayton County","0295","Lake Ridge Elementary School",2
"2011","631","Clayton County","0307","Unidos Dual Language Charter School",2
"2011","631","Clayton County","0377","Riverdale High School",1
"2011","631","Clayton County","1052","East Clayton Elementary School",1
"2011","631","Clayton County","1054","Forest Park High School",3
"2011","631","Clayton County","1056","Jonesboro High School",1
"2011","631","Clayton County","1062","Tara Elementary School",4
"2011","631","Clayton County","2052","North Clayton High School",1
"2011","631","Clayton County","2054","Forest Park Middle School",1
"2011","631","Clayton County","2058","Morrow Elementary School",4
"2011","631","Clayton County","2060","Riverdale Elementary School",2
"2011","631","Clayton County","2554","Fountain Elementary School",2
"2011","631","Clayton County","3050","Babb Middle School",1
"2011","631","Clayton County","3054","Haynie Elementary School",3
"2011","631","Clayton County","4050","Church Street Elementary School",1
"2011","631","Clayton County","4056","Lake City Elementary School",4
"2011","631","Clayton County","4058","Morrow High School",5
"2011","631","Clayton County","5052","Edmonds Elementary School",5
"2011","631","Clayton County","5054","Huie Elementary School",2
"2011","631","Clayton County","5056","William M. McGarrah Elementary School",3
"2011","631","Clayton County","5060","Swint Elementary School",2
"2011","631","Clayton County","ALL","All Schools",100
"2011","633","Cobb County","0102","Riverside Intermediate School",2
"2011","633","Cobb County","0103","Kell High School",1
"2011","633","Cobb County","0107","McCall Primary School",1
"2011","633","Cobb County","0173","Birney1 Elementary School",5
"2011","633","Cobb County","0175","Walton High School",2
"2011","633","Cobb County","0180","Still Elementary School",2
"2011","633","Cobb County","0181","Tritt Elementary School",2
"2011","633","Cobb County","0184","McCleskey Middle School",1
"2011","633","Cobb County","0189","Baker Elementary School",1
"2011","633","Cobb County","0190","Dowell Elementary School",1
"2011","633","Cobb County","0191","Varner Elementary School",3
"2011","633","Cobb County","0194","Hayes Elementary School",2
"2011","633","Cobb County","0197","Vaughan Elementary School",1
"2011","633","Cobb County","0203","Kemp Elementary School",1
"2011","633","Cobb County","0204","Pitner Elementary School",4
"2011","633","Cobb County","0273","Kincaid Elementary School",1
"2011","633","Cobb County","0275","Dodgen Middle School",5
"2011","633","Cobb County","0278","Mount Bethel Elementary School",1
"2011","633","Cobb County","0280","Pine Mountain Middle School",1
"2011","633","Cobb County","0281","Dickerson Middle School",10
"2011","633","Cobb County","0287","Lewis Elementary School",3
"2011","633","Cobb County","0288","Mountain View Elementary School",1
"2011","633","Cobb County","0289","Addison Elementary School",2
"2011","633","Cobb County","0290","Campbell Middle School",7
"2011","633","Cobb County","0291","Shallowford Falls Elementary School",2
"2011","633","Cobb County","0294","Smitha Middle School",8
"2011","633","Cobb County","0298","Cheatham Hill Elementary School",1
"2011","633","Cobb County","0299","Durham Middle School",3
"2011","633","Cobb County","0302","Acworth Intermediate School",1
"2011","633","Cobb County","0375","Murdock Elementary School",1
"2011","633","Cobb County","0378","Rocky Mount Elementary School",1
"2011","633","Cobb County","0388","Davis Elementary School",1
"2011","633","Cobb County","0389","Simpson Middle School",2
"2011","633","Cobb County","0391","Nicholson Elementary School",2
"2011","633","Cobb County","0394","Hightower Trail Middle School",1
"2011","633","Cobb County","0398","Sanders Elementary School",2
"2011","633","Cobb County","0399","Blackwell Elementary School",2
"2011","633","Cobb County","0407","Barber Middle School",4
"2011","633","Cobb County","0475","Tapp Middle School",2
"2011","633","Cobb County","0478","Sope Creek Elementary School",12
"2011","633","Cobb County","0489","Powder Springs Elementary School",3
"2011","633","Cobb County","0502","Cooper Middle School",1
"2011","633","Cobb County","0504","Big Shanty Elementary School",2
"2011","633","Cobb County","0507","McClure Middle School",1
"2011","633","Cobb County","0592","Bryant Elementary School",2
"2011","633","Cobb County","0607","Lovinggood Middle School",2
