sys_sch,SystemId,systemname,schoolname,SchoolId,grade,SingleScore,four_year_graduation_rate,CollegeEnrollment
6113067,611,Bibb County,Ingram/Pye Elementary School,3067,F,53.7,,
611383,611,Bibb County,Williams Elementary School,383,F,57.7,,
611386,611,Bibb County,Southwest High School,386,F,54.1,77.300003,
611405,611,Bibb County,Rosa Taylor Elementary School,405,C,73.60000000000001,,
611505,611,Bibb County,Weaver Middle School,505,F,56.5,,
6115050,611,Bibb County,Appling Middle School,5050,D,63.8,,
611605,611,Bibb County,Heritage Elementary School,605,D,67.60000000000001,,
611705,611,Bibb County,Union Elementary School,705,F,40.2,,
612105,612,Bleckley County,Bleckley County High School,105,B,89,97.400002,
6121050,612,Bleckley County,Bleckley County Primary School,1050,F,58.5,,
612112,612,Bleckley County,Bleckley Middle School,112,B,89.2,,
612115,612,Bleckley County,Bleckley County Success Academy,115,F,40.7,65.599998,
612197,612,Bleckley County,Bleckley County Elementary School,197,B,82.80000000000001,,
613101,613,Brantley County,Waynesville Primary School,101,F,57.3,,
6131050,613,Brantley County,Brantley County High School,1050,D,69.10000000000001,82.800003,
613110,613,Brantley County,Atkinson Elementary School,110,C,77,,
613194,613,Brantley County,Brantley County Middle School,194,B,85.60000000000001,,
6132050,613,Brantley County,Hoboken Elementary School,2050,B,86.40000000000001,,
613294,613,Brantley County,Nahunta Elementary School,294,C,74.7,,
6133050,613,Brantley County,Nahunta Primary School,3050,D,68.5,,
614110,614,Brooks County,Brooks County High School,110,D,67.3,90,
614193,614,Brooks County,Quitman Elementary School,193,D,60.7,,
614197,614,Brooks County,Brooks County Middle School,197,D,66.5,,
614393,614,Brooks County,North Brooks Elementary School,393,D,61.90000000000001,,
614394,614,Brooks County,Delta Innovative School,394,F,42.5,75.900002,
615101,615,Bryan County,Dr. George Washington Carver Elementary School,101,D,67.40000000000001,,
615182,615,Bryan County,Richmond Hill High School,182,B,83.40000000000001,90.400002,
615199,615,Bryan County,Richmond Hill Middle School,199,C,77.2,,
615202,615,Bryan County,Richmond Hill Primary School,202,B,85.60000000000001,,
615282,615,Bryan County,Lanier Primary School,282,D,67.7,,
615286,615,Bryan County,Bryan County Elementary School,286,C,77,,
615302,615,Bryan County,Richmond Hill Elementary School,302,B,82.5,,
615402,615,Bryan County,Bryan County Middle School,402,F,57.3,,
615502,615,Bryan County,Bryan County High School,502,D,62.5,80.800003,
615503,615,Bryan County,McAllister Elementary School,503,B,82.60000000000001,,
616100,616,Bulloch County,Mill Creek Elementary School,100,D,68.3,,
616107,616,Bulloch County,Nevils Elementary School,107,C,75.5,,
616198,616,Bulloch County,William James Middle School,198,B,80.80000000000001,,
616199,616,Bulloch County,Langston Chapel Elementary School,199,D,61.2,,
616200,616,Bulloch County,Brooklet Elementary School,200,C,79.80000000000001,,
