LONG_SCHOOL_YEAR,SCHOOL_DISTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,TEST_CMPNT_TYP_NM,NUMBER_OF_STUDENTS_TESTED,NUMBER_TESTS_TAKEN,NOTESTS_3ORHIGHER
2012-13,601,Appling County,103,Appling County High School,ALL Subjects,72,94,37
2012-13,601,Appling County,103,Appling County High School,Biology,TFS,,
2012-13,601,Appling County,103,Appling County High School,Calculus A,13,13,4
2012-13,601,Appling County,103,Appling County High School,Eng. Literature & Comp,TFS,,
2012-13,601,Appling County,103,Appling County High School,Psychology,38,38,10
2012-13,601,Appling County,103,Appling County High School,U.S. History,25,25,13
2012-13,601,Appling County,SCHOOL_ALL,SCHOOL_ALL,ALL Subjects,72,94,37
2012-13,601,Appling County,SCHOOL_ALL,SCHOOL_ALL,Biology,TFS,,
2012-13,601,Appling County,SCHOOL_ALL,SCHOOL_ALL,Calculus A,13,13,4
2012-13,601,Appling County,SCHOOL_ALL,SCHOOL_ALL,Eng. Literature & Comp,TFS,,
2012-13,601,Appling County,SCHOOL_ALL,SCHOOL_ALL,Psychology,38,38,10
2012-13,601,Appling County,SCHOOL_ALL,SCHOOL_ALL,U.S. History,25,25,13
2012-13,602,Atkinson County,103,Atkinson County High School,ALL Subjects,36,42,6
2012-13,602,Atkinson County,103,Atkinson County High School,Biology,22,22,4
2012-13,602,Atkinson County,103,Atkinson County High School,Eng. Literature & Comp,20,20,2
2012-13,602,Atkinson County,SCHOOL_ALL,SCHOOL_ALL,ALL Subjects,36,42,6
2012-13,602,Atkinson County,SCHOOL_ALL,SCHOOL_ALL,Biology,22,22,4
2012-13,602,Atkinson County,SCHOOL_ALL,SCHOOL_ALL,Eng. Literature & Comp,20,20,2
2012-13,603,Bacon County,302,Bacon County High School,ALL Subjects,19,25,4
2012-13,603,Bacon County,302,Bacon County High School,Biology,11,11,2
2012-13,603,Bacon County,302,Bacon County High School,Calculus A,TFS,,
2012-13,603,Bacon County,302,Bacon County High School,Eng. Language & Comp,TFS,,
2012-13,603,Bacon County,302,Bacon County High School,Eng. Literature & Comp,TFS,,
2012-13,603,Bacon County,SCHOOL_ALL,SCHOOL_ALL,ALL Subjects,19,25,4
2012-13,603,Bacon County,SCHOOL_ALL,SCHOOL_ALL,Biology,11,11,2
2012-13,603,Bacon County,SCHOOL_ALL,SCHOOL_ALL,Calculus A,TFS,,
2012-13,603,Bacon County,SCHOOL_ALL,SCHOOL_ALL,Eng. Language & Comp,TFS,,
2012-13,603,Bacon County,SCHOOL_ALL,SCHOOL_ALL,Eng. Literature & Comp,TFS,,
2012-13,605,Baldwin County,189,Baldwin High School,ALL Subjects,80,87,15
2012-13,605,Baldwin County,189,Baldwin High School,Biology,11,11,3
2012-13,605,Baldwin County,189,Baldwin High School,Eng. Language & Comp,14,14,1
2012-13,605,Baldwin County,189,Baldwin High School,Eng. Literature & Comp,TFS,,
2012-13,605,Baldwin County,189,Baldwin High School,Gov. & Pol. U.S.,50,50,8
2012-13,605,Baldwin County,189,Baldwin High School,Music Theory,TFS,,
2012-13,605,Baldwin County,189,Baldwin High School,U.S. History,10,10,2
2012-13,605,Baldwin County,SCHOOL_ALL,SCHOOL_ALL,ALL Subjects,80,87,15
2012-13,605,Baldwin County,SCHOOL_ALL,SCHOOL_ALL,Biology,11,11,3
