"SCHOOL_YEAR","DETAIL_LEVEL","SCHOOL_DSTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","ACDMC_LVL_CD","TOTAL_STUDENTS_TESTED","STUDENTS_WITH_LEXILE","LEXILE_ON_OR_ABOVE_MIDPOINT","NO_LEXILE_SCORE","AVG_LEXILE_SCORE"
2017,"District Level","601","Appling County","All","All","03",297,296,138,1,634.3
2017,"District Level","601","Appling County","All","All","04",276,276,100,0,757
2017,"District Level","601","Appling County","All","All","05",257,256,123,1,915
2017,"District Level","601","Appling County","All","All","06",257,256,115,1,991.1
2017,"District Level","601","Appling County","All","All","07",249,247,131,2,1055.3
2017,"District Level","601","Appling County","All","All","08",251,250,149,1,1122.3
2017,"District Level","602","Atkinson County","All","All","03",137,135,60,2,650
2017,"District Level","602","Atkinson County","All","All","04",125,124,63,1,827.3
2017,"District Level","602","Atkinson County","All","All","05",134,134,68,0,938.1
2017,"District Level","602","Atkinson County","All","All","06",116,116,59,0,1010.4
2017,"District Level","602","Atkinson County","All","All","07",111,110,69,1,1107.7
2017,"District Level","602","Atkinson County","All","All","08",131,130,77,1,1144.8
2017,"District Level","603","Bacon County","All","All","03",185,185,88,0,660.4
2017,"District Level","603","Bacon County","All","All","04",153,152,50,1,737.4
2017,"District Level","603","Bacon County","All","All","05",169,169,90,0,954.3
2017,"District Level","603","Bacon County","All","All","06",155,155,58,0,931.6
2017,"District Level","603","Bacon County","All","All","07",156,156,84,0,1065.3
2017,"District Level","603","Bacon County","All","All","08",155,155,102,0,1167
2017,"District Level","604","Baker County","All","All","03",22,21,5,1,546.9
2017,"District Level","604","Baker County","All","All","04",23,22,2,1,666.1
2017,"District Level","604","Baker County","All","All","05",24,24,6,0,802.9
2017,"District Level","604","Baker County","All","All","06",22,21,6,1,925.2
2017,"District Level","604","Baker County","All","All","07",24,24,14,0,1029.8
2017,"District Level","604","Baker County","All","All","08",26,26,13,0,1050.2
2017,"District Level","605","Baldwin County","All","All","03",523,523,151,0,586.8
2017,"District Level","605","Baldwin County","All","All","04",477,475,133,2,710.3
2017,"District Level","605","Baldwin County","All","All","05",443,443,175,0,903.1
2017,"District Level","605","Baldwin County","All","All","06",376,375,106,1,881.4
2017,"District Level","605","Baldwin County","All","All","07",366,365,158,1,1019
2017,"District Level","605","Baldwin County","All","All","08",330,329,135,1,1058
2017,"District Level","606","Banks County","All","All","03",209,208,121,1,682.5
2017,"District Level","606","Banks County","All","All","04",208,208,116,0,861.6
2017,"District Level","606","Banks County","All","All","05",215,215,131,0,970.8
2017,"District Level","606","Banks County","All","All","06",221,220,109,1,1022.1
2017,"District Level","606","Banks County","All","All","07",200,199,152,1,1156.4
2017,"District Level","606","Banks County","All","All","08",196,196,146,0,1186.9
2017,"District Level","607","Barrow County","All","All","03",1034,1030,589,4,691.5
2017,"District Level","607","Barrow County","All","All","04",1113,1111,541,2,825.4
2017,"District Level","607","Barrow County","All","All","05",1074,1069,675,5,983.8
2017,"District Level","607","Barrow County","All","All","06",1077,1075,549,2,1013
2017,"District Level","607","Barrow County","All","All","07",1023,1018,632,5,1104.1
2017,"District Level","607","Barrow County","All","All","08",983,977,648,6,1169.5
2017,"District Level","608","Bartow County","All","All","03",1063,1056,563,7,661.1
2017,"District Level","608","Bartow County","All","All","04",1076,1071,469,5,785.3
2017,"District Level","608","Bartow County","All","All","05",1024,1022,536,2,935.2
2017,"District Level","608","Bartow County","All","All","06",961,958,405,3,954.9
2017,"District Level","608","Bartow County","All","All","07",1041,1038,576,3,1072.1
2017,"District Level","608","Bartow County","All","All","08",1053,1052,654,1,1139.5
2017,"District Level","609","Ben Hill County","All","All","03",255,255,103,0,634.6
2017,"District Level","609","Ben Hill County","All","All","04",264,264,92,0,759.3
2017,"District Level","609","Ben Hill County","All","All","05",238,237,130,1,950.2
2017,"District Level","609","Ben Hill County","All","All","06",201,201,74,0,926.6
