"School Year","Data Reporting Level","School District Code","School District Name","School Code","School Name","Grades Served","Total Enrolled","Total Retained","Number of Asians","Percentage of Asians","Number of American Indian","Percentage of American Indian","Number of Black","Percentage of Black","Number of Hispanic","Percentage of Hispanic","Number of MultiRacial","Percentage of MultiRacial","Number of White","Percentage of White","Number of Male","Percentage of Male","Number of Female","Percentage of Female"
"2010-11","District","604","Baker County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",330,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2010-11","School","605","Baldwin County","0100","Oak Hill MS","06,07,08",1140,"15","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","10","67","Too Few Students","Too Few Students"
"2010-11","School","605","Baldwin County","0104","Eagle Ridge Elementary School","KK,01,02,03,04,05",765,"16","Too Few Students","Too Few Students","Too Few Students","Too Few Students","13","81","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2010-11","School","605","Baldwin County","0189","Baldwin High School","09,10,11,12",1392,"134","Too Few Students","Too Few Students","Too Few Students","Too Few Students","112","84","Too Few Students","Too Few Students","Too Few Students","Too Few Students","17","13","78","58","56","42"
"2010-11","School","605","Baldwin County","0194","Midway Elementary School","KK,01,02,03,04,05",528,"37","Too Few Students","Too Few Students","Too Few Students","Too Few Students","23","62","Too Few Students","Too Few Students","Too Few Students","Too Few Students","12","32","23","62","14","38"
"2010-11","School","605","Baldwin County","0195","Blandy Hills Elementary School","KK,01,02,03,04,05",796,"55","Too Few Students","Too Few Students","Too Few Students","Too Few Students","38","69","Too Few Students","Too Few Students","Too Few Students","Too Few Students","14","26","27","49","28","51"
"2010-11","School","605","Baldwin County","0199","Creekside Elementary School","KK,01,02,03,04,05",846,"27","Too Few Students","Too Few Students","Too Few Students","Too Few Students","17","63","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","13","48","14","52"
"2010-11","District","605","Baldwin County","ALL","All Column Values","KK,01,02,03,04,05,06,07,08,09,10,11,12",5467,"284","Too Few Students","Too Few Students","Too Few Students","Too Few Students","211","74","Too Few Students","Too Few Students","12","4","59","21","160","56","124","44"
"2010-11","School","606","Banks County","0105","Banks County Middle School","06,07,08",717,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2010-11","School","606","Banks County","0107","Banks County Elementary School","03,04,05",706,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2010-11","School","606","Banks County","0199","Banks County High School","09,10,11,12",823,"28","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","26","93","17","61","11","39"
"2010-11","School","606","Banks County","0205","Banks County Primary School","PK,KK,01,02",647,"24","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","20","83","14","58","10","42"
"2010-11","District","606","Banks County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",2893,"61","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","55","90","36","59","25","41"
"2010-11","School","607","Barrow County","0101","Apalachee High School","09,10,11,12",1585,"136","Too Few Students","Too Few Students","Too Few Students","Too Few Students","21","15","17","13","Too Few Students","Too Few Students","86","63","96","71","40","29"
"2010-11","School","607","Barrow County","0105","County Line Elementary School","PK,KK,01,02,03,04,05",953,"16","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2010-11","School","607","Barrow County","0106","Haymon-Morris Middle School","06,07,08",799,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2010-11","School","607","Barrow County","0189","Kennedy Elementary School","PK,KK,01,02,03,04,05",637,"29","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","20","69","21","72","Too Few Students","Too Few Students"
"2010-11","School","607","Barrow County","0193","Bramlett Elementary School","PK,KK,01,02,03,04,05",698,"18","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","11","61","12","67","Too Few Students","Too Few Students"
"2010-11","School","607","Barrow County","0198","Westside Middle School","06,07,08",527,"12","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","11","92","Too Few Students","Too Few Students"
"2010-11","School","607","Barrow County","0205","Bethlehem Elementary School","PK,KK,01,02,03,04,05",906,"19","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","13","68","11","58","Too Few Students","Too Few Students"
"2010-11","School","607","Barrow County","0289","Russell Middle School","06,07,08",711,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2010-11","School","607","Barrow County","0298","Yargo Elementary School","PK,KK,01,02,03,04,05",785,"21","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","10","48","10","48","11","52"
"2010-11","School","607","Barrow County","1050","Auburn Elementary School","PK,KK,01,02,03,04,05",490,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2010-11","School","607","Barrow County","2052","Winder-Barrow Middle School","06,07,08",769,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2010-11","School","607","Barrow County","3052","Winder-Barrow High School","09,10,11,12",1831,"207","Too Few Students","Too Few Students","Too Few Students","Too Few Students","35","17","25","12","17","8","126","61","129","62","78","38"
"2010-11","School","607","Barrow County","4050","Holsenbeck Elementary School","PK,KK,01,02,03,04,05",870,"14","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2010-11","School","607","Barrow County","5050","Statham Elementary School","PK,KK,01,02,03,04,05",784,"29","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","18","62","19","66","10","35"
"2010-11","District","607","Barrow County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",12345,"523","19","4","Too Few Students","Too Few Students","85","16","64","12","33","6","321","61","343","66","180","34"
"2010-11","School","608","Bartow County","0101","Woodland Middle School at Euharlee","06,07,08",928,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2010-11","School","608","Bartow County","0104","Clear Creek Elementary School","PK,KK,01,02,03,04,05",530,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2010-11","School","608","Bartow County","0105","Adairsville High School","09,10,11,12",951,"70","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","66","94","46","66","24","34"
"2010-11","School","608","Bartow County","0106","Pine Log Elementary","PK,KK,01,02,03,04,05",429,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2010-11","School","608","Bartow County","0107","Euharlee Elementary School","PK,KK,01,02,03,04,05",733,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2010-11","School","608","Bartow County","0175","White Elementary School","PK,KK,01,02,03,04,05",581,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2010-11","School","608","Bartow County","0177","Adairsville Elementary School","PK,KK,01,02,03,04,05",635,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2010-11","School","608","Bartow County","0186","Mission Road Elementary School","PK,KK,01,02,03,04,05",522,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2010-11","School","608","Bartow County","0190","South Central Middle School","06,07,08",653,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2010-11","School","608","Bartow County","0195","Cass Middle School","06,07,08",1042,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2010-11","School","608","Bartow County","0196","Allatoona Elementary School","PK,KK,01,02,03,04,05",488,"10","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2010-11","School","608","Bartow County","0198","Woodland High School","09,10,11,12",1723,"83","Too Few Students","Too Few Students","Too Few Students","Too Few Students","10","12","Too Few Students","Too Few Students","Too Few Students","Too Few Students","68","82","54","65","29","35"
"2010-11","School","608","Bartow County","0296","Kingston Elementary School","PK,KK,01,02,03,04,05",505,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2010-11","School","608","Bartow County","0301","Adairsville Middle School","06,07,08",749,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2010-11","School","608","Bartow County","0377","Hamilton Crossing Elementary School","PK,KK,01,02,03,04,05",627,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2010-11","School","608","Bartow County","0396","Taylorsville Elementary School","PK,KK,01,02,03,04,05",457,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2010-11","School","608","Bartow County","0577","Cass High School","09,10,11,12",1452,"106","Too Few Students","Too Few Students","Too Few Students","Too Few Students","17","16","15","14","Too Few Students","Too Few Students","68","64","59","56","47","44"
"2010-11","School","608","Bartow County","1052","Cloverleaf Elementary School","PK,KK,01,02,03,04,05",610,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2010-11","School","608","Bartow County","2052","Emerson Elementary School","PK,KK,01,02,03,04,05",372,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2010-11","District","608","Bartow County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",13987,"310","Too Few Students","Too Few Students","Too Few Students","Too Few Students","32","10","28","9","Too Few Students","Too Few Students","240","77","190","61","120","39"
"2010-11","School","609","Ben Hill County","0111","Ben Hill Elementary School","03,04,05",762,"10","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2010-11","School","609","Ben Hill County","0196","Ben Hill County Primary School","PK,KK,01,02",864,"96","Too Few Students","Too Few Students","Too Few Students","Too Few Students","44","46","17","18","Too Few Students","Too Few Students","35","37","48","50","48","50"
"2010-11","School","609","Ben Hill County","0291","Fitzgerald High School","09,10,11,12",793,"100","Too Few Students","Too Few Students","Too Few Students","Too Few Students","51","51","Too Few Students","Too Few Students","Too Few Students","Too Few Students","40","40","67","67","33","33"
"2010-11","School","609","Ben Hill County","0296","Ben Hill County Middle School","06,07,08",755,"52","Too Few Students","Too Few Students","Too Few Students","Too Few Students","26","50","Too Few Students","Too Few Students","Too Few Students","Too Few Students","23","44","34","65","18","35"
"2010-11","District","609","Ben Hill County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",3174,"258","Too Few Students","Too Few Students","Too Few Students","Too Few Students","126","49","27","11","Too Few Students","Too Few Students","101","39","156","61","102","40"
"2010-11","School","610","Berrien County","0101","Berrien High School","09,10,11,12",827,"22","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","16","73","16","73","Too Few Students","Too Few Students"
"2010-11","School","610","Berrien County","0106","Berrien Academy Performance Learning Center","09,10,11,12",60,"23","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","18","78","16","70","Too Few Students","Too Few Students"
"2010-11","School","610","Berrien County","0194","Berrien Middle School","06,07,08",720,"11","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2010-11","School","610","Berrien County","0195","Berrien Elementary School","03,04,05",732,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2010-11","School","610","Berrien County","5050","Berrien Primary School","PK,KK,01,02",777,"46","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","33","72","31","67","15","33"
"2010-11","District","610","Berrien County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",3116,"110","Too Few Students","Too Few Students","Too Few Students","Too Few Students","18","16","Too Few Students","Too Few Students","Too Few Students","Too Few Students","81","74","79","72","31","28"
"2010-11","School","611","Bibb County","0103","Skyview Elementary School","PK,KK,01,02,03,04,05",526,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2010-11","School","611","Bibb County","0104","Burdell Elementary School","PK,KK,01,02,03,04,05",487,"16","Too Few Students","Too Few Students","Too Few Students","Too Few Students","16","100","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","12","75","Too Few Students","Too Few Students"
"2010-11","School","611","Bibb County","0105","Howard High School","09,10,11,12",1134,"95","Too Few Students","Too Few Students","Too Few Students","Too Few Students","72","76","Too Few Students","Too Few Students","Too Few Students","Too Few Students","17","18","56","59","39","41"
"2010-11","School","611","Bibb County","0107","Bloomfield Middle School","06,07,08",512,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2010-11","School","611","Bibb County","0108","Ballard Hudson Middle School","06,07,08",525,"20","Too Few Students","Too Few Students","Too Few Students","Too Few Students","19","95","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","11","55","Too Few Students","Too Few Students"
"2010-11","School","611","Bibb County","0109","Bruce Elementary School","PK,KK,01,02,03,04,05",449,"22","Too Few Students","Too Few Students","Too Few Students","Too Few Students","20","91","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","12","55","10","46"
"2010-11","School","611","Bibb County","0186","Central High School","09,10,11,12",1073,"164","Too Few Students","Too Few Students","Too Few Students","Too Few Students","158","96","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","99","60","65","40"
"2010-11","School","611","Bibb County","0198","Westside High School","09,10,11,12",1140,"134","Too Few Students","Too Few Students","Too Few Students","Too Few Students","116","87","Too Few Students","Too Few Students","Too Few Students","Too Few Students","13","10","73","55","61","46"
