"LONG_SCHOOL_YEAR","SCHOOL_DISTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","SUBGRP_DESC","TEST_CMPNT_TYP_CD","NATIONAL_NUM_TESTED_CNT","STATE_NUM_TESTED_CNT","DSTRCT_NUM_TESTED_CNT","INSTN_NUM_TESTED_CNT","STATE_AVG_SCORE_VAL","DSTRCT_AVG_SCORE_VAL","INSTN_AVG_SCORE_VAL"
"2016-17","601","Appling County","0103","Appling County High School","All Students","Combined Test Score",1715481,61246,92,92,1048,1025,1025
"2016-17","601","Appling County","0103","Appling County High School","All Students","Essay Analysis Score - New",1202640,26065,24,24,4,3,3
"2016-17","601","Appling County","0103","Appling County High School","All Students","Essay Reading Score - New",1202640,26065,24,24,5,5,5
"2016-17","601","Appling County","0103","Appling County High School","All Students","Essay Total",1202640,26065,24,24,14,12,12
"2016-17","601","Appling County","0103","Appling County High School","All Students","Essay Writing Score - New",1202640,26065,24,24,5,5,5
"2016-17","601","Appling County","0103","Appling County High School","All Students","Evidence Based Reading and Writing - New",1715481,61246,92,92,533,519,519
"2016-17","601","Appling County","0103","Appling County High School","All Students","Math Section Score - New",1715481,61246,92,92,515,506,506
"2016-17","601","Appling County","0103","Appling County High School","All Students","Reading Test  Score - New",1715481,61246,92,92,269,261,261
"2016-17","601","Appling County","0103","Appling County High School","All Students","WritLang Test  Score - New",1715481,61246,92,92,264,258,258
"2016-17","602","Atkinson County","0103","Atkinson County High School","All Students","Combined Test Score",1715481,61246,40,40,1048,1007,1007
"2016-17","602","Atkinson County","0103","Atkinson County High School","All Students","Essay Analysis Score - New",1202640,26065,14,14,4,3,3
"2016-17","602","Atkinson County","0103","Atkinson County High School","All Students","Essay Reading Score - New",1202640,26065,14,14,5,4,4
"2016-17","602","Atkinson County","0103","Atkinson County High School","All Students","Essay Total",1202640,26065,14,14,14,12,12
"2016-17","602","Atkinson County","0103","Atkinson County High School","All Students","Essay Writing Score - New",1202640,26065,14,14,5,4,4
