"LONG_SCHOOL_YEAR","SCHOOL_DISTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","SUBGRP_DESC","TEST_CMPNT_TYP_CD","NATIONAL_NUM_TESTED_CNT","STATE_NUM_TESTED_CNT","DSTRCT_NUM_TESTED_CNT","INSTN_NUM_TESTED_CNT","NATIONAL_AVG_SCORE_VAL","STATE_AVG_SCORE_VAL","DSTRCT_AVG_SCORE_VAL","INSTN_AVG_SCORE_VAL"
"2015-16","610","Berrien County","0106","Berrien Academy Performance Learning Center","All Students","Reading",1305158,50161,85,4,494,487,455,
"2015-16","610","Berrien County","0106","Berrien Academy Performance Learning Center","All Students","Writing",1305158,50161,85,4,482,423,375,
"2015-16","611","Bibb County","0105","Howard High School","All Students","Combined",1305158,50161,542,171,1484,1395,1258,1372
"2015-16","611","Bibb County","0105","Howard High School","All Students","Mathematics",1305158,50161,542,171,508,485,424,461
"2015-16","611","Bibb County","0105","Howard High School","All Students","Reading",1305158,50161,542,171,494,487,427,467
"2015-16","611","Bibb County","0105","Howard High School","All Students","Writing",1305158,50161,542,171,482,423,407,444
"2015-16","611","Bibb County","0186","Central High School","All Students","Combined",1305158,50161,542,109,1484,1395,1258,1287
"2015-16","611","Bibb County","0186","Central High School","All Students","Mathematics",1305158,50161,542,109,508,485,424,431
"2015-16","611","Bibb County","0186","Central High School","All Students","Reading",1305158,50161,542,109,494,487,427,437
"2015-16","611","Bibb County","0186","Central High School","All Students","Writing",1305158,50161,542,109,482,423,407,419
"2015-16","611","Bibb County","0198","Westside High School","All Students","Combined",1305158,50161,542,74,1484,1395,1258,1204
"2015-16","611","Bibb County","0198","Westside High School","All Students","Mathematics",1305158,50161,542,74,508,485,424,403
"2015-16","611","Bibb County","0198","Westside High School","All Students","Reading",1305158,50161,542,74,494,487,427,424
"2015-16","611","Bibb County","0198","Westside High School","All Students","Writing",1305158,50161,542,74,482,423,407,377
"2015-16","611","Bibb County","0204","Rutland High School","All Students","Combined",1305158,50161,542,74,1484,1395,1258,1241
"2015-16","611","Bibb County","0204","Rutland High School","All Students","Mathematics",1305158,50161,542,74,508,485,424,419
"2015-16","611","Bibb County","0204","Rutland High School","All Students","Reading",1305158,50161,542,74,494,487,427,421
"2015-16","611","Bibb County","0204","Rutland High School","All Students","Writing",1305158,50161,542,74,482,423,407,402
"2015-16","611","Bibb County","0286","Northeast High School","All Students","Combined",1305158,50161,542,48,1484,1395,1258,1096
"2015-16","611","Bibb County","0286","Northeast High School","All Students","Mathematics",1305158,50161,542,48,508,485,424,379
"2015-16","611","Bibb County","0286","Northeast High School","All Students","Reading",1305158,50161,542,48,494,487,427,365
"2015-16","611","Bibb County","0286","Northeast High School","All Students","Writing",1305158,50161,542,48,482,423,407,353
"2015-16","611","Bibb County","0303","William S. Hutchings Career Center","All Students","Combined",1305158,50161,542,11,1484,1395,1258,1175
"2015-16","611","Bibb County","0303","William S. Hutchings Career Center","All Students","Mathematics",1305158,50161,542,11,508,485,424,411
"2015-16","611","Bibb County","0303","William S. Hutchings Career Center","All Students","Reading",1305158,50161,542,11,494,487,427,378
"2015-16","611","Bibb County","0303","William S. Hutchings Career Center","All Students","Writing",1305158,50161,542,11,482,423,407,386
"2015-16","611","Bibb County","0386","Southwest High School","All Students","Combined",1305158,50161,542,55,1484,1395,1258,1094
"2015-16","611","Bibb County","0386","Southwest High School","All Students","Mathematics",1305158,50161,542,55,508,485,424,369
"2015-16","611","Bibb County","0386","Southwest High School","All Students","Reading",1305158,50161,542,55,494,487,427,362
"2015-16","611","Bibb County","0386","Southwest High School","All Students","Writing",1305158,50161,542,55,482,423,407,363
"2015-16","612","Bleckley County","0105","Bleckley County High School","All Students","Combined",1305158,50161,89,89,1484,1395,1359,1359
"2015-16","612","Bleckley County","0105","Bleckley County High School","All Students","Mathematics",1305158,50161,89,89,508,485,510,510
"2015-16","612","Bleckley County","0105","Bleckley County High School","All Students","Reading",1305158,50161,89,89,494,487,502,502
"2015-16","612","Bleckley County","0105","Bleckley County High School","All Students","Writing",1305158,50161,89,89,482,423,347,347
"2015-16","613","Brantley County","1050","Brantley County High School","All Students","Combined",1305158,50161,55,55,1484,1395,1436,1436
"2015-16","613","Brantley County","1050","Brantley County High School","All Students","Mathematics",1305158,50161,55,55,508,485,465,465
"2015-16","613","Brantley County","1050","Brantley County High School","All Students","Reading",1305158,50161,55,55,494,487,512,512
"2015-16","613","Brantley County","1050","Brantley County High School","All Students","Writing",1305158,50161,55,55,482,423,459,459
"2015-16","614","Brooks County","0110","Brooks County High School","All Students","Combined",1305158,50161,17,17,1484,1395,1322,1322
"2015-16","614","Brooks County","0110","Brooks County High School","All Students","Mathematics",1305158,50161,17,17,508,485,427,427
"2015-16","614","Brooks County","0110","Brooks County High School","All Students","Reading",1305158,50161,17,17,494,487,462,462
"2015-16","614","Brooks County","0110","Brooks County High School","All Students","Writing",1305158,50161,17,17,482,423,433,433
"2015-16","615","Bryan County","0182","Richmond Hill High School","All Students","Combined",1305158,50161,326,275,1484,1395,1372,1383
"2015-16","615","Bryan County","0182","Richmond Hill High School","All Students","Mathematics",1305158,50161,326,275,508,485,479,485
"2015-16","615","Bryan County","0182","Richmond Hill High School","All Students","Reading",1305158,50161,326,275,494,487,497,504
"2015-16","615","Bryan County","0182","Richmond Hill High School","All Students","Writing",1305158,50161,326,275,482,423,397,395
"2015-16","615","Bryan County","0502","Bryan County High School","All Students","Combined",1305158,50161,326,51,1484,1395,1372,1311
"2015-16","615","Bryan County","0502","Bryan County High School","All Students","Mathematics",1305158,50161,326,51,508,485,479,447
"2015-16","615","Bryan County","0502","Bryan County High School","All Students","Reading",1305158,50161,326,51,494,487,497,456
"2015-16","615","Bryan County","0502","Bryan County High School","All Students","Writing",1305158,50161,326,51,482,423,397,408
"2015-16","616","Bulloch County","0203","Southeast Bulloch High School","All Students","Combined",1305158,50161,170,69,1484,1395,1382,1459
"2015-16","616","Bulloch County","0203","Southeast Bulloch High School","All Students","Mathematics",1305158,50161,170,69,508,485,481,504
"2015-16","616","Bulloch County","0203","Southeast Bulloch High School","All Students","Reading",1305158,50161,170,69,494,487,488,518
"2015-16","616","Bulloch County","0203","Southeast Bulloch High School","All Students","Writing",1305158,50161,170,69,482,423,413,437
"2015-16","616","Bulloch County","2054","Statesboro High School","All Students","Combined",1305158,50161,170,82,1484,1395,1382,1354
"2015-16","616","Bulloch County","2054","Statesboro High School","All Students","Mathematics",1305158,50161,170,82,508,485,481,474
"2015-16","616","Bulloch County","2054","Statesboro High School","All Students","Reading",1305158,50161,170,82,494,487,488,478
"2015-16","616","Bulloch County","2054","Statesboro High School","All Students","Writing",1305158,50161,170,82,482,423,413,401
"2015-16","616","Bulloch County","4052","Portal Middle/High School","All Students","Combined",1305158,50161,170,19,1484,1395,1382,1227
"2015-16","616","Bulloch County","4052","Portal Middle/High School","All Students","Mathematics",1305158,50161,170,19,508,485,481,432
