LONG_SCHOOL_YEAR,SCHOOL_DISTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,SUBGRP_DESC,TEST_CMPNT_TYP_CD,NATIONAL_NUM_TESTED_CNT,STATE_NUM_TESTED_CNT,DSTRCT_NUM_TESTED_CNT,INSTN_NUM_TESTED_CNT,NATIONAL_AVG_SCORE_VAL,STATE_AVG_SCORE_VAL,DSTRCT_AVG_SCORE_VAL,INSTN_AVG_SCORE_VAL
2013-14,607,Barrow County,113,Snodon Preparatory School,All Students,English,1845787,44186,293,TFS,20.3,19.8,18.1,
2013-14,607,Barrow County,113,Snodon Preparatory School,All Students,Mathematics,1845787,44187,293,TFS,20.9,20.1,18.3,
2013-14,607,Barrow County,113,Snodon Preparatory School,All Students,Reading,1845787,44185,293,TFS,21.3,21.1,19.7,
2013-14,607,Barrow County,113,Snodon Preparatory School,All Students,Science,1845787,44185,293,TFS,20.8,20.4,19.2,
2013-14,607,Barrow County,113,Snodon Preparatory School,All Students,Writing Subscore,976031,28370,210,TFS,7.1,7,6.6,
2013-14,607,Barrow County,3052,Winder-Barrow High School,All Students,Combined English Writing,976031,28370,210,93,20.6,20.2,18,17.6
2013-14,607,Barrow County,3052,Winder-Barrow High School,All Students,Composite,1845787,44185,293,143,21,20.5,18.9,18.7
2013-14,607,Barrow County,3052,Winder-Barrow High School,All Students,English,1845787,44186,293,143,20.3,19.8,18.1,17.6
2013-14,607,Barrow County,3052,Winder-Barrow High School,All Students,Mathematics,1845787,44187,293,143,20.9,20.1,18.3,18.2
2013-14,607,Barrow County,3052,Winder-Barrow High School,All Students,Reading,1845787,44185,293,143,21.3,21.1,19.7,19.5
2013-14,607,Barrow County,3052,Winder-Barrow High School,All Students,Science,1845787,44185,293,143,20.8,20.4,19.2,19
2013-14,607,Barrow County,3052,Winder-Barrow High School,All Students,Writing Subscore,976031,28370,210,93,7.1,7,6.6,6.5
2013-14,608,Bartow County,105,Adairsville High School,All Students,Combined English Writing,976031,28370,219,56,20.6,20.2,19.3,20.1
2013-14,608,Bartow County,105,Adairsville High School,All Students,Composite,1845787,44185,369,85,21,20.5,20.1,20.8
2013-14,608,Bartow County,105,Adairsville High School,All Students,English,1845787,44186,369,85,20.3,19.8,19.1,19.5
2013-14,608,Bartow County,105,Adairsville High School,All Students,Mathematics,1845787,44187,369,85,20.9,20.1,19.4,20.2
2013-14,608,Bartow County,105,Adairsville High School,All Students,Reading,1845787,44185,369,85,21.3,21.1,20.8,21.9
2013-14,608,Bartow County,105,Adairsville High School,All Students,Science,1845787,44185,369,85,20.8,20.4,20.4,21.2
2013-14,608,Bartow County,105,Adairsville High School,All Students,Writing Subscore,976031,28370,219,56,7.1,7,6.7,6.8
2013-14,608,Bartow County,114,Cass High School,All Students,Combined English Writing,976031,28370,219,69,20.6,20.2,19.3,18.4
2013-14,608,Bartow County,114,Cass High School,All Students,Composite,1845787,44185,369,123,21,20.5,20.1,19.3
2013-14,608,Bartow County,114,Cass High School,All Students,English,1845787,44186,369,123,20.3,19.8,19.1,18.2
2013-14,608,Bartow County,114,Cass High School,All Students,Mathematics,1845787,44187,369,123,20.9,20.1,19.4,18.8
2013-14,608,Bartow County,114,Cass High School,All Students,Reading,1845787,44185,369,123,21.3,21.1,20.8,20.1
2013-14,608,Bartow County,114,Cass High School,All Students,Science,1845787,44185,369,123,20.8,20.4,20.4,19.8
2013-14,608,Bartow County,114,Cass High School,All Students,Writing Subscore,976031,28370,219,69,7.1,7,6.7,6.4
2013-14,608,Bartow County,198,Woodland High School,All Students,Combined English Writing,976031,28370,219,94,20.6,20.2,19.3,19.4
2013-14,608,Bartow County,198,Woodland High School,All Students,Composite,1845787,44185,369,161,21,20.5,20.1,20.2
2013-14,608,Bartow County,198,Woodland High School,All Students,English,1845787,44186,369,161,20.3,19.8,19.1,19.5
2013-14,608,Bartow County,198,Woodland High School,All Students,Mathematics,1845787,44187,369,161,20.9,20.1,19.4,19.5
2013-14,608,Bartow County,198,Woodland High School,All Students,Reading,1845787,44185,369,161,21.3,21.1,20.8,20.8
2013-14,608,Bartow County,198,Woodland High School,All Students,Science,1845787,44185,369,161,20.8,20.4,20.4,20.4
2013-14,608,Bartow County,198,Woodland High School,All Students,Writing Subscore,976031,28370,219,94,7.1,7,6.7,6.9
2013-14,609,Ben Hill County,291,Fitzgerald High School,All Students,Combined English Writing,976031,28370,12,12,20.6,20.2,18.2,18.2
2013-14,609,Ben Hill County,291,Fitzgerald High School,All Students,Composite,1845787,44185,19,19,21,20.5,19.9,19.9
2013-14,609,Ben Hill County,291,Fitzgerald High School,All Students,English,1845787,44186,19,19,20.3,19.8,18.7,18.7
2013-14,609,Ben Hill County,291,Fitzgerald High School,All Students,Mathematics,1845787,44187,19,19,20.9,20.1,19.7,19.7
2013-14,609,Ben Hill County,291,Fitzgerald High School,All Students,Reading,1845787,44185,19,19,21.3,21.1,21,21
2013-14,609,Ben Hill County,291,Fitzgerald High School,All Students,Science,1845787,44185,19,19,20.8,20.4,19.6,19.6
2013-14,609,Ben Hill County,291,Fitzgerald High School,All Students,Writing Subscore,976031,28370,12,12,7.1,7,6.8,6.8
2013-14,610,Berrien County,101,Berrien High School,All Students,Combined English Writing,976031,28370,TFS,TFS,20.6,20.2,,
2013-14,610,Berrien County,101,Berrien High School,All Students,Composite,1845787,44185,13,13,21,20.5,18.8,18.8
2013-14,610,Berrien County,101,Berrien High School,All Students,English,1845787,44186,13,13,20.3,19.8,17.6,17.6
2013-14,610,Berrien County,101,Berrien High School,All Students,Mathematics,1845787,44187,13,13,20.9,20.1,18.2,18.2
2013-14,610,Berrien County,101,Berrien High School,All Students,Reading,1845787,44185,13,13,21.3,21.1,20.1,20.1
2013-14,610,Berrien County,101,Berrien High School,All Students,Science,1845787,44185,13,13,20.8,20.4,19.2,19.2
2013-14,610,Berrien County,101,Berrien High School,All Students,Writing Subscore,976031,28370,TFS,TFS,7.1,7,,
2013-14,611,Bibb County,105,Howard High School,All Students,Combined English Writing,976031,28370,237,61,20.6,20.2,16.9,19.6
2013-14,611,Bibb County,105,Howard High School,All Students,Composite,1845787,44185,507,98,21,20.5,17.1,20
2013-14,611,Bibb County,105,Howard High School,All Students,English,1845787,44186,507,98,20.3,19.8,16,19.6
2013-14,611,Bibb County,105,Howard High School,All Students,Mathematics,1845787,44187,507,98,20.9,20.1,16.9,18.9
2013-14,611,Bibb County,105,Howard High School,All Students,Reading,1845787,44185,507,98,21.3,21.1,17.6,20.8
2013-14,611,Bibb County,105,Howard High School,All Students,Science,1845787,44185,507,98,20.8,20.4,17.4,20.1
2013-14,611,Bibb County,105,Howard High School,All Students,Writing Subscore,976031,28370,237,61,7.1,7,6.3,6.6
2013-14,611,Bibb County,186,Central High School,All Students,Combined English Writing,976031,28370,237,63,20.6,20.2,16.9,16.3
2013-14,611,Bibb County,186,Central High School,All Students,Composite,1845787,44185,507,110,21,20.5,17.1,17
2013-14,611,Bibb County,186,Central High School,All Students,English,1845787,44186,507,110,20.3,19.8,16,15.8
2013-14,611,Bibb County,186,Central High School,All Students,Mathematics,1845787,44187,507,110,20.9,20.1,16.9,16.8
2013-14,611,Bibb County,186,Central High School,All Students,Reading,1845787,44185,507,110,21.3,21.1,17.6,17.7
2013-14,611,Bibb County,186,Central High School,All Students,Science,1845787,44185,507,110,20.8,20.4,17.4,17.1
2013-14,611,Bibb County,186,Central High School,All Students,Writing Subscore,976031,28370,237,63,7.1,7,6.3,6.3
2013-14,611,Bibb County,198,Westside High School,All Students,Combined English Writing,976031,28370,237,44,20.6,20.2,16.9,16.8
2013-14,611,Bibb County,198,Westside High School,All Students,Composite,1845787,44185,507,111,21,20.5,17.1,16.5
2013-14,611,Bibb County,198,Westside High School,All Students,English,1845787,44186,507,111,20.3,19.8,16,15.1
2013-14,611,Bibb County,198,Westside High School,All Students,Mathematics,1845787,44187,507,111,20.9,20.1,16.9,16.6
2013-14,611,Bibb County,198,Westside High School,All Students,Reading,1845787,44185,507,111,21.3,21.1,17.6,17.1
2013-14,611,Bibb County,198,Westside High School,All Students,Science,1845787,44185,507,111,20.8,20.4,17.4,16.8
2013-14,611,Bibb County,198,Westside High School,All Students,Writing Subscore,976031,28370,237,44,7.1,7,6.3,6.4
2013-14,611,Bibb County,204,Rutland High School,All Students,Combined English Writing,976031,28370,237,23,20.6,20.2,16.9,16.2
2013-14,611,Bibb County,204,Rutland High School,All Students,Composite,1845787,44185,507,52,21,20.5,17.1,17.3
2013-14,611,Bibb County,204,Rutland High School,All Students,English,1845787,44186,507,52,20.3,19.8,16,16.3
2013-14,611,Bibb County,204,Rutland High School,All Students,Mathematics,1845787,44187,507,52,20.9,20.1,16.9,16.9
2013-14,611,Bibb County,204,Rutland High School,All Students,Reading,1845787,44185,507,52,21.3,21.1,17.6,17.4
2013-14,611,Bibb County,204,Rutland High School,All Students,Science,1845787,44185,507,52,20.8,20.4,17.4,17.9
2013-14,611,Bibb County,204,Rutland High School,All Students,Writing Subscore,976031,28370,237,23,7.1,7,6.3,6
2013-14,611,Bibb County,286,Northeast High School,All Students,Combined English Writing,976031,28370,237,20,20.6,20.2,16.9,14.6
2013-14,611,Bibb County,286,Northeast High School,All Students,Composite,1845787,44185,507,60,21,20.5,17.1,15.2
2013-14,611,Bibb County,286,Northeast High School,All Students,English,1845787,44186,507,60,20.3,19.8,16,13.7
2013-14,611,Bibb County,286,Northeast High School,All Students,Mathematics,1845787,44187,507,60,20.9,20.1,16.9,15.5
2013-14,611,Bibb County,286,Northeast High School,All Students,Reading,1845787,44185,507,60,21.3,21.1,17.6,15.4
2013-14,611,Bibb County,286,Northeast High School,All Students,Science,1845787,44185,507,60,20.8,20.4,17.4,15.6
2013-14,611,Bibb County,286,Northeast High School,All Students,Writing Subscore,976031,28370,237,20,7.1,7,6.3,6.3
2013-14,611,Bibb County,303,William S. Hutchings Career Center,All Students,Combined English Writing,976031,28370,237,TFS,20.6,20.2,16.9,
2013-14,611,Bibb County,303,William S. Hutchings Career Center,All Students,Composite,1845787,44185,507,21,21,20.5,17.1,15.9
2013-14,611,Bibb County,303,William S. Hutchings Career Center,All Students,English,1845787,44186,507,21,20.3,19.8,16,14.8
2013-14,611,Bibb County,303,William S. Hutchings Career Center,All Students,Mathematics,1845787,44187,507,21,20.9,20.1,16.9,16
2013-14,611,Bibb County,303,William S. Hutchings Career Center,All Students,Reading,1845787,44185,507,21,21.3,21.1,17.6,16.1
2013-14,611,Bibb County,303,William S. Hutchings Career Center,All Students,Science,1845787,44185,507,21,20.8,20.4,17.4,16.2
2013-14,611,Bibb County,303,William S. Hutchings Career Center,All Students,Writing Subscore,976031,28370,237,TFS,7.1,7,6.3,
2013-14,611,Bibb County,386,Southwest High School,All Students,Combined English Writing,976031,28370,237,22,20.6,20.2,16.9,14.3
2013-14,611,Bibb County,386,Southwest High School,All Students,Composite,1845787,44185,507,55,21,20.5,17.1,15.9
2013-14,611,Bibb County,386,Southwest High School,All Students,English,1845787,44186,507,55,20.3,19.8,16,14.3
2013-14,611,Bibb County,386,Southwest High School,All Students,Mathematics,1845787,44187,507,55,20.9,20.1,16.9,15.8
2013-14,611,Bibb County,386,Southwest High School,All Students,Reading,1845787,44185,507,55,21.3,21.1,17.6,16.3
2013-14,611,Bibb County,386,Southwest High School,All Students,Science,1845787,44185,507,55,20.8,20.4,17.4,16.5
2013-14,611,Bibb County,386,Southwest High School,All Students,Writing Subscore,976031,28370,237,22,7.1,7,6.3,6.1
2013-14,612,Bleckley County,105,Bleckley County High School,All Students,Combined English Writing,976031,28370,14,14,20.6,20.2,18.7,18.7
2013-14,612,Bleckley County,105,Bleckley County High School,All Students,Composite,1845787,44185,34,34,21,20.5,19,19
2013-14,612,Bleckley County,105,Bleckley County High School,All Students,English,1845787,44186,34,34,20.3,19.8,17.3,17.3
2013-14,612,Bleckley County,105,Bleckley County High School,All Students,Mathematics,1845787,44187,34,34,20.9,20.1,19.2,19.2
2013-14,612,Bleckley County,105,Bleckley County High School,All Students,Reading,1845787,44185,34,34,21.3,21.1,19.1,19.1
2013-14,612,Bleckley County,105,Bleckley County High School,All Students,Science,1845787,44185,34,34,20.8,20.4,19.6,19.6
2013-14,612,Bleckley County,105,Bleckley County High School,All Students,Writing Subscore,976031,28370,14,14,7.1,7,6.1,6.1
2013-14,613,Brantley County,1050,Brantley County High School,All Students,Combined English Writing,976031,28370,14,14,20.6,20.2,16.9,16.9
2013-14,613,Brantley County,1050,Brantley County High School,All Students,Composite,1845787,44185,45,45,21,20.5,18.6,18.6
2013-14,613,Brantley County,1050,Brantley County High School,All Students,English,1845787,44186,45,45,20.3,19.8,18,18
2013-14,613,Brantley County,1050,Brantley County High School,All Students,Mathematics,1845787,44187,45,45,20.9,20.1,17.4,17.4
2013-14,613,Brantley County,1050,Brantley County High School,All Students,Reading,1845787,44185,45,45,21.3,21.1,19.6,19.6
2013-14,613,Brantley County,1050,Brantley County High School,All Students,Science,1845787,44185,45,45,20.8,20.4,18.7,18.7
2013-14,613,Brantley County,1050,Brantley County High School,All Students,Writing Subscore,976031,28370,14,14,7.1,7,5.9,5.9
2013-14,614,Brooks County,110,Brooks County High School,All Students,Combined English Writing,976031,28370,22,22,20.6,20.2,15.9,15.9
2013-14,614,Brooks County,110,Brooks County High School,All Students,Composite,1845787,44185,43,43,21,20.5,17,17
