SCHOOL_YEAR,SYSTEM_ID,SYSTEM_NAME,SCHOOL_ID,SCHOOL_NAME,direct_cert_perc
2014,614,Brooks County,0110,Brooks County High School,40
2014,614,Brooks County,0193,Quitman Elementary School,62
2014,614,Brooks County,0197,Brooks County Middle School,53
2014,614,Brooks County,0393,North Brooks Elementary School,46
2014,615,Bryan County,0101,Dr. George Washington Carver Elementary School,10
2014,615,Bryan County,0182,Richmond Hill High School,6
2014,615,Bryan County,0199,Richmond Hill Middle School,9
2014,615,Bryan County,0202,Richmond Hill Primary School,14
2014,615,Bryan County,0282,Lanier Primary School,40
2014,615,Bryan County,0286,Bryan County Elementary School,35
2014,615,Bryan County,0302,Richmond Hill Elementary School,12
2014,615,Bryan County,0402,Bryan County Middle School,35
2014,615,Bryan County,0502,Bryan County High School,25
2014,616,Bulloch County,0100,Mill Creek Elementary School,49
2014,616,Bulloch County,0107,New Nevils Elementary School,37
2014,616,Bulloch County,0198,William James Middle School,33
2014,616,Bulloch County,0199,Langston Chapel Elementary School,61
2014,616,Bulloch County,0200,Brooklet Elementary School,25
2014,616,Bulloch County,0203,New Southeast Bulloch High School,21
2014,616,Bulloch County,0299,Langston Chapel Middle School,47
2014,616,Bulloch County,0300,Southeast Bulloch Middle School,26
2014,616,Bulloch County,0399,Portal Elementary School,47
2014,616,Bulloch County,2050,Bryant Elementary School,33
2014,616,Bulloch County,2054,Statesboro High School,34
2014,616,Bulloch County,3054,Stilson Elementary School,34
2014,616,Bulloch County,4052,Portal Middle/High School,37
2014,616,Bulloch County,5050,Mattie Lively Elementary School,50
2014,616,Bulloch County,5054,Sallie Zetterower Elementary School,36
2014,617,Burke County,0104,Blakeney Elementary,57
2014,617,Burke County,0188,Burke County Middle School,53
2014,617,Burke County,0196,S G A Elementary School,60
2014,617,Burke County,0288,Burke County High School,42
2014,617,Burke County,2056,Waynesboro Primary School,63
2014,618,Butts County,0100,Henderson Middle School,45
2014,618,Butts County,0104,Hampton L. Daughtry Elementary School,51
2014,618,Butts County,0108,Stark Elementary School,49
2014,618,Butts County,0111,Jackson Elementary School,52
2014,618,Butts County,0190,Jackson High School,32
2014,619,Calhoun County,0113,Calhoun County High School,50
2014,619,Calhoun County,0179,Calhoun County Elementary School,73
2014,619,Calhoun County,0213,Calhoun County Middle School,73
2014,620,Camden County,0100,Mamie Lou Gross Elementary School,43
2014,620,Camden County,0105,Saint Marys Middle School,23
2014,620,Camden County,0110,Saint Marys Elementary School,36
2014,620,Camden County,0182,Camden Middle School,32
2014,620,Camden County,0187,Crooked River Elementary School,20
2014,620,Camden County,0189,Matilda Harris Elementary School,19
2014,620,Camden County,0192,Woodbine Elementary School,42
2014,620,Camden County,0193,Kingsland Elementary School,37
2014,620,Camden County,0195,David L Rainer Elementary School,30
2014,620,Camden County,0197,Sugarmill Elementary,24
2014,620,Camden County,0295,Camden County High School,19
2014,620,Camden County,0495,Mary Lee Clark Elementary School,25
2014,621,Candler County,0101,Metter High School ,31
2014,621,Candler County,0102,Metter Middle School,40
2014,621,Candler County,0202,Metter Intermediate School,46
2014,621,Candler County,0302,Metter Elementary School,52
2014,622,Carroll County,0100,Sharp Creek Elementary School,53
2014,622,Carroll County,0101,Bowdon Middle School,36
2014,622,Carroll County,0102,Temple Middle School,37
2014,622,Carroll County,0112,KidsPeace,47
2014,622,Carroll County,0115,Providence Elementary School,39
2014,622,Carroll County,0176,Mount Zion Elementary School,51
2014,622,Carroll County,0177,Central Middle School,37
2014,622,Carroll County,0189,Temple High School,32
2014,622,Carroll County,0198,Bay Springs Middle School,34
2014,622,Carroll County,0208,Mt. Zion Middle School ,46
2014,622,Carroll County,0212,Mt. Zion High School,34
2014,622,Carroll County,0305,Villa Rica Middle,39
2014,622,Carroll County,0377,Roopville Elementary School,35
2014,622,Carroll County,0405,Ithica Elementary ,36
2014,622,Carroll County,0477,Whitesburg Elementary School,44
2014,622,Carroll County,0605,Glanton-Hindsman Elementary,46
2014,622,Carroll County,0705,Villa Rica Elementary School,46
2014,622,Carroll County,1054,Temple Elementary School,51
2014,622,Carroll County,2050,Bowdon Elementary School,42
2014,622,Carroll County,2052,Central High School,26
2014,622,Carroll County,3050,Bowdon High School,25
2014,622,Carroll County,5050,Central Elementary School,35
2014,622,Carroll County,5052,Sand Hill Elementary School,43
2014,622,Carroll County,5054,Villa Rica High School,29
2014,623,Catoosa County,0100,Ringgold Primary School,26
2014,623,Catoosa County,0102,Battlefield Primary,36
2014,623,Catoosa County,0103,Battlefield Elementary School,28
2014,623,Catoosa County,0105,Woodstation Elementary School,19
2014,623,Catoosa County,0109,Heritage High School,14
2014,623,Catoosa County,0185,Tiger Creek Elementary School,38
2014,623,Catoosa County,0205,Heritage Middle School,17
2014,623,Catoosa County,1050,Boynton Elementary School,19
2014,623,Catoosa County,1052,Lakeview-Fort Oglethorpe High School,28
2014,623,Catoosa County,1054,West Side Elementary School,46
2014,623,Catoosa County,2552,Lakeview Middle School,37
2014,623,Catoosa County,3050,Cloud Springs Elementary School,49
2014,623,Catoosa County,3052,Ringgold Elementary School,25
2014,623,Catoosa County,4052,Ringgold High School,20
2014,623,Catoosa County,5050,Graysville Elementary School,25
2014,623,Catoosa County,5052,Ringgold Middle School,26
2014,624,Charlton County,0112,Bethune Middle School,39
2014,624,Charlton County,0199,Folkston Elementary School,50
2014,624,Charlton County,0287,Charlton County High School,23
2014,624,Charlton County,4050,St. George Elementary School,29
2014,625,Chatham County,0101,Johnson High School,39
2014,625,Chatham County,0107,UHS of Savannah Coastal Harbor Treatment Center,49
2014,625,Chatham County,0109,Coastal Empire Montessori Charter School,34
2014,625,Chatham County,0115,Woodville-Tompkins Technical and Career High School,29
2014,625,Chatham County,0116,Pulaski Elementary SChool,27
2014,625,Chatham County,0117,New Hampstead High School,20
2014,625,Chatham County,0118,Oglethorpe Charter School,17
2014,625,Chatham County,0124,The STEM Academy at Bartlett,28
2014,625,Chatham County,0125,Tybee Island Maritime Academy School,11
2014,625,Chatham County,0128,Savannah Classical Academy Charter School,38
2014,625,Chatham County,0191,East Broad Street School,77
2014,625,Chatham County,0192,Esther F. Garrison School of Visual and Performing Arts,18
2014,625,Chatham County,0194,Georgetown School,26
2014,625,Chatham County,0197,Garden City Elementary School,62
2014,625,Chatham County,0199,West Chatham Middle School,32
2014,625,Chatham County,0200,West Chatham Elementary School,23
2014,625,Chatham County,0201,DeRenne Middle School,69
2014,625,Chatham County,0210,The School of Liberal Studies at Savannah High,56
2014,625,Chatham County,0211,Godley Station School,17
2014,625,Chatham County,0298,Marshpoint Elementary School,17
2014,625,Chatham County,0299,Southwest Middle School,40
2014,625,Chatham County,0300,Southwest Elementary School,41
2014,625,Chatham County,0301,Myers Middle School ,62
2014,625,Chatham County,0311,Coastal Middle School,20
2014,625,Chatham County,0411,Islands High School,16
2014,625,Chatham County,0499,Savannah Arts Academy,3
2014,625,Chatham County,0511,Shuman Elementary School,69
2014,625,Chatham County,1052,Otis J Brock III Elementary School,80
2014,625,Chatham County,1056,Gadsden Elementary School,80
2014,625,Chatham County,1058,Heard Elementary School,35
2014,625,Chatham County,1060,Howard Elementary School,13
2014,625,Chatham County,1070,White Bluff Elementary School,57
2014,625,Chatham County,2052,Beach High School,50
2014,625,Chatham County,2056,Gould Elementary School,47
2014,625,Chatham County,2060,Hubert Middle School,67
2014,625,Chatham County,2062,Largo-Tibet Elementary School,49
2014,625,Chatham County,2068,Spencer Elementary School,78
2014,625,Chatham County,2069,Thunderbolt Elementary School,66
2014,625,Chatham County,3056,Groves High School,34
2014,625,Chatham County,3060,Isle of Hope School,46
2014,625,Chatham County,3062,Low Elementary School,66
2014,625,Chatham County,3064,Pooler Elementary School,38
2014,625,Chatham County,4052,Bloomingdale Elementary School,37
2014,625,Chatham County,4054,Ellis Elementary School,18
2014,625,Chatham County,4056,Haven Elementary School,77
2014,625,Chatham County,4058,Hesse School,25
2014,625,Chatham County,4068,Port Wentworth Elementary School,51
2014,625,Chatham County,4070,Windsor Forest Elementary School,47
2014,625,Chatham County,5052,Butler Elementary School,64
2014,625,Chatham County,5058,Hodge Elementary School,72
2014,625,Chatham County,5060,Jenkins High School,34
2014,625,Chatham County,5062,Mercer Middle School,62
2014,625,Chatham County,5066,Jacob G. Smith Elementary School,23
2014,625,Chatham County,5070,Windsor Forest High School,28
2014,626,Chattahoochee County,0101,Chattahoochee County Education Center,50
2014,626,Chattahoochee County,0106,Chattahoochee County Middle School,41
2014,626,Chattahoochee County,0206,Chattahoochee County High School,12
2014,627,Chattooga County,0106,Leroy Massey Elementary School,62
2014,627,Chattooga County,0111,Chattooga Academy,56
2014,627,Chattooga County,1050,Chattooga High School,37
2014,627,Chattooga County,2050,Lyerly Elementary School,44
2014,627,Chattooga County,2052,Summerville Middle School,58
2014,627,Chattooga County,3050,Menlo Elementary School,37
2014,628,Cherokee County,0101,Carmel Elementary School,23
2014,628,Cherokee County,0104,Woodstock Elementary School,22
2014,628,Cherokee County,0105,"William G. Hasty, Sr. Elementary School",46
2014,628,Cherokee County,0106,Creekview High School,8
2014,628,Cherokee County,0108,Avery Elementary School,12
2014,628,Cherokee County,0113,Mill Creek Middle School,13
2014,628,Cherokee County,0115,River Ridge High School,8
2014,628,Cherokee County,0116,Indian Knoll Elementary,18
2014,628,Cherokee County,0176,Etowah High School,9
2014,628,Cherokee County,0181,E. T. Booth Middle School,15
2014,628,Cherokee County,0182,Johnston Elementary School,20
2014,628,Cherokee County,0187,Rusk Middle School,12
2014,628,Cherokee County,0189,Boston Elementary School,18
2014,628,Cherokee County,0190,Mountain Road Elementary School,11
2014,628,Cherokee County,0191,Sequoyah High School,8
2014,628,Cherokee County,0193,Sixes Elementary School,6
2014,628,Cherokee County,0196,Bascomb Elementary School,7
2014,628,Cherokee County,0197,Woodstock High School,11
2014,628,Cherokee County,0198,R. M. Moore Elementary School,23
2014,628,Cherokee County,0199,Holly Springs Elementary School,23
2014,628,Cherokee County,0203,Liberty Elementary School,12
2014,628,Cherokee County,0205,Freedom Middle School,6
2014,628,Cherokee County,0213,Ball Ground Elementary School,21
2014,628,Cherokee County,0287,Teasley Middle School,26
2014,628,Cherokee County,0297,Woodstock Middle School,15
2014,628,Cherokee County,0305,Creekland Middle School,8
2014,628,Cherokee County,0309,Little River Elem.,11
2014,628,Cherokee County,0313,Clark Creek Elementary School,27
2014,628,Cherokee County,0397,Arnold Mill Elementary School,13
2014,628,Cherokee County,0409,Canton Elementary,46
2014,628,Cherokee County,0505,Free Home Elementary School,15
2014,628,Cherokee County,0509,J. Knox Elementary,16
2014,628,Cherokee County,1052,Clayton Elementary School,24
2014,628,Cherokee County,2054,Oak Grove Elementary School,34
2014,628,Cherokee County,3052,Hickory Flat Elementary School,7
2014,628,Cherokee County,5050,Cherokee High School,16
2014,628,Cherokee County,5052,Macedonia Elementary School,5
2014,629,Clarke County,0102,Cedar Shoals High School,39
2014,629,Clarke County,0104,Classic City High School,34
2014,629,Clarke County,0105,Alps Road Elementary School,72
2014,629,Clarke County,0112,Judia Jackson Harris Elementary,64
2014,629,Clarke County,0178,Timothy Elementary School,29
2014,629,Clarke County,0191,Cleveland Road Elementary School,51
2014,629,Clarke County,0196,Coile Middle School,51
2014,629,Clarke County,0205,Gaines Elementary School,75
2014,629,Clarke County,0291,Howard B. Stroud Elementary School,79
2014,629,Clarke County,0296,Burney-Harris-Lyons Middle School,49
2014,629,Clarke County,0391,Whit Davis Road Elementary School,43
2014,629,Clarke County,1058,Clarke Middle School,44
2014,629,Clarke County,1062,Whitehead Road Elementary School,48
2014,629,Clarke County,2056,Barnett Shoals Elementary School,49
2014,629,Clarke County,2062,Winterville Elementary School,52
2014,629,Clarke County,3056,Barrow Elementary School,42
2014,629,Clarke County,3058,Fowler Drive Elementary School,68
2014,629,Clarke County,4060,Oglethorpe Avenue Elementary School,55
2014,629,Clarke County,5056,Chase Street Elementary School,44
2014,629,Clarke County,5058,Hilsman Middle School,49
2014,629,Clarke County,5556,Clarke Central High School,35
2014,630,Clay County,0104,Clay County Middle School,86
2014,630,Clay County,0114,Clay County 9th Grade Academy School,89
2014,630,Clay County,0204,Clay County Elementary,82
2014,631,Clayton County,0100,M. D. Roberts Middle School,36
2014,631,Clayton County,0103,Callaway Elementary School,55
2014,631,Clayton County,0104,Mundy's Mill High School,43
