LONG_SCHOOL_YEAR,SCHOOL_DISTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,SUBGRP_DESC,TEST_CMPNT_TYP_CD,NATIONAL_NUM_TESTED_CNT,STATE_NUM_TESTED_CNT,DSTRCT_NUM_TESTED_CNT,INSTN_NUM_TESTED_CNT,STATE_AVG_SCORE_VAL,DSTRCT_AVG_SCORE_VAL,INSTN_AVG_SCORE_VAL
2015-16,607,Barrow County,3052,Winder-Barrow High School,All Students,Essay Reading Score - New,,16319,138,59,5,5,5
2015-16,607,Barrow County,3052,Winder-Barrow High School,All Students,Essay Total,,16311,138,59,14,13,13
2015-16,607,Barrow County,3052,Winder-Barrow High School,All Students,Essay Writing Score - New,,16374,138,59,5,5,5
2015-16,607,Barrow County,3052,Winder-Barrow High School,All Students,Evidence Based Reading and Writing - New,,28110,185,98,551,540,554
2015-16,607,Barrow County,3052,Winder-Barrow High School,All Students,Math Section Score - New,,28138,185,98,532,517,534
2015-16,607,Barrow County,3052,Winder-Barrow High School,All Students,Reading Test  Score - New,,28234,187,100,277,270,278
2015-16,607,Barrow County,3052,Winder-Barrow High School,All Students,WritLang Test  Score - New,,28265,185,98,275,270,275
2015-16,608,Bartow County,105,Adairsville High School,All Students,Combined Test Score,,28212.33333,108,22,1084,1063,1005
2015-16,608,Bartow County,105,Adairsville High School,All Students,Essay Analysis Score - New,,16239,62,11,4,4,3
2015-16,608,Bartow County,105,Adairsville High School,All Students,Essay Reading Score - New,,16319,61,11,5,5,4
2015-16,608,Bartow County,105,Adairsville High School,All Students,Essay Total,,16311,61,11,14,13,11
2015-16,608,Bartow County,105,Adairsville High School,All Students,Essay Writing Score - New,,16374,61,11,5,5,4
2015-16,608,Bartow County,105,Adairsville High School,All Students,Evidence Based Reading and Writing - New,,28110,107,22,551,540,506
2015-16,608,Bartow County,105,Adairsville High School,All Students,Math Section Score - New,,28138,107,22,532,522,500
2015-16,608,Bartow County,105,Adairsville High School,All Students,Reading Test  Score - New,,28234,109,22,277,271,255
2015-16,608,Bartow County,105,Adairsville High School,All Students,WritLang Test  Score - New,,28265,108,22,275,270,251
2015-16,608,Bartow County,114,Cass High School,All Students,Combined Test Score,,28212.33333,108,42.33333333,1084,1063,1051
2015-16,608,Bartow County,114,Cass High School,All Students,Essay Analysis Score - New,,16239,62,26,4,4,4
