"DETAIL_LVL_DESC","INSTN_NUMBER","SCHOOL_DSTRCT_CD","LONG_SCHOOL_YEAR","INSTN_NAME","SCHOOL_DSTRCT_NM","GRADES_SERVED_DESC","ENROLL_PERCENT_ASIAN","ENROLL_PERCENT_NATIVE","ENROLL_PERCENT_BLACK","ENROLL_PERCENT_HISPANIC","ENROLL_PERCENT_MULTIRACIAL","ENROLL_PERCENT_WHITE","ENROLL_PERCENT_MIGRANT","ENROLL_PERCENT_ED","ENROLL_PERCENT_SWD","ENROLL_PERCENT_LEP","ENROLL_COUNT_REMEDIAL_GR_6_8","ENROLL_PCT_REMEDIAL_GR_6_8","ENROLL_COUNT_EIP_K_5","ENROLL_PERCENT_EIP_K_5","ENROLL_COUNT_REMEDIAL_GR_9_12","ENROLL_PCT_REMEDIAL_GR_9_12","ENROLL_COUNT_SPECIAL_ED_K12","ENROLL_PCT_SPECIAL_ED_K12","ENROLL_COUNT_ESOL","ENROLL_PCT_ESOL","ENROLL_COUNT_SPECIAL_ED_PK","ENROLL_PCT_SPECIAL_ED_PK","ENROLL_COUNT_VOCATION_9_12","ENROLL_PCT_VOCATION_9_12","ENROLL_COUNT_ALT_PROGRAMS","ENROLL_PCT_ALT_PROGRAMS","ENROLL_COUNT_GIFTED","ENROLL_PCT_GIFTED","ENROLL_PERCENT_MALE","ENROLL_PERCENT_FEMALE"
"School","0194","605","2010-11","Midway Elementary School","Baldwin County","KK,01,02,03,04,05",0,0,63,1,3,32,0,87,10.2,0,,,122,23.1,,,54,10.2,0,0,0,0,,,532,0,25,4.7,53,47
"School","0195","605","2010-11","Blandy Hills Elementary School","Baldwin County","KK,01,02,03,04,05",1,1,57,3,3,35,0,68,5.9,,,,174,21.9,,,47,5.9,31,3.9,0,0,,,775,0,56,7,50,50
"School","0199","605","2010-11","Creekside Elementary School","Baldwin County","KK,01,02,03,04,05",3,0,53,3,3,39,0,68,9.2,,,,147,17.4,,,78,9.2,0,0,0,0,,,843,0,68,8,53,47
"District","ALL","605","2010-11","All Column Values","Baldwin County","KK,01,02,03,04,05,06,07,08,09,10,11,12",1,0,65,2,2,30,0,73,11,1,286,25.1,526,17.9,180,12.9,600,11,45,0.8,17,0.3,803,57.7,5164,1.5,451,8.2,51,49
"School","0105","606","2010-11","Banks County Middle School","Banks County","06,07,08",1,0,2,6,1,89,0,66,14.1,,43,6,,,,,101,14.1,11,1.5,0,0,,,709,0,67,9.3,49,51
"School","0107","606","2010-11","Banks County Elementary School","Banks County","03,04,05",1,0,2,9,2,86,0,67,17,,,,70,9.9,,,120,17,30,4.2,0,0,,,697,0,38,5.4,54,46
"School","0199","606","2010-11","Banks County High School","Banks County","09,10,11,12",3,0,3,7,0,87,0,61,15.2,,,,,,89,10.8,125,15.2,6,0.7,0,0,671,81.5,607,0,60,7.3,53,47
"School","0205","606","2010-11","Banks County Primary School","Banks County","PK,KK,01,02",1,0,2,6,2,89,0,64,16.7,,,,148,22.9,,,108,16.7,28,4.3,17,2.6,,,637,0,8,1.2,54,46
"District","ALL","606","2010-11","All Column Values","Banks County","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",2,0,2,7,1,88,0,64,15.7,4,43,6,218,16.1,89,10.8,454,15.7,75,2.6,17,0.6,671,81.5,2650,0,173,6,52,48
"School","0101","607","2010-11","Apalachee High School","Barrow County","09,10,11,12",7,0,15,12,3,63,0,58,11,,,,,,116,7.3,175,11,40,2.5,0,0,1016,64.1,1302,3.7,153,9.7,51,49
