LONG_SCHOOL_YEAR,SCHOOL_DISTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,NUMBER_OF_GRADUATES,HOPE_ELIGIBLE,HOPE_ELIGIBLE_PCT
2016-17,627,Chattooga County,ALL,All Schools,215,78,36.28
2016-17,628,Cherokee County,106,Creekview High School,431,257,59.63
2016-17,628,Cherokee County,115,River Ridge High School,388,234,60.31
2016-17,628,Cherokee County,176,Etowah High School,582,338,58.08
2016-17,628,Cherokee County,191,Sequoyah High School,397,212,53.4
2016-17,628,Cherokee County,197,Woodstock High School,478,270,56.49
2016-17,628,Cherokee County,5050,Cherokee High School,460,227,49.35
2016-17,628,Cherokee County,ALL,All Schools,2736,1538,56.21
2016-17,629,Clarke County,102,Cedar Shoals High School,253,91,35.97
2016-17,629,Clarke County,104,Classic City High School,43,,
2016-17,629,Clarke County,5556,Clarke Central High School,246,80,32.52
2016-17,629,Clarke County,ALL,All Schools,542,171,31.55
2016-17,631,Clayton County,104,Mundy's Mill High School,328,83,25.3
2016-17,631,Clayton County,114,Elite Scholars Academy School,59,37,62.71
2016-17,631,Clayton County,115,Charles R. Drew High School,242,65,26.86
2016-17,631,Clayton County,190,Lovejoy High School,349,110,31.52
2016-17,631,Clayton County,215,Martha Ellen Stilwell School for the Performing Arts,100,59,59
2016-17,631,Clayton County,290,Mount Zion High School,245,37,15.1
2016-17,631,Clayton County,377,Riverdale High School,273,63,23.08
2016-17,631,Clayton County,1054,Forest Park High School,319,79,24.76
2016-17,631,Clayton County,1056,Jonesboro High School,260,66,25.38
2016-17,631,Clayton County,2052,North Clayton High School,157,37,23.57
2016-17,631,Clayton County,4058,Morrow High School,368,91,24.73
2016-17,631,Clayton County,ALL,All Schools,2700,727,26.93
2016-17,632,Clinch County,1050,Clinch County High School,73,34,46.58
2016-17,632,Clinch County,ALL,All Schools,73,34,46.58
2016-17,633,Cobb County,101,Kennesaw Mountain High School,462,258,55.84
2016-17,633,Cobb County,103,Kell High School,342,149,43.57
2016-17,633,Cobb County,175,Walton High School,645,416,64.5
2016-17,633,Cobb County,188,Pope High School,479,290,60.54
2016-17,633,Cobb County,192,Harrison High School,477,326,68.34
2016-17,633,Cobb County,209,Allatoona High School,433,216,49.88
2016-17,633,Cobb County,373,Sprayberry High School,407,171,42.01
2016-17,633,Cobb County,381,Lassiter High School,503,331,65.81
2016-17,633,Cobb County,707,Hillgrove High School,542,288,53.14
2016-17,633,Cobb County,1054,Campbell High School,553,249,45.03
2016-17,633,Cobb County,1064,McEachern High School,491,152,30.96
2016-17,633,Cobb County,1069,Wheeler High School,455,226,49.67
2016-17,633,Cobb County,2056,North Cobb High School,707,376,53.18
2016-17,633,Cobb County,2066,Osborne High School,440,127,28.86
2016-17,633,Cobb County,3056,South Cobb High School,418,162,38.76
2016-17,633,Cobb County,4066,Pebblebrook High School,458,133,29.04
2016-17,633,Cobb County,ALL,All Schools,7812,3870,49.54
2016-17,634,Coffee County,114,Wiregrass Regional College and Career Academy,44,TFS,6.82
2016-17,634,Coffee County,195,Coffee County High School,362,159,43.92
2016-17,634,Coffee County,ALL,All Schools,406,162,39.9
2016-17,635,Colquitt County,112,Colquitt County Achievement Center,27,,
2016-17,635,Colquitt County,1554,Colquitt County High School,507,179,35.31
2016-17,635,Colquitt County,ALL,All Schools,534,179,33.52
2016-17,636,Columbia County,112,Grovetown High School,370,145,39.19
2016-17,636,Columbia County,183,Harlem High School,171,85,49.71
2016-17,636,Columbia County,189,Lakeside High School,314,170,54.14
2016-17,636,Columbia County,197,Greenbrier High School,374,226,60.43
2016-17,636,Columbia County,4050,Evans High School,410,174,42.44
2016-17,636,Columbia County,ALL,All Schools,1639,800,48.81
2016-17,637,Cook County,111,Cook High School,207,82,39.61
2016-17,637,Cook County,ALL,All Schools,207,82,39.61
2016-17,638,Coweta County,196,Northgate High School,406,216,53.2
2016-17,638,Coweta County,389,East Coweta High School,607,306,50.41
2016-17,638,Coweta County,5054,Newnan High School,489,219,44.79
2016-17,638,Coweta County,ALL,All Schools,1502,741,49.33
2016-17,639,Crawford County,193,Crawford County High School,99,26,26.26
2016-17,639,Crawford County,ALL,All Schools,99,26,26.26
2016-17,640,Crisp County,196,Crisp County High School,256,96,37.5
2016-17,640,Crisp County,ALL,All Schools,256,96,37.5
2016-17,641,Dade County,195,Dade County High School,125,45,36
2016-17,641,Dade County,ALL,All Schools,125,45,36
2016-17,642,Dawson County,198,Dawson County High School,229,122,53.28
2016-17,642,Dawson County,ALL,All Schools,229,122,53.28
2016-17,643,Decatur County,116,New Beginning Learning Center,18,,
2016-17,643,Decatur County,3050,Bainbridge High School,328,115,35.06
2016-17,643,Decatur County,ALL,All Schools,346,115,33.24
2016-17,644,DeKalb County,103,"Martin Luther King, Jr. High School",332,96,28.92
2016-17,644,DeKalb County,105,Miller Grove High School,212,40,18.87
2016-17,644,DeKalb County,112,Destiny Achievers Academy of Excellence,101,,
2016-17,644,DeKalb County,172,Cedar Grove High School,198,38,19.19
2016-17,644,DeKalb County,176,Redan High School,196,55,28.06
2016-17,644,DeKalb County,202,Lithonia High School,284,62,21.83
2016-17,644,DeKalb County,276,Stone Mountain High School,163,43,26.38
2016-17,644,DeKalb County,407,Dekalb Early College Academy,51,37,72.55
2016-17,644,DeKalb County,410,DeKalb School of the Arts,74,63,85.14
2016-17,644,DeKalb County,497,Stephenson High School,340,83,24.41
2016-17,644,DeKalb County,610,"Arabia Mountain High School - Academy of Engineering, Medicine and Environm",299,175,58.53
2016-17,644,DeKalb County,810,Elizabeth Andrews High School,191,TFS,2.62
2016-17,644,DeKalb County,1070,Tucker High School,355,137,38.59
2016-17,644,DeKalb County,2054,Columbia High School,182,49,26.92
2016-17,644,DeKalb County,2055,Druid Hills High School,277,121,43.68
2016-17,644,DeKalb County,3060,Lakeside High School,456,285,62.5
2016-17,644,DeKalb County,3070,McNair High School,130,22,16.92
2016-17,644,DeKalb County,4053,Clarkston High School,312,80,25.64
2016-17,644,DeKalb County,4054,Cross Keys High School,252,105,41.67
2016-17,644,DeKalb County,4069,Towers High School,183,40,21.86
2016-17,644,DeKalb County,5052,Chamblee Charter High School,284,169,59.51
2016-17,644,DeKalb County,5055,Dunwoody High School,354,246,69.49
2016-17,644,DeKalb County,5067,Southwest DeKalb High School,225,39,17.33
2016-17,644,DeKalb County,ALL,All Schools,5451,1990,36.51
2016-17,645,Dodge County,103,Dodge County High School,179,91,50.84
2016-17,645,Dodge County,292,DAC (Dodge County Achievement Center),13,,
2016-17,645,Dodge County,ALL,All Schools,192,91,47.4
2016-17,646,Dooly County,182,Dooly County High School,92,13,14.13
2016-17,646,Dooly County,ALL,All Schools,92,13,14.13
2016-17,647,Dougherty County,1050,Albany High School,166,31,18.67
2016-17,647,Dougherty County,1058,Monroe High School,218,41,18.81
2016-17,647,Dougherty County,2052,Dougherty Comprehensive High School,179,19,10.61
2016-17,647,Dougherty County,4062,Westover High School,260,83,31.92
2016-17,647,Dougherty County,ALL,All Schools,823,174,21.14
2016-17,648,Douglas County,100,Chapel Hill High School,300,120,40
2016-17,648,Douglas County,175,Lithia Springs Comprehensive High School,311,96,30.87
2016-17,648,Douglas County,187,Alexander High School,406,170,41.87
2016-17,648,Douglas County,212,New Manchester High School,387,126,32.56
2016-17,648,Douglas County,4050,Douglas County High School,423,186,43.97
2016-17,648,Douglas County,ALL,All Schools,1827,698,38.2
2016-17,649,Early County,2050,Early County High School,163,73,44.79
2016-17,649,Early County,ALL,All Schools,163,73,44.79
2016-17,650,Echols County,1050,Echols County High School,55,16,29.09
2016-17,650,Echols County,ALL,All Schools,55,16,29.09
2016-17,651,Effingham County,197,South Effingham High School,323,163,50.46
2016-17,651,Effingham County,390,Effingham County High School,433,210,48.5
2016-17,651,Effingham County,ALL,All Schools,756,373,49.34
2016-17,652,Elbert County,176,Elbert County High School,170,73,42.94
2016-17,652,Elbert County,ALL,All Schools,170,73,42.94
2016-17,653,Emanuel County,189,Swainsboro High School,140,70,50
2016-17,653,Emanuel County,2050,Emanuel County Institute,82,44,53.66
2016-17,653,Emanuel County,ALL,All Schools,222,114,51.35
2016-17,654,Evans County,2050,Claxton High School,59,23,38.98
2016-17,654,Evans County,ALL,All Schools,59,23,38.98
2016-17,655,Fannin County,176,Fannin County High School,149,76,51.01
2016-17,655,Fannin County,ALL,All Schools,149,76,51.01
2016-17,656,Fayette County,105,Whitewater High School,321,206,64.17
2016-17,656,Fayette County,182,McIntosh High School,363,235,64.74
2016-17,656,Fayette County,192,Sandy Creek High School,269,122,45.35
2016-17,656,Fayette County,198,Starrs Mill High School,327,231,70.64
2016-17,656,Fayette County,398,Fayette County High School,295,118,40
2016-17,656,Fayette County,ALL,All Schools,1575,912,57.9
2016-17,657,Floyd County,107,Pepperell High School,198,92,46.46
2016-17,657,Floyd County,111,Model High,154,84,54.55
2016-17,657,Floyd County,401,Armuchee High School,113,73,64.6
2016-17,657,Floyd County,5050,Coosa High School,154,71,46.1
2016-17,657,Floyd County,ALL,All Schools,619,320,51.7
2016-17,658,Forsyth County,107,West Forsyth High School,578,343,59.34
2016-17,658,Forsyth County,190,South Forsyth High School,701,473,67.48
2016-17,658,Forsyth County,195,North Forsyth High School,560,307,54.82
2016-17,658,Forsyth County,214,Lambert High School,689,532,77.21
2016-17,658,Forsyth County,219,Forsyth Virtual Academy,10,TFS,40
2016-17,658,Forsyth County,5050,Forsyth Central High School,482,233,48.34
2016-17,658,Forsyth County,ALL,All Schools,3020,1892,62.65
2016-17,659,Franklin County,3050,Franklin County High School,260,120,46.15
2016-17,659,Franklin County,ALL,All Schools,260,120,46.15
2016-17,660,Fulton County,106,Milton High School,500,308,61.6
2016-17,660,Fulton County,118,Hapeville Charter Career Academy,147,55,37.41
2016-17,660,Fulton County,119,Cambridge High School,507,322,63.51
2016-17,660,Fulton County,176,Banneker High School,190,30,15.79
2016-17,660,Fulton County,191,Roswell High School,484,255,52.69
2016-17,660,Fulton County,198,Centennial High School,450,229,50.89
2016-17,660,Fulton County,203,Northview High School,431,316,73.32
2016-17,660,Fulton County,205,Alpharetta High School,450,274,60.89
2016-17,660,Fulton County,291,Creekside High School,341,52,15.25
2016-17,660,Fulton County,383,McClarin High School,120,TFS,1.67
2016-17,660,Fulton County,386,Independence High School,144,TFS,3.47
2016-17,660,Fulton County,392,Chattahoochee High School,460,295,64.13
2016-17,660,Fulton County,691,Tri-Cities High School,321,93,28.97
2016-17,660,Fulton County,910,Johns Creek High School,496,345,69.56
2016-17,660,Fulton County,1110,Langston Hughes High School,448,113,25.22
2016-17,660,Fulton County,1320,Skyview High School,,,
2016-17,660,Fulton County,3066,Riverwood International Charter School,285,142,49.82
2016-17,660,Fulton County,4062,North Springs High School,366,134,36.61
2016-17,660,Fulton County,5069,Westlake High School,443,150,33.86
2016-17,660,Fulton County,ALL,All Schools,6586,3120,47.37
2016-17,661,Gilmer County,196,Gilmer High School,248,134,54.03
2016-17,661,Gilmer County,ALL,All Schools,248,134,54.03
2016-17,662,Glascock County,196,Glascock County Consolidated School,40,19,47.5
2016-17,662,Glascock County,ALL,All Schools,40,19,47.5
2016-17,663,Glynn County,3552,Brunswick High School,352,124,35.23
2016-17,663,Glynn County,4752,Glynn Academy,402,191,47.51
2016-17,663,Glynn County,ALL,All Schools,754,315,41.78
2016-17,664,Gordon County,106,Sonoraville High School,218,118,54.13
2016-17,664,Gordon County,286,Gordon Central High School,197,103,52.28
2016-17,664,Gordon County,ALL,All Schools,415,221,53.25
2016-17,665,Grady County,1050,Cairo High School,253,96,37.94
2016-17,665,Grady County,ALL,All Schools,253,96,37.94
2016-17,666,Greene County,401,Greene County High School,99,40,40.4
2016-17,666,Greene County,ALL,All Schools,99,40,40.4
2016-17,667,Gwinnett County,101,Grayson High School,659,373,56.6
2016-17,667,Gwinnett County,103,Norcross High School,657,244,37.14
2016-17,667,Gwinnett County,105,Mill Creek High School,920,563,61.2
2016-17,667,Gwinnett County,176,Parkview High School,659,330,50.08
2016-17,667,Gwinnett County,182,Brookwood High School,760,468,61.58
2016-17,667,Gwinnett County,185,Shiloh High School,387,102,26.36
2016-17,667,Gwinnett County,187,Meadowcreek High School,540,165,30.56
2016-17,667,Gwinnett County,189,Phoenix High School,194,10,5.15
2016-17,667,Gwinnett County,195,Collins Hill High School,654,340,51.99
2016-17,667,Gwinnett County,805,Peachtree Ridge High School,721,391,54.23
2016-17,667,Gwinnett County,1018,Lanier High School,353,192,54.39
2016-17,667,Gwinnett County,1019,"Gwinnett School of Mathematics, Science and Technology",189,125,66.14
2016-17,667,Gwinnett County,1050,Berkmar High School,470,176,37.45
2016-17,667,Gwinnett County,1214,Gwinnett Online Campus,85,18,21.18
2016-17,667,Gwinnett County,1410,Mountain View High School,445,216,48.54
