"LONG_SCHOOL_YEAR","SCHOOL_DISTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","TEST_CMPNT_TYP_NM","NUMBER_OF_STUDENTS_TESTED","NUMBER_TESTS_TAKEN","NOTESTS_3ORHIGHER"
"2016-17","601","Appling County","0103","Appling County High School","ALL Subjects",80,91,37
"2016-17","601","Appling County","0103","Appling County High School","Biology",5,,
"2016-17","601","Appling County","0103","Appling County High School","Calculus A",8,,
"2016-17","601","Appling County","0103","Appling County High School","Eng. Language & Comp",1,,
"2016-17","601","Appling County","0103","Appling County High School","Eng. Literature & Comp",10,10,5
"2016-17","601","Appling County","0103","Appling County High School","Geography: Human",15,15,5
"2016-17","601","Appling County","0103","Appling County High School","Psychology",41,41,18
"2016-17","601","Appling County","0103","Appling County High School","U.S. History",9,,
"2016-17","601","Appling County","0103","Appling County High School","World History",2,,
"2016-17","601","Appling County","SCHOOL_ALL","SCHOOL_ALL","ALL Subjects",80,91,37
"2016-17","601","Appling County","SCHOOL_ALL","SCHOOL_ALL","Biology",5,,
"2016-17","601","Appling County","SCHOOL_ALL","SCHOOL_ALL","Calculus A",8,,
"2016-17","601","Appling County","SCHOOL_ALL","SCHOOL_ALL","Eng. Language & Comp",1,,
"2016-17","601","Appling County","SCHOOL_ALL","SCHOOL_ALL","Eng. Literature & Comp",10,10,5
"2016-17","601","Appling County","SCHOOL_ALL","SCHOOL_ALL","Geography: Human",15,15,5
"2016-17","601","Appling County","SCHOOL_ALL","SCHOOL_ALL","Psychology",41,41,18
"2016-17","601","Appling County","SCHOOL_ALL","SCHOOL_ALL","U.S. History",9,,
"2016-17","601","Appling County","SCHOOL_ALL","SCHOOL_ALL","World History",2,,
"2016-17","602","Atkinson County","0103","Atkinson County High School","ALL Subjects",38,45,9
"2016-17","602","Atkinson County","0103","Atkinson County High School","Biology",14,14,7
"2016-17","602","Atkinson County","0103","Atkinson County High School","Eng. Literature & Comp",29,29,2
"2016-17","602","Atkinson County","0103","Atkinson County High School","Environmental Science",2,,
"2016-17","602","Atkinson County","SCHOOL_ALL","SCHOOL_ALL","ALL Subjects",38,45,9
"2016-17","602","Atkinson County","SCHOOL_ALL","SCHOOL_ALL","Biology",14,14,7
"2016-17","602","Atkinson County","SCHOOL_ALL","SCHOOL_ALL","Eng. Literature & Comp",29,29,2
"2016-17","602","Atkinson County","SCHOOL_ALL","SCHOOL_ALL","Environmental Science",2,,
"2016-17","603","Bacon County","0302","Bacon County High School","ALL Subjects",1,,
