LONG_SCHOOL_YEAR,SCHOOL_DISTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,NUMBER_OF_GRADUATES,HOPE_ELIGIBLE,HOPE_ELIGIBLE_PCT
2010-11,601,Appling County,103,Appling County High School,162,64,39.51
2010-11,601,Appling County,ALL,All Schools,162,64,39.51
2010-11,602,Atkinson County,103,Atkinson County High School,84,30,35.71
2010-11,602,Atkinson County,ALL,All Schools,84,30,35.71
2010-11,603,Bacon County,302,Bacon County High School,96,40,41.67
2010-11,603,Bacon County,ALL,All Schools,96,40,41.67
2010-11,604,Baker County,105,Baker County K12 School,12,TFS,16.67
2010-11,604,Baker County,ALL,All Schools,12,TFS,16.67
2010-11,605,Baldwin County,189,Baldwin High School,257,59,22.96
2010-11,605,Baldwin County,ALL,All Schools,257,59,22.96
2010-11,606,Banks County,199,Banks County High School,177,80,45.2
2010-11,606,Banks County,ALL,All Schools,177,80,45.2
2010-11,607,Barrow County,101,Apalachee High School,285,119,41.75
2010-11,607,Barrow County,3052,Winder-Barrow High School,319,127,39.81
2010-11,607,Barrow County,ALL,All Schools,604,246,40.73
2010-11,608,Bartow County,105,Adairsville High School,167,46,27.54
2010-11,608,Bartow County,198,Woodland High School,279,104,37.28
2010-11,608,Bartow County,577,Cass High School,263,84,31.94
2010-11,608,Bartow County,ALL,All Schools,709,234,33
2010-11,609,Ben Hill County,291,Fitzgerald High School,132,62,46.97
2010-11,609,Ben Hill County,ALL,All Schools,132,62,46.97
2010-11,610,Berrien County,101,Berrien High School,158,70,44.3
2010-11,610,Berrien County,106,Berrien Academy Performance Learning Center,,,
2010-11,610,Berrien County,ALL,All Schools,167,71,42.51
2010-11,611,Bibb County,105,Howard High School,162,52,32.1
2010-11,611,Bibb County,186,Central High School,158,45,28.48
2010-11,611,Bibb County,198,Westside High School,195,31,15.9
2010-11,611,Bibb County,204,Rutland High School,195,66,33.85
2010-11,611,Bibb County,286,Northeast High School,127,32,25.2
2010-11,611,Bibb County,303,William S. Hutchings Career Center,56,12,21.43
2010-11,611,Bibb County,386,Southwest High School,115,29,25.22
2010-11,611,Bibb County,ALL,All Schools,1008,267,26.49
2010-11,612,Bleckley County,105,Bleckley County High School,149,58,38.93
2010-11,612,Bleckley County,ALL,All Schools,149,58,38.93
2010-11,613,Brantley County,1050,Brantley County High School,172,77,44.77
2010-11,613,Brantley County,ALL,All Schools,172,77,44.77
2010-11,614,Brooks County,110,Brooks County High School,123,34,27.64
2010-11,614,Brooks County,ALL,All Schools,123,34,27.64
2010-11,615,Bryan County,182,Richmond Hill High School,323,141,43.65
2010-11,615,Bryan County,502,Bryan County High School,134,59,44.03
2010-11,615,Bryan County,ALL,All Schools,457,200,43.76
2010-11,616,Bulloch County,203,Southeast Bulloch High School,163,63,38.65
2010-11,616,Bulloch County,2054,Statesboro High School,217,106,48.85
2010-11,616,Bulloch County,4052,Portal Middle/High School,56,20,35.71
2010-11,616,Bulloch County,ALL,All Schools,436,189,43.35
2010-11,617,Burke County,288,Burke County High School,248,57,22.98
2010-11,617,Burke County,ALL,All Schools,248,57,22.98
2010-11,618,Butts County,190,Jackson High School,220,80,36.36
2010-11,618,Butts County,ALL,All Schools,220,80,36.36
2010-11,619,Calhoun County,4050,Calhoun County Middle/High School,26,TFS,26.92
2010-11,619,Calhoun County,ALL,All Schools,26,TFS,26.92
