"SCHOOL_YEAR","SYSTEM_ID","SYSTEM_NAME","SCHOOL_ID","SCHOOL_NAME","NEW_ELL_STUDENTS_COUNT"
"2016","628","Cherokee County","0116","Indian Knoll Elementary",6
"2016","628","Cherokee County","0181","E. T. Booth Middle School",4
"2016","628","Cherokee County","0182","Johnston Elementary School",2
"2016","628","Cherokee County","0187","Rusk Middle School",7
"2016","628","Cherokee County","0189","Boston Elementary School",2
"2016","628","Cherokee County","0190","Mountain Road Elementary School",1
"2016","628","Cherokee County","0196","Bascomb Elementary School",3
"2016","628","Cherokee County","0199","Holly Springs Elementary School",3
"2016","628","Cherokee County","0203","Liberty Elementary School",2
"2016","628","Cherokee County","0205","Freedom Middle School",2
"2016","628","Cherokee County","0287","Teasley Middle School",10
"2016","628","Cherokee County","0297","Woodstock Middle School",11
"2016","628","Cherokee County","0305","Creekland Middle School",3
"2016","628","Cherokee County","0309","Little River Elem.",9
"2016","628","Cherokee County","0313","Clark Creek Elementary School",1
"2016","628","Cherokee County","0397","Arnold Mill Elementary School",1
"2016","628","Cherokee County","0409","Canton Elementary",14
"2016","628","Cherokee County","0509","J. Knox Elementary",1
"2016","628","Cherokee County","2054","Oak Grove Elementary School",3
"2016","628","Cherokee County","3052","Hickory Flat Elementary School",2
"2016","628","Cherokee County","ALL","All Schools",114
"2016","629","Clarke County","0105","Alps Road Elementary School",4
"2016","629","Clarke County","0112","Judia Jackson Harris Elementary",1
"2016","629","Clarke County","0178","Timothy Elementary School",12
"2016","629","Clarke County","0205","Gaines Elementary School",3
"2016","629","Clarke County","0296","Burney-Harris-Lyons Middle School",3
"2016","629","Clarke County","0391","Whit Davis Road Elementary School",2
"2016","629","Clarke County","1058","Clarke Middle School",7
"2016","629","Clarke County","1062","Whitehead Road Elementary School",3
"2016","629","Clarke County","2062","Winterville Elementary School",1
"2016","629","Clarke County","3056","Barrow Elementary School",17
"2016","629","Clarke County","4060","Oglethorpe Avenue Elementary School",1
"2016","629","Clarke County","5058","Hilsman Middle School",3
"2016","629","Clarke County","ALL","All Schools",57
"2016","631","Clayton County","0105","Thurgood Marshall Elementary School",3
"2016","631","Clayton County","0106","Jonesboro Middle School",5
"2016","631","Clayton County","0107","Sequoyah Middle School",8
"2016","631","Clayton County","0109","Mount Zion Primary",1
"2016","631","Clayton County","0116","Eddie White Academy",3
"2016","631","Clayton County","0117","Morrow Middle School",7
"2016","631","Clayton County","0173","Kilpatrick Elementary School",5
"2016","631","Clayton County","0174","Mundys Mill Middle School",1
"2016","631","Clayton County","0175","Brown Elementary School",3
"2016","631","Clayton County","0176","Mount Zion Elementary School",6
"2016","631","Clayton County","0177","Adamson Middle School",2
"2016","631","Clayton County","0181","Pointe South Elementary School",1
"2016","631","Clayton County","0195","River's Edge Elementary School",2
"2016","631","Clayton County","0197","Kendrick Middle School",3
"2016","631","Clayton County","0199","Hawthorne Elementary School",4
"2016","631","Clayton County","0200","Roberta T. Smith Elementary School",1
"2016","631","Clayton County","0203","Harper Elementary School",1
"2016","631","Clayton County","0204","Martin Luther King, Jr. Elementary School",3
"2016","631","Clayton County","0207","Rex Mill Middle School",3
"2016","631","Clayton County","0277","Pointe South Middle School",1
"2016","631","Clayton County","0295","Lake Ridge Elementary School",1
"2016","631","Clayton County","0304","James Jackson Elementary School",2
"2016","631","Clayton County","0305","Kemp Elem School",3
"2016","631","Clayton County","0307","Unidos Dual Language Charter School",3
"2016","631","Clayton County","1052","East Clayton Elementary School",1
"2016","631","Clayton County","1058","Lee Street Elementary School",1
"2016","631","Clayton County","1062","Tara Elementary School",1
"2016","631","Clayton County","1550","Arnold Elementary School",1
"2016","631","Clayton County","2054","Forest Park Middle School",1
"2016","631","Clayton County","2058","Morrow Elementary School",2
"2016","631","Clayton County","2060","Riverdale Elementary School",8
"2016","631","Clayton County","2062","West Clayton Elementary School",1
"2016","631","Clayton County","2554","Fountain Elementary School",1
"2016","631","Clayton County","3050","Babb Middle School",10
"2016","631","Clayton County","3052","North Clayton Middle School",1
"2016","631","Clayton County","3054","Haynie Elementary School",10
"2016","631","Clayton County","3060","Riverdale Middle School",1
"2016","631","Clayton County","4050","Church Street Elementary School",1
"2016","631","Clayton County","4056","Lake City Elementary School",3
"2016","631","Clayton County","4060","Suder Elementary School",7
"2016","631","Clayton County","5054","Huie Elementary School",2
"2016","631","Clayton County","5056","William M. McGarrah Elementary School",3
"2016","631","Clayton County","ALL","All Schools",127
"2016","632","Clinch County","0101","Clinch County Elementary School",1
"2016","632","Clinch County","ALL","All Schools",1
"2016","633","Cobb County","0102","Riverside Intermediate School",10
"2016","633","Cobb County","0114","East Side Elementary School",14
"2016","633","Cobb County","0117","Clarkdale Elementary School",2
"2016","633","Cobb County","0118","Mableton Elementary School",5
"2016","633","Cobb County","0173","Birney Elementary School",5
"2016","633","Cobb County","0180","Still Elementary School",1
"2016","633","Cobb County","0181","Tritt Elementary School",2
"2016","633","Cobb County","0185","Garrison Mill Elementary School",1
"2016","633","Cobb County","0189","Baker Elementary School",3
"2016","633","Cobb County","0190","Dowell Elementary School",4
"2016","633","Cobb County","0191","Varner Elementary School",2
"2016","633","Cobb County","0194","Hayes Elementary School",5
"2016","633","Cobb County","0202","Lindley Middle School",9
"2016","633","Cobb County","0204","Pitner Elementary School",1
"2016","633","Cobb County","0214","Smyrna Elementary School",6
"2016","633","Cobb County","0275","Dodgen Middle School",4
"2016","633","Cobb County","0278","Mount Bethel Elementary School",4
"2016","633","Cobb County","0280","Pine Mountain Middle School",2
"2016","633","Cobb County","0281","Dickerson Middle School",6
"2016","633","Cobb County","0287","Lewis Elementary School",3
"2016","633","Cobb County","0288","Mountain View Elementary School",1
"2016","633","Cobb County","0290","Campbell Middle School",12
"2016","633","Cobb County","0291","Shallowford Falls Elementary School",1
"2016","633","Cobb County","0294","Smitha Middle School",2
"2016","633","Cobb County","0298","Cheatham Hill Elementary School",4
"2016","633","Cobb County","0302","Acworth Intermediate School",1
