sys_sch,SystemId,systemname,schoolname,SchoolId,grade,SingleScore
608296,608,Bartow County,Kingston Elementary School,296,B,80.60000000000001
608301,608,Bartow County,Adairsville Middle School,301,B,81.40000000000001
608377,608,Bartow County,Hamilton Crossing Elementary School,377,D,67.40000000000001
608396,608,Bartow County,Taylorsville Elementary School,396,C,72.7
609111,609,Ben Hill County,Ben Hill Elementary School,111,D,64.60000000000001
609196,609,Ben Hill County,Ben Hill County Primary School,196,,
609291,609,Ben Hill County,Fitzgerald High School,291,D,67.8
609296,609,Ben Hill County,Ben Hill County Middle School,296,C,72.10000000000001
610101,610,Berrien County,Berrien High School,101,B,86.40000000000001
610106,610,Berrien County,Berrien Academy Performance Learning Center,106,F,54.2
610194,610,Berrien County,Berrien Middle School,194,B,83.30000000000001
610195,610,Berrien County,Berrien Elementary School,195,B,83.40000000000001
6105050,610,Berrien County,Berrien Primary School,5050,,
6111005,611,Bibb County,Brookdale Elementary School,1005,F,48.8
611103,611,Bibb County,Skyview Elementary School,103,C,70.5
611104,611,Bibb County,Burdell Elementary School,104,C,76.10000000000001
611105,611,Bibb County,Howard High School,105,C,78.40000000000001
6111050,611,Bibb County,Alexander II Magnet School,1050,A,94.80000000000001
6111054,611,Bibb County,Bernd Elementary School,1054,F,51.7
6111067,611,Bibb County,Porter Elementary School,1067,C,75.8
611108,611,Bibb County,Ballard Hudson Middle School,108,F,42.40000000000001
611109,611,Bibb County,Bruce Elementary School,109,F,49
6111105,611,Bibb County,Springdale Elementary School,1105,A,91.40000000000001
6111205,611,Bibb County,Carter Elementary School,1205,D,64.40000000000001
6111305,611,Bibb County,Lane Elementary School,1305,D,62.90000000000001
6111306,611,Bibb County,Martin Luther King Jr Elementary School,1306,F,45.7
6111307,611,Bibb County,Southfield Elementary School,1307,F,47.1
6111309,611,Bibb County,Veteran’s Elementary School,1309,F,51.5
611186,611,Bibb County,Central High School,186,D,62.5
611198,611,Bibb County,Westside High School,198,F,57.7
611203,611,Bibb County,Vineville Academy,203,B,82
611204,611,Bibb County,Rutland High School,204,D,68.3
611205,611,Bibb County,Howard Middle School,205,C,70.40000000000001
6112060,611,Bibb County,Hartley Elementary School,2060,F,52.40000000000001
611286,611,Bibb County,Northeast High School,286,F,52.6
611298,611,Bibb County,Miller Magnet Middle School,298,F,59.8
611305,611,Bibb County,Rutland Middle School,305,D,61.1
6113060,611,Bibb County,Heard Elementary School,3060,B,82.5
6113067,611,Bibb County,Ingram/Pye Elementary School,3067,D,61.90000000000001
611383,611,Bibb County,Williams Elementary School,383,D,62.7
611386,611,Bibb County,Southwest High School,386,F,59
611405,611,Bibb County,Rosa Taylor Elementary School,405,D,64.90000000000001
611505,611,Bibb County,Weaver Middle School,505,F,54.8
6115050,611,Bibb County,Appling Middle School,5050,F,51.3
611605,611,Bibb County,Heritage Elementary School,605,B,81.10000000000001
611705,611,Bibb County,Union Elementary School,705,F,53.3
612105,612,Bleckley County,Bleckley County High School,105,B,88.5
6121050,612,Bleckley County,Bleckley County Primary School,1050,,
612112,612,Bleckley County,Bleckley Middle School,112,B,80.60000000000001
612115,612,Bleckley County,Bleckley County Success Academy,115,F,39.5
612197,612,Bleckley County,Bleckley County Elementary School,197,B,85.80000000000001
613101,613,Brantley County,Waynesville Primary School,101,,
6131050,613,Brantley County,Brantley County High School,1050,B,80.2
613110,613,Brantley County,Atkinson Elementary School,110,B,87.40000000000001
613194,613,Brantley County,Brantley County Middle School,194,B,85.10000000000001
6132050,613,Brantley County,Hoboken Elementary School,2050,B,84.2
613294,613,Brantley County,Nahunta Elementary School,294,D,66.3
6133050,613,Brantley County,Nahunta Primary School,3050,,
614110,614,Brooks County,Brooks County High School,110,C,75.8
614193,614,Brooks County,Quitman Elementary School,193,F,59.3
614197,614,Brooks County,Brooks County Middle School,197,D,65.40000000000001
614393,614,Brooks County,North Brooks Elementary School,393,C,72.2
615101,615,Bryan County,Dr. George Washington Carver Elementary School,101,B,89
615182,615,Bryan County,Richmond Hill High School,182,B,87.40000000000001
615199,615,Bryan County,Richmond Hill Middle School,199,B,84.7
615202,615,Bryan County,Richmond Hill Primary School,202,,
615282,615,Bryan County,Lanier Primary School,282,,
615286,615,Bryan County,Bryan County Elementary School,286,C,70.5
615302,615,Bryan County,Richmond Hill Elementary School,302,,
615402,615,Bryan County,Bryan County Middle School,402,F,58.6
615502,615,Bryan County,Bryan County High School,502,D,61.6
615503,615,Bryan County,McAllister Elementary School,503,B,85.2
616100,616,Bulloch County,Mill Creek Elementary School,100,D,69.10000000000001
616107,616,Bulloch County,Nevils Elementary School,107,C,77.7
616198,616,Bulloch County,William James Middle School,198,D,63.5
616199,616,Bulloch County,Langston Chapel Elementary School,199,D,62
616200,616,Bulloch County,Brooklet Elementary School,200,B,81.60000000000001
616203,616,Bulloch County,Southeast Bulloch High School,203,C,79.40000000000001
6162050,616,Bulloch County,Julia P. Bryant Elementary School,2050,C,77.2
6162054,616,Bulloch County,Statesboro High School,2054,C,71.60000000000001
616299,616,Bulloch County,Langston Chapel Middle School,299,D,64.5
616300,616,Bulloch County,Southeast Bulloch Middle School,300,B,81.90000000000001
6163054,616,Bulloch County,Stilson Elementary School,3054,D,68.60000000000001
616399,616,Bulloch County,Portal Elementary School,399,D,61.7
6164052,616,Bulloch County,Portal Middle/High School,4052,C,77.7
6165050,616,Bulloch County,Mattie Lively Elementary School,5050,D,63.6
6165054,616,Bulloch County,Sallie Zetterower Elementary School,5054,D,63.2
617104,617,Burke County,Blakeney Elementary,104,D,62.5
617188,617,Burke County,Burke County Middle School,188,D,61.7
617196,617,Burke County,S G A Elementary School,196,C,77.2
6172056,617,Burke County,Waynesboro Primary School,2056,,
617288,617,Burke County,Burke County High School,288,D,67
618100,618,Butts County,Henderson Middle School,100,C,74.60000000000001
618104,618,Butts County,Hampton L. Daughtry Elementary School,104,D,63.5
618108,618,Butts County,Stark Elementary School,108,F,57.90000000000001
618111,618,Butts County,Jackson Elementary School,111,C,76
618190,618,Butts County,Jackson High School,190,C,71.8
619113,619,Calhoun County,Calhoun County High School,113,B,81.5
619179,619,Calhoun County,Calhoun County Elementary School,179,F,56.1
619213,619,Calhoun County,Calhoun County Middle School,213,F,57.7
620100,620,Camden County,Mamie Lou Gross Elementary School,100,C,73.10000000000001
620105,620,Camden County,Saint Marys Middle School,105,C,72.90000000000001
620110,620,Camden County,Saint Marys Elementary School,110,B,87
620182,620,Camden County,Camden Middle School,182,C,79.2
620187,620,Camden County,Crooked River Elementary School,187,B,82.7
620189,620,Camden County,Matilda Harris Elementary School,189,A,90.7
620192,620,Camden County,Woodbine Elementary School,192,B,83.30000000000001
620193,620,Camden County,Kingsland Elementary School,193,A,91.90000000000001
620195,620,Camden County,David L Rainer Elementary School,195,C,78.40000000000001
620197,620,Camden County,Sugarmill Elementary,197,B,88.7
620295,620,Camden County,Camden County High School,295,A,91.90000000000001
620495,620,Camden County,Mary Lee Clark Elementary School,495,B,80.60000000000001
621101,621,Candler County,Metter High School ,101,C,76.80000000000001
621102,621,Candler County,Metter Middle School,102,F,57.40000000000001
621302,621,Candler County,Metter Elementary School,302,D,65.90000000000001
622100,622,Carroll County,Sharp Creek Elementary School,100,C,71.8
622101,622,Carroll County,Bowdon Middle School,101,B,86.30000000000001
622102,622,Carroll County,Temple Middle School,102,D,66.90000000000001
6221054,622,Carroll County,Temple Elementary School,1054,C,79.90000000000001
622115,622,Carroll County,Providence Elementary School,115,B,86.90000000000001
622176,622,Carroll County,Mount Zion Elementary School,176,B,83.40000000000001
622177,622,Carroll County,Central Middle School,177,C,77.90000000000001
622189,622,Carroll County,Temple High School,189,B,84.40000000000001
622198,622,Carroll County,Bay Springs Middle School,198,C,73.5
6222050,622,Carroll County,Bowdon Elementary School,2050,C,76.2
6222052,622,Carroll County,Central High School,2052,C,74.10000000000001
622208,622,Carroll County,Mt. Zion Middle School ,208,C,77.2
622212,622,Carroll County,Mt. Zion High School,212,C,74
622305,622,Carroll County,Villa Rica Middle,305,C,71.2
6223050,622,Carroll County,Bowdon High School,3050,C,78.2
622377,622,Carroll County,Roopville Elementary School,377,B,89.90000000000001
622405,622,Carroll County,Ithica Elementary ,405,B,86.90000000000001
622477,622,Carroll County,Whitesburg Elementary School,477,B,85.2
6225050,622,Carroll County,Central Elementary School,5050,B,86.2
6225052,622,Carroll County,Sand Hill Elementary School,5052,B,86.80000000000001
6225054,622,Carroll County,Villa Rica High School,5054,C,76.2
622605,622,Carroll County,Glanton-Hindsman Elementary,605,B,84.80000000000001
622705,622,Carroll County,Villa Rica Elementary School,705,B,82.30000000000001
