LONG_SCHOOL_YEAR,SCHOOL_DSTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,LABEL_SORT_ORDER,COMPLETER_TYPE,LABEL_LVL_1_DESC,LABEL_LVL_5_CD,PROGRAM_TOTAL,PROGRAM_PERCENT
2010-11,603,Bacon County,302,Bacon County High School,5,Other Completers,Certificates Of Attendance,Male,,
2010-11,603,Bacon County,302,Bacon County High School,5,Other Completers,Certificates Of Attendance,Female,,
2010-11,603,Bacon County,302,Bacon County High School,5,Other Completers,Certificates Of Attendance,Total,,
2010-11,603,Bacon County,302,Bacon County High School,5,Other Completers,Certificates Of Attendance,Black,,
2010-11,603,Bacon County,302,Bacon County High School,5,Other Completers,Certificates Of Attendance,White,,
2010-11,603,Bacon County,302,Bacon County High School,5,Other Completers,Certificates Of Attendance,Hispanic,,
2010-11,603,Bacon County,302,Bacon County High School,5,Other Completers,Certificates Of Attendance,Asian,,
2010-11,603,Bacon County,302,Bacon County High School,5,Other Completers,Certificates Of Attendance,Multi,,
2010-11,603,Bacon County,302,Bacon County High School,5,Other Completers,Certificates Of Attendance,Native American/ Alaskan Native,,
2010-11,603,Bacon County,ALL,All Column Values,1,Graduates,Diplomas with Both College Prep. & Voc.,Male,29,53.7
2010-11,603,Bacon County,ALL,All Column Values,1,Graduates,Diplomas with Both College Prep. & Voc.,Female,25,46.3
2010-11,603,Bacon County,ALL,All Column Values,1,Graduates,Diplomas with Both College Prep. & Voc.,Total,54,100
2010-11,603,Bacon County,ALL,All Column Values,1,Graduates,Diplomas with Both College Prep. & Voc.,Black,TFS,14.8
2010-11,603,Bacon County,ALL,All Column Values,1,Graduates,Diplomas with Both College Prep. & Voc.,White,42,77.8
2010-11,603,Bacon County,ALL,All Column Values,1,Graduates,Diplomas with Both College Prep. & Voc.,Hispanic,TFS,3.7
2010-11,603,Bacon County,ALL,All Column Values,1,Graduates,Diplomas with Both College Prep. & Voc.,Asian,TFS,0
2010-11,603,Bacon County,ALL,All Column Values,1,Graduates,Diplomas with Both College Prep. & Voc.,Multi,TFS,3.7
2010-11,603,Bacon County,ALL,All Column Values,1,Graduates,Diplomas with Both College Prep. & Voc.,Native American/ Alaskan Native,TFS,0
2010-11,603,Bacon County,ALL,All Column Values,2,Graduates,Diplomas with College Prep Endorsements,Male,,
2010-11,603,Bacon County,ALL,All Column Values,2,Graduates,Diplomas with College Prep Endorsements,Female,,
2010-11,603,Bacon County,ALL,All Column Values,2,Graduates,Diplomas with College Prep Endorsements,Total,,
2010-11,603,Bacon County,ALL,All Column Values,2,Graduates,Diplomas with College Prep Endorsements,Black,,
2010-11,603,Bacon County,ALL,All Column Values,2,Graduates,Diplomas with College Prep Endorsements,White,,
2010-11,603,Bacon County,ALL,All Column Values,2,Graduates,Diplomas with College Prep Endorsements,Hispanic,,
2010-11,603,Bacon County,ALL,All Column Values,2,Graduates,Diplomas with College Prep Endorsements,Asian,,
2010-11,603,Bacon County,ALL,All Column Values,2,Graduates,Diplomas with College Prep Endorsements,Multi,,
2010-11,603,Bacon County,ALL,All Column Values,2,Graduates,Diplomas with College Prep Endorsements,Native American/ Alaskan Native,,
2010-11,603,Bacon County,ALL,All Column Values,3,Graduates,Diplomas with Vocational Endorsements,Male,22,51.2
2010-11,603,Bacon County,ALL,All Column Values,3,Graduates,Diplomas with Vocational Endorsements,Female,21,48.8
2010-11,603,Bacon County,ALL,All Column Values,3,Graduates,Diplomas with Vocational Endorsements,Total,43,100
2010-11,603,Bacon County,ALL,All Column Values,3,Graduates,Diplomas with Vocational Endorsements,Black,TFS,20.9
2010-11,603,Bacon County,ALL,All Column Values,3,Graduates,Diplomas with Vocational Endorsements,White,32,74.4
