FISCAL_YEAR,SYSTEM_ID,SYSTEM_NAME,direct_cert_perc
2016,7820110,State Charter Schools- Odyssey School,19
2016,7820119,State Charter Schools- Graduation Achievement Center Charter High School,35
2016,7820120,State Charter Schools- Georgia Cyber Academy,35
2016,7820121,State Charter Schools- Utopian Academy for the Arts Charter School,43
2016,7820212,State Charter Schools- Cherokee Charter Academy,11
2016,7820412,State Charter Schools- Georgia Connections Academy,25
2016,7820512,"State Charter Schools- Ivy Preparatory Young Men's Leadership Academy, Inc.",40
2016,7820612,"State Charter Schools- Ivy Preparatory Academy, Inc",42
2016,7820613,State Charter Schools- Foothills Charter High School (Madison Campus),36
2016,7820614,State Charter Schools- International Charter School of Atlanta,5
2016,7820615,State Charter Schools- Scintilla Charter Academy,34
2016,7820616,State Charter Schools- Georgia School for Innovation and the Classics,24
2016,7820617,State Charter Schools- Dubois Integrity Academy I,53
2016,7830103,Commission Charter Schools- CCAT School,20
2016,7830110,"Commission Charter Schools- Ivy Preparatory Academy At Gwinnett, Inc.",21
2016,7830210,Commission Charter Schools- Pataula Charter Academy,30
2016,7830310,Commission Charter Schools- Fulton Leadership Academy,34
2016,7830410,Commission Charter Schools- Atlanta Heights Charter School,69
2016,7830610,Commission Charter Schools- Coweta Charter Academy,10
2016,7991893,State Schools- Atlanta Area School for the Deaf,37
2016,7991894,State Schools- Georgia Academy for the Blind,32
2016,7991895,State Schools- Georgia School for the Deaf,33
