LONG_SCHOOL_YEAR,SCHOOL_DISTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,SUBGRP_DESC,TEST_CMPNT_TYP_CD,NATIONAL_NUM_TESTED_CNT,STATE_NUM_TESTED_CNT,DSTRCT_NUM_TESTED_CNT,INSTN_NUM_TESTED_CNT,NATIONAL_AVG_SCORE_VAL,STATE_AVG_SCORE_VAL,DSTRCT_AVG_SCORE_VAL,INSTN_AVG_SCORE_VAL
2014-15,601,Appling County,103,Appling County High School,All Students,Combined,1332096,83710,148,148,1490,1362,1319,1319
2014-15,601,Appling County,103,Appling County High School,All Students,Mathematics,1332096,83710,148,148,511,486,449,449
2014-15,601,Appling County,103,Appling County High School,All Students,Reading,1332096,83710,148,148,495,486,476,476
2014-15,601,Appling County,103,Appling County High School,All Students,Writing,1332096,83710,148,148,484,389,394,394
2014-15,602,Atkinson County,103,Atkinson County High School,All Students,Combined,1332096,83710,49,49,1490,1362,1224,1224
2014-15,602,Atkinson County,103,Atkinson County High School,All Students,Mathematics,1332096,83710,49,49,511,486,440,440
2014-15,602,Atkinson County,103,Atkinson County High School,All Students,Reading,1332096,83710,49,49,495,486,429,429
2014-15,602,Atkinson County,103,Atkinson County High School,All Students,Writing,1332096,83710,49,49,484,389,356,356
2014-15,603,Bacon County,302,Bacon County High School,All Students,Combined,1332096,83710,71,71,1490,1362,1224,1224
2014-15,603,Bacon County,302,Bacon County High School,All Students,Mathematics,1332096,83710,71,71,511,486,437,437
2014-15,603,Bacon County,302,Bacon County High School,All Students,Reading,1332096,83710,71,71,495,486,443,443
2014-15,603,Bacon County,302,Bacon County High School,All Students,Writing,1332096,83710,71,71,484,389,344,344
2014-15,604,Baker County,105,Baker County K12 School,All Students,Combined,1332096,83710,TFS,TFS,1490,1362,,
2014-15,604,Baker County,105,Baker County K12 School,All Students,Mathematics,1332096,83710,TFS,TFS,511,486,,
2014-15,604,Baker County,105,Baker County K12 School,All Students,Reading,1332096,83710,TFS,TFS,495,486,,
2014-15,604,Baker County,105,Baker County K12 School,All Students,Writing,1332096,83710,TFS,TFS,484,389,,
2014-15,605,Baldwin County,189,Baldwin High School,All Students,Combined,1332096,83710,188,188,1490,1362,1256,1256
2014-15,605,Baldwin County,189,Baldwin High School,All Students,Mathematics,1332096,83710,188,188,511,486,443,443
2014-15,605,Baldwin County,189,Baldwin High School,All Students,Reading,1332096,83710,188,188,495,486,444,444
2014-15,605,Baldwin County,189,Baldwin High School,All Students,Writing,1332096,83710,188,188,484,389,368,368
2014-15,606,Banks County,199,Banks County High School,All Students,Combined,1332096,83710,92,92,1490,1362,1370,1370
2014-15,606,Banks County,199,Banks County High School,All Students,Mathematics,1332096,83710,92,92,511,486,476,476
2014-15,606,Banks County,199,Banks County High School,All Students,Reading,1332096,83710,92,92,495,486,476,476
2014-15,606,Banks County,199,Banks County High School,All Students,Writing,1332096,83710,92,92,484,389,418,418
2014-15,607,Barrow County,101,Apalachee High School,All Students,Combined,1332096,83710,534,243,1490,1362,1327,1324
2014-15,607,Barrow County,101,Apalachee High School,All Students,Mathematics,1332096,83710,534,243,511,486,460,457
2014-15,607,Barrow County,101,Apalachee High School,All Students,Reading,1332096,83710,534,243,495,486,474,470
2014-15,607,Barrow County,101,Apalachee High School,All Students,Writing,1332096,83710,534,243,484,389,394,397
2014-15,607,Barrow County,113,Snodon Preparatory School,All Students,Combined,1332096,83710,534,TFS,1490,1362,1327,
2014-15,607,Barrow County,113,Snodon Preparatory School,All Students,Mathematics,1332096,83710,534,TFS,511,486,460,
2014-15,607,Barrow County,113,Snodon Preparatory School,All Students,Reading,1332096,83710,534,TFS,495,486,474,
2014-15,607,Barrow County,113,Snodon Preparatory School,All Students,Writing,1332096,83710,534,TFS,484,389,394,
2014-15,607,Barrow County,3052,Winder-Barrow High School,All Students,Combined,1332096,83710,534,287,1490,1362,1327,1332
2014-15,607,Barrow County,3052,Winder-Barrow High School,All Students,Mathematics,1332096,83710,534,287,511,486,460,464
2014-15,607,Barrow County,3052,Winder-Barrow High School,All Students,Reading,1332096,83710,534,287,495,486,474,477
2014-15,607,Barrow County,3052,Winder-Barrow High School,All Students,Writing,1332096,83710,534,287,484,389,394,391
2014-15,608,Bartow County,105,Adairsville High School,All Students,Combined,1332096,83710,453,95,1490,1362,1364,1379
2014-15,608,Bartow County,105,Adairsville High School,All Students,Mathematics,1332096,83710,453,95,511,486,483,485
2014-15,608,Bartow County,105,Adairsville High School,All Students,Reading,1332096,83710,453,95,495,486,489,484
2014-15,608,Bartow County,105,Adairsville High School,All Students,Writing,1332096,83710,453,95,484,389,392,410
2014-15,608,Bartow County,114,Cass High School,All Students,Combined,1332096,83710,453,139,1490,1362,1364,1350
2014-15,608,Bartow County,114,Cass High School,All Students,Mathematics,1332096,83710,453,139,511,486,483,478
2014-15,608,Bartow County,114,Cass High School,All Students,Reading,1332096,83710,453,139,495,486,489,483
2014-15,608,Bartow County,114,Cass High School,All Students,Writing,1332096,83710,453,139,484,389,392,389
2014-15,608,Bartow County,198,Woodland High School,All Students,Combined,1332096,83710,453,219,1490,1362,1364,1366
2014-15,608,Bartow County,198,Woodland High School,All Students,Mathematics,1332096,83710,453,219,511,486,483,485
2014-15,608,Bartow County,198,Woodland High School,All Students,Reading,1332096,83710,453,219,495,486,489,494
2014-15,608,Bartow County,198,Woodland High School,All Students,Writing,1332096,83710,453,219,484,389,392,387
2014-15,609,Ben Hill County,291,Fitzgerald High School,All Students,Combined,1332096,83710,106,106,1490,1362,1210,1210
2014-15,609,Ben Hill County,291,Fitzgerald High School,All Students,Mathematics,1332096,83710,106,106,511,486,432,432
2014-15,609,Ben Hill County,291,Fitzgerald High School,All Students,Reading,1332096,83710,106,106,495,486,424,424
2014-15,609,Ben Hill County,291,Fitzgerald High School,All Students,Writing,1332096,83710,106,106,484,389,353,353
2014-15,610,Berrien County,101,Berrien High School,All Students,Combined,1332096,83710,150,148,1490,1362,1264,1262
2014-15,610,Berrien County,101,Berrien High School,All Students,Mathematics,1332096,83710,150,148,511,486,451,452
2014-15,610,Berrien County,101,Berrien High School,All Students,Reading,1332096,83710,150,148,495,486,456,455
2014-15,610,Berrien County,101,Berrien High School,All Students,Writing,1332096,83710,150,148,484,389,357,355
2014-15,610,Berrien County,106,Berrien Academy Performance Learning Center,All Students,Combined,1332096,83710,150,TFS,1490,1362,1264,
2014-15,610,Berrien County,106,Berrien Academy Performance Learning Center,All Students,Mathematics,1332096,83710,150,TFS,511,486,451,
2014-15,610,Berrien County,106,Berrien Academy Performance Learning Center,All Students,Reading,1332096,83710,150,TFS,495,486,456,
2014-15,610,Berrien County,106,Berrien Academy Performance Learning Center,All Students,Writing,1332096,83710,150,TFS,484,389,357,
2014-15,611,Bibb County,105,Howard High School,All Students,Combined,1332096,83710,1010,272,1490,1362,1177,1247
2014-15,611,Bibb County,105,Howard High School,All Students,Mathematics,1332096,83710,1010,272,511,486,418,456
2014-15,611,Bibb County,105,Howard High School,All Students,Reading,1332096,83710,1010,272,495,486,425,467
2014-15,611,Bibb County,105,Howard High School,All Students,Writing,1332096,83710,1010,272,484,389,334,324
2014-15,611,Bibb County,186,Central High School,All Students,Combined,1332096,83710,1010,224,1490,1362,1177,1198
