FISCAL_YEAR,SYSTEM_ID,SYSTEM_NAME,EL_EXIT_COUNT,EL_STUDENT_COUNT,EL_EXIT_RATE
2020,781,Marietta City,144,1556,9.3
2020,7820108,Mountain Education Center,2,100,2
2020,7820120,State Charter Schools-Georgia Cyber Academy,5,75,6.7
2020,7820212,State Charter Schools- Cherokee Charter Academy,1,63,1.6
2020,7820412,State Charter Schools- Georgia Connections Academy,4,17,23.5
2020,7820613,State Charter Schools- Foothills Charter High School (Central Office - Madison)- Foothills Charter High School (Central Office - Madison),3,42,7.1
2020,7820614,State Charter Schools- International Charter School of Atlanta,15,38,39.5
2020,7820617,State Charter Schools- Dubois Integrity Academy,0,26,0
2020,7820618,State Charter Schools- Coastal Plains Charter High School - Candler Campus,0,28,0
2020,7830410,Atlanta Heights Charter,0,37,0
2020,7830613,State Charter Schools II- Brookhaven Innovation Academy- Brookhaven Innovation Academy,8,44,18.2
2020,7830615,State Charter Schools II- Genesis Innovation Academy for Boys- Genesis Innovation Academy for Boys,1,17,5.9
2020,7830619,State Charter Schools II- International Academy of Smyrna- International Academy of Smyrna,0,51,0
2020,7830620,State Charter Schools II- International Charter Academy of Georgia,15,69,21.7
2020,784,Pelham City,0,25,0
2020,785,Rome City,73,872,8.4
2020,786,Social Circle City,0,15,0
2020,789,Thomasville City,1,14,7.1
2020,791,Trion City,16,83,19.3
2020,792,Valdosta City,9,265,3.4
2020,793,Vidalia City,2,44,4.5
