"School Year","Data Reporting Level","School District Code","School District Name","School Code","School Name","Grades Served","Total Enrolled","Total Retained","Number of Asians","Percentage of Asians","Number of American Indian","Percentage of American Indian","Number of Black","Percentage of Black","Number of Hispanic","Percentage of Hispanic","Number of MultiRacial","Percentage of MultiRacial","Number of White","Percentage of White","Number of Male","Percentage of Male","Number of Female","Percentage of Female"
"2017-18","School","609","Ben Hill County","0111","Ben Hill Elementary School","03,04,05",790,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2017-18","School","609","Ben Hill County","0196","Ben Hill County Primary School","PK,KK,01,02",712,"55","Too Few Students","Too Few Students","Too Few Students","Too Few Students","25","46","10","18","Too Few Students","Too Few Students","17","31","34","62","21","38"
"2017-18","School","609","Ben Hill County","0291","Fitzgerald High School","09,10,11,12",829,"19","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","10","53","14","74","Too Few Students","Too Few Students"
"2017-18","School","609","Ben Hill County","0296","Ben Hill County Middle School","06,07,08",675,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2017-18","District","609","Ben Hill County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",3006,"80","Too Few Students","Too Few Students","Too Few Students","Too Few Students","33","41","13","16","Too Few Students","Too Few Students","28","35","53","66","27","34"
"2017-18","School","610","Berrien County","0101","Berrien High School","09,10,11,12",796,"28","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","23","82","21","75","Too Few Students","Too Few Students"
"2017-18","School","610","Berrien County","0106","Berrien Academy Performance Learning Center","09,10,11,12",64,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2017-18","School","610","Berrien County","0194","Berrien Middle School","06,07,08",737,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2017-18","School","610","Berrien County","0195","Berrien Elementary School","03,04,05",732,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2017-18","School","610","Berrien County","5050","Berrien Primary School","PK,KK,01,02",691,"29","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","24","83","20","69","Too Few Students","Too Few Students"
"2017-18","District","610","Berrien County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",3020,"74","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","60","81","49","66","25","34"
"2017-18","School","611","Bibb County","0103","Skyview Elementary School","PK,KK,01,02,03,04,05",449,"19","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","14","74","14","74","Too Few Students","Too Few Students"
"2017-18","School","611","Bibb County","0104","Burdell Elementary School","PK,KK,01,02,03,04,05",486,"24","Too Few Students","Too Few Students","Too Few Students","Too Few Students","23","96","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","17","71","Too Few Students","Too Few Students"
"2017-18","School","611","Bibb County","0105","Howard High School","09,10,11,12",1249,"83","Too Few Students","Too Few Students","Too Few Students","Too Few Students","64","77","Too Few Students","Too Few Students","Too Few Students","Too Few Students","13","16","55","66","28","34"
"2017-18","School","611","Bibb County","0108","Ballard Hudson Middle School","06,07,08",725,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2017-18","School","611","Bibb County","0109","Bruce Elementary School","PK,KK,01,02,03,04,05",427,"28","Too Few Students","Too Few Students","Too Few Students","Too Few Students","28","100","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","16","57","12","43"
"2017-18","School","611","Bibb County","0117","Academy For Classical Education","KK,01,02,03,04,05,06,07,08,09,10,11",1541,"23","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","18","78","11","48","12","52"
"2017-18","School","611","Bibb County","0186","Central High School","09,10,11,12",1118,"91","Too Few Students","Too Few Students","Too Few Students","Too Few Students","84","92","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","52","57","39","43"
"2017-18","School","611","Bibb County","0198","Westside High School","09,10,11,12",1137,"114","Too Few Students","Too Few Students","Too Few Students","Too Few Students","105","92","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","63","55","51","45"
"2017-18","School","611","Bibb County","0203","Vineville Academy","PK,KK,01,02,03,04,05",478,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2017-18","School","611","Bibb County","0204","Rutland High School","09,10,11,12",1024,"80","Too Few Students","Too Few Students","Too Few Students","Too Few Students","37","46","12","15","Too Few Students","Too Few Students","29","36","49","61","31","39"
"2017-18","School","611","Bibb County","0205","Howard Middle School","06,07,08",993,"20","Too Few Students","Too Few Students","Too Few Students","Too Few Students","16","80","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","11","55"
