LONG_SCHOOL_YEAR,SCHOOL_DISTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,TEST_CMPNT_TYP_NM,NUMBER_OF_STUDENTS_TESTED,NUMBER_TESTS_TAKEN,NOTESTS_3ORHIGHER
2011-12,601,Appling County,103,Appling County High School,ALL Subjects,26,26,11
2011-12,601,Appling County,103,Appling County High School,Eng. Literature & Comp,14,14,6
2011-12,601,Appling County,103,Appling County High School,U.S. History,12,12,5
2011-12,601,Appling County,SCHOOL_ALL,SCHOOL_ALL,ALL Subjects,26,26,11
2011-12,601,Appling County,SCHOOL_ALL,SCHOOL_ALL,Eng. Literature & Comp,14,14,6
2011-12,601,Appling County,SCHOOL_ALL,SCHOOL_ALL,U.S. History,12,12,5
2011-12,602,Atkinson County,103,Atkinson County High School,ALL Subjects,TFS,,
2011-12,602,Atkinson County,103,Atkinson County High School,U.S. History,TFS,,
2011-12,602,Atkinson County,SCHOOL_ALL,SCHOOL_ALL,ALL Subjects,TFS,,
2011-12,602,Atkinson County,SCHOOL_ALL,SCHOOL_ALL,U.S. History,TFS,,
2011-12,603,Bacon County,302,Bacon County High School,ALL Subjects,53,71,8
2011-12,603,Bacon County,302,Bacon County High School,Biology,TFS,,
2011-12,603,Bacon County,302,Bacon County High School,Calculus A,13,13,1
2011-12,603,Bacon County,302,Bacon County High School,Economics: Micro,TFS,,
2011-12,603,Bacon County,302,Bacon County High School,Eng. Language & Comp,13,13,4
2011-12,603,Bacon County,302,Bacon County High School,Eng. Literature & Comp,21,21,2
2011-12,603,Bacon County,302,Bacon County High School,World History,16,16,
2011-12,603,Bacon County,SCHOOL_ALL,SCHOOL_ALL,ALL Subjects,53,71,8
2011-12,603,Bacon County,SCHOOL_ALL,SCHOOL_ALL,Biology,TFS,,
2011-12,603,Bacon County,SCHOOL_ALL,SCHOOL_ALL,Calculus A,13,13,1
2011-12,603,Bacon County,SCHOOL_ALL,SCHOOL_ALL,Economics: Micro,TFS,,
2011-12,603,Bacon County,SCHOOL_ALL,SCHOOL_ALL,Eng. Language & Comp,13,13,4
2011-12,603,Bacon County,SCHOOL_ALL,SCHOOL_ALL,Eng. Literature & Comp,21,21,2
2011-12,603,Bacon County,SCHOOL_ALL,SCHOOL_ALL,World History,16,16,
2011-12,605,Baldwin County,189,Baldwin High School,ALL Subjects,39,42,7
2011-12,605,Baldwin County,189,Baldwin High School,Biology,TFS,,
