"DETAIL_LVL_DESC","INSTN_NUMBER","SCHOOL_DSTRCT_CD","LONG_SCHOOL_YEAR","INSTN_NAME","SCHOOL_DSTRCT_NM","GRADES_SERVED_DESC","ENROLL_PERCENT_ASIAN","ENROLL_PERCENT_NATIVE","ENROLL_PERCENT_BLACK","ENROLL_PERCENT_HISPANIC","ENROLL_PERCENT_MULTIRACIAL","ENROLL_PERCENT_WHITE","ENROLL_PERCENT_MIGRANT","ENROLL_PERCENT_ED","ENROLL_PERCENT_SWD","ENROLL_PERCENT_LEP","ENROLL_COUNT_REMEDIAL_GR_6_8","ENROLL_PCT_REMEDIAL_GR_6_8","ENROLL_COUNT_EIP_K_5","ENROLL_PERCENT_EIP_K_5","ENROLL_COUNT_REMEDIAL_GR_9_12","ENROLL_PCT_REMEDIAL_GR_9_12","ENROLL_COUNT_SPECIAL_ED_K12","ENROLL_PCT_SPECIAL_ED_K12","ENROLL_COUNT_ESOL","ENROLL_PCT_ESOL","ENROLL_COUNT_SPECIAL_ED_PK","ENROLL_PCT_SPECIAL_ED_PK","ENROLL_COUNT_VOCATION_9_12","ENROLL_PCT_VOCATION_9_12","ENROLL_COUNT_ALT_PROGRAMS","ENROLL_PCT_ALT_PROGRAMS","ENROLL_COUNT_GIFTED","ENROLL_PCT_GIFTED"
"School","0101","636","2014-15","Greenbrier Middle School","Columbia County","06,07,08",2,0,11,6,2,79,0,15,5.2,1,63,9.6,,,,,34,5.2,0,0,0,0,,,1,0.2,134,20.5
"School","0102","636","2014-15","Lewiston Elementary School","Columbia County","PK,KK,01,02,03,04,05",3,0,12,11,7,66,0,24,6.3,2,,,67,8.2,,,52,6.3,13,1.6,32,47.8,,,0,0,110,13.4
"School","0103","636","2014-15","Grovetown Middle School","Columbia County","06,07,08",3,0,37,17,8,35,0,51,8.8,3,214,24,,,,,78,8.8,16,1.8,0,0,,,10,1.1,94,10.5
"School","0106","636","2014-15","River Ridge Elementary","Columbia County","PK,KK,01,02,03,04,05",5,0,12,8,4,70,0,19,7.1,3,,,87,12,,,52,7.1,12,1.6,11,100,,,0,0,103,14.1
"School","0107","636","2014-15","Evans Middle School","Columbia County","06,07,08",4,0,19,8,8,61,0,37,6.5,1,192,20.5,,,,,61,6.5,5,0.5,0,0,,,3,0.3,162,17.3
"School","0108","636","2014-15","Stallings Island Middle School","Columbia County","06,07,08",16,0,10,3,4,67,0,15,3.7,1,95,16.9,,,,,21,3.7,2,0.4,0,0,,,0,0,180,32.1
"School","0112","636","2014-15","Grovetown High School","Columbia County","09,10,11,12",3,0,35,12,6,45,0,38,7.5,2,,,,,309,18.1,127,7.5,21,1.2,0,0,1068,62.7,10,0.6,142,8.3
"School","0173","636","2014-15","Westmont Elementary School","Columbia County","PK,KK,01,02,03,04,05",2,0,10,9,6,73,0,49,9.1,3,,,78,15.4,,,46,9.1,8,1.6,1,100,,,0,0,24,4.7
"School","0183","636","2014-15","Harlem High School","Columbia County","09,10,11,12",0,0,14,5,4,76,0,42,5.5,1,,,,,161,24.1,37,5.5,0,0,0,0,451,67.4,7,1,77,11.5
"School","0186","636","2014-15","Evans Elementary School","Columbia County","PK,KK,01,02,03,04,05",2,0,15,8,6,69,0,35,6.1,2,,,66,9.4,,,43,6.1,6,0.9,4,100,,,0,0,75,10.7
"School","0188","636","2014-15","Blue Ridge Elementary School","Columbia County","PK,KK,01,02,03,04,05",12,1,15,7,5,60,0,35,5.6,4,,,57,9.1,,,35,5.6,14,2.2,10,100,,,0,0,48,7.7
"School","0189","636","2014-15","Lakeside High School","Columbia County","09,10,11,12",9,0,18,5,3,66,0,25,6.4,1,,,,,112,7.2,100,6.4,9,0.6,0,0,721,46.1,9,0.6,299,19.1
"School","0190","636","2014-15","Brookwood Elementary School","Columbia County","PK,KK,01,02,03,04,05",4,0,22,13,8,54,0,54,9.7,5,,,88,15,,,57,9.7,22,3.7,1,4.5,,,0,0,37,6.3
"School","0192","636","2014-15","Stevens Creek Elementary School","Columbia County","PK,KK,01,02,03,04,05",14,0,10,4,5,67,0,17,4.6,5,,,80,10.1,,,36,4.6,24,3,2,100,,,0,0,115,14.6
"School","0193","636","2014-15","Riverside Middle School","Columbia County","06,07,08",6,0,13,5,4,72,0,12,6.2,1,174,24.6,,,,,44,6.2,6,0.8,0,0,,,3,0.4,162,22.9
"School","0194","636","2014-15","Riverside Elementary School","Columbia County","PK,KK,01,02,03,04,05",4,0,16,5,4,70,0,12,6.3,1,,,60,9.7,,,39,6.3,3,0.5,3,100,,,0,0,55,8.9
"School","0197","636","2014-15","Greenbrier High School","Columbia County","09,10,11,12",4,0,15,6,4,71,0,9,5.3,1,,,,,248,13.9,94,5.3,5,0.3,0,0,1039,58.3,14,0.8,347,19.5
"School","0208","636","2014-15","Cedar Ridge Elementary School","Columbia County","PK,KK,01,02,03,04,05",2,0,30,17,10,40,0,41,9.8,5,,,116,12.8,,,89,9.8,28,3.1,4,8.9,,,0,0,40,4.4
"School","0212","636","2014-15","New School","Columbia County","PK,KK,01,02,03,04,05",3,1,22,15,8,52,0,29,7.4,4,,,184,15.6,,,87,7.4,18,1.5,3,100,,,0,0,67,5.7
"School","0283","636","2014-15","Harlem Middle School","Columbia County","06,07,08",0,0,15,7,4,74,0,53,7.7,1,192,33.4,,,,,44,7.7,3,0.5,0,0,,,4,0.7,52,9.1
"School","0290","636","2014-15","Lakeside Middle School","Columbia County","06,07,08",5,0,25,8,5,57,0,51,8.9,3,216,29.9,,,,,64,8.9,11,1.5,0,0,,,4,0.6,95,13.1
"School","0297","636","2014-15","Greenbrier Elementary School","Columbia County","PK,KK,01,02,03,04,05",3,0,13,8,6,71,0,12,6,2,,,136,13.9,,,59,6,0,0,3,100,,,0,0,133,13.6
"School","0397","636","2014-15","Euchee Creek Elementary School","Columbia County","PK,KK,01,02,03,04,05",1,0,19,7,8,64,0,50,9.9,3,,,94,18.7,,,50,9.9,2,0.4,8,26.7,,,0,0,33,6.5
"School","2050","636","2014-15","Columbia Middle School","Columbia County","06,07,08",3,1,25,9,6,56,0,36,7.2,1,258,24.7,,,,,75,7.2,1,0.1,0,0,,,6,0.6,150,14.4
"School","2052","636","2014-15","Martinez Elementary School","Columbia County","PK,KK,01,02,03,04,05",5,0,20,9,7,59,0,50,8,3,,,77,12.1,,,51,8,18,2.8,11,100,,,0,0,64,10.1
"School","3052","636","2014-15","North Columbia Elementary School","Columbia County","PK,KK,01,02,03,04,05",0,0,8,3,4,85,0,40,7.5,0,,,60,17.4,,,26,7.5,0,0,3,13,,,0,0,25,7.2
"School","4050","636","2014-15","Evans High School","Columbia County","09,10,11,12",4,0,20,7,5,64,0,31,7.8,1,,,,,198,11.1,139,7.8,5,0.3,0,0,1165,65.4,16,0.9,239,13.4
"School","4052","636","2014-15","North Harlem Elementary School","Columbia County","PK,KK,01,02,03,04,05",0,0,23,8,7,62,0,64,8.7,2,,,97,17.6,,,48,8.7,6,1.1,2,4.5,,,0,0,17,3.1
"School","5050","636","2014-15","Grovetown Elementary School","Columbia County","PK,KK,01,02,03,04,05",1,0,28,17,8,46,0,72,7.7,8,,,99,17.3,,,44,7.7,30,5.2,25,47.2,,,0,0,18,3.1
"School","5052","636","2014-15","South Columbia Elementary School","Columbia County","PK,KK,01,02,03,04,05",2,1,26,10,6,55,0,61,8.7,3,,,160,30.1,,,46,8.7,19,3.6,18,60,,,0,0,28,5.3
"District","ALL","636","2014-15","All Column Values","Columbia County","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",4,0,19,9,6,62,0,33,7.1,2,1404,23.1,1606,13.9,1028,13.7,1778,7.1,307,1.2,141,39,4444,59.3,87,0.3,3112,12.4
"School","0101","637","2014-15","Cook County Middle School","Cook County","06,07,08",2,0,33,9,3,52,4,86,12.3,2,208,30.1,,,,,85,12.3,5,0.7,0,0,,,7,1,86,12.5
"School","0104","637","2014-15","Cook Elementary School","Cook County","03,04,05",1,0,33,6,3,56,3,86,14.3,5,,,186,25.8,,,103,14.3,18,2.5,0,0,,,0,0,85,11.8
"School","0111","637","2014-15","Cook High School","Cook County","09,10,11,12",1,0,33,8,2,55,2,86,10.2,2,,,,,132,14.1,96,10.2,12,1.3,0,0,482,51.4,70,7.5,113,12
"School","0196","637","2014-15","Cook Primary School","Cook County","PK,KK,01,02",0,0,35,11,2,52,3,86,13.6,8,,,239,30.9,,,105,13.6,61,7.9,19,9.3,,,3,0.4,25,3.2
"District","ALL","637","2014-15","All Column Values","Cook County","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",1,0,34,8,3,54,3,86,12.5,4,208,30.1,425,28.4,132,14.1,389,12.5,96,3.1,19,9.3,482,51.4,80,2.6,309,9.9
"School","0101","638","2014-15","Arbor Springs Elementary","Coweta County","PK,KK,01,02,03,04,05",2,0,8,11,5,72,0,29,6.2,7,,,36,8.9,,,25,6.2,20,4.9,3,12,,,0,0,39,9.6
"School","0103","638","2014-15","Willis Road Elementary","Coweta County","PK,KK,01,02,03,04,05",2,0,8,12,5,73,0,39,9,8,,,123,18.7,,,59,9,37,5.6,6,22.2,,,0,0,79,12
"School","0106","638","2014-15","Lee Middle School","Coweta County","06,07,08",4,1,15,8,5,66,0,31,9.5,2,91,9.6,,,,,90,9.5,0,0,0,0,,,20,2.1,295,31.2
"School","0115","638","2014-15","Brooks Elementary","Coweta County","PK,KK,01,02,03,04,05",1,0,10,5,3,81,0,26,6.9,1,,,57,9,,,44,6.9,0,0,4,8.7,,,0,0,60,9.4
"School","0189","638","2014-15","White Oak Elementary School","Coweta County","PK,KK,01,02,03,04,05",2,0,21,13,5,58,0,42,9.4,9,,,119,18.3,,,61,9.4,44,6.8,3,11.5,,,0,0,55,8.5
"School","0191","638","2014-15","Canongate Elementary School","Coweta County","PK,KK,01,02,03,04,05",3,0,5,13,3,76,0,27,5.1,7,,,52,9.4,,,28,5.1,24,4.3,6,13,,,0,0,68,12.3
"School","0192","638","2014-15","Newnan Crossing Elementary School","Coweta County","PK,KK,01,02,03,04,05",9,0,33,10,7,41,0,44,8.9,7,,,137,15.4,,,79,8.9,29,3.3,12,100,,,0,0,79,8.9
"School","0195","638","2014-15","Jefferson Parkway Elementary School","Coweta County","PK,KK,01,02,03,04,05",2,1,42,24,7,25,1,74,10.3,17,,,104,22.8,,,47,10.3,61,13.3,7,10.6,,,0,0,29,6.3
"School","0196","638","2014-15","Northgate High School","Coweta County","09,10,11,12",2,0,13,7,3,75,0,25,7.8,0,,,,,37,2.1,140,7.8,3,0.2,0,0,538,30.1,18,1,360,20.1
"School","0199","638","2014-15","Poplar Road Elementary School","Coweta County","PK,KK,01,02,03,04,05",0,1,30,5,2,63,0,50,10.3,2,,,121,22.2,,,56,10.3,0,0,5,19.2,,,2,0.4,36,6.6
"School","0201","638","2014-15","Welch Elementary School","Coweta County","PK,KK,01,02,03,04,05",4,0,40,12,4,40,0,60,10.5,8,,,162,21.2,,,80,10.5,40,5.2,24,36.9,,,0,0,27,3.5
"School","0203","638","2014-15","Glanton Elementary","Coweta County","PK,KK,01,02,03,04,05",0,0,24,5,5,65,0,74,10.1,1,,,86,28,,,31,10.1,0,0,0,0,,,0,0,31,10.1
"School","0289","638","2014-15","East Coweta Middle School","Coweta County","06,07,08",1,0,17,5,3,73,0,44,11.6,2,47,6.9,,,,,79,11.6,0,0,0,0,,,14,2.1,157,23
"School","0295","638","2014-15","Thomas Crossroads Elementary School","Coweta County","PK,KK,01,02,03,04,05",2,1,8,8,3,78,0,22,9.3,0,,,59,15.2,,,36,9.3,0,0,3,12,,,0,0,35,9
"School","0299","638","2014-15","Madras Middle School","Coweta County","06,07,08",2,0,12,7,4,74,0,30,8,1,0,0,,,,,85,8,0,0,0,0,,,26,2.5,258,24.3
"School","0301","638","2014-15","Smokey Road Middle School","Coweta County","06,07,08",0,0,34,6,4,55,0,67,17,1,44,5.6,,,,,133,17,0,0,0,0,,,20,2.6,141,18
"School","0389","638","2014-15","East Coweta High School","Coweta County","09,10,11,12",3,0,23,8,4,63,0,35,8.9,1,,,,,0,0,253,8.9,18,0.6,0,0,1101,38.6,29,1,552,19.4
"School","0395","638","2014-15","Arnall Middle School","Coweta County","06,07,08",4,1,28,10,4,52,0,45,8.5,5,56,6.2,,,,,77,8.5,12,1.3,0,0,,,33,3.6,188,20.7
"School","1050","638","2014-15","Arnco-Sargent Elementary School","Coweta County","PK,KK,01,02,03,04,05",1,0,13,9,6,72,0,66,13,6,,,90,20.9,,,56,13,24,5.6,7,25,,,0,0,26,6
"School","1054","638","2014-15","Ruth Hill Elementary School","Coweta County","PK,KK,01,02,03,04,05",0,0,43,11,4,41,0,83,10.4,8,,,93,22.5,,,43,10.4,27,6.5,13,24.1,,,0,0,20,4.8
"School","1056","638","2014-15","Evans Middle School","Coweta County","06,07,08",1,0,24,8,4,63,0,56,11.4,3,114,15,,,,,87,11.4,14,1.8,0,0,,,17,2.2,141,18.6
"School","2050","638","2014-15","Atkinson Elementary School","Coweta County","KK,01,02,03,04,05",1,0,29,11,4,54,0,63,8.9,6,,,60,13,,,41,8.9,21,4.5,1,100,,,1,0.2,80,17.3
"School","2052","638","2014-15","Eastside Elementary School","Coweta County","PK,KK,01,02,03,04,05",1,1,9,2,4,84,0,47,12.8,0,,,106,23,,,59,12.8,0,0,6,12.8,,,0,0,34,7.4
"School","2056","638","2014-15","Northside Elementary School","Coweta County","PK,KK,01,02,03,04,05",0,0,25,3,2,70,0,42,12.3,0,,,68,18.2,,,46,12.3,0,0,5,20,,,0,0,29,7.8
"School","3052","638","2014-15","Elm Street Elementary School","Coweta County","PK,KK,01,02,03,04,05",1,0,27,8,5,58,0,48,11.7,3,,,78,16.4,,,56,11.7,0,0,4,100,,,0,0,27,5.7
"School","3054","638","2014-15","Moreland Elementary School","Coweta County","PK,KK,01,02,03,04,05",0,0,12,12,5,70,0,59,11.1,8,,,70,16.2,,,48,11.1,24,5.5,4,8.7,,,0,0,36,8.3
"School","5054","638","2014-15","Newnan High School","Coweta County","09,10,11,12",1,0,28,5,2,63,0,48,10.6,1,,,,,67,3,239,10.6,6,0.3,0,0,685,30.5,40,1.8,331,14.7
"School","5056","638","2014-15","Western Elementary School","Coweta County","PK,KK,01,02,03,04,05",1,0,30,4,4,61,0,62,10.6,1,,,98,25.9,,,40,10.6,0,0,2,8.3,,,0,0,21,5.5
"District","ALL","638","2014-15","All Column Values","Coweta County","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",2,0,22,8,4,63,0,44,9.8,3,352,6.8,1719,17.8,104,1.5,2118,9.8,404,1.9,115,18.1,2324,33.7,220,1,3227,14.9
"School","0192","639","2014-15","Crawford County Elementary School","Crawford County","PK,KK,01,02,03,04,05",0,0,21,2,4,73,0,83,17.5,0,,,229,28.6,,,140,17.5,0,0,10,11,,,2,0.2,33,4.1
"School","0193","639","2014-15","Crawford County High School","Crawford County","09,10,11,12",0,2,25,2,2,69,0,74,16.7,0,,,,,0,0,76,16.7,0,0,0,0,398,87.7,13,2.9,32,7
"School","0202","639","2014-15","Crawford County Middle School","Crawford County","06,07,08",1,1,22,1,3,72,0,82,19.3,1,0,0,,,,,82,19.3,0,0,0,0,,,14,3.3,34,8
"District","ALL","639","2014-15","All Column Values","Crawford County","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",0,1,22,2,3,72,0,80,17.7,0,0,0,229,28.6,0,0,298,17.7,0,0,10,11,398,87.7,29,1.7,99,5.9
"School","0115","640","2014-15","Crisp County Primary School","Crisp County","KK,01,02,03",1,0,61,4,3,30,0,98,15.8,3,,,496,36.8,,,213,15.8,39,2.9,0,0,,,0,0,32,2.4
"School","0196","640","2014-15","Crisp County High School","Crisp County","09,10,11,12",2,0,56,2,1,40,0,98,11.9,1,,,,,147,13.1,133,11.9,0,0,0,0,699,62.5,150,13.4,90,8.1
"School","0197","640","2014-15","Crisp County Middle School","Crisp County","06,07,08",2,0,56,3,2,37,0,98,11,2,269,29.2,,,,,101,11,5,0.5,0,0,,,32,3.5,92,10
"School","2052","640","2014-15","Southwestern Elementary School","Crisp County","04,05",2,0,61,4,3,31,0,98,9.9,2,,,259,43.5,,,59,9.9,5,0.8,0,0,,,0,0,24,4
"District","ALL","640","2014-15","All Column Values","Crisp County","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",2,0,58,3,2,34,0,98,12.7,2,269,29.2,755,38.8,147,13.1,506,12.7,49,1.2,57,20.4,699,62.5,182,4.6,238,6
"School","0101","641","2014-15","Dade Elementary School","Dade County","PK,KK,01,02,03,04,05",1,1,1,2,2,93,0,63,21.8,1,,,259,36.2,,,156,21.8,5,0.7,34,29.8,,,0,0,55,7.7
"School","0195","641","2014-15","Dade County High School","Dade County","09,10,11,12",0,0,1,1,1,96,0,49,13.4,0,,,,,153,24.2,85,13.4,0,0,0,0,506,79.9,37,5.8,74,11.7
"School","0275","641","2014-15","Davis Elementary School","Dade County","PK,KK,01,02,03,04,05",0,0,0,1,1,97,0,66,14.5,0,,,94,37.8,,,36,14.5,1,0.4,0,0,,,0,0,29,11.6
"School","0295","641","2014-15","Dade Middle School","Dade County","06,07,08",0,0,1,0,1,97,0,62,17.1,0,158,33.4,,,,,81,17.1,0,0,0,0,,,3,0.6,75,15.9
"District","ALL","641","2014-15","All Column Values","Dade County","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",0,0,1,1,2,95,0,59,17.3,0,158,33.4,353,36.6,153,24.2,358,17.3,6,0.3,34,25,506,79.9,40,1.9,232,11.2
"School","0103","642","2014-15","Kilough Elementary School","Dawson County","PK,KK,01,02,03,04,05",0,0,1,16,2,81,0,56,13.7,11,,,70,18.8,,,51,13.7,29,7.8,0,0,,,0,0,26,7
"School","0106","642","2014-15","Riverview Middle School","Dawson County","06,07,08",1,0,1,12,1,86,0,47,15.4,3,56,15.4,,,,,56,15.4,8,2.2,0,0,,,1,0.3,35,9.6
"School","0109","642","2014-15","New Dawson County Middle School","Dawson County","06,07,08",1,1,0,3,2,94,0,62,11.7,0,74,18.8,,,,,46,11.7,0,0,0,0,,,0,0,36,9.2
"School","0111","642","2014-15","Riverview Elementary School","Dawson County","PK,KK,01,02,03,04,05",1,0,0,3,0,96,0,51,22.5,2,,,59,19.3,,,69,22.5,0,0,23,39.7,,,0,0,16,5.2
"School","0189","642","2014-15","Robinson Elementary School","Dawson County","PK,KK,01,02,03,04,05",0,0,1,6,2,91,0,55,13.8,2,,,124,21.6,,,79,13.8,0,0,5,100,,,0,0,25,4.4
"School","0198","642","2014-15","Dawson County High School","Dawson County","09,10,11,12",0,0,0,5,2,91,0,36,7.1,1,,,,,96,9,76,7.1,0,0,0,0,645,60.3,65,6.1,130,12.1
"School","0199","642","2014-15","Black's Mill Elementary School","Dawson County","PK,KK,01,02,03,04,05",0,0,0,14,3,83,0,50,17.7,8,,,82,25.1,,,58,17.7,24,7.3,0,0,,,0,0,20,6.1
"District","ALL","642","2014-15","All Column Values","Dawson County","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",0,0,0,8,2,89,0,48,12.8,3,130,17.2,335,21.2,96,9,435,12.8,61,1.8,28,44.4,645,60.3,66,1.9,288,8.5
"School","0105","643","2014-15","West Bainbridge Elementary School","Decatur County","PK,KK,01,02,03,04",0,0,49,13,4,34,1,87,10.7,9,,,64,13.6,,,50,10.7,28,6,5,7.1,,,0,0,,
"School","0116","643","2014-15","New Beginning Learning Center","Decatur County","06,07,08,09,10,11,12",0,0,79,5,5,11,0,100,22.6,0,0,0,,,10,18.2,14,22.6,1,1.6,0,0,4,7.3,62,100,,
"School","0191","643","2014-15","Potter Street Elementary School","Decatur County","PK,KK,01,02,03,04",0,0,61,8,2,28,0,100,9.8,5,,,58,22.7,,,25,9.8,12,4.7,18,34,,,0,0,10,3.9
"School","1052","643","2014-15","Elcan-King Elementary School","Decatur County","PK,KK,01,02,03,04",1,0,45,13,2,39,2,99,9.4,11,,,79,19.1,,,39,9.4,35,8.5,5,7.4,,,0,0,12,2.9
"School","2050","643","2014-15","Bainbridge Middle School","Decatur County","07,08",1,0,47,11,1,40,1,100,11.7,3,146,18.7,,,,,91,11.7,15,1.9,0,0,,,10,1.3,70,9
"School","2052","643","2014-15","Hutto Middle School","Decatur County","05,06",0,0,51,9,2,37,1,99,10.3,4,99,25.6,53,14.2,,,78,10.3,13,1.7,0,0,,,4,0.5,62,8.2
"School","3050","643","2014-15","Bainbridge High School","Decatur County","09,10,11,12",0,0,51,7,1,41,1,87,11,2,,,,,418,29.6,155,11,8,0.6,0,0,856,60.6,10,0.7,78,5.5
"School","3052","643","2014-15","John Johnson Elementary School","Decatur County","PK,KK,01,02,03,04",0,0,35,16,2,46,2,100,10.2,10,,,71,17.7,,,41,10.2,38,9.5,3,4.3,,,0,0,19,4.7
"School","4052","643","2014-15","Jones-Wheat Elementary School","Decatur County","PK,KK,01,02,03,04",1,0,63,1,3,32,0,100,9.6,0,,,77,17.1,,,43,9.6,0,0,7,9.6,,,0,0,9,2
"District","ALL","643","2014-15","All Column Values","Decatur County","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",0,0,50,9,2,38,1,95,10.7,4,245,20.9,402,17,428,29.2,536,10.7,150,3,38,11.4,860,58.6,86,1.7,260,5.2
"School","0100","644","2014-15","Narvie Harris Elementary School","DeKalb County","PK,KK,01,02,03,04,05",0,0,99,0,1,0,0,59,3.3,2,,,209,25.6,,,27,3.3,11,1.3,0,0,,,0,0,63,7.7
"School","0102","644","2014-15","Wynbrooke Elementary School","DeKalb County","PK,KK,01,02,03,04,05",0,0,98,1,1,0,0,56,4.1,1,,,204,28.1,,,30,4.1,5,0.7,1,4.5,,,0,0,140,19.3
"School","0103","644","2014-15","Martin Luther King, Jr. High School","DeKalb County","09,10,11,12",0,0,97,1,1,0,0,73,11.1,1,,,,,0,0,185,11.1,7,0.4,0,0,795,47.7,14,0.8,8,0.5
"School","0105","644","2014-15","Miller Grove High School","DeKalb County","09,10,11,12",0,0,97,2,1,0,0,79,10.6,1,,,,,0,0,165,10.6,9,0.6,0,0,544,35.1,8,0.5,33,2.1
"School","0107","644","2014-15","Flat Rock Elementary School","DeKalb County","PK,KK,01,02,03,04,05",0,0,94,3,2,0,0,83,7.4,2,,,238,23.7,,,74,7.4,10,1,8,15.7,,,0,0,36,3.6
"School","0108","644","2014-15","Princeton Elementary School","DeKalb County","PK,KK,01,02,03,04,05",0,0,94,3,1,1,0,82,8.4,1,,,1,0.1,,,76,8.4,0,0,0,0,,,0,0,41,4.5
"School","0112","644","2014-15","Destiny Achievers Academy of Excellence","DeKalb County","09,10,11,12",0,0,97,1,2,0,0,88,2.6,0,,,,,0,0,3,2.6,0,0,0,0,48,42.1,114,100,,
"School","0113","644","2014-15","DeKalb Preparatory Academy Charter","DeKalb County","KK,01,02,03,04,05,06,07",1,0,95,1,2,0,0,78,8.3,1,1,2.4,28,6.7,,,38,8.3,0,0,0,0,,,0,0,18,3.9
"School","0172","644","2014-15","Cedar Grove High School","DeKalb County","09,10,11,12",0,0,98,1,0,0,0,81,11.9,2,,,,,0,0,121,11.9,4,0.4,0,0,367,36.2,14,1.4,38,3.7
"School","0173","644","2014-15","Vanderlyn Elementary School","DeKalb County","PK,KK,01,02,03",34,0,3,4,2,56,0,1,3.5,11,,,25,3.6,,,24,3.5,42,6.1,1,4.5,,,0,0,283,41
"School","0175","644","2014-15","Austin Elementary School","DeKalb County","PK,KK,01,02,03",13,0,3,6,3,74,0,4,5.5,7,,,188,30.6,,,34,5.5,26,4.2,0,0,,,0,0,224,36.4
"School","0176","644","2014-15","Redan High School","DeKalb County","09,10,11,12",1,0,94,3,2,0,0,81,11.9,2,,,,,0,0,132,11.9,11,1,0,0,422,38.1,6,0.5,46,4.2
"School","0181","644","2014-15","Eldridge L. Miller Elementary School","DeKalb County","PK,KK,01,02,03,04,05",0,0,95,3,1,0,0,93,7.9,1,,,0,0,,,42,7.9,4,0.8,0,0,,,0,0,30,5.6
"School","0188","644","2014-15","Panola Way Elementary School","DeKalb County","PK,KK,01,02,03,04,05",1,0,96,2,1,0,0,99,8.8,2,,,284,34.7,,,72,8.8,13,1.6,0,0,,,0,0,26,3.2
"School","0189","644","2014-15","Peachtree Middle School","DeKalb County","06,07,08",6,0,18,28,3,45,0,37,10.4,15,219,15.7,,,,,146,10.4,123,8.8,0,0,,,0,0,548,39.2
"School","0190","644","2014-15","Pine Ridge Elementary School","DeKalb County","PK,KK,01,02,03,04,05",1,0,95,2,2,1,0,87,10.9,3,,,90,15.8,,,62,10.9,18,3.2,24,40,,,0,0,31,5.4
"School","0191","644","2014-15","Browns Mill Elementary School","DeKalb County","PK,KK,01,02,03,04,05",0,0,96,3,0,1,0,85,7.8,1,,,150,21.7,,,54,7.8,5,0.7,1,4.5,,,0,0,44,6.4
"School","0193","644","2014-15","Chapel Hill Middle School","DeKalb County","06,07,08",1,0,97,1,1,1,0,80,11.2,1,15,1.8,,,,,96,11.2,4,0.5,0,0,,,3,0.4,157,18.4
"School","0197","644","2014-15","Marbut Elementary School","DeKalb County","PK,KK,01,02,03,04,05",1,0,97,2,1,0,0,83,5.9,1,,,143,19.6,,,43,5.9,8,1.1,1,2.3,,,0,0,76,10.4
"School","0200","644","2014-15","Cedar Grove Middle School","DeKalb County","06,07,08",1,0,97,1,1,0,0,93,10.6,1,126,14.6,,,,,92,10.6,1,0.1,0,0,,,14,1.6,59,6.8
"School","0201","644","2014-15","Freedom Middle School","DeKalb County","06,07,08",30,0,63,3,1,3,0,96,9.4,39,59,4.8,,,,,116,9.4,355,28.6,0,0,,,4,0.3,57,4.6
"School","0202","644","2014-15","Lithonia High School","DeKalb County","09,10,11,12",0,0,95,4,0,0,0,86,11.6,2,,,,,0,0,153,11.6,8,0.6,0,0,354,26.9,13,1,45,3.4
"School","0203","644","2014-15","Lithonia Middle School","DeKalb County","06,07,08",1,0,93,5,1,1,0,89,12.5,2,119,10.3,,,,,145,12.5,14,1.2,0,0,,,21,1.8,64,5.5
"School","0205","644","2014-15","Redan Middle School","DeKalb County","06,07,08",1,0,94,3,1,1,0,93,13.1,2,197,25.9,,,,,100,13.1,8,1,0,0,,,7,0.9,70,9.2
"School","0214","644","2014-15","Dunwoody Elementary School","DeKalb County","PK,KK,01,02,03,04,05",26,0,20,9,4,42,0,13,9.2,12,,,82,8.8,,,86,9.2,66,7.1,9,18.8,,,0,0,284,30.5
"School","0215","644","2014-15","Museum School Avondale Estates","DeKalb County","KK,01,02,03,04,05,06,07,08",3,0,24,5,8,60,0,8,5.8,2,15,15.8,41,11.7,,,26,5.8,4,0.9,0,0,,,0,0,85,19.1
"School","0272","644","2014-15","Rockbridge Elementary School","DeKalb County","PK,KK,01,02,03,04,05",3,1,86,6,4,1,0,97,13.3,9,,,0,0,,,54,13.3,21,5.2,0,0,,,0,0,18,4.4
"School","0275","644","2014-15","Cedar Grove Elementary School","DeKalb County","PK,KK,01,02,03,04,05",1,0,96,2,1,0,0,80,10.7,2,,,218,38.7,,,60,10.7,7,1.2,5,18.5,,,0,0,48,8.5
"School","0276","644","2014-15","Stone Mountain High School","DeKalb County","09,10,11,12",6,0,85,6,1,2,0,87,12.8,9,,,,,258,24.3,136,12.8,45,4.2,0,0,404,38,4,0.4,62,5.8
"School","0288","644","2014-15","Kittredge Magnet School","DeKalb County","04,05,06",11,1,20,4,5,60,0,11,1.1,0,7,4.6,37,12.2,,,5,1.1,0,0,0,0,,,0,0,413,90.6
"School","0290","644","2014-15","Sequoyah Middle School","DeKalb County","06,07,08",6,0,7,85,0,1,0,99,8.5,51,0,0,,,,,121,8.5,449,31.7,0,0,,,3,0.2,100,7.1
