LONG_SCHOOL_YEAR,SCHOOL_DISTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,TEST_CMPNT_TYP_NM,NUMBER_OF_STUDENTS_TESTED,NUMBER_TESTS_TAKEN,NOTESTS_3ORHIGHER
2014-15,607,Barrow County,101,Apalachee High School,Spanish Language,TFS,,
2014-15,607,Barrow County,101,Apalachee High School,Statistics,49,49,41
2014-15,607,Barrow County,101,Apalachee High School,World History,75,75,21
2014-15,607,Barrow County,113,Snodon Preparatory School,ALL Subjects,TFS,,
2014-15,607,Barrow County,113,Snodon Preparatory School,World History,TFS,,
2014-15,607,Barrow County,3052,Winder-Barrow High School,ALL Subjects,196,239,147
2014-15,607,Barrow County,3052,Winder-Barrow High School,Art: Studio 2-D Design,TFS,,
2014-15,607,Barrow County,3052,Winder-Barrow High School,Biology,TFS,,
2014-15,607,Barrow County,3052,Winder-Barrow High School,Calculus A,12,12,8
2014-15,607,Barrow County,3052,Winder-Barrow High School,Economics: Micro,11,11,9
2014-15,607,Barrow County,3052,Winder-Barrow High School,Eng. Language & Comp,14,14,9
2014-15,607,Barrow County,3052,Winder-Barrow High School,Eng. Literature & Comp,18,18,13
2014-15,607,Barrow County,3052,Winder-Barrow High School,Environmental Science,17,17,7
2014-15,607,Barrow County,3052,Winder-Barrow High School,Geography: Human,23,23,11
2014-15,607,Barrow County,3052,Winder-Barrow High School,Gov. & Pol. U.S.,69,69,45
2014-15,607,Barrow County,3052,Winder-Barrow High School,Physics 1,TFS,,
2014-15,607,Barrow County,3052,Winder-Barrow High School,Statistics,10,10,3
2014-15,607,Barrow County,3052,Winder-Barrow High School,U.S. History,47,47,28
2014-15,607,Barrow County,3052,Winder-Barrow High School,World History,TFS,,
2014-15,607,Barrow County,SCHOOL_ALL,SCHOOL_ALL,ALL Subjects,566,890,452
2014-15,607,Barrow County,SCHOOL_ALL,SCHOOL_ALL,Art: Studio 2-D Design,TFS,,
2014-15,607,Barrow County,SCHOOL_ALL,SCHOOL_ALL,Biology,16,16,13
2014-15,607,Barrow County,SCHOOL_ALL,SCHOOL_ALL,Calculus A,31,31,27
2014-15,607,Barrow County,SCHOOL_ALL,SCHOOL_ALL,Calculus BC,TFS,,
2014-15,607,Barrow County,SCHOOL_ALL,SCHOOL_ALL,Chemistry,23,23,5
2014-15,607,Barrow County,SCHOOL_ALL,SCHOOL_ALL,Economics: Micro,96,96,61
2014-15,607,Barrow County,SCHOOL_ALL,SCHOOL_ALL,Eng. Language & Comp,81,81,55
2014-15,607,Barrow County,SCHOOL_ALL,SCHOOL_ALL,Eng. Literature & Comp,77,77,49
2014-15,607,Barrow County,SCHOOL_ALL,SCHOOL_ALL,Environmental Science,99,100,21
2014-15,607,Barrow County,SCHOOL_ALL,SCHOOL_ALL,Geography: Human,128,129,41
2014-15,607,Barrow County,SCHOOL_ALL,SCHOOL_ALL,Gov. & Pol. U.S.,114,114,66
2014-15,607,Barrow County,SCHOOL_ALL,SCHOOL_ALL,Physics 1,25,25,6
2014-15,607,Barrow County,SCHOOL_ALL,SCHOOL_ALL,Physics C: Mechanics,TFS,,
2014-15,607,Barrow County,SCHOOL_ALL,SCHOOL_ALL,Psychology,TFS,,
2014-15,607,Barrow County,SCHOOL_ALL,SCHOOL_ALL,Spanish Language,TFS,,
2014-15,607,Barrow County,SCHOOL_ALL,SCHOOL_ALL,Statistics,59,59,44
2014-15,607,Barrow County,SCHOOL_ALL,SCHOOL_ALL,U.S. History,47,47,28
2014-15,607,Barrow County,SCHOOL_ALL,SCHOOL_ALL,World History,77,77,22
2014-15,608,Bartow County,105,Adairsville High School,ALL Subjects,87,148,86
2014-15,608,Bartow County,105,Adairsville High School,Art: Studio Drawing,TFS,,
2014-15,608,Bartow County,105,Adairsville High School,Biology,24,24,13
2014-15,608,Bartow County,105,Adairsville High School,Calculus A,TFS,,
2014-15,608,Bartow County,105,Adairsville High School,Economics: Micro,TFS,,
2014-15,608,Bartow County,105,Adairsville High School,Eng. Language & Comp,18,18,10
2014-15,608,Bartow County,105,Adairsville High School,Eng. Literature & Comp,10,10,6
2014-15,608,Bartow County,105,Adairsville High School,Gov. & Pol. U.S.,TFS,,
2014-15,608,Bartow County,105,Adairsville High School,Psychology,29,29,23
2014-15,608,Bartow County,105,Adairsville High School,Spanish Language,TFS,,
2014-15,608,Bartow County,105,Adairsville High School,U.S. History,18,18,13
2014-15,608,Bartow County,105,Adairsville High School,World History,20,20,11
2014-15,608,Bartow County,114,Cass High School,ALL Subjects,118,178,80
2014-15,608,Bartow County,114,Cass High School,Biology,TFS,,
2014-15,608,Bartow County,114,Cass High School,Calculus A,15,15,8
2014-15,608,Bartow County,114,Cass High School,Economics: Micro,24,24,16
2014-15,608,Bartow County,114,Cass High School,Eng. Language & Comp,17,17,8
2014-15,608,Bartow County,114,Cass High School,Eng. Literature & Comp,TFS,,
2014-15,608,Bartow County,114,Cass High School,Environmental Science,TFS,,
2014-15,608,Bartow County,114,Cass High School,Geography: Human,TFS,,
2014-15,608,Bartow County,114,Cass High School,Psychology,41,41,26
2014-15,608,Bartow County,114,Cass High School,Statistics,23,23,4
2014-15,608,Bartow County,114,Cass High School,U.S. History,22,22,8
2014-15,608,Bartow County,114,Cass High School,World History,20,20,
2014-15,608,Bartow County,198,Woodland High School,ALL Subjects,135,220,176
2014-15,608,Bartow County,198,Woodland High School,Art: Studio 2-D Design,TFS,,
2014-15,608,Bartow County,198,Woodland High School,Art: Studio 3-D Design,TFS,,
2014-15,608,Bartow County,198,Woodland High School,Biology,TFS,,
2014-15,608,Bartow County,198,Woodland High School,Calculus A,TFS,,
2014-15,608,Bartow County,198,Woodland High School,Calculus BC,TFS,,
2014-15,608,Bartow County,198,Woodland High School,Chemistry,10,10,1
2014-15,608,Bartow County,198,Woodland High School,Economics: Micro,TFS,,
2014-15,608,Bartow County,198,Woodland High School,Eng. Language & Comp,41,41,30
2014-15,608,Bartow County,198,Woodland High School,Eng. Literature & Comp,TFS,,
2014-15,608,Bartow County,198,Woodland High School,Environmental Science,46,46,42
2014-15,608,Bartow County,198,Woodland High School,Geography: Human,TFS,,
2014-15,608,Bartow County,198,Woodland High School,Gov. & Pol. U.S.,TFS,,
2014-15,608,Bartow County,198,Woodland High School,Psychology,32,32,32
2014-15,608,Bartow County,198,Woodland High School,Spanish Language,TFS,,
2014-15,608,Bartow County,198,Woodland High School,Statistics,TFS,,
2014-15,608,Bartow County,198,Woodland High School,U.S. History,24,24,19
2014-15,608,Bartow County,198,Woodland High School,World History,14,14,11
2014-15,608,Bartow County,SCHOOL_ALL,SCHOOL_ALL,ALL Subjects,340,546,342
2014-15,608,Bartow County,SCHOOL_ALL,SCHOOL_ALL,Art: Studio 2-D Design,TFS,,
2014-15,608,Bartow County,SCHOOL_ALL,SCHOOL_ALL,Art: Studio 3-D Design,TFS,,
2014-15,608,Bartow County,SCHOOL_ALL,SCHOOL_ALL,Art: Studio Drawing,TFS,,
2014-15,608,Bartow County,SCHOOL_ALL,SCHOOL_ALL,Biology,35,35,20
2014-15,608,Bartow County,SCHOOL_ALL,SCHOOL_ALL,Calculus A,24,24,13
2014-15,608,Bartow County,SCHOOL_ALL,SCHOOL_ALL,Calculus BC,TFS,,
2014-15,608,Bartow County,SCHOOL_ALL,SCHOOL_ALL,Chemistry,10,10,1
2014-15,608,Bartow County,SCHOOL_ALL,SCHOOL_ALL,Economics: Micro,40,40,21
2014-15,608,Bartow County,SCHOOL_ALL,SCHOOL_ALL,Eng. Language & Comp,76,76,48
2014-15,608,Bartow County,SCHOOL_ALL,SCHOOL_ALL,Eng. Literature & Comp,20,20,14
2014-15,608,Bartow County,SCHOOL_ALL,SCHOOL_ALL,Environmental Science,52,52,46
2014-15,608,Bartow County,SCHOOL_ALL,SCHOOL_ALL,Geography: Human,TFS,,
2014-15,608,Bartow County,SCHOOL_ALL,SCHOOL_ALL,Gov. & Pol. U.S.,12,12,4
2014-15,608,Bartow County,SCHOOL_ALL,SCHOOL_ALL,Psychology,102,102,81
2014-15,608,Bartow County,SCHOOL_ALL,SCHOOL_ALL,Spanish Language,16,16,14
2014-15,608,Bartow County,SCHOOL_ALL,SCHOOL_ALL,Statistics,32,32,12
2014-15,608,Bartow County,SCHOOL_ALL,SCHOOL_ALL,U.S. History,64,64,40
2014-15,608,Bartow County,SCHOOL_ALL,SCHOOL_ALL,World History,54,54,22
2014-15,609,Ben Hill County,291,Fitzgerald High School,ALL Subjects,44,47,12
2014-15,609,Ben Hill County,291,Fitzgerald High School,Economics: Micro,TFS,,
2014-15,609,Ben Hill County,291,Fitzgerald High School,Eng. Language & Comp,TFS,,
2014-15,609,Ben Hill County,291,Fitzgerald High School,Environmental Science,TFS,,
2014-15,609,Ben Hill County,291,Fitzgerald High School,Geography: Human,TFS,,
2014-15,609,Ben Hill County,291,Fitzgerald High School,Psychology,TFS,,
2014-15,609,Ben Hill County,291,Fitzgerald High School,U.S. History,TFS,,
2014-15,609,Ben Hill County,291,Fitzgerald High School,World History,22,22,4
2014-15,609,Ben Hill County,SCHOOL_ALL,SCHOOL_ALL,ALL Subjects,44,47,12
2014-15,609,Ben Hill County,SCHOOL_ALL,SCHOOL_ALL,Economics: Micro,TFS,,
2014-15,609,Ben Hill County,SCHOOL_ALL,SCHOOL_ALL,Eng. Language & Comp,TFS,,
2014-15,609,Ben Hill County,SCHOOL_ALL,SCHOOL_ALL,Environmental Science,TFS,,
2014-15,609,Ben Hill County,SCHOOL_ALL,SCHOOL_ALL,Geography: Human,TFS,,
2014-15,609,Ben Hill County,SCHOOL_ALL,SCHOOL_ALL,Psychology,TFS,,
2014-15,609,Ben Hill County,SCHOOL_ALL,SCHOOL_ALL,U.S. History,TFS,,
2014-15,609,Ben Hill County,SCHOOL_ALL,SCHOOL_ALL,World History,22,22,4
2014-15,610,Berrien County,101,Berrien High School,ALL Subjects,22,22,16
2014-15,610,Berrien County,101,Berrien High School,Art: Studio 3-D Design,TFS,,
2014-15,610,Berrien County,101,Berrien High School,Art: Studio Drawing,TFS,,
2014-15,610,Berrien County,101,Berrien High School,Gov. & Pol. U.S.,TFS,,
2014-15,610,Berrien County,101,Berrien High School,U.S. History,19,19,14
2014-15,610,Berrien County,SCHOOL_ALL,SCHOOL_ALL,ALL Subjects,22,22,16
2014-15,610,Berrien County,SCHOOL_ALL,SCHOOL_ALL,Art: Studio 3-D Design,TFS,,
2014-15,610,Berrien County,SCHOOL_ALL,SCHOOL_ALL,Art: Studio Drawing,TFS,,
2014-15,610,Berrien County,SCHOOL_ALL,SCHOOL_ALL,Gov. & Pol. U.S.,TFS,,
2014-15,610,Berrien County,SCHOOL_ALL,SCHOOL_ALL,U.S. History,19,19,14
2014-15,611,Bibb County,105,Howard High School,ALL Subjects,341,619,159
2014-15,611,Bibb County,105,Howard High School,Art: Studio 2-D Design,TFS,,
2014-15,611,Bibb County,105,Howard High School,Art: Studio Drawing,TFS,,
2014-15,611,Bibb County,105,Howard High School,Biology,TFS,,
2014-15,611,Bibb County,105,Howard High School,Calculus A,30,30,15
2014-15,611,Bibb County,105,Howard High School,Calculus BC,15,15,9
2014-15,611,Bibb County,105,Howard High School,Chemistry,34,34,6
2014-15,611,Bibb County,105,Howard High School,Computer Science A,TFS,,
2014-15,611,Bibb County,105,Howard High School,Economics: Micro,54,54,18
2014-15,611,Bibb County,105,Howard High School,Eng. Language & Comp,83,83,21
2014-15,611,Bibb County,105,Howard High School,Eng. Literature & Comp,60,60,22
2014-15,611,Bibb County,105,Howard High School,Environmental Science,43,43,4
2014-15,611,Bibb County,105,Howard High School,European History,TFS,,
