LONG_SCHOOL_YEAR,SCHOOL_DISTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,NUMBER_OF_GRADUATES,HOPE_ELIGIBLE,HOPE_ELIGIBLE_PCT
2014-15,601,Appling County,103,Appling County High School,239,110,46.03
2014-15,601,Appling County,ALL,All Schools,239,110,46.03
2014-15,602,Atkinson County,103,Atkinson County High School,83,45,54.22
2014-15,602,Atkinson County,ALL,All Schools,83,45,54.22
2014-15,603,Bacon County,302,Bacon County High School,139,64,46.04
2014-15,603,Bacon County,ALL,All Schools,139,64,46.04
2014-15,604,Baker County,105,Baker County K12 School,20,,
2014-15,604,Baker County,ALL,All Schools,20,,
2014-15,605,Baldwin County,189,Baldwin High School,275,63,22.91
2014-15,605,Baldwin County,ALL,All Schools,275,63,22.91
2014-15,606,Banks County,199,Banks County High School,189,101,53.44
2014-15,606,Banks County,ALL,All Schools,189,101,53.44
2014-15,607,Barrow County,101,Apalachee High School,344,169,49.13
2014-15,607,Barrow County,113,Snodon Preparatory School,46,TFS,10.87
2014-15,607,Barrow County,3052,Winder-Barrow High School,333,170,51.05
2014-15,607,Barrow County,ALL,All Schools,723,344,47.58
2014-15,608,Bartow County,105,Adairsville High School,206,88,42.72
2014-15,608,Bartow County,114,Cass High School,313,100,31.95
2014-15,608,Bartow County,198,Woodland High School,343,126,36.73
2014-15,608,Bartow County,ALL,All Schools,862,314,36.43
2014-15,609,Ben Hill County,291,Fitzgerald High School,158,41,25.95
2014-15,609,Ben Hill County,ALL,All Schools,158,41,25.95
2014-15,610,Berrien County,101,Berrien High School,184,75,40.76
2014-15,610,Berrien County,106,Berrien Academy Performance Learning Center,23,TFS,4.35
2014-15,610,Berrien County,ALL,All Schools,207,76,36.71
2014-15,611,Bibb County,105,Howard High School,205,64,31.22
2014-15,611,Bibb County,186,Central High School,187,64,34.22
2014-15,611,Bibb County,198,Westside High School,246,60,24.39
2014-15,611,Bibb County,204,Rutland High School,202,59,29.21
2014-15,611,Bibb County,286,Northeast High School,108,13,12.04
2014-15,611,Bibb County,303,William S. Hutchings Career Center,48,15,31.25
2014-15,611,Bibb County,386,Southwest High School,161,37,22.98
2014-15,611,Bibb County,ALL,All Schools,1157,312,26.97
2014-15,612,Bleckley County,105,Bleckley County High School,128,55,42.97
2014-15,612,Bleckley County,115,Bleckley County Success Academy,17,,
2014-15,612,Bleckley County,ALL,All Schools,145,55,37.93
2014-15,613,Brantley County,1050,Brantley County High School,207,105,50.72
2014-15,613,Brantley County,ALL,All Schools,207,105,50.72
2014-15,614,Brooks County,110,Brooks County High School,113,38,33.63
2014-15,614,Brooks County,ALL,All Schools,113,38,33.63
2014-15,615,Bryan County,182,Richmond Hill High School,420,206,49.05
2014-15,615,Bryan County,502,Bryan County High School,97,40,41.24
2014-15,615,Bryan County,ALL,All Schools,517,246,47.58
2014-15,616,Bulloch County,203,Southeast Bulloch High School,211,82,38.86
2014-15,616,Bulloch County,2054,Statesboro High School,336,141,41.96
2014-15,616,Bulloch County,4052,Portal Middle/High School,46,20,43.48
2014-15,616,Bulloch County,ALL,All Schools,593,243,40.98
2014-15,617,Burke County,288,Burke County High School,291,80,27.49
2014-15,617,Burke County,ALL,All Schools,291,80,27.49
2014-15,618,Butts County,190,Jackson High School,222,129,58.11
2014-15,618,Butts County,ALL,All Schools,222,129,58.11
2014-15,619,Calhoun County,113,Calhoun County High School,32,10,31.25
2014-15,619,Calhoun County,ALL,All Schools,32,10,31.25
2014-15,620,Camden County,295,Camden County High School,585,263,44.96
2014-15,620,Camden County,ALL,All Schools,585,263,44.96
2014-15,621,Candler County,101,Metter High School,121,48,39.67
2014-15,621,Candler County,ALL,All Schools,121,48,39.67
2014-15,622,Carroll County,189,Temple High School,136,66,48.53
2014-15,622,Carroll County,212,Mt. Zion High School,86,45,52.33
2014-15,622,Carroll County,2052,Central High School,230,114,49.57
2014-15,622,Carroll County,3050,Bowdon High School,101,61,60.4
2014-15,622,Carroll County,5054,Villa Rica High School,304,148,48.68
2014-15,622,Carroll County,ALL,All Schools,857,434,50.64
2014-15,623,Catoosa County,109,Heritage High School,304,183,60.2
2014-15,623,Catoosa County,1052,Lakeview-Fort Oglethorpe High School,215,73,33.95
2014-15,623,Catoosa County,4052,Ringgold High School,211,119,56.4
2014-15,623,Catoosa County,ALL,All Schools,730,375,51.37
2014-15,624,Charlton County,287,Charlton County High School,68,26,38.24
2014-15,624,Charlton County,ALL,All Schools,68,26,38.24
2014-15,625,Savannah-Chatham County,101,Johnson High School,183,25,13.66
2014-15,625,Savannah-Chatham County,115,Woodville-Tompkins Technical and Career High School,70,28,40
2014-15,625,Savannah-Chatham County,117,New Hampstead High School,207,70,33.82
2014-15,625,Savannah-Chatham County,210,The School of Liberal Studies at Savannah High,133,15,11.28
2014-15,625,Savannah-Chatham County,411,Islands High School,230,89,38.7
2014-15,625,Savannah-Chatham County,499,Savannah Arts Academy,178,138,77.53
2014-15,625,Savannah-Chatham County,2052,Beach High School,160,41,25.63
2014-15,625,Savannah-Chatham County,3056,Groves High School,152,34,22.37
2014-15,625,Savannah-Chatham County,5060,Jenkins High School,197,32,16.24
