"LONG_SCHOOL_YEAR","SCHOOL_DISTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","NUMBER_OF_GRADUATES","HOPE_ELIGIBLE","HOPE_ELIGIBLE_PCT"
"2013-14","629","Clarke County","ALL","All Schools",483,206,42.65
"2013-14","631","Clayton County","0104","Mundy's Mill High School",292,99,33.9
"2013-14","631","Clayton County","0114","Elite Scholars Academy School",44,20,45.45
"2013-14","631","Clayton County","0115","Charles R. Drew High School",233,74,31.76
"2013-14","631","Clayton County","0190","Lovejoy High School",312,95,30.45
"2013-14","631","Clayton County","0290","Mount Zion High School",260,91,35
"2013-14","631","Clayton County","0377","Riverdale High School",205,61,29.76
"2013-14","631","Clayton County","1054","Forest Park High School",204,57,27.94
"2013-14","631","Clayton County","1056","Jonesboro High School",231,90,38.96
"2013-14","631","Clayton County","2052","North Clayton High School",128,27,21.09
"2013-14","631","Clayton County","4058","Morrow High School",274,82,29.93
"2013-14","631","Clayton County","ALL","All Schools",2183,696,31.88
"2013-14","632","Clinch County","1050","Clinch County High School",71,36,50.7
"2013-14","632","Clinch County","ALL","All Schools",71,36,50.7
"2013-14","633","Cobb County","0101","Kennesaw Mountain High School",440,234,53.18
"2013-14","633","Cobb County","0103","Kell High School",319,172,53.92
"2013-14","633","Cobb County","0175","Walton High School",666,441,66.22
"2013-14","633","Cobb County","0188","Pope High School",369,253,68.56
"2013-14","633","Cobb County","0192","Harrison High School",485,304,62.68
"2013-14","633","Cobb County","0209","Allatoona High School",355,171,48.17
"2013-14","633","Cobb County","0373","Sprayberry High School",394,183,46.45
"2013-14","633","Cobb County","0381","Lassiter High School",471,298,63.27
"2013-14","633","Cobb County","0707","Hillgrove High School",507,277,54.64
"2013-14","633","Cobb County","1054","Campbell High School",418,212,50.72
"2013-14","633","Cobb County","1064","McEachern High School",458,154,33.62
"2013-14","633","Cobb County","1069","Wheeler High School",413,185,44.79
"2013-14","633","Cobb County","2056","North Cobb High School",551,268,48.64
"2013-14","633","Cobb County","2066","Osborne High School",311,113,36.33
"2013-14","633","Cobb County","3056","South Cobb High School",366,141,38.52
"2013-14","633","Cobb County","4066","Pebblebrook High School",351,106,30.2
"2013-14","633","Cobb County","ALL","All Schools",6874,3512,51.09
"2013-14","634","Coffee County","0114","Wiregrass Regional College and Career Academy",21,3,14.29
"2013-14","634","Coffee County","0195","Coffee County High School",336,164,48.81
"2013-14","634","Coffee County","ALL","All Schools",357,167,46.78
"2013-14","635","Colquitt County","0112","Colquitt County Achievement Center",26,,
"2013-14","635","Colquitt County","1554","Colquitt County High School",434,194,44.7
"2013-14","635","Colquitt County","ALL","All Schools",460,194,42.17
"2013-14","636","Columbia County","0112","Grovetown High School",279,86,30.82
"2013-14","636","Columbia County","0183","Harlem High School",156,48,30.77
"2013-14","636","Columbia County","0189","Lakeside High School",339,190,56.05
"2013-14","636","Columbia County","0197","Greenbrier High School",363,210,57.85
"2013-14","636","Columbia County","4050","Evans High School",398,178,44.72
"2013-14","636","Columbia County","ALL","All Schools",1535,712,46.38
"2013-14","637","Cook County","0111","Cook High School",189,86,45.5
"2013-14","637","Cook County","ALL","All Schools",189,86,45.5
"2013-14","638","Coweta County","0196","Northgate High School",398,234,58.79
"2013-14","638","Coweta County","0389","East Coweta High School",529,260,49.15
"2013-14","638","Coweta County","5054","Newnan High School",509,189,37.13
"2013-14","638","Coweta County","ALL","All Schools",1436,683,47.56
"2013-14","639","Crawford County","0193","Crawford County High School",79,31,39.24
"2013-14","639","Crawford County","ALL","All Schools",79,31,39.24
"2013-14","640","Crisp County","0196","Crisp County High School",196,66,33.67
"2013-14","640","Crisp County","ALL","All Schools",196,66,33.67
"2013-14","641","Dade County","0195","Dade County High School",115,60,52.17
"2013-14","641","Dade County","ALL","All Schools",115,60,52.17
"2013-14","642","Dawson County","0198","Dawson County High School",239,121,50.63
"2013-14","642","Dawson County","ALL","All Schools",239,121,50.63
"2013-14","643","Decatur County","3050","Bainbridge High School",285,145,50.88
"2013-14","643","Decatur County","ALL","All Schools",285,145,50.88
"2013-14","644","DeKalb County","0103","Martin Luther King, Jr. High School",265,56,21.13
"2013-14","644","DeKalb County","0105","Miller Grove High School",235,62,26.38
"2013-14","644","DeKalb County","0112","Destiny Achievers Academy of Excellence",19,,
"2013-14","644","DeKalb County","0172","Cedar Grove High School",172,51,29.65
"2013-14","644","DeKalb County","0176","Redan High School",222,67,30.18
"2013-14","644","DeKalb County","0202","Lithonia High School",201,61,30.35
"2013-14","644","DeKalb County","0276","Stone Mountain High School",168,54,32.14
"2013-14","644","DeKalb County","0407","Dekalb Early College Academy",37,18,48.65
"2013-14","644","DeKalb County","0410","DeKalb School of the Arts",67,62,92.54
"2013-14","644","DeKalb County","0497","Stephenson High School",292,71,24.32
"2013-14","644","DeKalb County","0500","DeKalb Alternative School",,,
"2013-14","644","DeKalb County","0606","Gateway to College Academy",,,
"2013-14","644","DeKalb County","0610","Arabia Mountain High School - Academy of Engineering, Medicine and Environm",292,133,45.55
"2013-14","644","DeKalb County","0810","Elizabeth Andrews High School",153,5,3.27
"2013-14","644","DeKalb County","1070","Tucker High School",316,124,39.24
"2013-14","644","DeKalb County","2054","Columbia High School",181,72,39.78
"2013-14","644","DeKalb County","2055","Druid Hills High School",253,142,56.13
"2013-14","644","DeKalb County","3060","Lakeside High School",325,198,60.92
"2013-14","644","DeKalb County","3070","McNair High School",104,25,24.04
"2013-14","644","DeKalb County","4053","Clarkston High School",199,85,42.71
