"LONG_SCHOOL_YEAR","SCHOOL_DISTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","SUBGRP_DESC","TEST_CMPNT_TYP_CD","NATIONAL_NUM_TESTED_CNT","STATE_NUM_TESTED_CNT","DSTRCT_NUM_TESTED_CNT","INSTN_NUM_TESTED_CNT","STATE_AVG_SCORE_VAL","DSTRCT_AVG_SCORE_VAL","INSTN_AVG_SCORE_VAL"
"2015-16","607","Barrow County","3052","Winder-Barrow High School","All Students","Essay Analysis Score - New",,15889,138,59,4,4,4
"2015-16","607","Barrow County","3052","Winder-Barrow High School","All Students","Essay Reading Score - New",,15889,138,59,5,5,5
"2015-16","607","Barrow County","3052","Winder-Barrow High School","All Students","Essay Total",,15889,138,59,14,13,13
"2015-16","607","Barrow County","3052","Winder-Barrow High School","All Students","Essay Writing Score - New",,15889,138,59,5,5,5
"2015-16","607","Barrow County","3052","Winder-Barrow High School","All Students","Evidence Based Reading and Writing - New",,27919,185,98,550,540,554
"2015-16","607","Barrow County","3052","Winder-Barrow High School","All Students","Math Section Score - New",,27919,185,98,530,516,534
"2015-16","607","Barrow County","3052","Winder-Barrow High School","All Students","Reading Test  Score - New",,27919,185,98,276,270,278
"2015-16","607","Barrow County","3052","Winder-Barrow High School","All Students","WritLang Test  Score - New",,27919,185,98,274,270,275
"2015-16","608","Bartow County","0105","Adairsville High School","All Students","Combined Test Score",,27919,107,22,1080,1061,1005
"2015-16","608","Bartow County","0105","Adairsville High School","All Students","Essay Analysis Score - New",,15889,60,11,4,4,3
"2015-16","608","Bartow County","0105","Adairsville High School","All Students","Essay Reading Score - New",,15889,60,11,5,5,4
"2015-16","608","Bartow County","0105","Adairsville High School","All Students","Essay Total",,15889,60,11,14,13,11
"2015-16","608","Bartow County","0105","Adairsville High School","All Students","Essay Writing Score - New",,15889,60,11,5,5,4
"2015-16","608","Bartow County","0105","Adairsville High School","All Students","Evidence Based Reading and Writing - New",,27919,107,22,550,539,506
"2015-16","608","Bartow County","0105","Adairsville High School","All Students","Math Section Score - New",,27919,107,22,530,521,500
"2015-16","608","Bartow County","0105","Adairsville High School","All Students","Reading Test  Score - New",,27919,107,22,276,271,255
"2015-16","608","Bartow County","0105","Adairsville High School","All Students","WritLang Test  Score - New",,27919,107,22,274,268,251
"2015-16","608","Bartow County","0114","Cass High School","All Students","Combined Test Score",,27919,107,42,1080,1061,1051
"2015-16","608","Bartow County","0114","Cass High School","All Students","Essay Analysis Score - New",,15889,60,25,4,4,3
"2015-16","608","Bartow County","0114","Cass High School","All Students","Essay Reading Score - New",,15889,60,25,5,5,5
"2015-16","608","Bartow County","0114","Cass High School","All Students","Essay Total",,15889,60,25,14,13,13
"2015-16","608","Bartow County","0114","Cass High School","All Students","Essay Writing Score - New",,15889,60,25,5,5,5
"2015-16","608","Bartow County","0114","Cass High School","All Students","Evidence Based Reading and Writing - New",,27919,107,42,550,539,540
"2015-16","608","Bartow County","0114","Cass High School","All Students","Math Section Score - New",,27919,107,42,530,521,511
"2015-16","608","Bartow County","0114","Cass High School","All Students","Reading Test  Score - New",,27919,107,42,276,271,273
"2015-16","608","Bartow County","0114","Cass High School","All Students","WritLang Test  Score - New",,27919,107,42,274,268,267
"2015-16","608","Bartow County","0198","Woodland High School","All Students","Combined Test Score",,27919,107,43,1080,1061,1098
"2015-16","608","Bartow County","0198","Woodland High School","All Students","Essay Analysis Score - New",,15889,60,24,4,4,4
"2015-16","608","Bartow County","0198","Woodland High School","All Students","Essay Reading Score - New",,15889,60,24,5,5,5
"2015-16","608","Bartow County","0198","Woodland High School","All Students","Essay Total",,15889,60,24,14,13,13
"2015-16","608","Bartow County","0198","Woodland High School","All Students","Essay Writing Score - New",,15889,60,24,5,5,5
"2015-16","608","Bartow County","0198","Woodland High School","All Students","Evidence Based Reading and Writing - New",,27919,107,43,550,539,555
"2015-16","608","Bartow County","0198","Woodland High School","All Students","Math Section Score - New",,27919,107,43,530,521,543
"2015-16","608","Bartow County","0198","Woodland High School","All Students","Reading Test  Score - New",,27919,107,43,276,271,277
"2015-16","608","Bartow County","0198","Woodland High School","All Students","WritLang Test  Score - New",,27919,107,43,274,268,279
"2015-16","609","Ben Hill County","0291","Fitzgerald High School","All Students","Combined Test Score",,27919,30,30,1080,990,990
"2015-16","609","Ben Hill County","0291","Fitzgerald High School","All Students","Essay Analysis Score - New",,15889,11,11,4,3,3
"2015-16","609","Ben Hill County","0291","Fitzgerald High School","All Students","Essay Reading Score - New",,15889,11,11,5,5,5
"2015-16","609","Ben Hill County","0291","Fitzgerald High School","All Students","Essay Total",,15889,11,11,14,12,12
"2015-16","609","Ben Hill County","0291","Fitzgerald High School","All Students","Essay Writing Score - New",,15889,11,11,5,5,5
"2015-16","609","Ben Hill County","0291","Fitzgerald High School","All Students","Evidence Based Reading and Writing - New",,27919,30,30,550,506,506
"2015-16","609","Ben Hill County","0291","Fitzgerald High School","All Students","Math Section Score - New",,27919,30,30,530,484,484
"2015-16","609","Ben Hill County","0291","Fitzgerald High School","All Students","Reading Test  Score - New",,27919,30,30,276,259,259
"2015-16","609","Ben Hill County","0291","Fitzgerald High School","All Students","WritLang Test  Score - New",,27919,30,30,274,247,247
"2015-16","610","Berrien County","0101","Berrien High School","All Students","Combined Test Score",,27919,8,8,1080,,
"2015-16","610","Berrien County","0101","Berrien High School","All Students","Essay Analysis Score - New",,15889,2,2,4,,
"2015-16","610","Berrien County","0101","Berrien High School","All Students","Essay Reading Score - New",,15889,2,2,5,,
"2015-16","610","Berrien County","0101","Berrien High School","All Students","Essay Total",,15889,2,2,14,,
"2015-16","610","Berrien County","0101","Berrien High School","All Students","Essay Writing Score - New",,15889,2,2,5,,
"2015-16","610","Berrien County","0101","Berrien High School","All Students","Evidence Based Reading and Writing - New",,27919,8,8,550,,
"2015-16","610","Berrien County","0101","Berrien High School","All Students","Math Section Score - New",,27919,8,8,530,,
"2015-16","610","Berrien County","0101","Berrien High School","All Students","Reading Test  Score - New",,27919,8,8,276,,
"2015-16","610","Berrien County","0101","Berrien High School","All Students","WritLang Test  Score - New",,27919,8,8,274,,
"2015-16","611","Bibb County","0105","Howard High School","All Students","Combined Test Score",,27919,320,89,1080,985,1046
