LONG_SCHOOL_YEAR,SCHOOL_DISTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,SUBGRP_DESC,TEST_CMPNT_TYP_CD,NATIONAL_NUM_TESTED_CNT,STATE_NUM_TESTED_CNT,DSTRCT_NUM_TESTED_CNT,INSTN_NUM_TESTED_CNT,STATE_AVG_SCORE_VAL,DSTRCT_AVG_SCORE_VAL,INSTN_AVG_SCORE_VAL
2015-16,601,Appling County,103,Appling County High School,All Students,Combined,1305158,50684,77,77,1383,1311,1311
2015-16,601,Appling County,103,Appling County High School,All Students,Mathematics,1305158,50905,76,76,487,450,450
2015-16,601,Appling County,103,Appling County High School,All Students,Reading,1305158,50915,78,78,490,474,474
2015-16,601,Appling County,103,Appling County High School,All Students,Writing,1305158,50231,76,76,406,387,387
2015-16,602,Atkinson County,103,Atkinson County High School,All Students,Combined,1305158,50684,40,40,1383,1324,1324
2015-16,602,Atkinson County,103,Atkinson County High School,All Students,Mathematics,1305158,50905,39,39,487,445,445
2015-16,602,Atkinson County,103,Atkinson County High School,All Students,Reading,1305158,50915,41,41,490,443,443
2015-16,602,Atkinson County,103,Atkinson County High School,All Students,Writing,1305158,50231,39,39,406,437,437
2015-16,603,Bacon County,302,Bacon County High School,All Students,Combined,1305158,50684,50,50,1383,1308,1308
2015-16,603,Bacon County,302,Bacon County High School,All Students,Mathematics,1305158,50905,50,50,487,456,456
2015-16,603,Bacon County,302,Bacon County High School,All Students,Reading,1305158,50915,51,51,490,444,444
2015-16,603,Bacon County,302,Bacon County High School,All Students,Writing,1305158,50231,50,50,406,408,408
2015-16,604,Baker County,105,Baker County K12 School,All Students,Combined,1305158,50684,TFS,TFS,1383,,
2015-16,604,Baker County,105,Baker County K12 School,All Students,Mathematics,1305158,50905,TFS,TFS,487,,
2015-16,604,Baker County,105,Baker County K12 School,All Students,Reading,1305158,50915,TFS,TFS,490,,
2015-16,604,Baker County,105,Baker County K12 School,All Students,Writing,1305158,50231,TFS,TFS,406,,
2015-16,605,Baldwin County,189,Baldwin High School,All Students,Combined,1305158,50684,66,66,1383,1248,1248
2015-16,605,Baldwin County,189,Baldwin High School,All Students,Mathematics,1305158,50905,66,66,487,444,444
2015-16,605,Baldwin County,189,Baldwin High School,All Students,Reading,1305158,50915,66,66,490,453,453
2015-16,605,Baldwin County,189,Baldwin High School,All Students,Writing,1305158,50231,66,66,406,351,351
2015-16,606,Banks County,199,Banks County High School,All Students,Combined,1305158,50684,39,39,1383,1315,1315
2015-16,606,Banks County,199,Banks County High School,All Students,Mathematics,1305158,50905,39,39,487,471,471
2015-16,606,Banks County,199,Banks County High School,All Students,Reading,1305158,50915,39,39,490,466,466
2015-16,606,Banks County,199,Banks County High School,All Students,Writing,1305158,50231,39,39,406,378,378
2015-16,607,Barrow County,101,Apalachee High School,All Students,Combined,1305158,50684,317,148,1383,1333,1314
2015-16,607,Barrow County,101,Apalachee High School,All Students,Mathematics,1305158,50905,316,147,487,460,452
2015-16,607,Barrow County,101,Apalachee High School,All Students,Reading,1305158,50915,320,149,490,470,464
2015-16,607,Barrow County,101,Apalachee High School,All Students,Writing,1305158,50231,314,147,406,404,398
2015-16,607,Barrow County,3052,Winder-Barrow High School,All Students,Combined,1305158,50684,317,169,1383,1333,1350
2015-16,607,Barrow County,3052,Winder-Barrow High School,All Students,Mathematics,1305158,50905,316,169,487,460,466
2015-16,607,Barrow County,3052,Winder-Barrow High School,All Students,Reading,1305158,50915,320,171,490,470,474
2015-16,607,Barrow County,3052,Winder-Barrow High School,All Students,Writing,1305158,50231,314,167,406,404,410
2015-16,608,Bartow County,105,Adairsville High School,All Students,Combined,1305158,50684,248,61,1383,1378,1314
2015-16,608,Bartow County,105,Adairsville High School,All Students,Mathematics,1305158,50905,249,61,487,474,456
2015-16,608,Bartow County,105,Adairsville High School,All Students,Reading,1305158,50915,249,61,490,489,466
2015-16,608,Bartow County,105,Adairsville High School,All Students,Writing,1305158,50231,246,60,406,415,392
2015-16,608,Bartow County,114,Cass High School,All Students,Combined,1305158,50684,248,73,1383,1378,1366
2015-16,608,Bartow County,114,Cass High School,All Students,Mathematics,1305158,50905,249,73,487,474,463
2015-16,608,Bartow County,114,Cass High School,All Students,Reading,1305158,50915,249,73,490,489,487
2015-16,608,Bartow County,114,Cass High School,All Students,Writing,1305158,50231,246,72,406,415,415
2015-16,608,Bartow County,198,Woodland High School,All Students,Combined,1305158,50684,248,115,1383,1378,1421
2015-16,608,Bartow County,198,Woodland High School,All Students,Mathematics,1305158,50905,249,115,487,474,491
2015-16,608,Bartow County,198,Woodland High School,All Students,Reading,1305158,50915,249,115,490,489,503
2015-16,608,Bartow County,198,Woodland High School,All Students,Writing,1305158,50231,246,114,406,415,427
