"School Year","Data Reporting Level","School District Code","School District Name","School Code","School Name","Grades Served","Total Enrolled","Total Retained","Number of Asians","Percentage of Asians","Number of American Indian","Percentage of American Indian","Number of Black","Percentage of Black","Number of Hispanic","Percentage of Hispanic","Number of MultiRacial","Percentage of MultiRacial","Number of White","Percentage of White","Number of Male","Percentage of Male","Number of Female","Percentage of Female"
"2020-21","School","606","Banks County","0107","Banks County Elementary School","03,04,05",582,"TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS"
"2020-21","School","606","Banks County","0199","Banks County High School","09,10,11,12",858,"18","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","16","89","13","72","TFS","TFS"
"2020-21","School","606","Banks County","0205","Banks County Primary School","PK,KK,01,02",615,"15","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","14","93","TFS","TFS","TFS","TFS"
"2020-21","District","606","Banks County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",2727,"47","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","43","92","32","68","15","32"
"2020-21","School","607","Barrow County","0101","Apalachee High School","09,10,11,12",1917,"79","TFS","TFS","TFS","TFS","20","25","11","14","TFS","TFS","37","47","54","68","25","32"
"2020-21","School","607","Barrow County","0105","County Line Elementary School","PK,KK,01,02,03,04,05",503,"TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS"
"2020-21","School","607","Barrow County","0106","Haymon-Morris Middle School","06,07,08",838,"TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS"
"2020-21","School","607","Barrow County","0114","Bear Creek Middle School","06,07,08",686,"TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS"
"2020-21","School","607","Barrow County","0189","Kennedy Elementary School","PK,KK,01,02,03,04,05",847,"18","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","12","67","TFS","TFS","10","56"
"2020-21","School","607","Barrow County","0193","Bramlett Elementary School","PK,KK,01,02,03,04,05",606,"TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS"
"2020-21","School","607","Barrow County","0198","Westside Middle School","06,07,08",725,"TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS"
"2020-21","School","607","Barrow County","0205","Bethlehem Elementary School","PK,KK,01,02,03,04,05",671,"TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS"
"2020-21","School","607","Barrow County","0289","Russell Middle School","06,07,08",951,"TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS"
