SystemId,SystemName,SingleScore,Third_Grade_Reading,Fifth_Grade_Reading,Eighth_Grade_Reading,College_Readiness,Accelerated_Course_Taking,Four_Year_Graduation_Rate,CollegeEnrollment,total_enroll
601,Appling County,81.10000000000001,,,,75.3,33.8,82.7,,3379
602,Atkinson County,77.40000000000001,,,,65,99,87,,1637
603,Bacon County,71.7,,,,69.5,45.8,84.7,,2016
604,Baker County,56.6,,,,,22.2,90,,281
605,Baldwin County,68.10000000000001,,,,45.8,36.2,88.80000000000001,,5223
606,Banks County,79.7,,,,70.5,18.9,90.40000000000001,,2765
607,Barrow County,78.90000000000001,,,,57.90000000000001,44.8,82.60000000000001,,13120
608,Bartow County,71.60000000000001,,,,55.8,46.8,83.40000000000001,,13328
609,Ben Hill County,63.3,,,,56.8,43.2,79.30000000000001,,3063
610,Berrien County,83.10000000000001,,,,60.5,43.1,81.2,,3022
611,Bibb County,64.90000000000001,,,,48.1,42.2,77.10000000000001,,23163
612,Bleckley County,86.5,,,,76.80000000000001,34.5,91,,2355
613,Brantley County,82.40000000000001,,,,77.5,53.2,82.5,,3301
614,Brooks County,67.90000000000001,,,,43.8,47,69.10000000000001,,2013
615,Bryan County,81.40000000000001,,,,68.90000000000001,41.5,85.30000000000001,,8651
616,Bulloch County,73.10000000000001,,,,72.5,54.2,82.5,,10047
617,Burke County,71.10000000000001,,,,37.5,27.2,92.2,,4008
618,Butts County,70.60000000000001,,,,55,34.4,84.40000000000001,,3298
619,Calhoun County,65.60000000000001,,,,50,46.5,89.10000000000001,,614
620,Camden County,88.7,,,,68.60000000000001,58.8,91.90000000000001,,8930
621,Candler County,69.3,,,,56.2,45.2,91.90000000000001,,2054
622,Carroll County,84,,,,60.5,38,85.7,,14328
623,Catoosa County,78.80000000000001,,,,58.40000000000001,49.1,85.30000000000001,,10397
624,Charlton County,71.8,,,,55.2,62,72.60000000000001,,1594
625,Chatham County,66.90000000000001,,,,55.5,47.40000000000001,84.30000000000001,,36436
626,Chattahoochee County,72.2,,,,44.1,56.7,86.30000000000001,,822
627,Chattooga County,66.60000000000001,,,,44.40000000000001,38.1,83.80000000000001,,2739
628,Cherokee County,81.80000000000001,,,,77.2,53,86.5,,41366
629,Clarke County,69.2,,,,51.1,51.5,80.30000000000001,,12532
630,Clay County,50.3,,,,,,,,205
631,Clayton County,67.8,,,,42.1,39.5,69.60000000000001,,53488
632,Clinch County,66.90000000000001,,,,55.8,57.5,86.90000000000001,,1308
