LONG_SCHOOL_YEAR,SCHOOL_DISTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,NUMBER_OF_GRADUATES,HOPE_ELIGIBLE,HOPE_ELIGIBLE_PCT
2011-12,601,Appling County,103,Appling County High School,165,66,40
2011-12,601,Appling County,ALL,All Schools,165,66,40
2011-12,602,Atkinson County,103,Atkinson County High School,69,28,40.58
2011-12,602,Atkinson County,ALL,All Schools,69,28,40.58
2011-12,603,Bacon County,302,Bacon County High School,105,40,38.1
2011-12,603,Bacon County,ALL,All Schools,105,40,38.1
2011-12,604,Baker County,105,Baker County K12 School,18,TFS,11.11
2011-12,604,Baker County,ALL,All Schools,18,TFS,11.11
2011-12,605,Baldwin County,189,Baldwin High School,226,62,27.43
2011-12,605,Baldwin County,ALL,All Schools,226,62,27.43
2011-12,607,Barrow County,101,Apalachee High School,305,142,46.56
2011-12,607,Barrow County,113,Snodon Preparatory School,17,TFS,11.76
2011-12,607,Barrow County,3052,Winder-Barrow High School,303,142,46.86
2011-12,607,Barrow County,ALL,All Schools,625,286,45.76
2011-12,608,Bartow County,105,Adairsville High School,168,52,30.95
2011-12,608,Bartow County,114,Cass High School,248,76,30.65
2011-12,608,Bartow County,198,Woodland High School,307,133,43.32
2011-12,608,Bartow County,ALL,All Schools,723,261,36.1
2011-12,609,Ben Hill County,291,Fitzgerald High School,143,41,28.67
2011-12,609,Ben Hill County,ALL,All Schools,143,41,28.67
2011-12,610,Berrien County,101,Berrien High School,159,63,39.62
2011-12,610,Berrien County,106,Berrien Academy Performance Learning Center,20,TFS,10
2011-12,610,Berrien County,ALL,All Schools,179,65,36.31
2011-12,611,Bibb County,105,Howard High School,176,71,40.34
2011-12,611,Bibb County,186,Central High School,176,44,25
2011-12,611,Bibb County,198,Westside High School,169,32,18.93
2011-12,611,Bibb County,204,Rutland High School,207,54,26.09
2011-12,611,Bibb County,286,Northeast High School,125,47,37.6
2011-12,611,Bibb County,303,William S. Hutchings Career Center,48,14,29.17
2011-12,611,Bibb County,386,Southwest High School,95,22,23.16
2011-12,611,Bibb County,ALL,All Schools,996,284,28.51
2011-12,612,Bleckley County,105,Bleckley County High School,150,61,40.67
2011-12,612,Bleckley County,ALL,All Schools,150,61,40.67
2011-12,613,Brantley County,1050,Brantley County High School,153,74,48.37
2011-12,613,Brantley County,ALL,All Schools,153,74,48.37
2011-12,614,Brooks County,110,Brooks County High School,106,38,35.85
2011-12,614,Brooks County,112,Academic Enhancement Program,,,
2011-12,614,Brooks County,ALL,All Schools,111,38,34.23
2011-12,615,Bryan County,182,Richmond Hill High School,333,170,51.05
2011-12,615,Bryan County,502,Bryan County High School,81,47,58.02
2011-12,615,Bryan County,ALL,All Schools,414,217,52.42
2011-12,616,Bulloch County,203,Southeast Bulloch High School,207,85,41.06
2011-12,616,Bulloch County,2054,Statesboro High School,276,134,48.55
2011-12,616,Bulloch County,4052,Portal Middle/High School,38,14,36.84
2011-12,616,Bulloch County,ALL,All Schools,521,233,44.72
2011-12,617,Burke County,288,Burke County High School,223,58,26.01
2011-12,617,Burke County,ALL,All Schools,223,58,26.01
2011-12,618,Butts County,190,Jackson High School,175,85,48.57
2011-12,618,Butts County,ALL,All Schools,175,85,48.57
2011-12,619,Calhoun County,4050,Calhoun County Middle/High School,28,TFS,28.57
2011-12,619,Calhoun County,ALL,All Schools,28,TFS,28.57
2011-12,620,Camden County,295,Camden County High School,629,254,40.38
2011-12,620,Camden County,ALL,All Schools,629,254,40.38
2011-12,621,Candler County,101,Metter High School,104,50,48.08
2011-12,621,Candler County,ALL,All Schools,104,50,48.08
2011-12,622,Carroll County,113,Open Campus High School,30,TFS,6.67
2011-12,622,Carroll County,189,Temple High School,110,46,41.82
2011-12,622,Carroll County,212,Mt. Zion High School,69,33,47.83
2011-12,622,Carroll County,2052,Central High School,212,125,58.96
