SysSchoolID,School Name,Enrollment in Grades Applicable to AYP Grades 1 through 8 and 11,Number of Students Taking the GAA
644:299,Chamblee Middle School,574,0
644:301,Columbia Middle School,1263,17
644:302,DeKalb Transition School,43,0
644:303,International Community Charter,117,0
644:3050,Ashford Park Elementary School,271,0
644:3051,Briarlake Elementary School,271,0
644:3052,Canby Lane Elementary School,594,16
644:3053,Chesnut Elementary School,415,0
644:3055,Dunaire Elementary School,512,0
644:3056,Flat Shoals Elementary School,312,0
644:3057,Hambrick Elementary School,622,8
644:3058,Heritage Educational Center,44,51
644:3059,Jolly Elementary School,391,0
644:3060,Lakeside High School,296,1
644:3061,Meadowview Elementary School,271,0
644:3062,Midway Elementary School,236,0
644:3063,Oak Grove Elementary School,394,6
644:3064,Pleasantdale Elementary School,489,1
644:3065,Rock Chapel Elementary School,780,7
644:3067,Smoke Rise Elementary School,447,13
644:3069,Toney Elementary School,315,0
644:3070,McNair High School,247,7
644:375,Fairington Elementary School,766,15
644:397,Stephenson Middle School,1299,25
644:399,Robert Shaw Theme School,412,0
644:400,DeKalb School of the Arts,98,0
644:401,Mary McLeod Bethune Middle School,1383,21
644:402,Academy of Lithonia Charter School,364,0
644:4050,Atherton Elementary School,364,0
644:4051,Briar Vista Elementary School,243,0
644:4052,Murphy Candler Elementary School,755,2
644:4053,Clarkston High School,310,1
644:4054,Cross Keys High School,215,0
644:4056,Forrest Hills Elementary School,230,0
644:4058,Hightower Elementary School,373,16
644:4059,Kelley Lake Elementary School,330,24
644:4060,Laurel Ridge Elementary School,283,19
644:4062,Montclair Elementary School,439,0
644:4063,Oakcliff Elementary School,383,0
