"SysSchoolID","SchoolName","Graduation Rate All Students","Number Taken All Students","Approximate Class Size All Students","Graduation Rate Asian","Number Taken Asian","Approximate Class Size Asian","Graduation Rate Black","Number Taken Black","Approximate Class Size Black","Graduation Rate Hispanic","Number Taken Hispanic","Approximate Class Size Hispanic","Graduation Rate Native Amer/Alaskan Native","Number Taken Native Amer/Alaskan Native","Approximate Class Size Amer/Alaskan Native","Graduation Rate White","Number Taken White","Approximate Class Size White","Graduation Rate Multiracial","Number Taken Multiracial","Approximate Class Size Multiracial","Graduation Rate Male","Number Taken Male","Approximate Class Size Male","Graduation Rate Female","Number Taken Female","Approximate Class Size Female","Graduation Rate Students with Disabilities","Number Taken Students with Disabilities","Approximate Class Size Students with Disabilities","Graduation Rate Students without Disabilities","Number Taken Students without Disabilities","Approximate Class Size Students without Disabilities","Graduation Rate Limited English Proficient","Number Taken Limited English Proficient","Approximate Class Size Limited English Proficient","Graduation Rate Economically Disadvantaged","Number Taken Economically Disadvantaged","Approximate Class Size Economically Disadvantaged","Graduation Rate Not Economically Disadv","Number Taken Not Economically Disadv","Approximate Class Size Not Economically Disadv","Graduation Rate Migrant","Number Taken Migrant","Approximate Class Size Migrant"
"722:189","Sims Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"722:192","Salem High School","76.1","217","285","92.9","13","14","66.7","40","60","43.5","10","23","","","0","82.3","153","186","","","2","71.3","102","143","81","115","142","40","8","20","78.9","209","265","31.3","5","16","52.8","19","36","79.5","198","249","","","0"
"722:194","Shoal Creek Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"722:197","Lorraine Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"722:2050","Flat Shoals Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"722:2052","Pine Street Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"722:278","Conyers Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"722:289","Hightower Trail Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"722:294","Memorial Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"722:3052","Rockdale County High School","69.4","234","337","","","6","61.8","76","123","","","8","","","3","75.1","148","197","","","0","64.5","120","186","75.5","114","151","50","23","46","72.5","211","291","","","0","53.7","51","95","75.6","183","242","","","0"
