"SysSchoolID","SchoolName","Graduation Rate All Students","Number Taken All Students","Approximate Class Size All Students","Graduation Rate Asian","Number Taken Asian","Approximate Class Size Asian","Graduation Rate Black","Number Taken Black","Approximate Class Size Black","Graduation Rate Hispanic","Number Taken Hispanic","Approximate Class Size Hispanic","Graduation Rate Native Amer/Alaskan Native","Number Taken Native Amer/Alaskan Native","Approximate Class Size Amer/Alaskan Native","Graduation Rate White","Number Taken White","Approximate Class Size White","Graduation Rate Multiracial","Number Taken Multiracial","Approximate Class Size Multiracial","Graduation Rate Male","Number Taken Male","Approximate Class Size Male","Graduation Rate Female","Number Taken Female","Approximate Class Size Female","Graduation Rate Students with Disabilities","Number Taken Students with Disabilities","Approximate Class Size Students with Disabilities","Graduation Rate Students without Disabilities","Number Taken Students without Disabilities","Approximate Class Size Students without Disabilities","Graduation Rate Limited English Proficient","Number Taken Limited English Proficient","Approximate Class Size Limited English Proficient","Graduation Rate Economically Disadvantaged","Number Taken Economically Disadvantaged","Approximate Class Size Economically Disadvantaged","Graduation Rate Not Economically Disadv","Number Taken Not Economically Disadv","Approximate Class Size Not Economically Disadv","Graduation Rate Migrant","Number Taken Migrant","Approximate Class Size Migrant"
"616:5054","Sallie Zetterower Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"616:ALL","Bulloch County","62.1","414","667","","","10","47.8","128","268","","","4","","","1","72.5","274","378","","","6","57.1","196","343","67.3","218","324","26.3","25","95","68","389","572","","","1","47.9","126","263","71.3","288","404","","","0"
"617:104","New Blakeney Elementary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"617:188","Burke County Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"617:196","S G A Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"617:2056","Waynesboro Primary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"617:288","Burke County High School","41.6","144","346","","","0","35.4","80","226","","","0","","","0","53.3","64","120","","","0","33.3","59","177","50.3","85","169","8.3","3","36","45.5","141","310","","","0","41.6","144","346","","","0","","","0"
"617:ALL","Burke County","41.6","144","346","","","0","35.4","80","226","","","0","","","0","53.3","64","120","","","0","33.3","59","177","50.3","85","169","8.3","3","36","45.5","141","310","","","0","41.6","144","346","","","0","","","0"
"618:100","Henderson Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"618:104","Hampton L. Daughtry Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"618:190","Jackson High School","60.3","143","237","","","2","43","40","93","","","2","","","0","71.2","99","139","","","1","62.6","72","115","58.2","71","122","17.6","3","17","63.6","140","220","","","0","50.6","39","77","65","104","160","","","0"
"618:194","Jackson Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"618:200","North Mulberry Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"618:ALL","Butts County","60.3","143","237","","","2","43","40","93","","","2","","","0","71.2","99","139","","","1","62.6","72","115","58.2","71","122","17.6","3","17","63.6","140","220","","","0","50.6","39","77","65","104","160","","","0"
"619:179","Calhoun County Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"619:4050","Calhoun County Middle/High School","75.5","37","49","","","0","78.3","36","46","","","2","","","0","","","1","","","0","63","17","27","90.9","20","22","","","6","79.1","34","43","","","0","75.5","37","49","","","0","","","1"
"619:ALL","Calhoun County","75.5","37","49","","","0","78.3","36","46","","","2","","","0","","","1","","","0","63","17","27","90.9","20","22","","","6","79.1","34","43","","","0","75.5","37","49","","","0","","","1"
"620:100","Mamie Lou Gross Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"620:182","Camden Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"620:187","Crooked River Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"620:189","Matilda Harris Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"620:192","Woodbine Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"620:193","Kingsland Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"620:195","David L Rainer Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"620:197","Sugarmill Elementary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"620:295","Camden County High School","70","459","656","","","8","65.1","114","175","68.2","15","22","","","3","70.9","312","440","","","8","66.4","215","324","73.5","244","332","33.3","19","57","73.5","440","599","","","0","52.9","81","153","75.1","378","503","","","0"
"620:3050","Saint Marys Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"620:395","Saint Marys Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"620:495","Mary Lee Clark Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"620:ALL","Camden County","70","459","656","","","8","65.1","114","175","68.2","15","22","","","3","70.9","312","440","","","8","66.4","215","324","73.5","244","332","33.3","19","57","73.5","440","599","","","0","52.9","81","153","75.1","378","503","","","0"
"621:101","Metter High School ","57.2","79","138","","","0","52.4","22","42","46.7","7","15","","","0","62","49","79","","","2","62.7","42","67","52.1","37","71","0","0","14","63.7","79","124","","","8","50.6","39","77","65.6","40","61","","","6"
"621:102","Metter Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"621:202","Metter Intermediate School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"621:302","Metter Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"621:ALL","Candler County","57.2","79","138","","","0","52.4","22","42","46.7","7","15","","","0","62","49","79","","","2","62.7","42","67","52.1","37","71","0","0","14","63.7","79","124","","","8","50.6","39","77","65.6","40","61","","","6"
"622:100","Sharp Creek Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"622:101","Jonesville Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"622:102","Temple Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"622:1054","Temple Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"622:176","Mount Zion Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"622:177","Central Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"622:189","Temple High School","77.3","85","110","","","0","83.3","15","18","","","0","","","1","75.6","68","90","","","1","77","47","61","77.6","38","49","92.3","12","13","75.3","73","97","","","0","78","39","50","76.7","46","60","","","0"
"622:190","Open Campus High School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"622:198","Bay Springs Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"622:199","Villa Rica Elementary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"622:2050","Bowdon Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"622:2052","Central High School","67.4","174","258","","","0","55.2","16","29","","","2","","","0","68.9","153","222","","","5","59.2","87","147","78.4","87","111","25.6","10","39","74.9","164","219","","","0","61.4","35","57","69.2","139","201","","","0"
"622:276","Mount Zion High School","64.8","59","91","","","1","","","6","","","0","","","1","65.1","54","83","","","0","70","35","50","58.5","24","41","44.4","8","18","69.9","51","73","","","1","54.8","23","42","73.5","36","49","","","0"
"622:3050","Bowdon High School","73","65","89","","","1","","","10","","","1","","","0","75.3","58","77","","","0","66.7","34","51","81.6","31","38","","","8","74.1","60","81","","","0","66.7","20","30","76.3","45","59","","","0"
"622:3054","Villa Rica Primary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"622:377","Roopville Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"622:477","Whitesburg Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"622:5050","Central Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"622:5052","Sand Hill Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"622:5054","Villa Rica High School","61.6","165","268","","","1","64.2","34","53","","","3","","","0","61.1","127","208","","","3","59.4","92","155","64.6","73","113","46.3","19","41","64.3","146","227","","","0","51.3","39","76","65.6","126","192","","","0"
"622:ALL","Carroll County","66.2","548","828","","","3","62.7","74","118","","","6","","","2","66.7","460","690","","","9","62.8","295","470","70.7","253","358","44.6","54","121","69.9","494","707","","","1","60.9","156","256","68.5","392","572","","","0"
"623:100","Ringgold Primary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"623:102","Battlefield Primary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"623:103","Battlefield Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"623:1050","Boynton Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"623:1052","Lakeview-Fort Oglethorpe High School","62.5","158","253","","","5","","","2","","","1","","","0","63.7","156","245","","","0","66.4","77","116","59.1","81","137","34.6","9","26","65.6","149","227","","","1","41","16","39","66.4","142","214","","","0"
"623:1054","West Side Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"623:185","Tiger Creek Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"623:2552","Lakeview Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"623:3050","Cloud Springs Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"623:3052","Ringgold Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
