SysSchoolid,School Name,Retained Total Students,Retained Total American Indian,Retained Percent American Indian,Retained Total Asian,Retained Percent Asian,Retained Total Black,Retained Percent Black,Retained Total Female,Retained Percent Female,Retained Total Hispanic,Retained Percent Hispanic,Retained Total Male,Retained Percent Male,Retained Total Multiracial,Retained Percent Multiracial,Retained Total White,Retained Percent White
603:3050,Bacon County Elementary School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,0,0
603:ALL,Bacon County,44,0,0,0,0,19,43.2,20,45.5,Too Few Students,Too Few Students,24,54.5,0,0,22,50
604:105,Baker County K12 School,14,0,0,0,0,11,78.6,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
604:ALL,Baker County,14,0,0,0,0,11,78.6,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
605:100,Oak Hill MS,32,0,0,0,0,22,68.8,13,40.6,0,0,19,59.4,0,0,10,31.3
605:104,Eagle Ridge Elementary School,27,0,0,0,0,22,81.5,Too Few Students,Too Few Students,0,0,18,66.7,0,0,Too Few Students,Too Few Students
605:189,Baldwin High School,130,0,0,0,0,114,87.7,55,42.3,Too Few Students,Too Few Students,75,57.7,Too Few Students,Too Few Students,13,10
605:194,Midway Elementary School,59,0,0,0,0,38,64.4,20,33.9,0,0,39,66.1,Too Few Students,Too Few Students,19,32.2
605:195,Blandy Hills Elementary School,87,0,0,0,0,64,73.6,39,44.8,0,0,48,55.2,Too Few Students,Too Few Students,21,24.1
605:199,Creekside Elementary School,41,0,0,0,0,25,61,19,46.3,Too Few Students,Too Few Students,22,53.7,Too Few Students,Too Few Students,13,31.7
605:ALL,Baldwin County,376,0,0,0,0,285,75.8,155,41.2,Too Few Students,Too Few Students,221,58.8,Too Few Students,Too Few Students,81,21.5
606:105,Banks County Middle School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
606:107,Banks County Elementary School,Too Few Students,0,0,0,0,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
606:199,Banks County High School,37,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,16,43.2,Too Few Students,Too Few Students,21,56.8,0,0,33,89.2
606:205,Banks County Primary School,23,0,0,0,0,0,0,Too Few Students,Too Few Students,0,0,15,65.2,0,0,23,100
606:ALL,Banks County,66,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,26,39.4,Too Few Students,Too Few Students,40,60.6,0,0,62,93.9
607:101,Apalachee High School,86,0,0,Too Few Students,Too Few Students,16,18.6,28,32.6,Too Few Students,Too Few Students,58,67.4,Too Few Students,Too Few Students,55,64
607:105,County Line Elementary School,16,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,13,81.3,0,0,13,81.3
607:1050,Auburn Elementary School,Too Few Students,0,0,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students
607:106,Haymon-Morris Middle School,Too Few Students,0,0,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
607:189,Kennedy Elementary School,19,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,12,63.2,Too Few Students,Too Few Students,Too Few Students,Too Few Students
607:193,Bramlett Elementary School,17,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,12,70.6,Too Few Students,Too Few Students,11,64.7
607:198,Westside Middle School,16,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,12,75,Too Few Students,Too Few Students,Too Few Students,Too Few Students
607:205,Bethlehem Elementary School,23,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,18,78.3,0,0,17,73.9
607:2052,Winder-Barrow Middle School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
607:289,Russell Middle School,Too Few Students,0,0,0,0,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
607:298,Yargo Elementary School,18,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,12,66.7,0,0,Too Few Students,Too Few Students
607:3052,Winder-Barrow High School,149,0,0,Too Few Students,Too Few Students,33,22.1,58,38.9,24,16.1,91,61.1,11,7.4,79,53
607:4050,Holsenbeck Elementary School,Too Few Students,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
607:5050,Statham Elementary School,12,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students
607:ALL,Barrow County,384,0,0,13,3.4,79,20.6,130,33.9,48,12.5,254,66.1,22,5.7,222,57.8
608:101,Woodland Middle School at Euharlee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
608:104,Clear Creek Elementary School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
608:105,Adairsville High School,Too Few Students,0,0,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
608:1052,Cloverleaf Elementary School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
608:106,Pine Log Elementary,Too Few Students,0,0,0,0,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
608:107,Euharlee Elementary School,Too Few Students,0,0,0,0,0,0,0,0,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
608:175,White Elementary School,Too Few Students,0,0,0,0,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
608:177,Adairsville Elementary School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
608:186,Mission Road Elementary School,Too Few Students,0,0,0,0,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
608:190,South Central Middle School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
608:195,Cass Middle School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
608:196,Allatoona Elementary School,Too Few Students,0,0,0,0,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
608:198,Woodland High School,159,Too Few Students,Too Few Students,0,0,14,8.8,61,38.4,22,13.8,98,61.6,0,0,121,76.1
608:2052,Emerson Elementary School,Too Few Students,0,0,0,0,0,0,0,0,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
608:296,Kingston Elementary School,Too Few Students,0,0,0,0,0,0,0,0,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
608:301,Adairsville Middle School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
608:377,Hamilton Crossing Elementary School,Too Few Students,0,0,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
608:396,Taylorsville Elementary School,Too Few Students,0,0,0,0,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
608:577,Cass High School,137,Too Few Students,Too Few Students,Too Few Students,Too Few Students,18,13.1,61,44.5,20,14.6,76,55.5,Too Few Students,Too Few Students,94,68.6
608:ALL,Bartow County,352,Too Few Students,Too Few Students,Too Few Students,Too Few Students,35,9.9,140,39.8,47,13.4,212,60.2,Too Few Students,Too Few Students,263,74.7
609:1050,Ben Hill County Elementary School,20,0,0,0,0,13,65,10,50,Too Few Students,Too Few Students,10,50,0,0,Too Few Students,Too Few Students
609:196,Ben Hill County Primary School,86,Too Few Students,Too Few Students,0,0,44,51.2,33,38.4,15,17.4,53,61.6,0,0,26,30.2
609:291,Fitzgerald High School,82,0,0,0,0,45,54.9,40,48.8,Too Few Students,Too Few Students,42,51.2,Too Few Students,Too Few Students,34,41.5
609:296,Ben Hill County Middle School,24,0,0,0,0,11,45.8,Too Few Students,Too Few Students,Too Few Students,Too Few Students,15,62.5,0,0,12,50
609:ALL,Ben Hill County,212,Too Few Students,Too Few Students,0,0,113,53.3,92,43.4,19,9,120,56.6,Too Few Students,Too Few Students,78,36.8
610:101,Berrien High School,30,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,13,43.3,Too Few Students,Too Few Students,17,56.7,0,0,17,56.7
610:106,Berrien Academy Performance Learning Center,15,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,11,73.3
610:194,Berrien Middle School,17,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,12,70.6,0,0,13,76.5
610:195,Berrien Elementary School,17,0,0,0,0,Too Few Students,Too Few Students,10,58.8,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,13,76.5
610:5050,Berrien Primary School,37,0,0,0,0,Too Few Students,Too Few Students,20,54.1,Too Few Students,Too Few Students,17,45.9,Too Few Students,Too Few Students,25,67.6
610:ALL,Berrien County,116,Too Few Students,Too Few Students,0,0,22,19,55,47.4,11,9.5,61,52.6,Too Few Students,Too Few Students,79,68.1
611:1005,Brookdale Elementary School,13,0,0,0,0,12,92.3,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0
611:103,Skyview Elementary School,15,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,11,73.3
611:104,Burdell Elementary School,26,0,0,0,0,24,92.3,Too Few Students,Too Few Students,0,0,18,69.2,0,0,Too Few Students,Too Few Students
611:105,Howard High School,34,0,0,0,0,25,73.5,16,47.1,0,0,18,52.9,0,0,Too Few Students,Too Few Students
611:1050,Alexander II Magnet School,10,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students
611:1054,Bernd Elementary School,22,0,0,0,0,18,81.8,Too Few Students,Too Few Students,0,0,16,72.7,0,0,Too Few Students,Too Few Students
611:1058,King - Danforth Elementary School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,0,0
611:1067,Porter Elementary School,13,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
611:107,Bloomfield Middle School,17,0,0,0,0,13,76.5,Too Few Students,Too Few Students,0,0,13,76.5,Too Few Students,Too Few Students,Too Few Students,Too Few Students
611:108,Ballard Hudson Middle School,12,0,0,0,0,12,100,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,0,0
611:109,Bruce Elementary,21,Too Few Students,Too Few Students,0,0,17,81,Too Few Students,Too Few Students,0,0,15,71.4,0,0,Too Few Students,Too Few Students
611:1105,Springdale Elementary School,Too Few Students,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
611:1205,Carter Elementary School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
611:1305,Lane Elementary School,24,0,0,0,0,18,75,12,50,0,0,12,50,Too Few Students,Too Few Students,Too Few Students,Too Few Students
611:186,Central High School,116,0,0,0,0,111,95.7,58,50,0,0,58,50,0,0,Too Few Students,Too Few Students
611:198,Westside High,79,0,0,Too Few Students,Too Few Students,74,93.7,34,43,0,0,45,57,Too Few Students,Too Few Students,Too Few Students,Too Few Students
611:203,Vineville Academy,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,0,0
611:204,Rutland High School,141,0,0,0,0,79,56,57,40.4,Too Few Students,Too Few Students,84,59.6,Too Few Students,Too Few Students,57,40.4
611:205,Howard Middle School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,0,0
611:2060,Hartley Elementary School,16,0,0,0,0,15,93.8,Too Few Students,Too Few Students,0,0,10,62.5,0,0,Too Few Students,Too Few Students
611:286,Northeast High School,47,0,0,0,0,47,100,20,42.6,0,0,27,57.4,0,0,0,0
611:298,Miller Magnet Middle School,11,0,0,0,0,11,100,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,0,0
611:303,William S. Hutchings Career Center,24,0,0,0,0,19,79.2,11,45.8,0,0,13,54.2,0,0,Too Few Students,Too Few Students
611:305,Rutland Middle School,39,0,0,0,0,26,66.7,16,41,Too Few Students,Too Few Students,23,59,0,0,12,30.8
611:3060,Heard Elementary School,17,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,11,64.7
611:3062,Jones Elementary School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,0,0
611:3067,Ingram/Pye Elementary School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,0,0
611:307,Price Educational Center,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
611:383,Williams Elementary School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0
611:386,Southwest High School,73,0,0,0,0,72,98.6,34,46.6,Too Few Students,Too Few Students,39,53.4,0,0,0,0
611:405,Rosa Taylor Elementary School,14,0,0,0,0,10,71.4,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students
611:4052,Barden Elementary School,23,0,0,0,0,23,100,Too Few Students,Too Few Students,0,0,15,65.2,0,0,0,0
611:407,Macon Behavioral Health System,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
611:505,Weaver Middle School,34,0,0,0,0,30,88.2,Too Few Students,Too Few Students,0,0,26,76.5,0,0,Too Few Students,Too Few Students
611:5050,Appling Middle School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,0,0
611:5054,Burghard Elementary School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
611:5067,Rice Elementary School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
611:605,Heritage Elementary School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
611:705,Union Elementary School,19,0,0,Too Few Students,Too Few Students,18,94.7,Too Few Students,Too Few Students,0,0,10,52.6,0,0,0,0
611:805,Riley Elementary School,19,0,0,0,0,19,100,Too Few Students,Too Few Students,0,0,15,78.9,0,0,0,0
611:905,Morgan Elementary School,20,0,0,0,0,17,85,Too Few Students,Too Few Students,Too Few Students,Too Few Students,11,55,0,0,Too Few Students,Too Few Students
611:ALL,Bibb County,960,Too Few Students,Too Few Students,Too Few Students,Too Few Students,773,80.5,402,41.9,13,1.4,558,58.1,11,1.1,159,16.6
612:105,Bleckley County High School,34,0,0,0,0,14,41.2,Too Few Students,Too Few Students,Too Few Students,Too Few Students,27,79.4,Too Few Students,Too Few Students,18,52.9
612:1050,Bleckley County Primary School,17,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,10,58.8,0,0,Too Few Students,Too Few Students
612:109,Middle Georgia Wilderness Institute DJJ Facility ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
612:197,Bleckley County Elementary School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,0,0
612:277,Bleckley County Middle School,13,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,11,84.6,0,0,Too Few Students,Too Few Students
612:ALL,Bleckley County,67,0,0,0,0,30,44.8,18,26.9,Too Few Students,Too Few Students,49,73.1,Too Few Students,Too Few Students,33,49.3
613:101,Waynesville Primary School,27,0,0,0,0,0,0,11,40.7,Too Few Students,Too Few Students,16,59.3,0,0,26,96.3
613:1050,Brantley County High School,42,0,0,0,0,Too Few Students,Too Few Students,12,28.6,0,0,30,71.4,0,0,39,92.9
613:110,Atkinson Elementary School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
613:194,Brantley County Middle School,14,0,0,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,13,92.9,Too Few Students,Too Few Students,11,78.6
613:2050,Hoboken Elementary School,19,0,0,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,13,68.4,0,0,17,89.5
613:294,Nahunta Elementary School,Too Few Students,0,0,0,0,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
613:3050,Nahunta Primary School,20,0,0,0,0,Too Few Students,Too Few Students,10,50,Too Few Students,Too Few Students,10,50,0,0,18,90
613:ALL,Brantley County,134,0,0,0,0,Too Few Students,Too Few Students,45,33.6,Too Few Students,Too Few Students,89,66.4,Too Few Students,Too Few Students,122,91
614:110,Brooks County High School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
614:193,Quitman Elementary School,26,0,0,0,0,23,88.5,11,42.3,Too Few Students,Too Few Students,15,57.7,0,0,Too Few Students,Too Few Students
614:197,Brooks County Middle School,39,0,0,0,0,33,84.6,11,28.2,Too Few Students,Too Few Students,28,71.8,0,0,Too Few Students,Too Few Students
614:393,North Brooks Elementary School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
614:ALL,Brooks County,69,0,0,0,0,57,82.6,25,36.2,Too Few Students,Too Few Students,44,63.8,0,0,Too Few Students,Too Few Students
615:101,Dr. George Washington Carver Elementary School,12,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,10,83.3,0,0,Too Few Students,Too Few Students
615:182,Richmond Hill High School,130,0,0,Too Few Students,Too Few Students,30,23.1,50,38.5,Too Few Students,Too Few Students,80,61.5,0,0,89,68.5
615:199,Richmond Hill Middle School,15,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,13,86.7,Too Few Students,Too Few Students,10,66.7
615:202,Richmond Hill Primary School,12,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,10,83.3,Too Few Students,Too Few Students,Too Few Students,Too Few Students
615:282,Lanier Primary School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
615:286,Bryan County Elementary School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students
