"SysSchoolID","SchoolName","Number Tested All Students","Below Target All Students","On Target All Students","Exceeds Target All Students","Number Tested Economically Disadvantaged","Below Target Economically Disadvantaged","On Target Economically Disadvantaged","Exceeds Target Economically Disadvantaged","Number Tested Migrant","Below Target Migrant","On Target Migrant","Exceeds Target Migrant","Number Tested Not Economically Disadv.","Below Target Not Economically Disadv.","On Target Not Economically Disadv.","Exceeds Target Not Economically Disadv.","Number Tested Asian","Below Target Asian","On Target Asian","Exceeds Target Asian","Number Tested Black","Below Target Black","On Target Black","Exceeds Target Black","Number Tested Female","Below Target Female","On Target Female","Exceeds Target Female","Number Tested Hispanic","Below Target Hispanic","On Target Hispanic","Exceeds Target Hispanic","Number Tested Limited English Proficient","Below Target Limited English Proficient","On Target Limited English Proficient","Exceeds Target Limited English Proficient","Number Tested Male","Below Target Male","On Target Male","Exceeds Target Male","Number Tested Native Amer/Alaskan Native","Below Target Native Amer/Alaskan Native","On Target Native Amer/Alaskan Native","Exceeds Target Native Amer/Alaskan Native","Number Tested Students without Disabilities","Below Target Students without Disabilities","On Target Students without Disabilities","Exceeds Target Students without Disabilities","Number Tested Students with Disabilities","Below Target Students with Disabilities","On Target Students with Disabilities","Exceeds Target Students with Disabilities","Number Tested Multiracial","Below Target Multiracial","On Target Multiracial","Exceeds Target Multiracial","Number Tested White","Below Target White","On Target White","Exceeds Target White"
"664:292","Ashworth Middle School","237","20","72","8","109","20","74","6","","","","","128","20","70","10","1","","","","8","","","","116","11","78","10","21","29","62","10","8","","","","121","28","66","6","3","","","","190","11","79","10","47","55","45","0","1","","","","203","19","72","8"
"664:ALL","Gordon County","515","23","71","6","207","28","68","4","","","","","308","19","73","7","1","","","","13","23","77","0","252","10","80","10","37","35","57","8","12","58","42","0","263","34","63","3","3","","","","432","15","77","7","83","60","40","0","2","","","","459","22","72","6"
"665:1054","Whigham Elementary School","53","11","79","9","25","16","80","4","","","","","28","7","79","14","1","","","","11","18","82","0","25","8","76","16","","","","","","","","","28","14","82","4","1","","","","49","4","86","10","4","","","","","","","","40","10","78","13"
"665:174","Washington Middle School","239","24","75","1","146","32","68","0","5","","","","93","12","85","3","2","","","","133","33","67","0","111","10","89","1","7","","","","2","","","","128","36","63","2","","","","","214","16","82","1","25","88","12","0","","","","","97","11","86","3"
"665:3050","Shiver Elementary School","49","8","84","8","23","9","87","4","5","","","","26","8","81","12","","","","","3","","","","21","0","95","5","4","","","","2","","","","28","14","75","11","","","","","45","4","87","9","4","","","","","","","","42","7","83","10"
"665:ALL","Grady County","341","20","77","4","194","27","72","1","10","","","","147","10","83","7","3","","","","147","31","69","0","157","8","88","4","11","27","73","0","4","","","","184","29","67","3","1","","","","308","13","83","4","33","85","15","0","","","","","179","10","83","7"
"666:101","Anita White Carson Middle School","164","22","75","3","164","22","75","3","1","","","","","","","","","","","","113","24","74","2","77","14","79","6","6","","","","3","","","","87","29","71","0","","","","","143","13","83","3","21","81","19","0","1","","","","44","18","77","5"
"666:ALL","Greene County","164","22","75","3","164","22","75","3","1","","","","","","","","","","","","113","24","74","2","77","14","79","6","6","","","","3","","","","87","29","71","0","","","","","143","13","83","3","21","81","19","0","1","","","","44","18","77","5"
"667:1056","Lilburn Middle School","631","30","66","4","449","31","65","3","","","","","182","26","68","5","90","20","71","9","196","25","71","4","324","23","72","5","267","40","58","2","120","72","28","0","307","36","61","3","","","","","566","27","69","4","65","57","40","3","13","23","69","8","65","17","78","5"
"667:175","Trickum Middle School","633","8","60","32","96","22","66","13","","","","","537","6","59","35","118","6","59","35","74","9","65","26","321","4","58","38","38","37","47","16","27","67","33","0","312","12","63","25","","","","","568","6","60","35","65","31","65","5","13","8","77","15","390","6","60","34"
"667:186","Pinckneyville Middle School","370","14","60","26","120","33","62","6","","","","","250","6","59","36","21","14","57","29","119","20","75","5","188","7","60","33","41","41","51","7","25","76","24","0","182","22","59","19","1","","","","326","11","61","29","44","41","52","7","12","8","67","25","176","5","52","44"
"667:188","Richards Middle School","662","17","67","15","307","24","68","8","","","","","355","12","67","21","49","18","65","16","200","13","79","9","314","11","69","20","121","37","55","8","67","67","33","0","348","24","66","11","","","","","547","13","69","18","115","39","57","3","17","6","76","18","275","13","65","23"
"667:197","Creekland Middle School","890","8","67","24","158","20","70","11","","","","","732","6","67","27","81","14","58","28","137","12","71","17","433","5","64","31","79","22","72","6","44","59","41","0","457","12","70","18","1","","","","800","5","68","27","90","36","60","4","16","13","88","0","576","5","66","29"
"667:198","Alton C. Crews Middle School","416","3","49","48","36","17","58","25","","","","","380","2","48","50","34","6","44","50","42","10","60","31","210","3","44","53","15","13","80","7","8","","","","206","3","54","42","","","","","373","1","47","53","43","26","70","5","9","","","","316","2","48","51"
"667:2058","Snellville Middle School","561","10","78","12","148","20","76","5","1","","","","413","6","79","15","6","","","","176","14","80","6","277","4","80","16","36","31","64","6","18","56","44","0","284","15","76","8","1","","","","506","8","79","13","55","27","73","0","23","17","74","9","319","4","79","17"
"667:273","Lanier Middle School","927","7","65","28","132","23","72","5","","","","","795","5","64","31","76","13","58","29","87","5","76","20","454","6","57","36","74","31","58","11","50","64","36","0","473","8","72","19","1","","","","839","5","65","30","88","28","67","5","22","9","86","5","667","4","64","31"
"667:276","Sweetwater Middle School","732","25","70","5","410","30","67","2","","","","","322","18","72","9","78","15","74","10","266","20","77","3","383","21","72","7","211","43","55","2","86","79","21","0","349","30","67","3","1","","","","653","21","73","6","79","61","39","0","24","8","63","29","152","16","75","9"
"667:279","Five Forks Middle School","375","8","66","26","63","19","71","10","","","","","312","5","65","29","21","10","67","24","48","10","81","8","170","8","58","35","30","23","57","20","14","57","43","0","205","8","74","19","","","","","333","5","66","29","42","26","71","2","9","","","","267","5","64","30"
"667:283","Shiloh Middle School","520","9","68","23","156","14","76","10","","","","","364","6","65","29","15","7","67","27","245","10","73","16","243","6","65","28","37","14","78","8","15","40","60","0","277","11","71","18","1","","","","453","5","70","26","67","36","61","3","17","6","59","35","205","6","61","32"
"667:297","Hull Middle School","613","16","69","15","152","38","56","7","","","","","461","9","73","18","98","13","69","17","132","27","65","8","295","9","70","21","77","39","52","9","55","65","35","0","318","23","68","9","","","","","551","13","71","16","62","45","50","5","13","8","69","23","293","6","75","19"
"667:380","Dacula Middle School","935","7","72","20","167","20","73","7","","","","","768","5","72","23","26","15","62","23","118","11","76","13","471","5","69","26","81","17","72","11","37","35","59","5","464","10","76","15","","","","","827","3","74","23","108","38","61","1","18","0","89","11","692","5","72","23"
"667:388","Gwinnett InterVention Education (GIVE) Center","64","27","72","2","34","32","65","3","","","","","30","20","80","0","5","","","","28","14","82","4","16","19","75","6","17","65","35","0","7","","","","48","29","71","0","","","","","45","18","80","2","19","47","53","0","","","","","14","7","93","0"
"667:4058","Summerour Middle School","335","35","62","3","254","37","60","2","","","","","81","27","69","4","40","23","73","5","87","22","75","3","154","29","67","4","163","50","49","1","83","83","17","0","181","40","59","2","1","","","","303","31","66","3","32","69","31","0","5","","","","39","18","77","5"
"667:491","Oakland Center","6","","","","5","","","","","","","","1","","","","","","","","1","","","","","","","","2","","","","","","","","6","","","","","","","","","","","","6","","","","","","","","3","","",""
"667:497","McConnell Middle School","704","9","61","30","101","17","66","17","","","","","603","8","60","32","15","0","67","33","125","21","65","14","342","5","58","37","31","10","77","13","14","50","43","7","362","14","64","23","1","","","","616","5","61","33","88","36","60","3","11","9","64","27","521","7","59","34"
"667:5050","Duluth Middle School","372","14","65","21","76","26","67","7","","","","","296","10","65","25","83","14","61","24","44","18","73","9","184","9","67","24","48","35","58","6","37","59","41","0","188","19","63","19","","","","","330","9","67","24","42","50","48","2","8","","","","189","7","66","28"
"667:ALL","Gwinnett County","9746","13","66","20","2864","27","67","6","1","","","","6882","8","66","26","856","13","64","22","2125","16","74","10","4779","9","65","26","1368","36","58","6","707","67","32","1","4967","17","67","15","8","","","","8636","10","67","23","1110","40","57","3","230","10","73","18","5159","6","65","28"
"668:196","North Habersham Middle School","207","12","77","11","50","26","70","4","2","","","","157","8","79","13","","","","","","","","","99","7","80","13","6","","","","1","","","","108","17","74","9","","","","","159","3","82","14","48","42","58","0","5","","","","196","12","77","11"
"668:296","South Habersham Middle School","222","30","65","5","98","40","59","1","12","67","33","0","124","23","69","8","7","","","","11","36","64","0","109","17","80","4","42","55","45","0","19","79","21","0","113","43","50","6","1","","","","197","24","70","6","25","76","24","0","3","","","","158","24","69","7"
"668:ALL","Habersham County","429","21","71","8","148","35","63","2","14","64","36","0","281","14","75","11","7","","","","11","36","64","0","208","12","80","8","48","52","48","0","20","80","20","0","221","30","62","8","1","","","","356","15","76","10","73","53","47","0","8","","","","354","17","73","9"
"669:100","C. W. Davis Middle School","288","13","78","9","67","25","72","3","","","","","221","10","80","11","","","","","20","20","75","5","130","11","79","10","29","24","69","7","16","44","56","0","158","15","77","8","","","","","264","11","80","10","24","42","58","0","1","","","","238","11","79","10"
"669:200","Chestatee Middle School","294","32","62","7","116","52","45","3","10","","","","178","19","72","9","","","","","5","","","","141","18","71","11","61","57","39","3","30","87","13","0","153","44","53","3","1","","","","266","28","65","8","28","68","32","0","6","","","","221","23","69","8"
"669:289","East Hall Middle School","305","21","75","4","174","28","70","2","4","","","","131","12","81","7","1","","","","51","29","65","6","152","13","81","6","87","33","66","1","38","50","50","0","153","29","69","2","1","","","","282","17","78","4","23","70","30","0","7","","","","158","11","84","5"
"669:294","West Hall Middle School","266","16","71","14","108","32","62","6","6","","","","158","4","77","19","2","","","","7","","","","125","15","67","18","76","39","59","1","70","37","61","1","141","16","74","10","","","","","243","14","72","14","23","39","57","4","2","","","","179","7","74","20"
"669:389","North Hall Middle School","280","14","76","10","78","26","73","1","3","","","","202","9","78","13","","","","","6","","","","148","7","79","14","23","35","65","0","10","","","","132","20","73","6","1","","","","254","9","80","11","26","62","38","0","4","","","","246","11","78","11"
"669:4556","South Hall Middle School","273","22","71","7","166","32","65","3","16","56","44","0","107","7","80","12","4","","","","20","15","80","5","123","15","76","9","110","34","65","2","71","48","52","0","150","28","67","5","","","","","255","20","73","7","18","61","39","0","4","","","","135","13","76","11"
"669:ALL","Hall County","1706","20","72","8","709","33","64","3","39","77","23","0","997","10","78","12","7","","","","109","24","71","6","819","13","76","11","386","38","60","2","235","50","49","0","887","26","69","6","3","","","","1564","16","75","9","142","57","42","1","24","29","71","0","1177","13","76","11"
"670:288","Hancock Central High School","99","24","70","6","74","24","70","5","","","","","25","24","68","8","","","","","97","24","70","6","54","11","81","7","","","","","","","","","45","40","56","4","","","","","83","18","75","7","16","56","44","0","","","","","2","","",""
"670:ALL","Hancock County","99","24","70","6","74","24","70","5","","","","","25","24","68","8","","","","","97","24","70","6","54","11","81","7","","","","","","","","","45","40","56","4","","","","","83","18","75","7","16","56","44","0","","","","","2","","",""
"671:197","Haralson County Middle School","285","26","72","2","130","32","65","2","2","","","","155","21","77","3","","","","","14","36","64","0","130","15","82","4","1","","","","","","","","155","35","63","1","","","","","234","15","82","3","51","75","25","0","1","","","","269","26","72","3"
"671:ALL","Haralson County","285","26","72","2","130","32","65","2","2","","","","155","21","77","3","","","","","14","36","64","0","130","15","82","4","1","","","","","","","","155","35","63","1","","","","","234","15","82","3","51","75","25","0","1","","","","269","26","72","3"
"672:399","Harris County Carver Middle School","349","11","81","9","88","19","76","5","","","","","261","8","82","10","","","","","85","19","79","2","180","6","81","13","4","","","","","","","","169","15","80","4","1","","","","328","8","83","9","21","52","48","0","7","","","","252","8","81","11"
"672:ALL","Harris County","349","11","81","9","88","19","76","5","","","","","261","8","82","10","","","","","85","19","79","2","180","6","81","13","4","","","","","","","","169","15","80","4","1","","","","328","8","83","9","21","52","48","0","7","","","","252","8","81","11"
"673:191","Hart County Middle School","321","26","70","4","73","37","62","1","","","","","248","23","73","4","","","","","85","33","66","1","148","18","76","5","5","","","","2","","","","173","33","65","2","","","","","299","22","74","4","22","82","18","0","","","","","231","23","73","5"
"673:195","Hart County Academy","1","","","","","","","","","","","","1","","","","","","","","1","","","","","","","","","","","","","","","","1","","","","","","","","1","","","","","","","","","","","","","","",""
"673:ALL","Hart County","322","26","70","4","73","37","62","1","","","","","249","23","72","4","","","","","86","34","65","1","148","18","76","5","5","","","","2","","","","174","33","64","2","","","","","300","22","74","4","22","82","18","0","","","","","231","23","73","5"
"674:102","Heard County Middle School","153","13","78","9","72","15","83","1","","","","","81","11","73","16","1","","","","18","33","67","0","80","10","80","10","1","","","","","","","","73","16","75","8","","","","","142","9","81","10","11","64","36","0","1","","","","132","11","80","10"
"674:ALL","Heard County","153","13","78","9","72","15","83","1","","","","","81","11","73","16","1","","","","18","33","67","0","80","10","80","10","1","","","","","","","","73","16","75","8","","","","","142","9","81","10","11","64","36","0","1","","","","132","11","80","10"
"675:195","Patrick Henry High School","23","52","39","9","12","50","50","0","","","","","11","55","27","18","","","","","13","46","54","0","8","","","","","","","","","","","","15","73","27","0","","","","","10","","","","13","85","15","0","","","","","10","","",""
"601:195","Appling County Middle School","225","20","68","12","138","28","67","5","11","55","45","0","87","6","71","23","","","","","53","36","62","2","102","17","67","17","14","43","57","0","6","","","","123","22","70","8","","","","","185","13","73","14","40","50","48","3","1","","","","157","12","71","17"
"601:ALL","Appling County","225","20","68","12","138","28","67","5","11","55","45","0","87","6","71","23","","","","","53","36","62","2","102","17","67","17","14","43","57","0","6","","","","123","22","70","8","","","","","185","13","73","14","40","50","48","3","1","","","","157","12","71","17"
"602:103","Atkinson County High School","118","24","75","1","118","24","75","1","14","36","64","0","","","","","","","","","25","32","68","0","59","17","81","2","20","35","65","0","","","","","59","31","69","0","","","","","105","15","84","1","13","92","8","0","","","","","73","18","81","1"
"602:ALL","Atkinson County","118","24","75","1","118","24","75","1","14","36","64","0","","","","","","","","","25","32","68","0","59","17","81","2","20","35","65","0","","","","","59","31","69","0","","","","","105","15","84","1","13","92","8","0","","","","","73","18","81","1"
"603:202","Bacon County Middle School","161","14","83","2","79","20","80","0","5","","","","82","9","87","5","1","","","","40","15","85","0","74","8","88","4","5","","","","3","","","","87","20","79","1","","","","","147","13","84","3","14","29","71","0","3","","","","112","10","87","4"
"603:ALL","Bacon County","161","14","83","2","79","20","80","0","5","","","","82","9","87","5","1","","","","40","15","85","0","74","8","88","4","5","","","","3","","","","87","20","79","1","","","","","147","13","84","3","14","29","71","0","3","","","","112","10","87","4"
"605:100","Oak Hill MS","458","29","67","4","291","33","66","1","","","","","167","22","69","9","4","","","","310","35","64","1","249","20","75","5","6","","","","7","","","","209","39","58","3","1","","","","353","15","80","5","105","76","24","0","6","","","","131","17","73","10"
"605:ALL","Baldwin County","458","29","67","4","291","33","66","1","","","","","167","22","69","9","4","","","","310","35","64","1","249","20","75","5","6","","","","7","","","","209","39","58","3","1","","","","353","15","80","5","105","76","24","0","6","","","","131","17","73","10"
"606:201","Banks County Middle School","192","21","74","5","102","26","70","4","1","","","","90","16","79","6","1","","","","6","","","","92","7","88","5","11","45","55","0","5","","","","100","35","61","4","","","","","163","14","80","6","29","62","38","0","1","","","","173","19","76","5"
"606:ALL","Banks County","192","21","74","5","102","26","70","4","1","","","","90","16","79","6","1","","","","6","","","","92","7","88","5","11","45","55","0","5","","","","100","35","61","4","","","","","163","14","80","6","29","62","38","0","1","","","","173","19","76","5"
"607:198","Westside Middle School","284","20","71","9","110","33","64","4","1","","","","174","11","76","13","13","15","77","8","53","30","70","0","150","11","76","13","21","29","71","0","5","","","","134","30","66","4","","","","","242","13","77","10","42","60","38","2","8","","","","189","16","71","13"
"607:2052","Winder-Barrow Middle School","237","21","73","6","96","26","73","1","","","","","141","17","73","10","9","","","","40","25","73","3","111","13","77","11","8","","","","1","","","","126","28","70","2","","","","","199","13","80","7","38","63","34","3","4","","","","176","19","73","7"
"607:289","Russell Middle School","234","17","74","9","74","26","70","4","","","","","160","13","76","11","19","26","68","5","10","","","","111","12","76","13","7","","","","12","50","50","0","123","21","73","6","","","","","196","8","82","11","38","63","37","0","2","","","","196","14","77","10"
"607:ALL","Barrow County","755","19","73","8","280","29","69","3","1","","","","475","13","75","11","41","22","71","7","103","28","70","2","372","12","76","12","36","33","67","0","18","61","39","0","383","26","69","4","","","","","637","11","79","9","118","62","36","2","14","14","79","7","561","16","74","10"
"608:101","Woodland Middle School at Euharlee","298","15","76","9","113","19","79","2","","","","","185","13","74","14","1","","","","14","43","57","0","164","9","79","12","13","23","77","0","1","","","","134","24","71","5","","","","","257","9","81","10","41","54","44","2","1","","","","269","14","77","10"
"608:190","South Central Middle School","215","27","67","7","107","35","63","3","","","","","108","19","70","10","","","","","12","25","75","0","114","14","77","9","7","","","","3","","","","101","42","54","4","1","","","","187","22","71","7","28","61","39","0","1","","","","194","27","66","7"
"608:195","Cass Middle School","363","34","62","4","158","48","50","2","","","","","205","22","72","6","4","","","","44","34","66","0","175","22","73","6","11","27","73","0","2","","","","188","45","53","3","1","","","","311","26","69","5","52","79","19","2","3","","","","300","34","61","5"
"608:301","Adairsville Middle School","187","22","75","2","81","28","72","0","","","","","106","18","78","4","1","","","","16","6","94","0","89","10","87","3","3","","","","2","","","","98","34","65","1","","","","","156","14","83","3","31","65","35","0","","","","","167","24","74","2"
"608:ALL","Bartow County","1063","25","69","6","459","34","64","2","","","","","604","18","73","9","6","","","","86","29","71","0","542","14","78","8","34","26","74","0","8","","","","521","37","60","3","2","","","","911","18","75","6","152","66","33","1","5","","","","930","25","69","6"
"609:296","Ben Hill County Middle School","237","37","59","5","144","50","50","0","2","","","","93","16","72","12","2","","","","121","48","51","1","115","28","67","5","6","","","","5","","","","122","45","51","4","","","","","200","28","67","6","37","86","14","0","1","","","","107","21","69","9"
"609:ALL","Ben Hill County","237","37","59","5","144","50","50","0","2","","","","93","16","72","12","2","","","","121","48","51","1","115","28","67","5","6","","","","5","","","","122","45","51","4","","","","","200","28","67","6","37","86","14","0","1","","","","107","21","69","9"
"610:194","Berrien Middle School","250","28","72","1","","","","","7","","","","250","28","72","1","1","","","","39","41","59","0","140","16","83","1","11","45","55","0","","","","","110","43","57","0","","","","","233","23","76","1","17","88","12","0","","","","","199","24","75","1"
"610:ALL","Berrien County","250","28","72","1","","","","","7","","","","250","28","72","1","1","","","","39","41","59","0","140","16","83","1","11","45","55","0","","","","","110","43","57","0","","","","","233","23","76","1","17","88","12","0","","","","","199","24","75","1"
"611:179","Butler Early Childhood Center","2","","","","2","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","2","","","","","","","","","","","","2","","","","","","","","1","","",""
"611:197","Weaver Middle School","459","30","68","2","280","36","63","1","","","","","179","19","77","4","13","8","92","0","334","36","63","1","258","18","79","3","6","","","","6","","","","201","45","54","1","","","","","411","23","74","2","48","83","17","0","1","","","","105","10","83","7"
"611:2052","McEvoy Middle School","360","38","61","1","311","38","61","1","","","","","49","37","63","0","","","","","349","38","60","1","196","27","71","2","","","","","","","","","164","50","49","1","","","","","320","31","68","1","40","90","10","0","","","","","11","9","91","0"
"611:298","Miller Magnet Middle School","351","29","63","8","202","42","56","2","","","","","149","13","72","15","10","","","","239","35","60","5","173","20","72","9","4","","","","3","","","","178","39","54","7","4","","","","320","25","67","8","31","74","26","0","","","","","94","15","70","15"
"611:305","Rutland Middle School","281","27","69","4","138","35","62","3","2","","","","143","20","76","5","2","","","","112","43","57","0","152","21","72","7","7","","","","4","","","","129","34","65","1","1","","","","253","22","74","4","28","75","25","0","","","","","159","15","78","7"
"611:5050","Appling Middle School","265","26","70","4","201","28","70","2","","","","","64","19","72","9","","","","","256","26","70","4","133","19","77","5","1","","","","","","","","132","33","64","4","","","","","234","19","76","5","31","74","26","0","3","","","","5","","",""
"611:ALL","Bibb County","1718","30","66","4","1134","36","62","2","2","","","","584","19","74","7","25","12","84","4","1291","35","63","2","912","21","75","4","18","61","39","0","13","77","23","0","806","41","56","3","5","","","","1538","24","72","4","180","81","19","0","4","","","","375","14","78","9"
"648:5050","Stewart Middle School","217","28","67","6","138","30","66","4","","","","","79","24","68","8","1","","","","153","27","68","5","98","17","79","4","7","","","","1","","","","119","36","57","7","","","","","192","22","72","6","25","72","28","0","7","","","","49","24","69","6"
"648:ALL","Douglas County","1607","17","76","7","574","25","70","4","","","","","1033","12","79","9","24","17","83","0","556","21","74","5","764","9","80","11","69","39","55","6","22","82","18","0","843","23","73","4","1","","","","1425","11","81","8","182","60","40","0","34","24","62","15","923","12","79","9"
"649:197","Early County Middle School","221","27","66","7","167","34","64","2","1","","","","54","7","70","22","","","","","141","33","65","3","105","19","71","10","3","","","","","","","","116","34","60","5","","","","","192","21","71","8","29","69","31","0","1","","","","76","17","67","16"
"649:ALL","Early County","221","27","66","7","167","34","64","2","1","","","","54","7","70","22","","","","","141","33","65","3","105","19","71","10","3","","","","","","","","116","34","60","5","","","","","192","21","71","8","29","69","31","0","1","","","","76","17","67","16"
"650:1050","Echols County High/Elementary School","46","26","74","0","27","30","70","0","6","","","","19","21","79","0","","","","","4","","","","29","10","90","0","7","","","","2","","","","17","53","47","0","1","","","","42","19","81","0","4","","","","","","","","34","24","76","0"
"650:ALL","Echols County","46","26","74","0","27","30","70","0","6","","","","19","21","79","0","","","","","4","","","","29","10","90","0","7","","","","2","","","","17","53","47","0","1","","","","42","19","81","0","4","","","","","","","","34","24","76","0"
"651:203","Ebenezer Middle School","246","21","75","4","61","38","61","2","","","","","185","15","79","5","2","","","","35","40","57","3","119","13","81","7","5","","","","1","","","","127","28","69","2","","","","","222","17","78","5","24","58","42","0","1","","","","203","17","79","4"
"651:290","Effingham County Middle School","194","28","68","4","96","27","71","2","","","","","98","30","64","6","2","","","","56","34","63","4","105","22","75","3","5","","","","2","","","","89","36","58","6","","","","","171","23","73","5","23","70","30","0","1","","","","130","25","71","5"
"651:297","South Effingham Middle School","290","16","75","9","66","26","73","2","","","","","224","13","75","11","1","","","","19","26","74","0","143","6","80","13","2","","","","","","","","147","26","69","5","2","","","","269","12","79","9","21","71","24","5","1","","","","265","15","75","10"
"651:ALL","Effingham County","730","21","73","6","223","30","69","2","","","","","507","17","75","8","5","","","","110","35","63","3","367","13","79","8","12","42","58","0","3","","","","363","29","67","4","2","","","","662","16","77","7","68","66","32","1","3","","","","598","18","75","7"
"652:104"," Elbert County Middle School                  ","292","37","61","2","159","43","56","1","","","","","133","29","67","4","","","","","105","45","53","2","141","27","69","4","7","","","","2","","","","151","46","54","1","","","","","256","30","68","3","36","86","14","0","2","","","","178","32","65","3"
"652:ALL","Elbert County","292","37","61","2","159","43","56","1","","","","","133","29","67","4","","","","","105","45","53","2","141","27","69","4","7","","","","2","","","","151","46","54","1","","","","","256","30","68","3","36","86","14","0","2","","","","178","32","65","3"
"653:1050","Adrian School of Performing Arts","20","30","65","5","16","31","63","6","","","","","4","","","","","","","","4","","","","10","","","","1","","","","1","","","","10","","","","","","","","20","30","65","5","","","","","","","","","15","33","67","0"
"653:192","Swainsboro Middle School","236","36","60","4","149","43","55","2","4","","","","87","23","69","8","1","","","","109","48","50","2","128","23","70","7","6","","","","3","","","","108","50","49","1","","","","","180","24","71","6","56","73","27","0","","","","","120","25","69","6"
"653:2050","Emanuel County Institute","85","8","84","8","67","9","84","7","","","","","18","6","83","11","","","","","49","8","90","2","37","3","84","14","","","","","","","","","48","13","83","4","","","","","71","3","87","10","14","36","64","0","","","","","36","8","75","17"
"653:ALL","Emanuel County","341","28","66","5","232","32","64","4","4","","","","109","20","72","8","1","","","","162","35","63","2","175","18","74","8","7","","","","4","","","","166","40","58","2","","","","","271","19","75","7","70","66","34","0","","","","","171","22","70","8"
"654:3050","Claxton Middle School","152","39","61","0","113","45","55","0","5","","","","39","23","77","0","","","","","74","50","50","0","70","24","76","0","9","","","","2","","","","82","52","48","0","","","","","119","28","72","0","33","82","18","0","","","","","69","29","71","0"
"654:ALL","Evans County","152","39","61","0","113","45","55","0","5","","","","39","23","77","0","","","","","74","50","50","0","70","24","76","0","9","","","","2","","","","82","52","48","0","","","","","119","28","72","0","33","82","18","0","","","","","69","29","71","0"
"655:193","Fannin County Middle School","251","10","79","11","113","13","78","9","","","","","138","8","80","12","1","","","","","","","","126","8","75","17","2","","","","1","","","","125","13","82","5","1","","","","223","6","82","12","28","43","57","0","","","","","247","10","79","11"
"655:ALL","Fannin County","251","10","79","11","113","13","78","9","","","","","138","8","80","12","1","","","","","","","","126","8","75","17","2","","","","1","","","","125","13","82","5","1","","","","223","6","82","12","28","43","57","0","","","","","247","10","79","11"
"656:178","Booth Middle School","386","12","70","18","24","33","63","4","","","","","362","10","70","19","17","12","59","29","29","21","72","7","171","6","71","23","17","53","35","12","12","92","0","8","215","16","69","15","","","","","352","9","71","20","34","41","56","3","14","7","86","7","309","9","71","20"
"656:287","Fayette Middle School","326","15","72","13","59","25","68","7","","","","","267","12","73","15","19","0","79","21","104","22","74","4","161","4","79","17","9","","","","7","","","","165","25","65","10","1","","","","285","10","76","14","41","49","44","7","15","7","73","20","178","12","71","17"
"656:298","Rising Starr Middle School","377","8","67","25","21","48","52","0","","","","","356","6","68","27","7","","","","29","24","69","7","183","4","58","38","11","27","55","18","7","","","","194","11","75","13","","","","","335","5","67","28","42","31","67","2","6","","","","324","5","68","27"
"656:391","Whitewater Middle School","344","4","65","32","21","33","62","5","","","","","323","2","65","33","2","","","","45","13","76","11","162","1","57","42","8","","","","","","","","182","7","71","23","1","","","","300","0","64","36","44","27","68","5","7","","","","281","2","64","34"
"656:491","Flat Rock Middle School","296","8","78","14","47","17","77","6","","","","","249","7","78","15","3","","","","108","7","83","9","152","3","80","18","9","","","","1","","","","144","15","76","9","","","","","259","5","80","15","37","35","65","0","5","","","","171","8","75","17"
"656:ALL","Fayette County","1729","9","70","21","172","28","67","5","","","","","1557","7","70","22","48","13","63","25","315","16","77","7","829","4","69","28","54","33","50","17","27","70","26","4","900","15","71","14","2","","","","1531","6","71","23","198","36","60","4","47","11","72","17","1263","7","69","24"
"657:101","Model 6-8 Middle School","182","15","75","10","57","18","74","9","","","","","125","14","75","10","","","","","8","","","","83","7","78","14","1","","","","","","","","99","22","72","6","","","","","160","11","78","11","22","50","50","0","4","","","","169","15","74","11"
"657:273","Pepperell Middle School","280","20","79","1","116","29","71","0","","","","","164","14","85","1","1","","","","17","29","71","0","128","9","90","1","11","36","64","0","6","","","","152","30","70","1","","","","","239","15","85","0","41","51","46","2","","","","","251","19","80","1"
"657:301","Armuchee Middle School","172","19","76","5","53","34","64","2","","","","","119","13","81","7","","","","","3","","","","83","8","83","8","1","","","","1","","","","89","29","69","2","1","","","","146","10","84","6","26","73","27","0","3","","","","164","18","77","5"
"657:4050","Coosa Middle School","196","15","78","7","86","20","77","3","","","","","110","12","79","9","3","","","","14","21","71","7","101","7","83","10","13","38","46","15","5","","","","95","24","73","3","2","","","","171","9","83","8","25","56","44","0","4","","","","160","14","81","6"
"612:ALL","Bleckley County","200","15","74","11","114","21","75","4","1","","","","86","7","72","21","1","","","","54","30","69","2","95","8","78","14","1","","","","2","","","","105","21","70","9","","","","","181","9","79","12","19","74","26","0","","","","","144","10","76","15"
"613:194","Brantley County Middle School","262","24","70","5","166","27","70","3","","","","","96","21","70","9","","","","","11","18","82","0","114","11","78","11","","","","","","","","","148","34","64","1","1","","","","221","16","78","6","41","68","29","2","3","","","","247","25","70","6"
"613:ALL","Brantley County","262","24","70","5","166","27","70","3","","","","","96","21","70","9","","","","","11","18","82","0","114","11","78","11","","","","","","","","","148","34","64","1","1","","","","221","16","78","6","41","68","29","2","3","","","","247","25","70","6"
"614:197","Brooks County Middle School","177","29","69","2","85","33","65","2","1","","","","92","25","73","2","1","","","","106","30","69","1","95","23","77","0","3","","","","2","","","","82","35","60","5","1","","","","153","21","76","3","24","79","21","0","1","","","","65","26","71","3"
