"SysSchoolID","SchoolName","Number Tested All Students","Below Target All Students","On Target All Students","Exceeds Target All Students","Number Tested Economically Disadvantaged","Below Target Economically Disadvantaged","On Target Economically Disadvantaged","Exceeds Target Economically Disadvantaged","Number Tested Migrant","Below Target Migrant","On Target Migrant","Exceeds Target Migrant","Number Tested Not Economically Disadv.","Below Target Not Economically Disadv.","On Target Not Economically Disadv.","Exceeds Target Not Economically Disadv.","Number Tested Asian","Below Target Asian","On Target Asian","Exceeds Target Asian","Number Tested Black","Below Target Black","On Target Black","Exceeds Target Black","Number Tested Female","Below Target Female","On Target Female","Exceeds Target Female","Number Tested Hispanic","Below Target Hispanic","On Target Hispanic","Exceeds Target Hispanic","Number Tested Limited English Proficient","Below Target Limited English Proficient","On Target Limited English Proficient","Exceeds Target Limited English Proficient","Number Tested Male","Below Target Male","On Target Male","Exceeds Target Male","Number Tested Native Amer/Alaskan Native","Below Target Native Amer/Alaskan Native","On Target Native Amer/Alaskan Native","Exceeds Target Native Amer/Alaskan Native","Number Tested Students without Disabilities","Below Target Students without Disabilities","On Target Students without Disabilities","Exceeds Target Students without Disabilities","Number Tested Students with Disabilities","Below Target Students with Disabilities","On Target Students with Disabilities","Exceeds Target Students with Disabilities","Number Tested Multiracial","Below Target Multiracial","On Target Multiracial","Exceeds Target Multiracial","Number Tested White","Below Target White","On Target White","Exceeds Target White"
"680:ALL","Jeff Davis County","218","26","69","5","148","29","68","3","8","","","","70","19","73","9","","","","","39","28","72","0","116","20","73","7","13","31","62","8","6","","","","102","32","65","3","","","","","181","15","78","6","37","76","24","0","2","","","","164","24","70","6"
"681:296","Louisville Middle School","182","30","64","5","162","32","65","3","","","","","20","15","60","25","","","","","158","32","66","2","95","21","74","5","","","","","","","","","87","40","54","6","","","","","156","19","74","6","26","96","4","0","","","","","24","21","50","29"
"681:396","Wrens Middle School","110","35","60","5","88","41","59","0","4","","","","22","14","64","23","","","","","64","44","55","2","55","35","56","9","8","","","","8","","","","55","36","64","0","","","","","93","31","63","5","17","59","41","0","","","","","38","8","82","11"
"681:ALL","Jefferson County","292","32","63","5","250","35","63","2","4","","","","42","14","62","24","","","","","222","35","63","2","150","26","67","7","8","","","","8","","","","142","39","58","4","","","","","249","24","70","6","43","81","19","0","","","","","62","13","69","18"
"682:101","Jenkins County Middle School","133","26","66","8","133","26","66","8","3","","","","","","","","","","","","66","30","65","5","51","10","76","14","3","","","","","","","","82","37","60","4","","","","","116","16","75","9","17","94","6","0","","","","","64","22","67","11"
"682:ALL","Jenkins County","133","26","66","8","133","26","66","8","3","","","","","","","","","","","","66","30","65","5","51","10","76","14","3","","","","","","","","82","37","60","4","","","","","116","16","75","9","17","94","6","0","","","","","64","22","67","11"
"683:101","Johnson County Middle School","89","25","70","6","89","25","70","6","","","","","","","","","","","","","37","41","57","3","43","16","72","12","","","","","","","","","46","33","67","0","","","","","75","13","80","7","14","86","14","0","1","","","","51","12","80","8"
"683:ALL","Johnson County","89","25","70","6","89","25","70","6","","","","","","","","","","","","","37","41","57","3","43","16","72","12","","","","","","","","","46","33","67","0","","","","","75","13","80","7","14","86","14","0","1","","","","51","12","80","8"
"684:101","Clifton Ridge Middle School","168","22","76","2","75","32","68","0","","","","","93","14","83","3","2","","","","48","21","79","0","85","13","84","4","2","","","","","","","","83","31","69","0","","","","","149","15","83","2","19","79","21","0","","","","","116","22","75","3"
"684:1050","Califf Middle School","228","16","71","13","46","28","65","7","","","","","182","13","73","14","1","","","","39","31","59","10","114","7","75","18","","","","","","","","","114","25","68","7","","","","","212","14","73","14","16","44","56","0","1","","","","187","12","74","13"
"684:ALL","Jones County","396","18","73","8","121","31","67","2","","","","","275","13","76","11","3","","","","87","25","70","5","199","10","78","12","2","","","","","","","","197","27","69","4","","","","","361","14","77","9","35","63","37","0","1","","","","303","16","75","9"
"685:199","Lamar County Middle School","220","16","79","5","122","22","75","2","","","","","98","9","83","8","1","","","","87","22","77","1","123","10","85","6","3","","","","2","","","","97","25","71","4","","","","","201","12","82","5","19","58","42","0","3","","","","126","13","80","7"
"685:ALL","Lamar County","220","16","79","5","122","22","75","2","","","","","98","9","83","8","1","","","","87","22","77","1","123","10","85","6","3","","","","2","","","","97","25","71","4","","","","","201","12","82","5","19","58","42","0","3","","","","126","13","80","7"
"686:101","Lanier County Middle School","121","16","76","8","61","20","75","5","","","","","60","12","77","12","1","","","","33","27","73","0","52","6","87","8","","","","","","","","","69","23","68","9","","","","","108","11","80","9","13","54","46","0","1","","","","86","12","77","12"
"686:ALL","Lanier County","121","16","76","8","61","20","75","5","","","","","60","12","77","12","1","","","","33","27","73","0","52","6","87","8","","","","","","","","","69","23","68","9","","","","","108","11","80","9","13","54","46","0","1","","","","86","12","77","12"
"687:2054","West Laurens Middle School","288","17","69","14","137","28","66","7","4","","","","151","7","73","20","","","","","86","31","63","6","148","15","66","20","5","","","","","","","","140","19","74","7","1","","","","269","12","74","14","19","89","11","0","2","","","","194","11","72","18"
"687:297","East Laurens Middle School","166","27","67","6","103","39","57","4","2","","","","63","6","84","10","","","","","63","38","59","3","78","19","74","6","2","","","","2","","","","88","33","61","6","","","","","149","22","71","7","17","65","35","0","","","","","101","18","74","8"
"687:ALL","Laurens County","454","20","69","11","240","33","62","5","6","","","","214","7","76","17","","","","","149","34","61","5","226","16","69","15","7","","","","2","","","","228","25","69","7","1","","","","418","16","73","12","36","78","22","0","2","","","","295","13","73","14"
"688:101","Lee County Middle School","427","9","71","20","120","17","73","11","","","","","307","6","70","23","3","","","","49","24","69","6","209","6","71","23","3","","","","1","","","","218","12","71","17","2","","","","399","7","71","21","28","36","64","0","","","","","370","7","72","21"
"688:ALL","Lee County","427","9","71","20","120","17","73","11","","","","","307","6","70","23","3","","","","49","24","69","6","209","6","71","23","3","","","","1","","","","218","12","71","17","2","","","","399","7","71","21","28","36","64","0","","","","","370","7","72","21"
"689:101","Midway Middle School","313","22","76","1","167","25","74","1","","","","","146","19","79","1","3","","","","169","30","70","0","150","13","84","3","15","27","73","0","","","","","163","31","69","0","","","","","273","15","84","1","40","75","25","0","11","9","82","9","115","12","85","3"
"689:195","Snelson-Golden Middle School","325","17","78","5","160","20","78","3","1","","","","165","14","78","8","14","29","71","0","163","24","75","1","172","9","81","9","26","8","92","0","1","","","","153","25","74","1","","","","","283","11","83","6","42","60","40","0","16","0","88","13","106","9","77","13"
"689:197","Lewis Frasier Middle School","283","19","78","4","146","21","77","1","","","","","137","16","78","6","2","","","","164","16","81","2","148","13","82","5","23","43","52","4","3","","","","135","25","73","1","3","","","","262","15","81","4","21","62","38","0","16","19","69","13","75","17","80","3"
"689:3050","Bradwell Institute","13","62","38","0","9","","","","","","","","4","","","","","","","","11","64","36","0","3","","","","","","","","","","","","10","","","","","","","","11","64","36","0","2","","","","","","","","2","","",""
"689:ALL","Liberty County","934","20","77","3","482","23","76","2","1","","","","452","17","78","5","19","21","79","0","507","24","75","1","473","12","82","6","64","25","73","2","4","","","","461","28","71","1","3","","","","829","14","82","4","105","66","34","0","43","9","79","12","298","13","81","6"
"690:101","Lincoln County Middle School","113","24","68","8","74","27","70","3","","","","","39","18","64","18","","","","","40","35","63","3","64","14","72","14","","","","","","","","","49","37","63","0","","","","","103","18","73","9","10","","","","2","","","","71","18","70","11"
"690:ALL","Lincoln County","113","24","68","8","74","27","70","3","","","","","39","18","64","18","","","","","40","35","63","3","64","14","72","14","","","","","","","","","49","37","63","0","","","","","103","18","73","9","10","","","","2","","","","71","18","70","11"
"691:196","Long County School","160","29","69","1","117","33","65","2","10","","","","43","19","81","0","3","","","","46","26","74","0","70","23","77","0","12","75","25","0","6","","","","90","34","63","2","1","","","","147","23","76","1","13","100","0","0","2","","","","96","26","72","2"
"691:ALL","Long County","160","29","69","1","117","33","65","2","10","","","","43","19","81","0","3","","","","46","26","74","0","70","23","77","0","12","75","25","0","6","","","","90","34","63","2","1","","","","147","23","76","1","13","100","0","0","2","","","","96","26","72","2"
"692:1052","Lowndes Middle School","371","22","72","6","166","27","70","3","2","","","","205","18","73","9","","","","","99","31","66","3","184","11","80","9","9","","","","4","","","","187","33","64","4","2","","","","331","16","77","7","40","68","30","3","4","","","","257","19","74","8"
"692:3050","Hahira Middle School","381","17","67","16","109","34","60","6","","","","","272","10","69","20","5","","","","87","34","59","7","182","12","67","21","5","","","","","","","","199","22","66","12","","","","","330","8","73","19","51","73","27","0","10","","","","274","12","69","19"
"692:ALL","Lowndes County","752","19","69","11","275","29","66","4","2","","","","477","14","71","16","5","","","","186","33","62","5","366","11","73","15","14","7","79","14","4","","","","386","27","65","8","2","","","","661","12","75","13","91","70","29","1","14","7","71","21","531","15","71","13"
"693:1050","Lumpkin County Middle School","290","22","67","10","105","31","61","8","","","","","185","17","71","12","2","","","","5","","","","146","13","73","14","12","42","50","8","9","","","","144","32","62","6","2","","","","254","15","73","12","36","72","28","0","3","","","","266","20","69","11"
"693:ALL","Lumpkin County","290","22","67","10","105","31","61","8","","","","","185","17","71","12","2","","","","5","","","","146","13","73","14","12","42","50","8","9","","","","144","32","62","6","2","","","","254","15","73","12","36","72","28","0","3","","","","266","20","69","11"
"694:199","Macon County Middle School","155","35","59","5","155","35","59","5","","","","","","","","","4","","","","134","38","57","4","81","23","70","6","1","","","","1","","","","74","49","47","4","","","","","148","32","62","5","7","","","","","","","","16","19","69","13"
"694:ALL","Macon County","155","35","59","5","155","35","59","5","","","","","","","","","4","","","","134","38","57","4","81","23","70","6","1","","","","1","","","","74","49","47","4","","","","","148","32","62","5","7","","","","","","","","16","19","69","13"
"695:1052","Madison County Middle School","379","30","64","6","163","40","56","3","","","","","216","23","69","8","","","","","39","38","62","0","193","16","78","7","6","","","","1","","","","186","46","49","5","","","","","323","22","71","7","56","79","21","0","4","","","","330","30","64","7"
"695:ALL","Madison County","379","30","64","6","163","40","56","3","","","","","216","23","69","8","","","","","39","38","62","0","193","16","78","7","6","","","","1","","","","186","46","49","5","","","","","323","22","71","7","56","79","21","0","4","","","","330","30","64","7"
"696:175","Marion Middle School","124","16","81","3","86","17","83","0","","","","","38","13","76","11","1","","","","51","10","90","0","57","9","86","5","4","","","","","","","","67","22","76","1","1","","","","115","11","85","3","9","","","","1","","","","66","23","73","5"
"696:ALL","Marion County","124","16","81","3","86","17","83","0","","","","","38","13","76","11","1","","","","51","10","90","0","57","9","86","5","4","","","","","","","","67","22","76","1","1","","","","115","11","85","3","9","","","","1","","","","66","23","73","5"
"697:194","Thomson Middle School","318","14","74","12","186","19","75","6","","","","","132","7","73","20","2","","","","160","23","73","5","164","11","73","16","","","","","1","","","","154","18","75","8","","","","","280","10","77","14","38","47","53","0","1","","","","155","5","75","19"
"697:ALL","McDuffie County","318","14","74","12","186","19","75","6","","","","","132","7","73","20","2","","","","160","23","73","5","164","11","73","16","","","","","1","","","","154","18","75","8","","","","","280","10","77","14","38","47","53","0","1","","","","155","5","75","19"
