SysSchoolid,School Name,Retained Total Students,Retained Total American Indian,Retained Percent American Indian,Retained Asian,Retained Total Asian,Retained Percent Asian,Retained Black,Retained Total Black,Retained Percent Black,Retained Female,Retained Total Female,Retained Percent Female,Retained Hispanic,Retained Total Hispanic,Retained Percent Hispanic,Retained Male,Retained Total Male,Retained Percent Male,Retained Multiracial,Retained Total Multiracial,Retained Percent Multiracial,Retained White,Retained Total White,Retained Percent White
611:204,Rutland High School,49,1,2,49,0,0,49,35,71.4,49,19,38.8,49,0,0,49,30,61.2,49,0,0,49,13,26.5
611:298,Miller Magnet Middle School,32,0,0,32,0,0,32,28,87.5,32,14,43.8,32,0,0,32,18,56.3,32,0,0,32,4,12.5
611:3054,Bruce Elementary School,16,0,0,16,0,0,16,15,93.8,16,6,37.5,16,0,0,16,10,62.5,16,0,0,16,1,6.3
611:3062,Jones Elementary School,16,0,0,16,0,0,16,16,100,16,1,6.3,16,0,0,16,15,93.8,16,0,0,16,0,0
611:383,Williams Elementary School,14,0,0,14,0,0,14,14,100,14,8,57.1,14,0,0,14,6,42.9,14,0,0,14,0,0
611:4062,Lane Elementary School,33,0,0,33,2,6.1,33,23,69.7,33,13,39.4,33,0,0,33,20,60.6,33,0,0,33,8,24.2
611:4069,Weir Elementary School,24,0,0,24,0,0,24,22,91.7,24,11,45.8,24,0,0,24,13,54.2,24,0,0,24,2,8.3
611:5054,Burghard Elementary School,60,0,0,60,0,0,60,55,91.7,60,32,53.3,60,0,0,60,28,46.7,60,0,0,60,5,8.3
611:5067,Rice Elementary School,35,0,0,35,0,0,35,32,91.4,35,13,37.1,35,1,2.9,35,22,62.9,35,0,0,35,2,5.7
612:377,Bleckley County High School,25,0,0,25,0,0,25,10,40,25,4,16,25,0,0,25,21,84,25,0,0,25,15,60
613:101,Waynesville Elementary School,20,0,0,20,0,0,20,1,5,20,7,35,20,0,0,20,13,65,20,0,0,20,19,95
613:1050,Brantley County High School,14,0,0,14,0,0,14,0,0,14,5,35.7,14,0,0,14,9,64.3,14,0,0,14,14,100
613:194,Brantley County Middle School,12,0,0,12,0,0,12,0,0,12,3,25,12,0,0,12,9,75,12,0,0,12,12,100
613:2050,Hoboken Elementary School,10,1,10,10,0,0,10,0,0,10,5,50,10,0,0,10,5,50,10,0,0,10,9,90
613:294,Nahunta Elementary School,10,0,0,10,0,0,10,0,0,10,5,50,10,0,0,10,5,50,10,0,0,10,10,100
613:3050,Nahunta Primary School,10,0,0,10,0,0,10,1,10,10,4,40,10,0,0,10,6,60,10,0,0,10,9,90
613:ALL,Brantley County,76,1,1.3,76,0,0,76,2,2.6,76,29,38.2,76,0,0,76,47,61.8,76,0,0,76,73,96.1
614:197,Brooks County Middle School,50,1,2,50,0,0,50,29,58,50,13,26,50,1,2,50,37,74,50,1,2,50,18,36
614:2050,Brooks County High School,79,0,0,79,0,0,79,56,70.9,79,35,44.3,79,4,5.1,79,44,55.7,79,0,0,79,19,24.1
615:101,Dr. George Washington Carver Elementary School,4,0,0,4,0,0,4,0,0,4,1,25,4,0,0,4,3,75,4,1,25,4,3,75
615:286,Bryan County Elementary School,17,0,0,17,0,0,17,4,23.5,17,7,41.2,17,0,0,17,10,58.8,17,0,0,17,13,76.5
615:302,Richmond Hill Elementary School,3,0,0,3,0,0,3,2,66.7,3,0,0,3,0,0,3,3,100,3,0,0,3,1,33.3
616:100,Mill Creek Elementary School,22,0,0,22,0,0,22,15,68.2,22,7,31.8,22,0,0,22,15,68.2,22,2,9.1,22,5,22.7
616:2054,Statesboro High School,238,0,0,238,2,0.8,238,158,66.4,238,95,39.9,238,0,0,238,143,60.1,238,3,1.3,238,75,31.5
616:300,Southeast Bulloch Middle School,8,0,0,8,0,0,8,0,0,8,3,37.5,8,0,0,8,5,62.5,8,0,0,8,8,100
616:3054,Stilson Elementary School,14,0,0,14,0,0,14,1,7.1,14,4,28.6,14,0,0,14,10,71.4,14,0,0,14,13,92.9
616:399,Portal Elementary School,15,0,0,15,0,0,15,7,46.7,15,6,40,15,1,6.7,15,9,60,15,1,6.7,15,6,40
616:4052,Portal Middle/High School,36,0,0,36,0,0,36,16,44.4,36,13,36.1,36,0,0,36,23,63.9,36,0,0,36,20,55.6
616:5050,Mattie Lively Elementary School,13,0,0,13,0,0,13,11,84.6,13,7,53.8,13,0,0,13,6,46.2,13,0,0,13,2,15.4
616:ALL,Bulloch County,484,0,0,484,2,0.4,484,283,58.5,484,189,39,484,5,1,484,295,61,484,10,2.1,484,184,38
617:188,Burke County Middle School,48,0,0,48,0,0,48,40,83.3,48,18,37.5,48,0,0,48,30,62.5,48,0,0,48,8,16.7
617:2056,Waynesboro Primary School,30,0,0,30,0,0,30,22,73.3,30,11,36.7,30,0,0,30,19,63.3,30,0,0,30,8,26.7
617:ALL,Burke County,208,1,0.5,208,0,0,208,155,74.5,208,80,38.5,208,1,0.5,208,128,61.5,208,2,1,208,49,23.6
618:104,Hampton L. Daughtry Elementary School,7,0,0,7,0,0,7,4,57.1,7,2,28.6,7,0,0,7,5,71.4,7,0,0,7,3,42.9
618:190,Jackson High School,82,0,0,82,0,0,82,32,39,82,28,34.1,82,0,0,82,54,65.9,82,0,0,82,50,61
618:200,North Mulberry Elementary School,6,0,0,6,0,0,6,1,16.7,6,2,33.3,6,0,0,6,4,66.7,6,0,0,6,5,83.3
620:187,Crooked River Elementary School,21,1,4.8,21,0,0,21,7,33.3,21,12,57.1,21,1,4.8,21,9,42.9,21,2,9.5,21,10,47.6
620:195,David L Rainer Elementary School,29,0,0,29,0,0,29,4,13.8,29,6,20.7,29,2,6.9,29,23,79.3,29,1,3.4,29,22,75.9
620:197,Sugarmill Elementary,27,0,0,27,0,0,27,9,33.3,27,15,55.6,27,3,11.1,27,12,44.4,27,1,3.7,27,14,51.9
620:395,Saint Marys Middle School,61,0,0,61,2,3.3,61,24,39.3,61,18,29.5,61,7,11.5,61,43,70.5,61,1,1.6,61,27,44.3
621:101,Metter High School,47,0,0,47,0,0,47,20,42.6,47,16,34,47,12,25.5,47,31,66,47,0,0,47,15,31.9
621:102,Metter Middle School,7,0,0,7,0,0,7,2,28.6,7,2,28.6,7,1,14.3,7,5,71.4,7,0,0,7,4,57.1
621:202,Metter Intermediate School,5,0,0,5,0,0,5,2,40,5,1,20,5,1,20,5,4,80,5,0,0,5,2,40
622:100,Sharp Creek Elementary School,22,0,0,22,0,0,22,10,45.5,22,8,36.4,22,1,4.5,22,14,63.6,22,0,0,22,11,50
622:1054,Temple Elementary School,15,0,0,15,0,0,15,0,0,15,4,26.7,15,2,13.3,15,11,73.3,15,1,6.7,15,12,80
622:177,Central Middle School,3,0,0,3,0,0,3,1,33.3,3,0,0,3,0,0,3,3,100,3,0,0,3,2,66.7
622:189,Temple High School,45,1,2.2,45,1,2.2,45,8,17.8,45,18,40,45,0,0,45,27,60,45,0,0,45,35,77.8
622:190,Open Campus High School,24,0,0,24,0,0,24,0,0,24,10,41.7,24,0,0,24,14,58.3,24,0,0,24,24,100
622:199,Villa Rica Elementary,11,0,0,11,0,0,11,1,9.1,11,3,27.3,11,0,0,11,8,72.7,11,0,0,11,10,90.9
622:2050,Bowdon Elementary School,5,0,0,5,0,0,5,1,20,5,0,0,5,0,0,5,5,100,5,2,40,5,2,40
622:2052,Central High School,121,1,0.8,121,0,0,121,30,24.8,121,33,27.3,121,2,1.7,121,88,72.7,121,3,2.5,121,85,70.2
622:3050,Bowdon High School,21,0,0,21,0,0,21,4,19,21,6,28.6,21,1,4.8,21,15,71.4,21,0,0,21,16,76.2
622:377,Roopville Elementary School,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,2,100,2,0,0,2,2,100
622:5052,Sand Hill Elementary School,11,0,0,11,0,0,11,3,27.3,11,6,54.5,11,0,0,11,5,45.5,11,2,18.2,11,6,54.5
622:5054,Villa Rica High School,102,0,0,102,0,0,102,41,40.2,102,37,36.3,102,2,2,102,65,63.7,102,0,0,102,59,57.8
622:ALL,Carroll County,508,3,0.6,508,3,0.6,508,114,22.4,508,170,33.5,508,13,2.6,508,338,66.5,508,17,3.3,508,358,70.5
623:103,Battlefield Elementary School,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,5,100,5,0,0,5,5,100
623:1054,West Side Elementary School,10,0,0,10,0,0,10,0,0,10,7,70,10,1,10,10,3,30,10,1,10,10,8,80
623:2552,Lakeview Middle School,12,0,0,12,2,16.7,12,0,0,12,3,25,12,0,0,12,9,75,12,0,0,12,10,83.3
623:ALL,Catoosa County,258,0,0,258,5,1.9,258,1,0.4,258,113,43.8,258,6,2.3,258,145,56.2,258,1,0.4,258,245,95
624:287,Charlton County High School,42,0,0,42,0,0,42,20,47.6,42,13,31,42,0,0,42,29,69,42,0,0,42,22,52.4
624:4050,St. George Elementary School,4,0,0,4,0,0,4,0,0,4,0,0,4,0,0,4,4,100,4,0,0,4,4,100
625:100,Tompkins Middle School,54,0,0,54,0,0,54,52,96.3,54,22,40.7,54,0,0,54,32,59.3,54,0,0,54,2,3.7
625:101,Johnson High School,237,0,0,237,4,1.7,237,155,65.4,237,92,38.8,237,7,3,237,145,61.2,237,4,1.7,237,67,28.3
625:1056,Gadsden Elementary School,43,0,0,43,0,0,43,43,100,43,19,44.2,43,0,0,43,24,55.8,43,0,0,43,0,0
625:1058,Heard Elementary School,18,0,0,18,0,0,18,16,88.9,18,6,33.3,18,0,0,18,12,66.7,18,1,5.6,18,1,5.6
625:1060,Howard Elementary School,16,0,0,16,3,18.8,16,3,18.8,16,7,43.8,16,1,6.3,16,9,56.3,16,0,0,16,9,56.3
625:1070,White Bluff Elementary School,32,0,0,32,1,3.1,32,23,71.9,32,16,50,32,1,3.1,32,16,50,32,0,0,32,7,21.9
625:192,Garrison Elementary School,28,0,0,28,0,0,28,28,100,28,12,42.9,28,0,0,28,16,57.1,28,0,0,28,0,0
625:193,Islands Elementary School,24,0,0,24,0,0,24,21,87.5,24,12,50,24,0,0,24,12,50,24,0,0,24,3,12.5
625:194,Georgetown Elementary School,6,0,0,6,0,0,6,2,33.3,6,0,0,6,2,33.3,6,6,100,6,0,0,6,2,33.3
625:201,DeRenne Middle School,52,0,0,52,0,0,52,49,94.2,52,19,36.5,52,1,1.9,52,33,63.5,52,0,0,52,2,3.8
625:2056,Gould Elementary School,20,1,5,20,0,0,20,8,40,20,10,50,20,1,5,20,10,50,20,0,0,20,10,50
625:2060,Hubert Middle School,39,0,0,39,0,0,39,39,100,39,11,28.2,39,0,0,39,28,71.8,39,0,0,39,0,0
625:2068,Spencer Elementary School,44,0,0,44,0,0,44,44,100,44,12,27.3,44,0,0,44,32,72.7,44,0,0,44,0,0
625:298,Marshpoint Elementary School,33,0,0,33,1,3,33,12,36.4,33,16,48.5,33,1,3,33,17,51.5,33,0,0,33,19,57.6
625:3056,Groves High School,271,1,0.4,271,1,0.4,271,164,60.5,271,107,39.5,271,7,2.6,271,164,60.5,271,2,0.7,271,96,35.4
625:3064,Pooler Elementary School,5,0,0,5,0,0,5,3,60,5,1,20,5,0,0,5,4,80,5,0,0,5,2,40
625:399,Savannah High School,258,0,0,258,1,0.4,258,247,95.7,258,96,37.2,258,5,1.9,258,162,62.8,258,1,0.4,258,4,1.6
625:4052,Bloomingdale Elementary School,28,0,0,28,0,0,28,4,14.3,28,12,42.9,28,0,0,28,16,57.1,28,0,0,28,24,85.7
625:4058,Hesse Elementary School,9,0,0,9,0,0,9,4,44.4,9,4,44.4,9,1,11.1,9,5,55.6,9,0,0,9,4,44.4
625:4068,Port Wentworth Elementary School,7,0,0,7,0,0,7,2,28.6,7,4,57.1,7,1,14.3,7,3,42.9,7,0,0,7,4,57.1
625:5050,Bartlett Middle School,67,0,0,67,0,0,67,55,82.1,67,17,25.4,67,3,4.5,67,50,74.6,67,1,1.5,67,8,11.9
625:5052,Butler Elementary School,13,0,0,13,0,0,13,13,100,13,6,46.2,13,0,0,13,7,53.8,13,0,0,13,0,0
625:5058,Hodge Elementary School,17,0,0,17,0,0,17,16,94.1,17,9,52.9,17,0,0,17,8,47.1,17,0,0,17,1,5.9
625:5060,Jenkins High School,260,0,0,260,3,1.2,260,208,80,260,87,33.5,260,3,1.2,260,173,66.5,260,2,0.8,260,44,16.9
625:5062,Mercer Middle School,30,0,0,30,0,0,30,24,80,30,9,30,30,0,0,30,21,70,30,0,0,30,6,20
625:5070,Windsor Forest High School,276,0,0,276,4,1.4,276,172,62.3,276,97,35.1,276,7,2.5,276,179,64.9,276,4,1.4,276,89,32.2
625:ALL,Chatham County,2728,2,0.1,2728,22,0.8,2728,2072,76,2728,997,36.5,2728,48,1.8,2728,1731,63.5,2728,28,1,2728,556,20.4
626:201,Chattahoochee County Middle School,4,0,0,4,0,0,4,0,0,4,0,0,4,0,0,4,4,100,4,0,0,4,4,100
626:ALL,Chattahoochee County,31,0,0,31,0,0,31,10,32.3,31,10,32.3,31,0,0,31,21,67.7,31,0,0,31,21,67.7
627:2052,Summerville Middle School,19,0,0,19,0,0,19,0,0,19,8,42.1,19,0,0,19,11,57.9,19,0,0,19,19,100
627:3050,Menlo Elementary School,8,0,0,8,0,0,8,0,0,8,4,50,8,0,0,8,4,50,8,0,0,8,8,100
628:101,Carmel Elementary School,33,0,0,33,0,0,33,4,12.1,33,7,21.2,33,10,30.3,33,26,78.8,33,1,3,33,18,54.5
628:1052,Clayton Elementary School,6,0,0,6,0,0,6,0,0,6,4,66.7,6,0,0,6,2,33.3,6,0,0,6,6,100
628:1554,Tippens Elementary School,4,0,0,4,0,0,4,3,75,4,1,25,4,1,25,4,3,75,4,0,0,4,0,0
628:174,Canton Elementary School,17,0,0,17,0,0,17,1,5.9,17,9,52.9,17,12,70.6,17,8,47.1,17,0,0,17,4,23.5
628:182,Johnston Elementary School,19,0,0,19,0,0,19,0,0,19,9,47.4,19,3,15.8,19,10,52.6,19,0,0,19,16,84.2
628:193,Sixes Elementary School,11,0,0,11,0,0,11,0,0,11,3,27.3,11,0,0,11,8,72.7,11,0,0,11,11,100
628:194,Polaris Evening School,29,0,0,29,0,0,29,1,3.4,29,13,44.8,29,1,3.4,29,16,55.2,29,0,0,29,27,93.1
628:196,Bascomb Elementary School,264,1,0.4,264,2,0.8,264,7,2.7,264,134,50.8,264,3,1.1,264,130,49.2,264,0,0,264,251,95.1
628:203,Liberty Elementary School,13,0,0,13,0,0,13,5,38.5,13,4,30.8,13,0,0,13,9,69.2,13,0,0,13,8,61.5
628:2052,Free Home Elementary School,8,0,0,8,0,0,8,0,0,8,2,25,8,1,12.5,8,6,75,8,0,0,8,7,87.5
628:287,Teasley Middle School,23,0,0,23,0,0,23,1,4.3,23,7,30.4,23,3,13,23,16,69.6,23,0,0,23,19,82.6
628:297,Woodstock Middle School,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,5,100,5,0,0,5,5,100
628:3052,Hickory Flat Elementary School,12,0,0,12,0,0,12,1,8.3,12,5,41.7,12,2,16.7,12,7,58.3,12,1,8.3,12,8,66.7
629:178,Timothy Elementary School,7,0,0,7,0,0,7,3,42.9,7,3,42.9,7,1,14.3,7,4,57.1,7,0,0,7,3,42.9
629:191,Cleveland Road Elementary School,9,0,0,9,0,0,9,6,66.7,9,5,55.6,9,3,33.3,9,4,44.4,9,0,0,9,0,0
629:2056,Barnett Shoals Elementary School,16,0,0,16,0,0,16,10,62.5,16,10,62.5,16,1,6.3,16,6,37.5,16,1,6.3,16,4,25
629:296,Burney-Harris-Lyons Middle School,2,0,0,2,0,0,2,0,0,2,1,50,2,1,50,2,1,50,2,0,0,2,1,50
629:391,Whit Davis Road Elementary School,4,0,0,4,0,0,4,4,100,4,1,25,4,0,0,4,3,75,4,0,0,4,0,0
629:4058,Gaines Elementary School,4,0,0,4,0,0,4,3,75,4,0,0,4,1,25,4,4,100,4,0,0,4,0,0
629:4060,Oglethorpe Avenue Elementary School,10,0,0,10,0,0,10,7,70,10,3,30,10,3,30,10,7,70,10,0,0,10,0,0
629:4556,Cedar Shoals High School,222,0,0,222,1,0.5,222,167,75.2,222,83,37.4,222,18,8.1,222,139,62.6,222,3,1.4,222,33,14.9
629:5056,Chase Street Elementary School,13,0,0,13,0,0,13,4,30.8,13,6,46.2,13,9,69.2,13,7,53.8,13,0,0,13,0,0
629:5058,Hilsman Middle School,3,0,0,3,0,0,3,2,66.7,3,1,33.3,3,0,0,3,2,66.7,3,0,0,3,1,33.3
629:5556,Clarke Central High School,180,0,0,180,6,3.3,180,110,61.1,180,82,45.6,180,38,21.1,180,98,54.4,180,3,1.7,180,23,12.8
629:ALL,Clarke County,552,1,0.2,552,8,1.4,552,366,66.3,552,232,42,552,96,17.4,552,320,58,552,8,1.4,552,73,13.2
630:204,Clay County Elementary,13,0,0,13,0,0,13,13,100,13,2,15.4,13,0,0,13,11,84.6,13,0,0,13,0,0
630:ALL,Clay County,21,0,0,21,0,0,21,21,100,21,2,9.5,21,0,0,21,19,90.5,21,0,0,21,0,0
631:100,M. D. Roberts Middle School,5,0,0,5,0,0,5,2,40,5,2,40,5,1,20,5,3,60,5,0,0,5,2,40
631:1052,East Clayton Elementary School,25,0,0,25,0,0,25,15,60,25,13,52,25,6,24,25,12,48,25,1,4,25,3,12
631:1054,Forest Park High School,290,0,0,290,15,5.2,290,185,63.8,290,105,36.2,290,44,15.2,290,185,63.8,290,6,2.1,290,40,13.8
631:177,Adamson Middle School,41,1,2.4,41,1,2.4,41,32,78,41,11,26.8,41,1,2.4,41,30,73.2,41,2,4.9,41,4,9.8
631:181,Pointe South Elementary School,28,0,0,28,0,0,28,27,96.4,28,18,64.3,28,1,3.6,28,10,35.7,28,0,0,28,0,0
631:190,Lovejoy High School,154,0,0,154,0,0,154,120,77.9,154,61,39.6,154,8,5.2,154,93,60.4,154,4,2.6,154,22,14.3
631:191,Lovejoy Middle School,12,0,0,12,0,0,12,6,50,12,3,25,12,0,0,12,9,75,12,1,8.3,12,5,41.7
631:199,Hawthorne Elementary School,8,0,0,8,0,0,8,3,37.5,8,2,25,8,3,37.5,8,6,75,8,1,12.5,8,1,12.5
631:200,Roberta T. Smith Elementary School,18,0,0,18,0,0,18,11,61.1,18,4,22.2,18,3,16.7,18,14,77.8,18,0,0,18,4,22.2
631:203,Harper Elementary School,23,0,0,23,0,0,23,15,65.2,23,10,43.5,23,4,17.4,23,13,56.5,23,0,0,23,4,17.4
631:2052,North Clayton High School,152,0,0,152,10,6.6,152,139,91.4,152,47,30.9,152,2,1.3,152,105,69.1,152,1,0.7,152,0,0
631:2062,West Clayton Elementary School,21,0,0,21,0,0,21,20,95.2,21,7,33.3,21,0,0,21,14,66.7,21,1,4.8,21,0,0
631:295,Lake Ridge Elementary School,24,0,0,24,3,12.5,24,8,33.3,24,6,25,24,12,50,24,18,75,24,0,0,24,1,4.2
631:304,James Jackson Elementary School,20,0,0,20,0,0,20,19,95,20,8,40,20,1,5,20,12,60,20,0,0,20,0,0
631:3050,Babb Middle School,13,0,0,13,0,0,13,10,76.9,13,6,46.2,13,1,7.7,13,7,53.8,13,0,0,13,2,15.4
631:3052,North Clayton Middle School,8,0,0,8,1,12.5,8,7,87.5,8,2,25,8,0,0,8,6,75,8,0,0,8,0,0
631:3058,Morrow Middle School,19,0,0,19,0,0,19,14,73.7,19,10,52.6,19,1,5.3,19,9,47.4,19,1,5.3,19,3,15.8
631:3060,Riverdale Middle School,31,0,0,31,1,3.2,31,28,90.3,31,12,38.7,31,0,0,31,19,61.3,31,0,0,31,2,6.5
631:377,Riverdale High School,216,0,0,216,11,5.1,216,179,82.9,216,82,38,216,11,5.1,216,134,62,216,4,1.9,216,11,5.1
631:4054,Hendrix Drive Elementary School,5,0,0,5,0,0,5,2,40,5,2,40,5,2,40,5,3,60,5,0,0,5,1,20
631:4056,Lake City Elementary School,18,0,0,18,1,5.6,18,9,50,18,6,33.3,18,7,38.9,18,12,66.7,18,0,0,18,1,5.6
631:4060,Suder Elementary School,10,0,0,10,0,0,10,5,50,10,4,40,10,2,20,10,6,60,10,0,0,10,3,30
631:5054,Huie Elementary School,45,0,0,45,1,2.2,45,21,46.7,45,22,48.9,45,19,42.2,45,23,51.1,45,1,2.2,45,3,6.7
631:ALL,Clayton County,2341,1,0,2341,74,3.2,2341,1688,72.1,2341,846,36.1,2341,264,11.3,2341,1495,63.9,2341,47,2,2341,267,11.4
632:1050,Clinch County High School,10,0,0,10,0,0,10,5,50,10,4,40,10,0,0,10,6,60,10,0,0,10,5,50
632:201,Clinch County Elementary,2,0,0,2,0,0,2,2,100,2,0,0,2,0,0,2,2,100,2,0,0,2,0,0
632:301,Fargo Charter School,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,100,1,0,0,1,1,100
633:101,Kennesaw Mountain High School,30,0,0,30,1,3.3,30,4,13.3,30,10,33.3,30,5,16.7,30,20,66.7,30,0,0,30,20,66.7
633:102,Riverside Elementary School,1,0,0,1,0,0,1,1,100,1,0,0,1,0,0,1,1,100,1,0,0,1,0,0
633:103,Kell High School,3,0,0,3,0,0,3,2,66.7,3,1,33.3,3,0,0,3,2,66.7,3,0,0,3,1,33.3
633:1069,Wheeler High School,27,0,0,27,1,3.7,27,13,48.1,27,10,37,27,3,11.1,27,17,63,27,1,3.7,27,9,33.3
633:175,Walton High School,24,0,0,24,2,8.3,24,1,4.2,24,7,29.2,24,1,4.2,24,17,70.8,24,0,0,24,20,83.3
633:186,Oakwood High School,24,0,0,24,0,0,24,8,33.3,24,11,45.8,24,1,4.2,24,13,54.2,24,1,4.2,24,14,58.3
633:2056,North Cobb High School,2,0,0,2,0,0,2,2,100,2,1,50,2,0,0,2,1,50,2,0,0,2,0,0
633:2066,Osborne High School,45,0,0,45,0,0,45,16,35.6,45,20,44.4,45,15,33.3,45,25,55.6,45,3,6.7,45,11,24.4
633:287,Lewis Elementary School,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,2,100,2,0,0,2,2,100
633:3056,South Cobb High School,35,0,0,35,1,2.9,35,16,45.7,35,12,34.3,35,3,8.6,35,23,65.7,35,1,2.9,35,14,40
633:373,Sprayberry High School,81,0,0,81,6,7.4,81,16,19.8,81,26,32.1,81,6,7.4,81,55,67.9,81,5,6.2,81,48,59.3
633:381,Lassiter High School,46,0,0,46,2,4.3,46,2,4.3,46,16,34.8,46,2,4.3,46,30,65.2,46,2,4.3,46,38,82.6
633:5062,Mableton Elementary School,2,0,0,2,0,0,2,0,0,2,0,0,2,1,50,2,2,100,2,0,0,2,1,50
633:592,Bryant Elementary School,1,0,0,1,0,0,1,0,0,1,0,0,1,1,100,1,1,100,1,0,0,1,0,0
634:100,Indian Creek Elementary,27,0,0,27,0,0,27,10,37,27,8,29.6,27,4,14.8,27,19,70.4,27,1,3.7,27,12,44.4
634:182,Satilla Elementary School,13,0,0,13,0,0,13,7,53.8,13,8,61.5,13,1,7.7,13,5,38.5,13,0,0,13,5,38.5
634:191,Broxton-Mary Hayes Elementary,10,0,0,10,0,0,10,2,20,10,8,80,10,3,30,10,2,20,10,1,10,10,4,40
634:295,West Coffee Middle School,35,0,0,35,0,0,35,18,51.4,35,9,25.7,35,3,8.6,35,26,74.3,35,0,0,35,14,40
634:5050,Westside Elementary School,12,0,0,12,0,0,12,6,50,12,3,25,12,3,25,12,9,75,12,0,0,12,3,25
634:ALL,Coffee County,306,0,0,306,0,0,306,122,39.9,306,111,36.3,306,36,11.8,306,195,63.7,306,7,2.3,306,141,46.1
635:1554,Colquitt County High School,181,0,0,181,0,0,181,81,44.8,181,59,32.6,181,19,10.5,181,122,67.4,181,1,0.6,181,80,44.2
635:178,Doerun Elementary School,2,0,0,2,0,0,2,1,50,2,1,50,2,0,0,2,1,50,2,0,0,2,1,50
635:187,Odom Elementary School,4,0,0,4,0,0,4,2,50,4,1,25,4,0,0,4,3,75,4,0,0,4,2,50
635:2052,Funston Elementary School,13,0,0,13,0,0,13,1,7.7,13,7,53.8,13,11,84.6,13,6,46.2,13,0,0,13,1,7.7
635:3050,Stringfellow Elementary School,13,0,0,13,0,0,13,12,92.3,13,4,30.8,13,0,0,13,9,69.2,13,1,7.7,13,0,0
635:5052,Willie J. Williams Middle School,3,0,0,3,0,0,3,2,66.7,3,1,33.3,3,0,0,3,2,66.7,3,0,0,3,1,33.3
635:5054,Sunset Elementary School,7,0,0,7,1,14.3,7,3,42.9,7,2,28.6,7,2,28.6,7,5,71.4,7,0,0,7,1,14.3
635:ALL,Colquitt County,293,0,0,293,1,0.3,293,121,41.3,293,102,34.8,293,46,15.7,293,191,65.2,293,5,1.7,293,120,41
636:102,Lewiston Elementary School,7,0,0,7,0,0,7,0,0,7,3,42.9,7,0,0,7,4,57.1,7,0,0,7,7,100
636:103,Grovetown Middle School,14,0,0,14,0,0,14,2,14.3,14,4,28.6,14,2,14.3,14,10,71.4,14,0,0,14,10,71.4
636:176,Evans Middle School,15,0,0,15,0,0,15,3,20,15,6,40,15,0,0,15,9,60,15,1,6.7,15,11,73.3
636:186,Evans Elementary School,10,0,0,10,0,0,10,0,0,10,4,40,10,0,0,10,6,60,10,0,0,10,10,100
636:188,Blue Ridge Elementary School,14,0,0,14,0,0,14,0,0,14,8,57.1,14,0,0,14,6,42.9,14,0,0,14,14,100
636:190,Brookwood Elementary School,13,0,0,13,0,0,13,1,7.7,13,3,23.1,13,0,0,13,10,76.9,13,0,0,13,12,92.3
636:197,Greenbrier High School,84,0,0,84,0,0,84,22,26.2,84,30,35.7,84,1,1.2,84,54,64.3,84,1,1.2,84,60,71.4
636:2052,Martinez Elementary School,12,0,0,12,2,16.7,12,0,0,12,6,50,12,0,0,12,6,50,12,1,8.3,12,9,75
636:283,Harlem Middle School,7,1,14.3,7,0,0,7,2,28.6,7,2,28.6,7,0,0,7,5,71.4,7,0,0,7,4,57.1
636:290,Lakeside Middle School,14,0,0,14,0,0,14,6,42.9,14,2,14.3,14,1,7.1,14,12,85.7,14,0,0,14,7,50
636:3052,North Columbia Elementary School,4,0,0,4,0,0,4,0,0,4,3,75,4,0,0,4,1,25,4,0,0,4,4,100
636:397,Euchee Creek Elementary School,11,0,0,11,0,0,11,2,18.2,11,4,36.4,11,0,0,11,7,63.6,11,1,9.1,11,8,72.7
636:4050,Evans High School,116,1,0.9,116,1,0.9,116,16,13.8,116,48,41.4,116,6,5.2,116,68,58.6,116,2,1.7,116,90,77.6
637:101,Cook County Middle School,21,0,0,21,0,0,21,13,61.9,21,7,33.3,21,0,0,21,14,66.7,21,0,0,21,8,38.1
637:196,Cook Elementary School,103,0,0,103,1,1,103,58,56.3,103,35,34,103,7,6.8,103,68,66,103,0,0,103,37,35.9
638:1050,Arnco-Sargent Elementary School,66,0,0,66,0,0,66,11,16.7,66,25,37.9,66,0,0,66,41,62.1,66,1,1.5,66,54,81.8
638:1056,Evans Middle School,46,0,0,46,0,0,46,19,41.3,46,21,45.7,46,1,2.2,46,25,54.3,46,2,4.3,46,24,52.2
638:189,White Oak Elementary School,16,0,0,16,0,0,16,5,31.3,16,6,37.5,16,0,0,16,10,62.5,16,0,0,16,11,68.8
638:191,Cannongate Elementary School,4,0,0,4,0,0,4,0,0,4,0,0,4,0,0,4,4,100,4,1,25,4,3,75
638:192,Newnan Crossing Elementary School,42,0,0,42,0,0,42,27,64.3,42,19,45.2,42,9,21.4,42,23,54.8,42,1,2.4,42,5,11.9
638:199,Poplar Road Elementary School,21,0,0,21,0,0,21,7,33.3,21,11,52.4,21,3,14.3,21,10,47.6,21,0,0,21,11,52.4
638:2056,Northside Elementary School,6,0,0,6,0,0,6,3,50,6,3,50,6,0,0,6,3,50,6,0,0,6,3,50
638:295,Thomas Crossroads Elementary School,10,0,0,10,0,0,10,0,0,10,5,50,10,0,0,10,5,50,10,0,0,10,10,100
