SysSchoolid,School Name,Retained Total Students,Retained Total American Indian,Retained Percent American Indian,Retained Asian,Retained Total Asian,Retained Percent Asian,Retained Black,Retained Total Black,Retained Percent Black,Retained Female,Retained Total Female,Retained Percent Female,Retained Hispanic,Retained Total Hispanic,Retained Percent Hispanic,Retained Male,Retained Total Male,Retained Percent Male,Retained Multiracial,Retained Total Multiracial,Retained Percent Multiracial,Retained White,Retained Total White,Retained Percent White
605:199,Creekside Elementary School,19,0,0,19,0,0,19,16,84.2,19,7,36.8,19,0,0,19,12,63.2,19,0,0,19,3,15.8
605:ALL,Baldwin County,509,0,0,509,3,0.6,509,354,69.5,509,180,35.4,509,9,1.8,509,329,64.6,509,5,1,509,138,27.1
606:101,Banks County Upper Elementary School,3,0,0,3,0,0,3,0,0,3,1,33.3,3,0,0,3,2,66.7,3,0,0,3,3,100
606:2050,Banks County Elementary School,4,0,0,4,0,0,4,0,0,4,1,25,4,1,25,4,3,75,4,0,0,4,3,75
607:101,Apalachee High School,89,0,0,89,6,6.7,89,17,19.1,89,32,36,89,3,3.4,89,57,64,89,1,1.1,89,62,69.7
607:193,Bramlett Elementary School,7,0,0,7,0,0,7,1,14.3,7,2,28.6,7,0,0,7,5,71.4,7,0,0,7,6,85.7
607:298,Yargo Elementary School,30,0,0,30,0,0,30,8,26.7,30,11,36.7,30,2,6.7,30,19,63.3,30,0,0,30,20,66.7
607:3052,Winder-Barrow High School,64,0,0,64,4,6.3,64,16,25,64,27,42.2,64,6,9.4,64,37,57.8,64,0,0,64,38,59.4
607:4050,Holsenbeck Elementary School,7,0,0,7,1,14.3,7,1,14.3,7,4,57.1,7,3,42.9,7,3,42.9,7,0,0,7,2,28.6
607:5050,Statham Elementary School,25,0,0,25,0,0,25,8,32,25,10,40,25,0,0,25,15,60,25,1,4,25,16,64
608:107,Euharlee Elementary School,5,0,0,5,0,0,5,0,0,5,2,40,5,0,0,5,3,60,5,0,0,5,5,100
608:177,Adairsville Elementary School,22,0,0,22,0,0,22,2,9.1,22,7,31.8,22,0,0,22,15,68.2,22,0,0,22,20,90.9
608:190,South Central Middle School,13,0,0,13,0,0,13,1,7.7,13,4,30.8,13,0,0,13,9,69.2,13,0,0,13,12,92.3
