"GRADUATION_YEAR","SCHOOL_DISTRCT_CD","DISTRICT","INSTN_NUMBER","SCHOOL_NAME","YR8_CREDENTIAL","YR8_CREDENTIAL_PCT"
2007,"611","Bibb County","0286","Northeast High School","No Postsecondary Credential/Enrolled",5.8
2007,"611","Bibb County","0286","Northeast High School","Bachelors",11.5
2007,"611","Bibb County","ALL","All Bibb County High Schools","Bachelors",22.7
2007,"611","Bibb County","ALL","All Bibb County High Schools","Certificate",4.2
2007,"611","Bibb County","ALL","All Bibb County High Schools","Other Credential",0.4
2007,"611","Bibb County","ALL","All Bibb County High Schools","No Postsecondary Credential/Enrolled",8.4
2007,"611","Bibb County","ALL","All Bibb County High Schools","No Postsecondary Credential/Not Enrolled",51.1
2007,"611","Bibb County","ALL","All Bibb County High Schools","Associates",8.4
2007,"611","Bibb County","ALL","All Bibb County High Schools","Masters or Higher",4.9
2007,"616","Bulloch County","2054","Statesboro High School","No Postsecondary Credential/Not Enrolled",41.7
2007,"616","Bulloch County","2054","Statesboro High School","Bachelors",29.1
2007,"616","Bulloch County","2054","Statesboro High School","Certificate",5.4
2007,"616","Bulloch County","2054","Statesboro High School","Masters or Higher",6.8
2007,"616","Bulloch County","2054","Statesboro High School","Associates",9
2007,"616","Bulloch County","2054","Statesboro High School","No Postsecondary Credential/Enrolled",7.9
2007,"616","Bulloch County","4052","Portal Middle/High School","No Postsecondary Credential/Not Enrolled",55.6
2007,"616","Bulloch County","4052","Portal Middle/High School","Bachelors",13
2007,"616","Bulloch County","4052","Portal Middle/High School","Masters or Higher",1.9
2007,"616","Bulloch County","4052","Portal Middle/High School","Associates",13
2007,"616","Bulloch County","4052","Portal Middle/High School","No Postsecondary Credential/Enrolled",5.6
2007,"616","Bulloch County","4052","Portal Middle/High School","Certificate",11.1
2007,"617","Burke County","ALL","All Burke County High Schools","Other Credential",0.6
2007,"617","Burke County","ALL","All Burke County High Schools","No Postsecondary Credential/Not Enrolled",50.6
2007,"617","Burke County","ALL","All Burke County High Schools","Associates",18.7
2007,"617","Burke County","ALL","All Burke County High Schools","No Postsecondary Credential/Enrolled",6
2007,"617","Burke County","ALL","All Burke County High Schools","Masters or Higher",1.8
2007,"617","Burke County","ALL","All Burke County High Schools","Bachelors",16.3
2007,"617","Burke County","ALL","All Burke County High Schools","Certificate",6
2007,"618","Butts County","0190","Jackson High School","No Postsecondary Credential/Enrolled",5.1
2007,"618","Butts County","0190","Jackson High School","Masters or Higher",0.5
2007,"618","Butts County","0190","Jackson High School","Associates",12.2
2007,"618","Butts County","0190","Jackson High School","No Postsecondary Credential/Not Enrolled",64.3
2007,"618","Butts County","0190","Jackson High School","Certificate",2.6
2007,"618","Butts County","0190","Jackson High School","Bachelors",15.3
2007,"622","Carroll County","0190","Open Campus High School","Certificate",14.3
2007,"622","Carroll County","0190","Open Campus High School","Associates",4.8
2007,"622","Carroll County","0190","Open Campus High School","No Postsecondary Credential/Not Enrolled",76.2
2007,"622","Carroll County","0190","Open Campus High School","No Postsecondary Credential/Enrolled",4.8
2007,"622","Carroll County","5054","Villa Rica High School","Associates",6.2
2007,"622","Carroll County","5054","Villa Rica High School","Certificate",3.6
