"GRADUATION_YEAR","SCHOOL_DISTRCT_CD","DISTRICT","INSTN_NUMBER","SCHOOL_NAME","GRADUATE_COUNT","LS_ENG_PCT","LS_MATH_PCT"
2007,"631","Clayton County","2052","North Clayton High School",189,20.6,39.7
2007,"631","Clayton County","4058","Morrow High School",304,27.5,52.1
2007,"631","Clayton County","ALL","All Clayton County High Schools",1909,20.8,32.7
2007,"632","Clinch County","1050","Clinch County High School",67,29.4,41.2
2007,"632","Clinch County","ALL","All Clinch County High Schools",67,29.4,41.2
2007,"633","Cobb County","0101","Kennesaw Mountain High School",641,5.8,12.5
2007,"633","Cobb County","0103","Kell High School",395,5.2,13.3
2007,"633","Cobb County","0175","Walton High School",585,2.8,3.5
2007,"633","Cobb County","0186","Oakwood High School",123,26.1,45.7
2007,"633","Cobb County","0188","Pope High School",424,3.1,6.3
2007,"633","Cobb County","0192","Harrison High School",575,5.4,14.2
2007,"633","Cobb County","0373","Sprayberry High School",357,7.5,15.4
2007,"633","Cobb County","0381","Lassiter High School",488,4.4,7.3
2007,"633","Cobb County","1054","Campbell High School",348,7.8,17.5
2007,"633","Cobb County","1064","McEachern High School",597,12.3,22.7
2007,"633","Cobb County","1069","Wheeler High School",345,10,10.5
2007,"633","Cobb County","2056","North Cobb High School",494,12.6,27.2
2007,"633","Cobb County","2066","Osborne High School",198,9.6,26.5
2007,"633","Cobb County","3056","South Cobb High School",323,14,25.9
2007,"633","Cobb County","4066","Pebblebrook High School",261,26.3,38.9
2007,"633","Cobb County","ALL","All Cobb County High Schools",6154,8.1,15.8
2007,"634","Coffee County","0195","Coffee County High School",294,36.4,45.7
2007,"634","Coffee County","ALL","All Coffee County High Schools",294,36.4,45.7
2007,"635","Colquitt County","1554","Colquitt County High School",341,19.4,31.3
2007,"635","Colquitt County","ALL","All Colquitt County High Schools",341,19.4,31.3
2007,"636","Columbia County","0183","Harlem High School",198,14.3,20.2
2007,"636","Columbia County","0189","Lakeside High School",336,7.8,6.5
2007,"636","Columbia County","0197","Greenbrier High School",420,6.7,10.3
2007,"636","Columbia County","4050","Evans High School",332,9.4,12
2007,"636","Columbia County","ALL","All Columbia County High Schools",1286,8.5,10.7
2007,"637","Cook County","2050","Cook County High School",141,8.1,20.3
2007,"637","Cook County","ALL","All Cook County High Schools",141,8.1,20.3
2007,"638","Coweta County","0196","Northgate High School",295,6.1,9.1
2007,"638","Coweta County","0389","East Coweta High School",368,10.3,19.2
2007,"638","Coweta County","5054","Newnan High School",367,8.1,10.8
2007,"638","Coweta County","ALL","All Coweta County High Schools",1030,8.3,13.4
2007,"639","Crawford County","0193","Crawford County High School",90,31.7,47.6
2007,"639","Crawford County","ALL","All Crawford County High Schools",90,31.7,47.6
2007,"640","Crisp County","0196","Crisp County High School",197,26.5,37.5
2007,"640","Crisp County","ALL","All Crisp County High Schools",197,26.5,37.5
2007,"641","Dade County","0195","Dade County High School",147,3.8,30.8
2007,"641","Dade County","ALL","All Dade County High Schools",147,3.8,30.8
2007,"642","Dawson County","0198","Dawson County High School",198,11.9,23.9
2007,"642","Dawson County","ALL","All Dawson County High Schools",198,11.9,23.9
2007,"643","Decatur County","3050","Bainbridge High School",287,26.6,26.6
2007,"643","Decatur County","ALL","All Decatur County High Schools",287,26.6,26.6
2007,"644","DeKalb County","0103","Martin Luther King, Jr. High School",368,22.3,39.7
2007,"644","DeKalb County","0105","Miller Grove High School",203,26.7,36
2007,"644","DeKalb County","0172","Cedar Grove High School",213,29.1,60.5
2007,"644","DeKalb County","0176","Redan High School",250,26.4,36.4
2007,"644","DeKalb County","0202","Lithonia High School",234,21.5,44.9
2007,"644","DeKalb County","0276","Stone Mountain High School",226,21.9,51
2007,"644","DeKalb County","0400","DeKalb High School of the Arts",49,0,15
2007,"644","DeKalb County","0497","Stephenson High School",388,18.3,29.4
2007,"644","DeKalb County","0775","Open Campus High School",233,38.8,63.3
2007,"644","DeKalb County","1051","Avondale High School",119,26.9,42.3
2007,"644","DeKalb County","1070","Tucker High School",225,16.2,38.7
2007,"644","DeKalb County","2054","Columbia High School",216,23.5,36.7
