"GRADUATION_YEAR","SCHOOL_DISTRCT_CD","DISTRICT","INSTN_NUMBER","SCHOOL_NAME","COLLEGE","INSTATE_ENR_RANK"
2007,"609","Ben Hill County","0291","Fitzgerald High School","East Central Technical College",2
2007,"609","Ben Hill County","0291","Fitzgerald High School","Georgia Southern University",5
2007,"609","Ben Hill County","0291","Fitzgerald High School","South Georgia State College",3
2007,"609","Ben Hill County","0291","Fitzgerald High School","Valdosta State University",4
2007,"609","Ben Hill County","ALL","All Ben Hill County High Schools","Abraham Baldwin Agricultural College",1
2007,"609","Ben Hill County","ALL","All Ben Hill County High Schools","East Central Technical College",2
2007,"609","Ben Hill County","ALL","All Ben Hill County High Schools","Georgia Southern University",5
2007,"609","Ben Hill County","ALL","All Ben Hill County High Schools","South Georgia State College",3
2007,"609","Ben Hill County","ALL","All Ben Hill County High Schools","Valdosta State University",4
2007,"610","Berrien County","0101","Berrien High School","Abraham Baldwin Agricultural College",2
2007,"610","Berrien County","0101","Berrien High School","Georgia Southern University",5
2007,"610","Berrien County","0101","Berrien High School","South Georgia State College",4
2007,"610","Berrien County","0101","Berrien High School","Valdosta State University",1
2007,"610","Berrien County","0101","Berrien High School","Valdosta Technical College",3
2007,"610","Berrien County","0106","Berrien Academy Performance Learning Center","Abraham Baldwin Agricultural College",1
2007,"610","Berrien County","0106","Berrien Academy Performance Learning Center","East Central Technical College",5
2007,"610","Berrien County","0106","Berrien Academy Performance Learning Center","Moultrie Technical College",3
2007,"610","Berrien County","0106","Berrien Academy Performance Learning Center","Valdosta State University",3
2007,"610","Berrien County","0106","Berrien Academy Performance Learning Center","Valdosta Technical College",1
2007,"610","Berrien County","ALL","All Berrien County High Schools","Abraham Baldwin Agricultural College",2
2007,"610","Berrien County","ALL","All Berrien County High Schools","Georgia Southern University",5
2007,"610","Berrien County","ALL","All Berrien County High Schools","South Georgia State College",4
2007,"610","Berrien County","ALL","All Berrien County High Schools","Valdosta State University",1
2007,"610","Berrien County","ALL","All Berrien County High Schools","Valdosta Technical College",3
2007,"611","Bibb County","0186","Central High School","Central Georgia Tech College - Macon",3
2007,"611","Bibb County","0186","Central High School","Fort Valley State University",4
2007,"611","Bibb County","0186","Central High School","Macon State College",1
2007,"611","Bibb County","0186","Central High School","Savannah State University",5
2007,"611","Bibb County","0186","Central High School","University Of Georgia",2
2007,"611","Bibb County","0198","Westside High School","Central Georgia Tech College - Macon",2
2007,"611","Bibb County","0198","Westside High School","Georgia Southern University",5
2007,"611","Bibb County","0198","Westside High School","Macon State College",1
2007,"611","Bibb County","0198","Westside High School","Savannah State University",4
2007,"611","Bibb County","0198","Westside High School","Valdosta State University",3
2007,"611","Bibb County","0204","Rutland High School","Central Georgia Tech College - Macon",2
2007,"611","Bibb County","0204","Rutland High School","Georgia College & State University",3
2007,"611","Bibb County","0204","Rutland High School","Georgia Southern University",3
2007,"611","Bibb County","0204","Rutland High School","Macon State College",1
2007,"611","Bibb County","0204","Rutland High School","Middle Georgia State University",5
2007,"611","Bibb County","0286","Northeast High School","Albany State University",4
2007,"611","Bibb County","0286","Northeast High School","Central Georgia Tech College - Macon",2
2007,"611","Bibb County","0286","Northeast High School","Fort Valley State University",3
2007,"611","Bibb County","0286","Northeast High School","Macon State College",1
2007,"611","Bibb County","0286","Northeast High School","Middle Georgia State University",4
2007,"611","Bibb County","0303","William S. Hutchings Career Center","Albany State University",4
2007,"611","Bibb County","0303","William S. Hutchings Career Center","Armstrong State University",4
2007,"611","Bibb County","0303","William S. Hutchings Career Center","Central Georgia Tech College - Macon",1
2007,"611","Bibb County","0303","William S. Hutchings Career Center","Macon State College",2
2007,"611","Bibb County","0303","William S. Hutchings Career Center","Middle Georgia State University",3
2007,"611","Bibb County","0386","Southwest High School","Central Georgia Tech College - Macon",3
2007,"611","Bibb County","0386","Southwest High School","Fort Valley State University",2
2007,"611","Bibb County","0386","Southwest High School","Gordon State College",4
2007,"611","Bibb County","0386","Southwest High School","Macon State College",1
2007,"611","Bibb County","0386","Southwest High School","Paine College",5
2007,"611","Bibb County","ALL","All Bibb County High Schools","Central Georgia Tech College - Macon",2
2007,"611","Bibb County","ALL","All Bibb County High Schools","Fort Valley State University",3
2007,"611","Bibb County","ALL","All Bibb County High Schools","Macon State College",1
2007,"611","Bibb County","ALL","All Bibb County High Schools","University Of Georgia",5
