Certificate Field Code,Certificate Field
847,Swahili (P-12)
848,Farsi (P-12)
849,Urdu (P-12)
850,Turkish (P-12)
851,Middle Grades (4-8) - Math
852,Middle Grades (4-8) - Science
853,Middle Grades (4-8) - Language Arts
854,Middle Grades (4-8) - Social Science
855,Middle Grades (4-8) - Reading
859,MIDDLE GRADES ENDORSEMENT
861,Elementary Education Mathematics Endorsement
862,Elementary Education Science Endorsement
863,Dual Immersion Elementary Education Endorsement
870,Birth through Kindergarten 
871,Birth Through Five Endorsement
872,Dyslexia Endorsement
873,Special Ed Transition Specialist Endorsement
874,Special Ed Deaf Ed Endorsement
875,Special Ed Physical & Health Disabilities Endorsement
876,Special Ed Visual Impairment Endorsement
877,Autism Endorsement
878,STEM Education Endorsement
881,Gifted In-Field
882,Computer Science Endorsement (6-12)
884,Culinary Arts Endorsement (6-12)
885,ESOL (P-12)
887,Intervention Specialist Endorsement
888,Student Support Team Coordinator Endorsement
889,Personalized Learning Endorsement
890,Positive Behavior Intervention and Supports (PBIS) Endorsement
891,Urban Education Endorsement
892,Agricultural Education Endorsement (K-5)
894,Reading Endorsement (ECE)
895,Reading Endorsement (6-12)
896,Reading Endorsement (P-12)
898,Online Teaching Endorsement
901,Instructional Supervision
902,Curriculum and Instruction
903,Instructional Technology
904,Teacher Leadership
910,Special Ed Math Cognitive Level P-5
911,"Special Ed Math Cognitive Level (P-5, 4-8)"
912,"Special Ed Math Cognitive Level (P-5, 4-8, 6-12)"
920,Special Ed Science Cognitive Level (P-5
921,"Special Ed Science Cognitive Level (P-5, 4-8)"
922,"Special Ed Science Cognitive Level (P-5, 4-8, 6-12)"
930,Special Ed Language Arts Cognitive Level P-5
931,"Special Ed Language Arts Cognitive Level (P-5, 4-8)"
932,"Special Ed Language Arts Cognitive Level (P-5, 4-8, 6-12)"
940,Special Ed Social Science Cognitive Level P-5
941,"Special Ed Social Science Cognitive Level (P-5, 4-8)"
942,"Special Ed Social Science Cognitive Level (P-5, 4-8, 6-12)"
950,Special Ed Reading Cognitive Level P-5
951,"Special Ed Reading Cognitive Level (P-5, 4-8)"
952,"Special Ed Reading Cognitive Level (P-5, 4-8, 6-12)"
961,GIFTED - MATHEMATICS CONCENTRATION
962,GIFTED - SCIENCE CONCENTRATION
963,GIFTED - LANGUAGE ARTS CONCENTRATION
964,GIFTED - SOCIAL SCIENCE CONCENTRATION
965,GIFTED - READING CONCENTRATION
970,Mathematics Endorsement (K-5)
971,Science Endorsement (K-5)
980,Coaching Endorsement
998,Pending
