"Subject Matter Code","Subject Matter"
"633","African and Semitic Languages"
"638","African and Semitic Languages"
"640","American Sign Language"
"642","American Sign Language"
"643","American Sign Language"
"648","American Sign Language"
"6A0","Farsi"
"6A2","Farsi"
"6A3","Farsi"
"6A8","Farsi"
"6B0","Arabic"
"6B2","Arabic"
"6B3","Arabic"
"6B8","Arabic"
"6C0","Chinese"
"6C2","Chinese"
"6C3","Chinese"
"6C8","Chinese"
"6D0","Hindi"
"6D2","Hindi"
"6D3","Hindi"
"6D8","Hindi"
"6F0","Romance Languages French"
"6F2","Romance Languages French"
"6F3","Romance Languages French"
"6F8","Romance Languages French"
"6G0","Germanic, Slavic & Classical Languages Greek"
"6G2","Germanic, Slavic & Classical Languages Greek"
"6G3","Germanic, Slavic & Classical Languages Greek"
"6G8","Germanic, Slavic & Classical Languages Greek"
"6H0","Hebrew"
"6H2","Hebrew"
"6H3","Hebrew"
"6H8","Hebrew"
"6I0","Romance Languages Italian"
"6I2","Romance Languages Italian"
"6I3","Romance Languages Italian"
"6I8","Romance Languages Italian"
"6J0","Japanese"
"6J2","Japanese"
"6J3","Japanese"
"6J8","Japanese"
"6K0","Korean"
"6K2","Korean"
"6K3","Korean"
"6K8","Korean"
"6L0","Germanic, Slavic & Classical Languages Latin"
"6L2","Germanic, Slavic & Classical Languages Latin"
"6L3","Germanic, Slavic & Classical Languages Latin"
"6L8","Germanic, Slavic & Classical Languages Latin"
"6M0","Romance Languages Modern Foreign Language"
"6M2","Romance Languages Modern Foreign Language"
"6M3","Romance Languages Modern Foreign Language"
"6M8","Romance Languages Modern Foreign Language"
"6P0","Portuguese"
"6P2","Portuguese"
"6P3","Portuguese"
"6P8","Portuguese"
"6R0","Germanic, Slavic & Classical Languages Russian"
"6R2","Germanic, Slavic & Classical Languages Russian"
"6R3","Germanic, Slavic & Classical Languages Russian"
"6R8","Germanic, Slavic & Classical Languages Russian"
"6S0","Romance Languages Spanish"
"6S2","Romance Languages Spanish"
"6S3","Romance Languages Spanish"
"6S8","Romance Languages Spanish"
"6T0","Turkish"
"6T2","Turkish"
