school,loc_code,level,cluster,prin_lgl_nm,prin_beg_dt,year_opened,enrollment_n,k12_enr_n,attendance_pct,mobility,free,eoy_dt,prin_year,prin_since,sys_id,sch_id,sspi,title_i,grade,star_rtg,ccrpi,climate,student,staff,parent,overall,grd_3_la,grd_3_ma,grd_4_la,grd_4_ma,grd_5_la,grd_5_ma
Grayson ES,425,ES,Grayson,Christopher William Brown,2011-02-11,1931,964,905,97.32,0.154564315352697,25.9668508287293,2022-07-01,11.0520547945205,"February 11, 2011",667,2052,0.482550552687413,Y,B,5,87,86.831,78.056,93.804,88.633,98.5,72,78.4,70.8,74.4,67.1,65.8
Trip ES,508,ES,Grayson,Rukina Djon Walker,2013-07-01,2009,1343,1247,98.25,0.161578555472822,40.8179631114675,2022-07-01,8.66849315068493,"July 1, 2013",667,0509,0.382005093490101,Y,A,4,90.8,80.5,68.47,88.506,84.524,96,68.9,77.8,59,64.5,73.8,75.1
Pharr ES,780,ES,Grayson,Joseph D. Sanfilippo,2021-07-01,1991,732,687,97.72,0.151639344262295,47.3071324599709,2022-07-01,0.668493150684932,"July 1, 2021",667,0391,0.701159806656043,Y,A,5,91.4,82.643,71.034,89.671,87.225,98.3,60.1,69.1,67.2,68.8,70.9,74.2
Norton ES,730,ES,South Gwinnett,Melanie A. Lee,2017-07-03,1987,1063,952,98.22,0.23236124176858,60.7142857142857,2022-07-01,4.66301369863014,"July 3, 2017",667,0287,-0.0901992889408036,Y,B,4,80.2,77.303,69.031,79.782,83.094,95.1,49.1,53.4,44.9,55.1,43.7,43.2
Magill ES,628,ES,South Gwinnett,Cheri P. Carter,2022-01-24,1997,1270,1184,97.45,0.177165354330709,62.5,2022-07-01,0.101369863013699,"January 24, 2022",667,0397,0.220649038601016,Y,C,4,77,76.356,67.619,77.803,83.645,93.6,34.3,40.7,39.2,48.7,50,29
Rosebud ES,519,ES,South Gwinnett,Brittany N. Riddick,2020-10-19,2009,1046,972,98.21,0.181644359464627,66.9753086419753,2022-07-01,1.36712328767123,"October 19, 2020",667,0309,0.158633365658726,Y,B,4,80.6,76.748,67.421,77.361,85.463,94.6,35.8,42.5,44.2,48.5,47.8,35.6
Britt ES,175,ES,South Gwinnett,Melissa D. Madsen,2016-12-01,1970,619,572,97.85,0.187399030694669,64.3356643356643,2022-07-01,5.24931506849315,"December 1, 2016",667,3050,-0.0506337149408488,Y,B,4,81,75.919,69.904,75.949,81.905,95.2,45.8,55.3,37.5,47.3,47.2,46.3
Shiloh ES,805,ES,Shiloh,Thomas D. Trippany,2011-07-01,1991,758,677,97.73,0.218997361477573,55.9822747415066,2022-07-01,10.6684931506849,"July 1, 2011",667,0291,0.0257646100758216,N,C,3,77.4,78.228,66.64,82.512,85.533,88.8,48.8,61.1,41.6,51.2,53.2,50.8
Partee ES,760,ES,Shiloh,Jennifer L. Clowers,2021-01-28,1998,744,695,97.91,0.198924731182796,55.1079136690647,2022-07-01,1.09041095890411,"January 28, 2021",667,0398,-0.168360762571266,Y,A,4,90.2,81.523,70.046,87.339,87.186,95.2,56.7,59.8,50,60.3,58.9,54.2
Annistown ES,090,ES,Shiloh,Gwenda Novella Nimmo-Smith,2019-01-02,1982,715,663,97.41,0.165034965034965,63.0467571644042,2022-07-01,3.16164383561644,"January 2, 2019",667,0282,-0.301814831927693,Y,D,4,69.9,77.555,68.975,77.309,86.381,94.8,34.8,54.2,42.6,59,38.2,36.3
Centerville ES,250,ES,Shiloh,Bonita Bullock Banks,2016-07-01,1974,728,671,97.66,0.18543956043956,62.4441132637854,2022-07-01,5.66849315068493,"July 1, 2016",667,0173,-0.123707905026819,Y,C,4,76.1,75.413,69.305,74.02,82.913,93.6,29.1,45.3,44,51.2,33.6,41.4
Anderson-Livsey ES,531,ES,Shiloh,Christine C. Knox,2017-07-03,2011,715,661,97.54,0.184615384615385,65.5068078668684,2022-07-01,4.66301369863014,"July 3, 2017",667,1016,-0.129599993640419,Y,D,4,65.8,73.946,68.946,72.573,80.317,93.6,37.4,45.5,30.9,30.9,37.8,35.7
Craig ES,298,ES,Brookwood,Angela I. Wright,2008-06-02,1994,1122,1086,97.97,0.0695187165775401,27.5322283609576,2022-07-01,13.7479452054795,"June 2, 2008",667,0194,1.00273095749566,Y,A,5,93,83.922,75.536,90.87,85.362,98.4,68.8,70,69.2,76.4,73.8,69
Craig ES,298,ES,Brookwood,Angela I. Wright,2008-06-02,1994,1122,1086,97.97,0.0695187165775401,27.5322283609576,2022-07-01,13.7479452054795,"June 2, 2008",667,0194,1.00273095749566,Y,A,5,93,83.922,75.536,90.87,85.362,98.4,68.8,70,69.2,76.4,73.8,69
Brookwood ES,180,ES,Brookwood,Karen White Lillard,2019-07-01,1986,1475,1413,98.18,0.105084745762712,26.6808209483369,2022-07-01,2.66849315068493,"July 1, 2019",667,0286,1.36034139271411,Y,A,5,95.5,87.699,79.54,93.226,90.331,100.7,72.6,81.8,68.6,82,76.3,77.5
Brookwood ES,180,ES,Brookwood,Karen White Lillard,2019-07-01,1986,1475,1413,98.18,0.105084745762712,26.6808209483369,2022-07-01,2.66849315068493,"July 1, 2019",667,0286,1.36034139271411,Y,A,5,95.5,87.699,79.54,93.226,90.331,100.7,72.6,81.8,68.6,82,76.3,77.5
Head ES,480,ES,Brookwood,Tonya Y. Burnley,2022-01-24,1980,769,728,97.77,0.124837451235371,21.5659340659341,2022-07-01,0.101369863013699,"January 24, 2022",667,0180,0.784515537484488,N,B,3,88.6,81.608,73.183,85.668,85.974,89.5,60.6,76.8,64.7,69.4,71.3,59.1
Gwin Oaks ES,430,ES,Brookwood,Richard C. Barlow,2017-07-03,1977,1110,1045,97.71,0.0954954954954955,26.2200956937799,2022-07-01,4.66301369863014,"July 3, 2017",667,0376,1.05688077055888,Y,B,5,88.7,84.035,75.509,92.337,84.259,100,68.7,78.3,58.2,70.6,64.1,64.1
Nesbit ES,660,ES,Meadowcreek,Marketa Myers,2015-07-01,1994,1236,1143,96.15,0.225728155339806,77.6902887139108,2022-07-01,6.66849315068493,"July 1, 2015",667,0294,-2.1183023381816,Y,D,4,68.6,76.636,74.607,81.936,73.364,95,22.7,38.6,21.4,40.9,28.3,37.6
Rockbridge ES,800,ES,Meadowcreek,Kelly Michele Scarborough,2010-07-01,1967,1140,1080,97.55,0.207894736842105,82.6851851851852,2022-07-01,11.6684931506849,"July 1, 2010",667,1058,-2.02454450713885,N,D,3,69.4,80.284,74.465,79.559,86.827,90.7,26.4,44.9,29,47.2,29.5,33.5
