obj_id,obj_name,obj_typ,obj_subtcd,obj_subtyp,country,metro,lat,lon,reldate,nces_schid,nces_disid,st,sys_id,sch_id,level,sch_type,sch_type_text,sys_sch,school_district_nm,school_name,mobility,k12_enr_n,k12_fl_n,k12_rpl_n,k12_frpl_n,unmasked_k12_frpl_pct
16018861,THOMASVILLE HEIGHTS ELEMENTARY SCHOOL,School,SAZ,School Attendance Zone,USA,"Atlanta, GA",33.705285,-84.36059,20211112,130012000069,1300120,GA,761,5067,Elementary,1,Regular School,7615067,Atlanta Public Schools,Thomasville Heights Elementary School,5.8,292,292,0,292,100
16018862,FREDERICK WILSON BENTEEN ELEMENTARY SCHOOL,School,SAZ,School Attendance Zone,USA,"Atlanta, GA",33.716653,-84.365622,20211112,130012000073,1300120,GA,761,5051,Elementary,1,Regular School,7615051,Atlanta Public Schools,Benteen Elementary School,5.7,246,246,0,246,100
16018863,BARACK AND MICHELLE OBAMA ACADEMY,School,SAZ,School Attendance Zone,USA,"Atlanta, GA",33.727497,-84.385975,20211112,130012000077,1300120,GA,761,5066,Elementary,1,Regular School,7615066,Atlanta Public Schools,Barack and Michelle Obama Academy,10.4,270,270,0,270,100
16018865,MARY ANGES JONES ELEMENTARY SCHOOL,School,SAZ,School Attendance Zone,USA,"Atlanta, GA",33.744411,-84.419473,20211112,130012000085,1300120,GA,761,4063,Elementary,1,Regular School,7614063,Atlanta Public Schools,M. A. Jones Elementary School,8.9,449,449,0,449,100
16018866,FREDERICK DOUGLASS HIGH SCHOOL,School,SAZ,School Attendance Zone,USA,"Atlanta, GA",33.777643,-84.47077,20211112,130012000089,1300120,GA,761,4058,High,1,Regular School,7614058,Atlanta Public Schools,Douglass High School,8.7,1141,1141,0,1141,100
16018867,CLEVELAND AVENUE ELEMENTARY SCHOOL,School,SAZ,School Attendance Zone,USA,"Atlanta, GA",33.683367,-84.389195,20211112,130012000091,1300120,GA,761,4056,Elementary,1,Regular School,7614056,Atlanta Public Schools,Cleveland Elementary School,16.9,266,266,0,266,100
16018868,CASCADE ELEMENTARY SCHOOL,School,SAZ,School Attendance Zone,USA,"Atlanta, GA",33.709441,-84.463802,20211112,130012000092,1300120,GA,761,0196,Elementary,1,Regular School,761196,Atlanta Public Schools,Cascade Elementary School,15.5,343,343,0,343,100
16018870,SCOTT ELEMENTARY SCHOOL,School,SAZ,School Attendance Zone,USA,"Atlanta, GA",33.800919,-84.475167,20211112,130012000099,1300120,GA,761,3566,Elementary,1,Regular School,7613566,Atlanta Public Schools,Scott Elementary School,15.9,328,328,0,328,100
16018871,FICKETT ELEMENTARY SCHOOL,School,SAZ,School Attendance Zone,USA,"Atlanta, GA",33.711179,-84.518706,20211112,130012000103,1300120,GA,761,3559,Elementary,1,Regular School,7613559,Atlanta Public Schools,Fickett Elementary School,19.9,458,458,0,458,100
16018872,PEYTON FOREST ELEMENTARY SCHOOL,School,SAZ,School Attendance Zone,USA,"Atlanta, GA",33.746851,-84.466878,20211112,130012000106,1300120,GA,761,3065,Elementary,1,Regular School,7613065,Atlanta Public Schools,Peyton Forest Elementary School,17.9,400,400,0,400,100
16018873,WILLIS A. SUTTON MIDDLE SCHOOL,School,SAZ,School Attendance Zone,USA,"Atlanta, GA",33.837007,-84.408717,20211112,130012000107,1300120,GA,761,3067,Middle,1,Regular School,7613067,Atlanta Public Schools,Sutton Middle School,6.9,1614,255,19,274,16.9764560099133
16018875,CONTINENTAL COLONY ELEMENTARY SCHOOL,School,SAZ,School Attendance Zone,USA,"Atlanta, GA",33.68121,-84.499097,20211112,130012000113,1300120,GA,761,3057,Elementary,1,Regular School,7613057,Atlanta Public Schools,Continental Colony Elementary School,18.1,394,394,0,394,100
16018876,BEECHER HILLS ELEMENTARY SCHOOL,School,SAZ,School Attendance Zone,USA,"Atlanta, GA",33.730608,-84.469219,20211112,130012000118,1300120,GA,761,3051,Elementary,1,Regular School,7613051,Atlanta Public Schools,Beecher Hills Elementary School,6,266,266,0,266,100
16018877,WEST MANOR ELEMENTARY SCHOOL,School,SAZ,School Attendance Zone,USA,"Atlanta, GA",33.736289,-84.492783,20211112,130012000121,1300120,GA,761,2569,Elementary,1,Regular School,7612569,Atlanta Public Schools,West Manor Elementary School,17.7,223,223,0,223,100
16018878,PERKERSON ELEMENTARY SCHOOL,School,SAZ,School Attendance Zone,USA,"Atlanta, GA",33.709722,-84.414529,20211112,130012000122,1300120,GA,761,0296,Elementary,1,Regular School,761296,Atlanta Public Schools,Perkerson Elementary School,15.5,327,327,0,327,100
16018879,SARAH SMITH ELEMENTARY SCHOOL,School,SAZ,School Attendance Zone,USA,"Atlanta, GA",33.85639,-84.362382,20211112,130012000124,1300120,GA,761,1567,Elementary,1,Regular School,7611567,Atlanta Public Schools,Smith Elementary School,10.9,846,138,15,153,18.0851063829787
16018880,MORRIS BRANDON ELEMENTARY SCHOOL,School,SAZ,School Attendance Zone,USA,"Atlanta, GA",33.828776,-84.418807,20211112,130012000127,1300120,GA,761,2053,Elementary,1,Regular School,7612053,Atlanta Public Schools,Brandon Elementary School,10.9,857,22,7,29,3.38389731621937
16018882,MORNINGSIDE ELEMENTARY SCHOOL,School,SAZ,School Attendance Zone,USA,"Atlanta, GA",33.799923,-84.364614,20211112,130012000130,1300120,GA,761,1664,Elementary,1,Regular School,7611664,Atlanta Public Schools,Morningside Elementary School,9.1,846,25,2,27,3.19148936170213
16018884,MARY LIN ELEMENTARY SCHOOL,School,SAZ,School Attendance Zone,USA,"Atlanta, GA",33.764186,-84.342382,20211112,130012000136,1300120,GA,761,2564,Elementary,1,Regular School,7612564,Atlanta Public Schools,Lin Elementary School,7.4,634,14,1,15,2.36593059936909
16018885,JACKSON ELEMENTARY SCHOOL,School,SAZ,School Attendance Zone,USA,"Atlanta, GA",33.859072,-84.41975,20211112,130012000137,1300120,GA,761,2563,Elementary,1,Regular School,7612563,Atlanta Public Schools,Jackson Elementary School,13,507,11,2,13,2.56410256410256
16018886,CHARLES L. GIDEONS ELEMENTARY SCHOOL,School,SAZ,School Attendance Zone,USA,"Atlanta, GA",33.727945,-84.406094,20211112,130012000139,1300120,GA,761,2560,Elementary,1,Regular School,7612560,Atlanta Public Schools,Gideons Elementary School,8.6,278,278,0,278,100
16018887,HOPE-HILL ELEMENTARY SCHOOL,School,SAZ,School Attendance Zone,USA,"Atlanta, GA",33.761754,-84.374576,20211112,130012000143,1300120,GA,761,2062,Elementary,1,Regular School,7612062,Atlanta Public Schools,The John Hope-Charles Walter Hill Elementary Schools,15.5,304,304,0,304,100
16018890,BUNCHE MIDDLE SCHOOL,School,SAZ,School Attendance Zone,USA,"Atlanta, GA",33.695996,-84.511529,20211112,130012000150,1300120,GA,761,0180,Middle,1,Regular School,761180,Atlanta Public Schools,Bunche Middle School,12.1,966,966,0,966,100
16018891,BENJAMIN E. MAYS HIGH SCHOOL,School,SAZ,School Attendance Zone,USA,"Atlanta, GA",33.738113,-84.487359,20211112,130012001865,1300120,GA,761,0182,High,1,Regular School,761182,Atlanta Public Schools,Mays High School,11.7,1244,1244,0,1244,100
16018892,YOUNG MIDDLE SCHOOL,School,SAZ,School Attendance Zone,USA,"Atlanta, GA",33.738113,-84.487359,20211112,130012001866,1300120,GA,761,0282,Middle,1,Regular School,761282,Atlanta Public Schools,Young Middle School,9.5,870,870,0,870,100
16018893,MAYNARD HOLBROOK JACKSON HIGH SCHOOL,School,SAZ,School Attendance Zone,USA,"Atlanta, GA",33.738871,-84.351502,20211112,130012001939,1300120,GA,761,0186,High,1,Regular School,761186,Atlanta Public Schools,"Maynard H. Jackson, Jr. High School",5.7,1412,511,70,581,41.1473087818697
16018894,NORTH ATLANTA HIGH SCHOOL,School,SAZ,School Attendance Zone,USA,"Atlanta, GA",33.837007,-84.408717,20211112,130012002212,1300120,GA,761,0192,High,1,Regular School,761192,Atlanta Public Schools,North Atlanta High School,5.6,2095,296,42,338,16.1336515513126
16018895,CENTENNIAL ACADEMY,School,SAZ,School Attendance Zone,USA,"Atlanta, GA",33.772844,-84.401328,20211112,130012002290,1300120,GA,761,0199,Elementary,1,Regular School,761199,Atlanta Public Schools,Centennial Academy,15.8,719,719,0,719,100
16018896,BROWN MIDDLE SCHOOL,School,SAZ,School Attendance Zone,USA,"Atlanta, GA",33.73372,-84.434351,20211112,130012002344,1300120,GA,761,0100,Middle,1,Regular School,761100,Atlanta Public Schools,Brown Middle School,13.6,390,390,0,390,100
16018897,PARKSIDE ELEMENTARY SCHOOL,School,SAZ,School Attendance Zone,USA,"Atlanta, GA",33.735169,-84.36742,20211112,130012002517,1300120,GA,761,0101,Elementary,1,Regular School,761101,Atlanta Public Schools,Parkside Elementary School,8.5,526,210,10,220,41.8250950570342
16018898,HERITAGE ACADEMY,School,SAZ,School Attendance Zone,USA,"Atlanta, GA",33.658618,-84.376562,20211112,130012002613,1300120,GA,761,0103,Elementary,1,Regular School,761103,Atlanta Public Schools,Heritage Academy Elementary,11.1,421,421,0,421,100
16018899,DOBBS ELEMENTARY SCHOOL,School,SAZ,School Attendance Zone,USA,"Atlanta, GA",33.695569,-84.369228,20211112,130012003025,1300120,GA,761,0104,Elementary,1,Regular School,761104,Atlanta Public Schools,Dobbs Elementary School,10,355,355,0,355,100
